,Concept_ID,kl,cy
0,Auge::N,isi,llygad
1,Ohr::N,siut,clust
2,Mund::N,paaq,ceg
3,Mund::N,qaneq,ceg
4,Zahn::N,kigut,dant
5,Zunge::N,oqaq,tafod
6,Lippe::N,qarloq,gwefus
7,Wange::N,ersaq,boch
8,Gesicht::N,kiinaq,wyneb
9,Stirn::N,qaaq,talcen
10,Haar::N,meqqoq,blew
11,Bart::N,umik,barf
12,Kinn::N,talloq,gên
13,Kiefer[Anatomie]::N,alleroq,gên
14,Kehle::N,malaq,gwddf
15,Hals::N,qungaseq,gwddf
16,Genick::N,pukusuk,gwar
17,Genick::N,pukusuk,gwegil
18,Kopf::N,niaqoq,pen
19,Rücken::N,qimerlut,cefn
20,Bauch::N,naaq,bol
21,Nabel::N,qalaseq,bogail
22,Busen::N,iviangeq,bron
23,Brust::N,iviangeq,brest
24,Schulter::N,ersik,ysgwydd
25,Schulter::N,assaqqoq,ysgwydd
26,Arm::N,taleq,braich
27,Ellenbogen::N,ikusik,penelin
28,Hand::N,assak,llaw
29,Handfläche::N,itumak,palf
30,Finger::N,inuak,bys
31,Fingernagel::N,kikiak,ewin
32,Nagel[Anatomie]::N,kukik,ewin
33,Zeh::N,isigak,bys troed
34,Ferse::N,kimmik,sawdl
35,Knie::N,seeqqoq,glin
36,Oberschenkel::N,uppat,clun
37,Oberschenkel::N,quttoraq,clun
38,Bein::N,isigak,coes
39,Körper::N,timi,corff
40,Haut::N,mattak,croen
41,Blut::N,aak,gwaed
42,Ader::N,taqaq,gwythïen
43,Sehne::N,ujalu,gewyn
44,Sehne::N,ujaloq,gewyn
45,Knochen::N,saanikut,asgwrn
46,Gehirn::N,qarasaq,ymennydd
47,Herz::N,uummat,calon
48,Magen::N,aqajaroq,cylla
49,Magen::N,aqajaroq,stumog
50,Leber::N,tinguk,iau
51,Atem::N,anerneq,anadl
52,Hunger::N,kaanneq,newyn
53,Träne::N,qia,deigryn
54,Träne::N,qiak,deigryn
55,Geschmack::N,qilanaartuut,cyflas
56,Geruch::N,tipi,aroglau
57,Geruch::N,tipik,aroglau
58,Traum::N,sinnattoq,breuddwyd
59,Traum::N,sinnattugaq,breuddwyd
60,Himmel::N,qilak,awyr
61,Sonne::N,seqineq,haul
62,Mond::N,qaammat,lleuad
63,Stern::N,ulloriaq,seren
64,Luft::N,silaannaq,awyr
65,Wind::N,anori,gwynt
66,Wind::N,anorsarik,gwynt
67,Welle::N,aalappaa,ton
68,Wasser::N,imeq,dŵr
69,Stein::N,ujarak,carreg
70,Boden::N,nateq,llawr
71,Erde::N,issoq,pridd
72,Staub::N,pujualanerit,llwch
73,Staub::N,pujoralanerit,llwch
74,Rauch::N,iseq,mwg
75,Rauch::N,pujoq,mwg
76,Funke::N,illoorneq,gwreichioni
77,Feuer::N,inneq,tân
78,Licht::N,qaamaneq,golau
79,Schatten::N,tarraq,cysgod
80,Wetter::N,sila,tywydd
81,Nebel::N,pujoq,niwl
82,Wolke::N,nuia,cwmwl
83,Regen::N,sialuk,glaw
84,Schnee::N,aput,ôd
85,Schnee::N,aput,eira
86,Eis::N,siku,iâ
87,Frost::N,issi,rhew
88,Frost::N,issik,rhew
89,Kälte::N,issi,oerni
90,Kälte::N,issi,annwyd
91,Hitze::N,kianneq,gwres
92,Hitze::N,kiassuseq,gwres
93,Raureif::N,kaneq,barrug
94,Regenbogen::N,neriusaaq,enfys
95,Donner::N,kalleq,tyrfau
96,Tropfen::N,kuseriarneq,dafn
97,Tropfen::N,kuseriarneq,diferyn
98,Schaum::N,qapuk,ewyn
99,Schmutz::N,minguk,baw
100,Schmutz::N,minguk,budreddi
101,See::N,taseq,llyn
102,Sumpf::N,maqulluk,cors
103,Wiese::N,masarsuk,dôl
104,Hügel::N,qattuneq,bryn
105,Hügel::N,majuariaq,bryn
106,Hügel::N,majorajaaq,bryn
107,Hügel::N,qaqqannguaq,bryn
108,Berg::N,qaqqaq,mynydd
109,Höhle::N,qaarusuk,ogof
110,Abhang::N,ippik,llethr
111,Abhang::N,sivinganeq,llethr
112,Abhang::N,sivingajaaq,llethr
113,Abhang::N,kussangajaaq,llethr
114,Bach::N,kuunnguaq,nant
115,Bach::N,kuunnguaq,afonig
116,Bach::N,kuunnguaq,cornant
117,Fluss::N,kuuk,afon
118,Ufer::N,sissap sinaa,glan
119,Küste::N,sineriak,traeth
120,Küste::N,sineriak,arfordir
121,Meer::N,imaq,môr
122,Bucht::N,ikeq,bae
123,Bucht::N,kangerluk,bae
124,Bucht::N,kangerliumaneq,bae
125,Insel::N,qeqertaq,ynys
126,Blume::N,naasoq,blodyn
127,Gras::N,ivigaq,glaswellt
128,Wurzel::N,niulutaq,gwreiddyn
129,Baum::N,orpik,coeden
130,Stamm::N,kanaartaq,colfen
131,Stamm::N,kanaartaq,boncyff
132,Rinde::N,ameraq,rhisgl
133,Ast::N,avalequt,cangen
134,Zweig::N,avalequt,cainc
135,Zweig::N,avalequt,cangen
136,Blatt::N,pilutaq,deilen
137,Birke::N,patitsit,bedwen
138,Weide[Baum]::N,palleq,helygen
139,Tanne::N,orsuerneq,ffynidwydden
140,Horn::N,nassuk,corn
141,Feder::N,suluk,plufyn
142,Fell::N,ameq,ffwr
143,Flügel::N,suluk,adain
144,Flügel::N,isaroq,adain
145,Klaue::N,kukik,crafanc
146,Kralle::N,kukik,ewin
147,Schwanz::N,pamioq,cwt
148,Schwanz::N,pamioq,cynffon
149,Schwanz::N,paperuusaq,cwt
150,Schwanz::N,paperuusaq,cynffon
151,Ei::N,mannik,wy
152,Nest::N,ullut,nyth
153,Bau::N,ini,ffau
154,Tier::N,uumasoq,anifail
155,Herde::N,unguukkat,praidd
156,Herde::N,unguukkat,diadell
157,Kuh::N,ussik,buwch
158,Bulle::N,angukulak,tarw
159,Bulle::N,anguteralak,tarw
160,Bulle::N,angutikulooq,tarw
161,Schaf::N,sava,dafad
162,Schwein::N,puuluki,mochyn
163,Hund::N,qimmeq,ci
164,Katze::N,puisaaq,cath
165,Bär::N,allaq,arth
166,Eichhörnchen::N,sissinnguaq,gwiwer
167,Fuchs::N,terianniaq,cadno
168,Hase::N,ukaleq,ysgyfarnog
169,Maus::N,teriannguaq,llygoden
170,Wolf::N,amaroq,blaidd
171,Vogel::N,timmiaq,aderyn
172,Huhn::N,kukkukooq,cyw
173,Huhn::N,marloraaqaaq,cyw
174,Hahn::N,kiasiusaq,ceiliog
175,Gans::N,nerleq,gŵydd
176,Adler::N,nattoralik,eryr
177,Eule::N,uppik,tylluan
178,Kranich::N,qorlorfik,garan
179,Kranich::N,qorlorfik,crychydd
180,Krähe::N,tuluatsiaq,brân
181,Kuckuck::N,kukkooq,cog
182,Kuckuck::N,kukkooq,cwcw
183,Schwan::N,qussuk,alarch
184,Fisch::N,aalisagaq,pysgod
185,Schlange[Tier]::N,pulateriarsuk,neidr
186,Schlange[Tier]::N,pulateriaarsuk,neidr
187,Spinne::N,aasiaq,cor
188,Spinne::N,aasiaq,pryf copyn
189,Spinne::N,nissavaarsuk,cor
190,Spinne::N,nissavaarsuk,pryf copyn
191,Ameise::N,uniaaluk,morgrugyn
192,Laus::N,kumak,lleuen
193,Mücke::N,ippernaq,gwybedyn
194,Fliege::N,ippernaq,cleren
195,Schmetterling::N,paluaq,glöyn byw
196,Schmetterling::N,paluaq,iâr fach yr haf
197,Schmetterling::N,pakkaluaq,glöyn byw
198,Schmetterling::N,pakkaluaq,iâr fach yr haf
199,Schmetterling::N,utsuppaluaq,glöyn byw
200,Schmetterling::N,utsuppaluaq,iâr fach yr haf
201,Schmetterling::N,taqaleqisaaq,glöyn byw
202,Schmetterling::N,taqaleqisaaq,iâr fach yr haf
203,Beere::N,paarmaq,aeronen
204,Beere::N,paarngaq,aeronen
205,Apfel::N,iipili,afal
206,Pilz::N,anngiusaq,madarch
207,Zwiebel::N,uanitsoq,nionyn
208,Zwiebel::N,uanitsoq,winwnsyn
209,Saat::N,naatsiiassaq,had
210,Korn::N,maannineq,grawn
211,Schale::N,niutsivik,croen
212,Schale::N,niutsivik,plisgyn
213,Schale::N,ilulissaq qaartussaq,croen
214,Schale::N,ilulissaq qaartussaq,plisgyn
215,Grube::N,itersaq,pwll
216,Grube::N,itersaq,pydew
217,Falle::N,pualavoq,magl
218,Schlinge::N,orseq,cwlwm rhedeg
219,Schlinge::N,norloq,cwlwm rhedeg
220,Spur::N,tumaa,ôl
221,Asche::N,arsat,lludw
222,Dreck::N,minguk,baw
223,Dreck::N,minguk,budreddi
224,Eisen::N,savimineq,haearn
225,Eisen::N,saffiugassaq,haearn
226,Gold::N,kuulti,aur
227,Silber::N,siilviuvoq,arian
228,Kohle::N,aamarsuit aamaruutissat,glo
229,Glas::N,igalaaq,gwydr
230,Glas::N,imertarfik,gwydr
231,Glas::N,igalaamineq,gwydr
232,Lehm::N,marraq,clai
233,Sand::N,sioqqat,tywod
234,Mensch::N,inuk,dyn
235,Mensch::N,silamiu,dyn
236,Mann::N,angut,dyn
237,Frau::N,arnaq,merch
238,Frau::N,arnaq,gwraig
239,Kind::N,meeraq,plentyn
240,Junge::N,nukappiaraq,hogyn
241,Junge::N,nukappiaraq,bachgen
242,Mädchen::N,arnannguaq,merch
243,Mädchen::N,arnannguaq,geneth
244,Familie::N,ilaqutakka,teulu
245,Familie::N,ilaqutakka,tylwyth
246,Familie::N,ilaqutariit,teulu
247,Familie::N,ilaqutariit,tylwyth
248,Großvater::N,aatak,taid
249,Großvater::N,aatak,tad-cu
250,Großmutter::N,aanaq,nain
251,Großmutter::N,aanaq,mam-gu
252,Eltern::N,angajoqqaat,rhieni
253,Vater::N,ataata,tad
254,Vater::N,ataataq,tad
255,Mutter::N,anaana,mam
256,Sohn::N,erneq,mab
257,Tochter::N,panik,merch
258,Bruder::N,ani,brawd
259,Bruder::N,aqqaluk,brawd
260,Bruder::N,qatanngut,brawd
261,Schwester::N,naja,chwaer
262,Schwester::N,aleqa,chwaer
263,Schwester::N,qatanngut,chwaer
264,Onkel::N,akkak,ewythr
265,Tante::N,aja,modryb
266,Tante::N,ajak,modryb
267,Tante::N,atsak,modryb
268,Ehemann::N,ui,gŵr
269,Ehefrau::N,nuliaq,gwraig
270,Freude::N,tipaatsussuseq,gorfoledd
271,Gelächter::N,illaq,chwerthin
272,Glück::N,usornaat,hapusrwydd
273,Glück::N,usornarsuseq,hapusrwydd
274,Wunsch::N,kissaat,dymuniad
275,Lust::N,illigussuseq,chwant
276,Lust::N,piummaseq,chwant
277,Geist::N,anerneq,ysbryd
278,Geist::N,toornaq,ysbryd
279,Gedanke::N,isumassaq,meddwl
280,Gedächtnis::N,eqqaamannissuseq,cof
281,Verstand::N,isuma,meddwl
282,Verstand::N,sianissut,meddwl
283,Verstand::N,misigissut,meddwl
284,Verstand::N,sianissuseq,meddwl
285,Verstand::N,silaqassuseq,meddwl
286,Sinn::N,isuma,ystyr
287,Grund::N,patsit,achos
288,Grund::N,patsit,rheswm
289,Wahrheit::N,sallusuissut,gwir
290,Wahrheit::N,sallusuissut,gwirionedd
291,Märchen::N,oqalualaarut,chwedl werin
292,Märchen::N,oqaluasaaq,chwedl werin
293,Erzählung::N,oqaluttuaq,stori
294,Nachricht::N,oqaassut,neges
295,Nachricht::N,oqqersuut,neges
296,Neuigkeit::N,tusarnartaq,newydd
297,Name::N,ateq,enw
298,Rätsel::N,nalorsitsaarut,pos
299,Rede::N,oqaluuseq,araith
300,Sprache::N,oqaatsit,iaith
301,Stimme::N,erinaq,llais
302,Stimme::N,qarluuseq,llais
303,Wort::N,oqaasii,gair
304,Zeichen::N,nalunaaqqut,arwydd
305,Ruf::N,qaaqqussut,galwad
306,Lärm::N,perpaluk,trwst
307,Laut::N,torsukattak,sain
308,Ton::N,erinaq,tôn
309,Lied::N,taalliaq,cân
310,Lied::N,erinarsuut,cân
311,Ruhe::N,qatsunganeq,tawelwch
312,Leute::N,inuiak,pobl
313,Leute::N,inuiaqatigiit,pobl
314,Volk::N,inuiaat,pobl
315,Arbeit::N,suliaq,gwaith
316,Gast::N,qaaqqusaq,gwestai
317,Geschenk::N,pajugut,rhodd
318,Geschenk::N,pajugut,anrheg
319,Hilfe::N,annertoqqut,cymorth
320,Freund::N,tiliaq,cyfaill
321,Freund::N,ikinngut,cyfaill
322,Kamerad::N,tiliaq,cydymaith
323,Kamerad::N,ikinngut,cydymaith
324,Art::N,ileqquuseq,bath
325,Stück::N,nakkaalaniku,darn
326,Teil::N,tassiaasat,rhan
327,Hälfte::N,affaq,hanner
328,Kreis::N,kaajaluinneq or kaajaluitsoq,cylch
329,Kreuz::N,sanningasulik,croes
330,Linie::N,tittaq,llinell
331,Linie::N,titarneq,llinell
332,Abstand::N,aku,bwlch
333,Abstand::N,aku,pellter
334,Abstand::N,ikiaq,bwlch
335,Abstand::N,ikiaq,pellter
336,Entfernung::N,asi,pellter
337,Gegend::N,nuna,cylch
338,Platz::N,ini,lle
339,Platz::N,inissaq,lle
340,Ort::N,sumiiffik,lle
341,Seite::N,saneraq,ochr
342,Mitte::N,qiteq,canol
343,Sache::N,pigisaq,peth
344,Rand::N,sini,cwr
345,Rand::N,sini,ymyl
346,Rand::N,akerfineq,cwr
347,Rand::N,akerfineq,ymyl
348,Kante::N,akerfineq,min
349,Kante::N,akerfineq,ymyl
350,Ecke::N,teqeqqoq,cornel
351,Ecke::N,tikeqqoq,cornel
352,Spitze::N,inngik,blaen
353,Ende::N,isu,pen
354,Loch::N,putu,twll
355,Winkel::N,teqeqqorissaat,congl
356,Muster::N,ilisserut,patrwm
357,Größe::N,angissuseq,maint
358,Größe::N,angissuseq,maintioli
359,Länge::N,takissuseq,hyd
360,Gewicht::N,oqimaalutaq,pwysau
361,Menge::N,amerlassuseq,swm
362,Menge::N,amerlassuseq,maint
363,Haufen::N,eqimattat,pentwr
364,Reihe::N,allunaasaq,rhes
365,Boot::N,qajaq,cwch
366,Boot::N,angallat,cwch
367,Boot::N,umiatsiaq,cwch
368,Ruder::N,iput,rhwyf
369,Schlitten::N,qamutit,sled
370,Schlitten::N,qamutit,car llusg
371,Schlitten::N,qimusseq,sled
372,Schlitten::N,qimusseq,car llusg
373,Ski::N,ataarut,sgi
