,Concept_ID,de,vep
0,Auge::N,Auge,sil'm
1,Ohr::N,Ohr,korv
2,Nase::N,Nase,nena
3,Mund::N,Mund,su
4,Zahn::N,Zahn,pi
5,Zahn::N,Zahn,hambaz
6,Zunge::N,Zunge,kel'
7,Lippe::N,Lippe,hul'
8,Wange::N,Wange,modpolišk
9,Gesicht::N,Gesicht,mod
10,Stirn::N,Stirn,oc
11,Haar::N,Haar,tuk
12,Haar::N,Haar,hibuz
13,Schnurrbart::N,Schnurrbart,habinod
14,Bart::N,Bart,bard
15,Kinn::N,Kinn,löug
16,Kiefer[Anatomie]::N,Kiefer,hambazlu
17,Kehle::N,Kehle,kurk
18,Hals::N,Hals,kagl
19,Genick::N,Genick,tagarai
20,Kopf::N,Kopf,pä
21,Rücken::N,Rücken,sel'g
22,Bauch::N,Bauch,vac
23,Bauch::N,Bauch,koht
24,Nabel::N,Nabel,naba
25,Busen::N,Busen,niža
26,Brust::N,Brust,rind
27,Schulter::N,Schulter,oug
28,Arm::N,Arm,käzi
29,Ellenbogen::N,Ellenbogen,künambruz
30,Hand::N,Hand,käzi
31,Hand::N,Hand,käzitera
32,Handfläche::N,Handfläche,kämen
33,Finger::N,Finger,sor'm
34,Fingernagel::N,Fingernagel,künz'
35,Nagel[Anatomie]::N,Nagel,künz'
36,Zeh::N,Zeh,barbaz
37,Fuß::N,Fuß,jaug
38,Ferse::N,Ferse,kand
39,Knie::N,Knie,komb
40,Knie::N,Knie,pol'v
41,Oberschenkel::N,Oberschenkel,riiže
42,Bein::N,Bein,jaug
43,Körper::N,Körper,hibj
44,Haut::N,Haut,nahk
45,Blut::N,Blut,čak
46,Blut::N,Blut,veri
47,Ader::N,Ader,son'
48,Sehne::N,Sehne,jände
49,Knochen::N,Knochen,lu
50,Gehirn::N,Gehirn,aivod
51,Herz::N,Herz,südäin
52,Magen::N,Magen,südäikoht
53,Leber::N,Leber,maks
54,Atem::N,Atem,hengaiduz
55,Hunger::N,Hunger,näl'g
56,Träne::N,Träne,kündal'
57,Geschmack::N,Geschmack,magu
58,Geruch::N,Geruch,haju
59,Schlaf::N,Schlaf,uni
60,Traum::N,Traum,unikuva
61,Himmel::N,Himmel,taivaz
62,Sonne::N,Sonne,päiväine
63,Mond::N,Mond,kudmaine
64,Stern::N,Stern,tähtaz
65,Luft::N,Luft,il'm
66,Wind::N,Wind,döl
67,Wind::N,Wind,tullei
68,Welle::N,Welle,ald
69,Welle::N,Welle,laineh
70,Wasser::N,Wasser,vezi
71,Stein::N,Stein,kivi
