,Concept_ID,ko,tr
0,Auge::N,눈,göz
1,Ohr::N,귀,kulak
2,Nase::N,코,burun
3,Mund::N,입,ağız
4,Zahn::N,이,diş
5,Zunge::N,혀,dil
6,Lippe::N,입술,dudak
7,Wange::N,뺨,yanak
8,Gesicht::N,얼굴,yüz
9,Stirn::N,이마,alın
10,Haar::N,털,saç
11,Schnurrbart::N,윗수몀,bıyık
12,Schnurrbart::N,코밑수염,bıyık
13,Bart::N,수엄,sakal
14,Kinn::N,아래턱,çene
15,Kiefer[Anatomie]::N,턱,çene
16,Kehle::N,인후,boğaz
17,Hals::N,목,boyun
18,Hals::N,목,gerdan
19,Genick::N,먹덜이,ense
20,Kopf::N,머리,baş
21,Kopf::N,머리,kafa
22,Rücken::N,든,arka
23,Bauch::N,배,karın
24,Nabel::N,배꼽,göbek
25,Busen::N,가슴속,koyun
26,Brust::N,가슴,göğüs
27,Schulter::N,어깨,omuz
28,Arm::N,팔,kol
29,Ellenbogen::N,팔쿰치,dirsek
30,Hand::N,손,el
31,Handfläche::N,손바닥,avuç
32,Handfläche::N,손바닥,el ayası
33,Finger::N,속가락,parmak
34,Fingernagel::N,손톱,el tırnağı
35,Nagel[Anatomie]::N,손톱,tırnak
36,Zeh::N,발가락,ayak parmağı
37,Fuß::N,발,ayak
38,Ferse::N,발꿈치,topuk
39,Knie::N,무릎,diz
40,Oberschenkel::N,허벅다리,uyluk
41,Bein::N,다리,bacak
42,Körper::N,구간,vücut
43,Haut::N,살갗,cilt
44,Blut::N,피,kan
45,Ader::N,정맥,damar
46,Sehne::N,현,kiriş
47,Knochen::N,뼈,kemik
48,Gehirn::N,뇌,beyin
49,Gehirn::N,뇌수,beyin
50,Herz::N,염통,kalp
51,Herz::N,염통,yürek
52,Magen::N,위,mide
53,Leber::N,간,karaciğer
54,Atem::N,기식,nefes
55,Hunger::N,공복,açlık
56,Träne::N,눈물,gözyaşı
57,Geschmack::N,기호,tat
58,Geschmack::N,기호,lezzet
59,Geruch::N,냄새,koku
60,Schlaf::N,수면,uyku
61,Traum::N,쿰,düş
62,Traum::N,쿰,rüya
63,Himmel::N,하늘,gök
64,Sonne::N,해,güneş
65,Mond::N,달,ay
66,Stern::N,별,yıldız
67,Luft::N,동준,hava
68,Luft::N,가스채,hava
69,Wind::N,바람,yel
70,Wind::N,바람,rüzgâr
71,Welle::N,물결,dalga
72,Wasser::N,물,su
73,Stein::N,돌,taş
74,Boden::N,바닥,yer
75,Boden::N,바닥,zemin
76,Erde::N,흙,toprak
77,Staub::N,먼지,toz
78,Rauch::N,연기,duman
79,Funke::N,불티,kıvılcım
80,Feuer::N,불,ateş
81,Licht::N,불,ışık
82,Schatten::N,어스레함,gölge
83,Wetter::N,기상,hava
84,Nebel::N,안개,pus
85,Wolke::N,구름,bulut
86,Regen::N,비,yağmur
87,Schnee::N,눈,kar
88,Eis::N,얼음,buz
89,Frost::N,혹한,don
90,Kälte::N,추위,soğukluk
91,Kälte::N,차가움,soğukluk
92,Hitze::N,고온,sıcaklık
