,Concept_ID,fa,hi
0,Auge::N,چشم,आँख
1,Auge::N,چشم,चक्षु
2,Ohr::N,گوش,कान
3,Ohr::N,گوش,कर्ण
4,Nase::N,بینی,नाक
5,Nase::N,بینی,नासा
6,Mund::N,دهان,मुख
7,Mund::N,دهان,मुँह
8,Zahn::N,دندان,दंत
9,Zahn::N,دندان,दाँत
10,Zunge::N,زبان,जीभ
11,Zunge::N,زبان,ज़बान
12,Zunge::N,زبان,जिह्वा
13,Lippe::N,لب,ओंठ
14,Lippe::N,لب,होंठ
15,Wange::N,لپ,गाल
16,Wange::N,لپ,कपोल
17,Gesicht::N,رو,मुँह
18,Gesicht::N,رو,चेहरा
19,Gesicht::N,چهره,मुँह
20,Gesicht::N,چهره,चेहरा
21,Stirn::N,پیشانی,माथा
22,Stirn::N,پیشانی,मस्तक
23,Haar::N,مو,बाल
24,Schnurrbart::N,سبیل,मूँछें
25,Bart::N,ریش,दाढ़ी
26,Kinn::N,چانه,चिबुक
27,Kiefer[Anatomie]::N,فک,जबड़ा
28,Kiefer[Anatomie]::N,آرواره,जबड़ा
29,Kehle::N,حلق,गला
30,Hals::N,گردن,गला
31,Hals::N,گردن,गरदन
32,Genick::N,پشت گردن,गरदन
33,Genick::N,پشت گردن,ग्रीवा
34,Kopf::N,سر,सिर
35,Kopf::N,سر,शीर्ष
36,Kopf::N,کله,सिर
37,Kopf::N,کله,शीर्ष
38,Rücken::N,پشت,पीठ
39,Bauch::N,شکم,उदर
40,Nabel::N,ناف,नाभि
41,Nabel::N,ناف,ढोंढी
42,Busen::N,پستان,कुच
43,Busen::N,پستان,स्तन
44,Brust::N,سینه,वक्ष
45,Schulter::N,دوش,कंधा
46,Schulter::N,دوش,स्कंध
47,Schulter::N,شانه,कंधा
48,Schulter::N,شانه,स्कंध
49,Arm::N,بازو,बाँह
50,Arm::N,بازو,बाज़ू
51,Ellenbogen::N,آرنج,कुहनी
52,Hand::N,دست,हाथ
53,Hand::N,دست,हस्त
54,Handfläche::N,کف دست,हथेली
55,Finger::N,انگشت,उँगली
56,Finger::N,انگشت,अँगुली
57,Fingernagel::N,ناخن دست,नख
58,Fingernagel::N,ناخن دست,नाख़ून
59,Nagel[Anatomie]::N,ناخن,नख
60,Nagel[Anatomie]::N,ناخن,नाख़ून
61,Zeh::N,انگشت پا,उँगली
62,Zeh::N,انگشت پا,पाँव की उँगली
63,Fuß::N,پا,चरण
64,Fuß::N,پا,पाँव
65,Ferse::N,پاشنه,एड़ी
66,Knie::N,زانو,जानु
67,Knie::N,زانو,घुटना
68,Oberschenkel::N,ران,उरु
69,Bein::N,پا,टाँग
70,Bein::N,لنگ,टाँग
71,Körper::N,تن,तन
72,Körper::N,تن,देह
73,Körper::N,تن,शरीर
74,Körper::N,بدن,तन
75,Körper::N,بدن,देह
