,Concept_ID,lbe,pl
0,Auge::N,я,oko
1,Ohr::N,вичӏи,ucho
2,Nase::N,май,nos
3,Mund::N,кьацӏ,usta
4,Zahn::N,ккарччи,ząb
5,Zunge::N,маз,język
6,Lippe::N,мурччи,warga
7,Wange::N,чӏав,policzek
8,Gesicht::N,лажин,twarz
9,Stirn::N,ненттабакӏ,czoło
10,Haar::N,чӏара,włos
11,Haar::N,чӏара,włosy
12,Schnurrbart::N,ссирссилтту,wąsy
13,Bart::N,чӏири,broda
14,Kinn::N,лунттубакӏ,podbródek
15,Kiefer[Anatomie]::N,ххинчулул,czeluść
16,Kehle::N,кьакьари,gardło
17,Hals::N,ссурссу,szyja
18,Genick::N,махъабакӏ,kark
19,Kopf::N,бакӏ,głowa
20,Rücken::N,ттиликӏ,plecy
21,Rücken::N,ттиликӏ,grzbiet
22,Bauch::N,лякьа,brzuch
23,Nabel::N,цӏумуккутӏ,pępek
24,Busen::N,ккукку,biust
25,Brust::N,хъазам,pierś
26,Schulter::N,хъачӏ,bark
27,Schulter::N,хъачӏ,ramię
28,Arm::N,ка,ręka
29,Arm::N,ка,ramię
30,Ellenbogen::N,ссюрхъ,łokieć
31,Hand::N,бартка,dłoń
32,Handfläche::N,хъат,dłoń
33,Handfläche::N,битӏянхъ,dłoń
34,Finger::N,кӏисса,palec
35,Fingernagel::N,михь,paznokieć
36,Nagel[Anatomie]::N,михь,paznokieć
37,Zeh::N,кӏисса,palec
38,Fuß::N,чӏанччан,stopa
39,Ferse::N,никъа,pięta
40,Knie::N,ник,kolano
41,Oberschenkel::N,жира,udo
42,Bein::N,ччан,noga
43,Körper::N,чурх,ciało
44,Haut::N,бурчу,skóra
45,Blut::N,оь,krew
46,Ader::N,тунну,żyła
47,Sehne::N,хьхьа,ścięgno
48,Knochen::N,ттаркӏ,kość
49,Gehirn::N,ня,mózg
50,Herz::N,дакӏ,serce
51,Herz::N,къюкӏ,serce
52,Magen::N,лякьа,żołądek
53,Atem::N,ссихӏ ласаву,dech
54,Atem::N,ссихӏ ласаву,oddech
55,Atem::N,ссихӏ бигьаву,dech
56,Atem::N,ссихӏ бигьаву,oddech
57,Hunger::N,ккаши,głód
58,Träne::N,макь,łza
59,Geschmack::N,тӏин,smak
60,Geschmack::N,тӏааьн,smak
61,Geruch::N,кьанкь,woń
62,Geruch::N,кьанкь,zapach
63,Schlaf::N,шану,sen
64,Traum::N,макӏру,sen
65,Himmel::N,ссав,niebo
66,Sonne::N,баргъ,słońce
67,Mond::N,барз,księżyc
68,Stern::N,цӏуку,gwiazda
69,Luft::N,гьава,powietrze
70,Wind::N,марч,wiatr
71,Welle::N,щатӏи,fala
72,Wasser::N,щин,woda
73,Stein::N,чару,kamień
