,Concept_ID,sah,uz
0,Auge::N,харах,ko'z
1,Ohr::N,кулгаах,quloq
2,Nase::N,мурун,burun
3,Mund::N,айах,og'iz
4,Zahn::N,тиис,tish
5,Zunge::N,тыл,til
6,Lippe::N,уос,dudoq
7,Wange::N,иэдэс,bet
8,Gesicht::N,сирэй,yuz
9,Stirn::N,сүүс,manglay
10,Haar::N,баттах,soch
11,Schnurrbart::N,уос бытыга,mo'ylov
12,Bart::N,сэҥийэ бытыга,soqol
13,Kinn::N,сэҥийэ,ängak
14,Kiefer[Anatomie]::N,сыҥаах,iyak
15,Kehle::N,тамах,bo'g'iz
16,Kehle::N,күөмэй,bo'g'iz
17,Hals::N,моой,bo'yin
18,Genick::N,кэтэх,gardan
19,Kopf::N,бас,bosh
20,Rücken::N,көҕүс,orqa
21,Bauch::N,ис,qorin
22,Nabel::N,киин,kindik
23,Busen::N,эмиий,ämchak
24,Brust::N,түөс,ko'krak
25,Schulter::N,сарын,elka
26,Arm::N,илии,bilak
27,Ellenbogen::N,тоҕонох,tirsak
28,Hand::N,илии,qo'l
29,Handfläche::N,ытыс,kaft
30,Finger::N,тарбах,barmoq
31,Fingernagel::N,тыҥырах,tirnoq
32,Nagel[Anatomie]::N,тыҥырах,tirnoq
33,Zeh::N,тарбах,oyoq barmog'i
34,Fuß::N,уллуҥах,oyoq
35,Ferse::N,тилэх,tovon
36,Knie::N,тобук,tiz
37,Knie::N,дьилбэк,tiz
38,Oberschenkel::N,уллук,son
39,Oberschenkel::N,өттүк,son
40,Bein::N,атах,oyoq
41,Körper::N,бэйэ,badna
42,Haut::N,тирии,teri
43,Blut::N,хаан,qon
44,Ader::N,вена,qon tomir
45,Ader::N,күөх_тымыр,qon tomir
46,Sehne::N,иҥиир,tomir
47,Knochen::N,уҥуох,suyak
48,Knochen::N,уҥгуох,suyak
49,Gehirn::N,мэйии,miya
50,Herz::N,сүрэх,qalb
51,Magen::N,куртах,oshqozon
52,Leber::N,быар,bag'ir
53,Atem::N,тыын,dam
54,Hunger::N,аас,ochlik
55,Träne::N,харах уута,yosh
56,Geschmack::N,амтан,tam
57,Geruch::N,сыт,jid
58,Schlaf::N,утуйуу,uyqu
59,Traum::N,түүл,tush
60,Himmel::N,халлаан,osmon
61,Sonne::N,күн,quyosh
62,Mond::N,ый,oy
63,Stern::N,сулус,yulduz
64,Luft::N,салгын,havo
65,Wind::N,тыал,el
66,Welle::N,долгун,to'lqin
67,Welle::N,балхаан,to'lqin
68,Wasser::N,уу,suv
69,Stein::N,таас,tosh
70,Boden::N,сир,tuproq
71,Erde::N,буор,er
72,Staub::N,быыл,chang
73,Rauch::N,буруо,tutun
74,Funke::N,кыым,yalt
75,Feuer::N,уот,o't
76,Licht::N,уот,yorug'
77,Schatten::N,күлүк,soya
78,Wetter::N,күн-дьыл,havo
79,Nebel::N,туман,tuman
80,Wolke::N,былыт,bulut
81,Regen::N,самыыр,yomg'ir
82,Schnee::N,хаар,qor
83,Eis::N,муус,muz
84,Frost::N,тымныы,ajoz
85,Kälte::N,тымныы,ajoz
86,Hitze::N,куйаас,issiq
87,Raureif::N,кырыа,qirov
88,Regenbogen::N,кустук,kamalak
89,Donner::N,этиҥ,guldur
90,Strömung::N,сүүрүк,oqim
91,Tropfen::N,таммах,tomchi
92,Tropfen::N,хааппыла,tomchi
93,Schaum::N,күүгэн,ko'pik
94,Schmutz::N,кир,gard
95,See::N,күөл,ko'l
96,Sumpf::N,бадараан,botqoq
97,Moor::N,дьэбэрэ,qir-adir
98,Wiese::N,ходуһа,o'tzor
99,Wald::N,ойуур,o'rmon
100,Hügel::N,булгунньах,tepa
101,Anhöhe::N,үрдэл,adir
102,Berg::N,хайа,tog'
103,Gipfel::N,чыпчаал,cho'qqi
104,Höhle::N,хайа_хаспаҕа,kavak
105,Höhle::N,көҥүс,kavak
106,Abhang::N,эниэ,to'sh
107,Quelle::N,дьүүктэ,buloq
108,Bach::N,үрүйэ,o'zan
109,Fluss::N,өрүс,daryo
110,Ufer::N,биэрэк,sohil
111,Küste::N,кытыл,qirg'oq
112,Festland::N,кураанах сир,materik
113,Meer::N,муора,dengiz
114,Bucht::N,хомо,qo'ltiq
115,Bucht::N,бухта,qo'ltiq
116,Insel::N,арыы,orol
117,Blume::N,сибэкки,gul
118,Gras::N,от,sabza
119,Wurzel::N,силис,tub
120,Wurzel::N,силис,tomir
121,Baum::N,мас,daraxt
122,Stamm::N,умнас,o'simta
123,Rinde::N,хатырык,qobiq
124,Ast::N,мутук,shox
125,Zweig::N,лабаа,butoq
126,Blatt::N,сэбирдэх,barg
127,Birke::N,хатыҥ,qayin
128,Kiefer[Baum]::N,бэс,qarag'ay
129,Weide[Baum]::N,үөт,shum
130,Weide[Baum]::N,талах,shum
131,Tanne::N,харыйа,archa
132,Horn::N,муос,mugiz
