,Concept_ID,en,xal
0,Auge::N,eye,нүдн
1,Ohr::N,ear,чикн
2,Nase::N,nose,хамр
3,Mund::N,mouth,амн
4,Zahn::N,tooth,шүдн
5,Zunge::N,tongue,келн
6,Lippe::N,lip,урл
7,Wange::N,cheek,халх
8,Gesicht::N,face,нүр
9,Stirn::N,forehead,маңна
10,Haar::N,hair,үсн
11,Schnurrbart::N,moustache,сахл
12,Bart::N,beard,сахл
13,Bart::N,beard,өргнә сахл
14,Kinn::N,chin,өргн
15,Kiefer[Anatomie]::N,jaw,өргн
16,Kehle::N,throat,хол
17,Hals::N,neck,күзүн
18,Genick::N,nape,гиҗг
19,Kopf::N,head,толһа
20,Rücken::N,back,нурһн
21,Rücken::N,spine,нурһн
22,Bauch::N,belly,гесн
23,Nabel::N,navel,киисн
24,Busen::N,bosom,көкн
25,Brust::N,chest,чееҗ
26,Brust::N,breast,чееҗ
27,Schulter::N,shoulder,ээм
28,Arm::N,arm,һар
29,Ellenbogen::N,elbow,тоха
30,Hand::N,hand,баһлцг
31,Handfläche::N,palm,альхн
32,Finger::N,finger,хурһн
33,Finger::N,finger,һарин хурһн
34,Fingernagel::N,fingernail,хумсн
35,Nagel[Anatomie]::N,nail,хумсн
36,Zeh::N,toe,хурһн
37,Zeh::N,toe,көлин хурһн
38,Fuß::N,foot,тавг
39,Ferse::N,heel,өскә
40,Knie::N,knee,өвдг
41,Oberschenkel::N,thigh,һуй
42,Bein::N,leg,көл
43,Körper::N,body,махмуд
44,Haut::N,skin,арсн
45,Blut::N,blood,цусн
46,Ader::N,vein,судцн
47,Sehne::N,sinew,шүрүсн
48,Knochen::N,bone,ясн
49,Gehirn::N,brain,экн
50,Herz::N,heart,зүркн
51,Magen::N,stomach,гесн
52,Leber::N,liver,элкн
53,Atem::N,breath,әмсхл
54,Hunger::N,hunger,харһнлһн
55,Träne::N,tear,нульмсн
56,Geschmack::N,flavour,амтн
57,Geschmack::N,flavor,амтн
58,Geruch::N,odour,үнр
59,Geruch::N,odor,үнр
60,Schlaf::N,sleep,нөр
61,Traum::N,dream,зүүдн
62,Himmel::N,sky,теңгр
63,Sonne::N,sun,нарн
64,Mond::N,moon,сар
65,Stern::N,star,одн
66,Luft::N,air,аһар
67,Wind::N,wind,салькн
68,Welle::N,wave,дольган
69,Wasser::N,water,усн
70,Stein::N,stone,чолун
71,Boden::N,soil,Һазр
72,Boden::N,ground,Һазр
73,Erde::N,earth,Һазр
74,Staub::N,dust,тоосн
75,Rauch::N,smoke,утан
76,Funke::N,spark,очн
77,Feuer::N,fire,һал
78,Licht::N,light,герл
79,Schatten::N,shadow,сүүдр
80,Wetter::N,weather,теңгр
81,Nebel::N,fog,будн
82,Wolke::N,cloud,үүлн
83,Regen::N,rain,хур
84,Schnee::N,snow,цасн
85,Eis::N,ice,мөсн
86,Frost::N,frost,киитн
87,Kälte::N,chill,киитн
88,Hitze::N,heat,халун
89,Raureif::N,hoarfrost,цаң
90,Raureif::N,hoarfrost,кирү
91,Regenbogen::N,rainbow,солңһ
92,Donner::N,thunder,оһтрһун дун
93,Strömung::N,current,урсхл
94,Tropfen::N,drop,дусал
95,Schaum::N,foam,көөсн
96,Schmutz::N,dirt,кир
97,See::N,lake,нур
98,Sumpf::N,swamp,унул
99,Moor::N,moor,улм
100,Wiese::N,meadow,хадлһн
101,Wald::N,forest,ө-модн
102,Hügel::N,hill,толһа
103,Anhöhe::N,elevation,хамр
104,Berg::N,mountain,уул
105,Gipfel::N,summit,ора
106,Höhle::N,cave,хадин көндә
107,Abhang::N,slope,ташу
108,Quelle::N,source,булг
109,Bach::N,brook,һооҗур
110,Fluss::N,river,һол
111,Ufer::N,shore,көвә
112,Küste::N,coast,көвә
113,Küste::N,coast,теңгсин көвә
114,Festland::N,land,хүүрә һазр
115,Meer::N,sea,теңгс
116,Bucht::N,cove,цекә
117,Bucht::N,cove,теңгсин цекә
118,Insel::N,island,арл
119,Blume::N,flower,цецг
120,Gras::N,grass,ноһан
121,Wurzel::N,root,уңг
122,Baum::N,tree,модн
123,Stamm::N,trunk,шилв
124,Stamm::N,trunk,һол модн
125,Rinde::N,bark,көрсн
126,Ast::N,limb,ац
127,Zweig::N,branch,ац
128,Blatt::N,leaf,хамтхасн
129,Birke::N,birch,хусм модн
130,Kiefer[Baum]::N,pine,шар харһа
131,Weide[Baum]::N,willow,удн
132,Tanne::N,fir,җөөлн цаһан модн
133,Horn::N,horn,өвр
134,Feder::N,feather,өрвлг
135,Fell::N,fur,арсн
136,Flügel::N,wing,җивр
137,Klaue::N,claw,хумсн
138,Kralle::N,claw,тавг
139,Schwanz::N,tail,сүл
140,Ei::N,egg,өндгн
141,Nest::N,nest,үр
142,Bau::N,lair,нүкн
143,Tier::N,animal,мал
144,Herde::N,flock,сүрг мал
145,Kuh::N,cow,үкр
146,Bulle::N,bull,бух
147,Pferd::N,horse,мөрн
148,Schaf::N,sheep,хөн
149,Schwein::N,pig,һаха
150,Hund::N,dog,ноха
151,Katze::N,cat,мис
152,Bär::N,bear,аю
153,Eichhörnchen::N,squirrel,кермн
154,Elch::N,elk,хандһа
155,Fuchs::N,fox,арат
156,Hase::N,hare,туула
157,Maus::N,mouse,хулһн
158,Wolf::N,wolf,чон
159,Vogel::N,bird,шовун
160,Schwarm::N,swarm,зел
161,Huhn::N,chicken,така
162,Hahn::N,cock,эр така
163,Gans::N,goose,һалун
164,Adler::N,eagle,һәрд
165,Ente::N,duck,нуһсн
166,Eule::N,owl,һурвлһ
167,Kranich::N,crane,тоһрун
168,Krähe::N,crow,шаазһа
169,Kuckuck::N,cuckoo,эргин хуцдг
170,Schwan::N,swan,хун
171,Fisch::N,fish,заһсн
172,Barsch::N,perch,шүрг
173,Hecht::N,pike,цурх
174,Schlange[Tier]::N,snake,моһа
175,Wurm::N,worm,өтн
176,Spinne::N,spider,аралҗн
177,Ameise::N,ant,шорһлҗн
178,Laus::N,louse,бөөсн
179,Mücke::N,midge,бөкүн
180,Fliege::N,fly,батхн
181,Schmetterling::N,butterfly,эрвәкә
182,Beere::N,berry,бөөлҗрһн
183,Apfel::N,apple,альмн
184,Pilz::N,mushroom,теңгрин ки
185,Zwiebel::N,onion,мәңгрснә толһа
186,Saat::N,seed,буудян экн
187,Korn::N,grain,экн
188,Heu::N,hay,өвсн
189,Schale::N,husk,хальсн
190,Grube::N,pit,нүкн
191,Falle::N,trap,урх
192,Falle::N,trap,хавх
193,Schlinge::N,noose,бүтү
194,Spur::N,track,мөр
195,Asche::N,ashes,үмсн
196,Dreck::N,filth,бальчг
197,Eisen::N,iron,төмр
198,Gold::N,gold,алтн
199,Silber::N,silver,мөңгн
200,Silber::N,silver,цаһан мөңгн
201,Kohle::N,coal,нүүрсн
202,Glas::N,glass,шил
203,Lehm::N,clay,шавр
204,Sand::N,sand,элсн
205,Mensch::N,human,күн
206,Mensch::N,human,күмн
207,Mann::N,man,эр
208,Frau::N,woman,күүкд күн
209,Kind::N,child,үрн
210,Junge::N,boy,көвүн
211,Mädchen::N,girl,бичкн күүкн
212,Familie::N,family,бүл
213,Großvater::N,grandfather,өвк эцк
214,Großvater::N,grandfather,наһц эцк
215,Großmutter::N,grandmother,эмг эк
216,Großmutter::N,grandmother,наһц эк
217,Eltern::N,parents,эк эцк хойр
218,Vater::N,father,эцк
219,Mutter::N,mother,эк
220,Sohn::N,son,көвүн
221,Tochter::N,daughter,күүкн
222,Bruder::N,brother,дү көвүн
223,Schwester::N,sister,эгч
224,Schwester::N,sister,дү күүкн
225,Onkel::N,uncle,авһ
226,Onkel::N,uncle,наһцх
227,Tante::N,aunt,наһц эгч
228,Ehemann::N,husband,залу
229,Ehefrau::N,wife,гергн
230,Freude::N,joy,байр
231,Gelächter::N,laughter,инәдн
232,Glück::N,happiness,җирһл
233,Glück::N,happiness,сәәхн җирһл
234,Kummer::N,grief,зовлң
235,Wunsch::N,wish,дурн
236,Lust::N,desire,җилвтлһн
237,Geist::N,spirit,зөрг
238,Gedanke::N,thought,ухан
239,Gedächtnis::N,memory,чееҗин тодлвр
240,Verstand::N,mind,ухан
241,Sinn::N,meaning,учр-утх
242,Grund::N,reason,учр
243,Grund::N,reason,шалтан
244,Wahrheit::N,truth,үнн
245,Gespräch::N,talk,күүндвүр
246,Märchen::N,fairy tale,тууль
247,Erzählung::N,story,келвр
248,Nachricht::N,message,медүллһн
249,Neuigkeit::N,news,зәңг
250,Name::N,name,нерн
251,Rätsel::N,puzzle,тәәлвртә тууль
252,Rede::N,speech,келлһн
253,Sprache::N,language,келн
254,Stimme::N,voice,дун
255,Wort::N,word,үг
256,Zeichen::N,sign,темдг
257,Ruf::N,call,дуудлһн
258,Lärm::N,noise,шууган
259,Laut::N,sound,ә
260,Ton::N,tone,дун
261,Lied::N,song,дун
262,Ruhe::N,calm,амулң
263,Leute::N,people,әмтн
264,Volk::N,nation,улс
265,Arbeit::N,work,көдлмш
266,Gast::N,guest,гиич
267,Geschenk::N,gift,белг
268,Spiel::N,game,наадн
269,Gesellschaft::N,company,олн
270,Hilfe::N,help,нөкд
271,Freund::N,friend,иньг
272,Kamerad::N,companion,үр
273,Angelegenheit::N,matter,керг
274,Anzahl::N,count,то
275,Art::N,sort,зүүл
276,Stück::N,piece,хусг
277,Teil::N,part,хүв
278,Hälfte::N,half,өрәл
279,Kreis::N,circle,төгрг
280,Kreuz::N,cross,кирс
281,Linie::N,line,зурасн
282,Strich::N,stroke,татасн
283,Abstand::N,gap,зә
284,Entfernung::N,distance,һазр
285,Gegend::N,area,һазр
286,Platz::N,space,зә
287,Ort::N,place,бәәрн
288,Seite::N,side,тал
289,Seite::N,side,хаҗу
290,Seite::N,side,хәврһ
291,Mitte::N,middle,дунд
292,Gegenstand::N,item,юмн
293,Sache::N,thing,юмн
294,Rand::N,fringe,зах
295,Kante::N,edge,ирмәг
296,Ecke::N,corner,өнцг
297,Spitze::N,tip,үзүр
298,Ende::N,end,үзүр
299,Loch::N,hole,хаһрха
300,Winkel::N,angle,булң
301,Muster::N,pattern,намч
302,Größe::N,size,кемҗән
303,Länge::N,length,ут
304,Höhe::N,height,өндр
305,Gewicht::N,weight,күнд
306,Gewicht::N,weight,чиңнүр
307,Menge::N,amount,ик
308,Haufen::N,heap,ова
309,Reihe::N,row,зерг
310,Reihe::N,row,зерглән
311,Boot::N,boat,оңһц
312,Ruder::N,oar,хәәв
313,Schlitten::N,sleigh,цан
314,Ski::N,ski,лыҗ
315,Lagerfeuer::N,campfire,костёр
316,Last::N,load,күнд
317,Gang::N,walk,йовлһн
318,Schritt::N,step,ишкм
319,Norden::N,north,ар үзг
320,Süden::N,south,өмн
321,Süden::N,south,өмн үзг
322,Westen::N,west,барун
323,Westen::N,west,барун үзг
324,Osten::N,east,зүн
325,Osten::N,east,зүн үзг
326,Holz::N,wood,модн
327,Brett::N,board,харһа
328,Platte::N,slab,хавтха чолун
329,Stütze::N,bracket,тулг
330,Stange::N,pole,уньн
331,Stock::N,stick,модн
332,Stab::N,staff,шуург
333,Rohr::N,pipe,турва
334,Haus::N,house,гер
335,Heim::N,home,гер-бул
336,Ofen::N,stove,беш
337,Fußboden::N,floor,девскр
338,Tisch::N,table,ширә
339,Stuhl::N,chair,стул
340,Wiege::N,cradle,өлгә
341,Wiege::N,cradle,дүүҗң
342,Bett::N,bed,орн
343,Bett::N,bed,орндг
344,Regal::N,shelf,таг
345,Regal::N,shelf,тәвц
346,Kiste::N,box,яршг
347,Fenster::N,window,терз
348,Tür::N,door,үүдн
349,Tor::N,gate,үүдн
350,Tor::N,gate,өргн үүдн
351,Tor::N,gate,хашан үүдн
352,Zaun::N,fence,хаша
353,Dach::N,roof,деевр
354,Leiter::N,ladder,шат
355,Leiter::N,ladder,давшур
356,Besen::N,broom,сәвүр
357,Spaten::N,spade,күрз
358,Schaufel::N,shovel,совг
359,Gabel::N,fork,серә
360,Löffel::N,spoon,ухр
361,Messer::N,knife,утх
362,Nagel::N,nail,хадасн
363,Netz::N,net,гөлм
364,Haken::N,hook,дегә
365,Griff::N,handle,иш
366,Griff::N,handle,бәрүл
367,Schloss::N,lock,оньс
368,Bild::N,picture,зург
369,Figur::N,figure,фигур
370,Puppe::N,doll,наадһа
371,Beutel::N,pouch,мишг
372,Bündel::N,bundle,багла
373,Bündel::N,bundle,боодһа
374,Tasche::N,bag,сумк
375,Eimer::N,bucket,суулһ
376,Deckel::N,cover,бүркәсн
377,Geschirr::N,dishes,сав
378,Geschirr::N,dishes,сав-сарх
379,Sack::N,sack,мишг
380,Tasse::N,cup,ааһ
381,Topf::N,pot,кастрюль
382,Kessel::N,kettle,хәәсн
383,Essen::N,meal,зоогллһн
384,Nahrung::N,food,теҗәл
385,Speise::N,dish,хот
386,Fleisch::N,meat,махн
387,Getreide::N,corn,хот болҗ эдлгддг цецгүдтә урһмл
388,Brei::N,mush,хаш
389,Brot::N,bread,өдмг
390,Scheibe::N,slice,зүсм
391,Fett::N,fat,өөкн
392,Butter::N,butter,тосн
393,Öl::N,oil,тосн
394,Salz::N,salt,давсн
395,Suppe::N,soup,шөлн
396,Honig::N,honey,бал
397,Milch::N,milk,үсн
398,Tee::N,tea,цә
399,Leder::N,leather,арсн
400,Wolle::N,wool,утцн
401,Wolle::N,wool,эд
402,Stoff::N,cloth,эд
403,Nadel::N,needle,зүн
404,Faden::N,thread,утцн
405,Knopf::N,button,товч
406,Knoten::N,knot,зәңгдә
407,Farbe::N,paint,будг
408,Kleidung::N,clothes,хувцн
409,Kleidung::N,clothes,хувц-хунр
410,Hemd::N,shirt,киилг
411,Kragen::N,collar,зах
412,Ärmel::N,sleeve,ханцн
413,Hose::N,trousers,шалвур
414,Gürtel::N,belt,бүс
415,Mütze::N,cap,махла
416,Schuh::N,shoe,башмгуд
417,Stiefel::N,boot,һосн
418,Ring::N,ring,билцг
419,Band::N,ribbon,лент
420,Kamm::N,comb,сам
421,Spiegel::N,mirror,толь
422,Riemen::N,strap,бүс
423,Schnur::N,string,деесн
424,Leine::N,leash,бурнтг
425,Leine::N,leash,нохан көтлвр
426,Decke::N,blanket,көнҗл
427,Kissen::N,pillow,дер
428,Tuch::N,scarf,альчур
429,Handtuch::N,towel,полотенц
430,Handtuch::N,towel,һар-нүүрин альчур
431,Kraft::N,force,күчн
432,Stärke::N,strength,чидл
433,Gesundheit::N,health,эрүл-менд
434,Krankheit::N,illness,өвчн
435,Schmerz::N,pain,өвдлһн
436,Wunde::N,wound,шав
437,Fieber::N,fever,безг
438,Arznei::N,medicine,эм
439,Brücke::N,bridge,тагт
440,Brunnen::N,well,худг
441,Weide::N,pasture,малын идг
442,Pfad::N,path,цувг
443,Weg::N,way,хаалһ
444,Straße::N,road,зам
445,Dorf::N,village,хотн
446,Stadt::N,town,балһсн
447,Brief::N,letter,бичг
448,Buch::N,book,дегтр
449,Buchstabe::N,character,үзг
450,Zeitung::N,newspaper,газет
451,Leben::N,life,җирһл
452,Tod::N,death,үкл
453,Tod::N,death,өңгрлһн
454,Grab::N,grave,оршалһна нүкн
455,Kirche::N,church,чонҗ
456,Sünde::N,sin,нүл
457,Sünde::N,sin,килнц
458,Gott::N,god,бурхн
459,Arbeiter::N,worker,көдлмшч
460,Chef::N,boss,толһач
461,Meister::N,master,урн
462,Arzt::N,doctor,эмч
463,Lehrer::N,teacher,багш
464,Geld::N,money,мөңгн
465,Geschäft::N,business,көдлмш
466,Laden::N,shop,лавк
467,Preis::N,price,үн
468,Ware::N,ware,эд-тавр
469,Nutzen::N,profit,олз
470,Reichtum::N,wealth,зөөр
471,Welt::N,world,орчлң
472,Welt::N,world,делкә
473,Land::N,country,орн-нутг
474,Staat::N,state,государств
475,König::N,king,хан
476,Macht::N,power,йосн
477,Grenze::N,border,меҗә
478,Krieg::N,war,дән
479,Feind::N,enemy,дәәсн
480,Gewalt::N,violence,күч һарһлһн
481,Kampf::N,fight,ноолдан
482,Kampf::N,fight,бәрлдлһн
483,Bogen[Waffe]::N,bow,саадг
484,Pfeil::N,arrow,сумн
485,Gewehr::N,gun,бу
486,Fehler::N,mistake,алдг
487,Lüge::N,lie,худл
488,Schaden::N,damage,хорлт
489,Unglück::N,misfortune,гүрм
490,Schuld::N,fault,гем
491,Schuld::N,fault,буру
492,Alter::N,age,насн
493,Schluss::N,conclusion,чилгч
494,Zeit::N,time,цаг
495,Tag::N,day,өдр
496,Morgen::N,morning,өрүн
497,Mittag::N,noon,үд
498,Abend::N,evening,асхн
499,Nacht::N,night,сө
500,Woche::N,week,долан хонг
501,Monat::N,month,сар
502,Jahr::N,year,җил
503,Frühling::N,spring,хавр
504,Sommer::N,summer,зун
505,Herbst::N,autumn,намр
506,Winter::N,winter,үвл
507,Januar::N,January,январь
508,Februar::N,February,февраль
509,März::N,March,март
510,März::N,March,моһа сар
511,April::N,April,апрель
512,Mai::N,May,май
513,Juni::N,June,июнь
514,Juni::N,June,мөчн сар
515,Juli::N,July,июль
516,August::N,August,август
517,September::N,September,һаха сар
518,Oktober::N,October,октябрь
519,November::N,November,ноябрь
520,November::N,November,үкр сар
521,Dezember::N,December,бар сар
522,Montag::N,Monday,понедельник
523,Dienstag::N,Tuesday,вторник
524,Mittwoch::N,Wednesday,среда
525,Mittwoch::N,Wednesday,үлмҗ өдр
526,Donnerstag::N,Thursday,четверг
527,Donnerstag::N,Thursday,пүрвә өдр
528,Freitag::N,Friday,пятниц
529,Samstag::N,Saturday,суббот
530,Sonntag::N,Sunday,нарн өдр
531,Sonntag::N,Sunday,воскресень
532,groß::A,big,ик
533,klein::A,little,бичкн
534,lang::A,long,ут
535,kurz::A,short,оһтр
536,breit::A,wide,өргн
537,schmal::A,narrow,уутьхн
538,dicht::A,dense,нигт
539,dick[Gegenstand]::A,thick,зузан
540,dünn::A,thin,нимгн
541,fein::A,delicate,нәрхн
542,fest::A,firm,бат
543,flach::A,flat,хавтха
544,glatt::A,smooth,тегш
545,glatt::A,smooth,тиньгр
546,hart::A,hard,хату
547,weich::A,soft,җөөлн
548,weich::A,soft,җөөлкн
549,rund::A,round,төгрг
550,spitz::A,pointed,шовһр
551,scharf::A,sharp,хурц
552,stumpf::A,blunt,мука
553,schwer::A,heavy,күнд
554,schön::A,beautiful,сәәхн
555,heiß::A,hot,халун
556,warm::A,warm,дулан
557,kalt::A,cold,киитн
558,kühl::A,cool,серүн
559,frisch::A,fresh,серүн
560,feucht::A,damp,чиигтә
561,nass::A,wet,чиигтә
562,trocken::A,dry,хагсу
563,voll::A,full,дүүрң
564,leer::A,empty,сул
565,leer::A,empty,хоосн
566,offen::A,open,секәтә
567,geschlossen::A,closed,хаалһата
568,sauber::A,clean,цевр
569,schmutzig::A,dirty,киртә
570,roh::A,raw,түүкә
571,reif::A,ripe,болсн
572,lecker::A,delicious,әмтәхн
573,süß::A,sweet,әмтәхн
574,bitter::A,bitter,һашун
575,bitter::A,bitter,һашута
576,sauer::A,sour,ишклң
577,hell::A,bright,герлтә
578,dunkel::A,dark,харңһу
579,schwarz::A,black,хар
580,weiß::A,white,цаһан
581,rot::A,red,улан
582,gelb::A,yellow,шар
583,blau::A,blue,көк
584,grün::A,green,көк
585,grau::A,grey,бор
586,bunt::A,colourful,алг
587,bunt::A,colourful,эрәтә
588,bunt::A,colorful,алг
589,bunt::A,colorful,эрәтә
590,billig::A,cheap,кимд
591,teuer::A,dear,үнтә
592,wertvoll::A,precious,үнтә
593,wertvoll::A,precious,эрднь
594,blind::A,blind,сохр
595,taub::A,deaf,дүлә
596,kräftig::A,powerful,күчтә
597,stark::A,strong,чаңһ
598,schwach::A,weak,күчн тату
599,fett::A,fat,тарһн
600,schlank::A,slim,эццн
601,hübsch::A,pretty,көркхн
602,böse::A,evil,уурта
603,dumm::A,stupid,тенг
604,faul::A,lazy,залху
605,fleißig::A,diligent,кинән
606,fleißig::A,diligent,кинмһә
607,geizig::A,stingy,ховдг
608,klug::A,clever,ухата
609,geschickt::A,skilful,чадмг
610,geschickt::A,skillful,чадмг
611,lieb::A,dear,эңкр
612,lustig::A,merry,сергмҗтә
613,lustig::A,merry,җирһлтә
614,sanft::A,gentle,номһн
615,hungrig::A,hungry,өлн
616,hungrig::A,hungry,харһнсн
617,krank::A,sick,өвчтә
618,krank::A,sick,шалтгта
619,nackt::A,naked,нүцкн
620,traurig::A,sad,һундлта
621,lebendig::A,living,әмд
622,gut::A,good,сән
623,schlecht::A,bad,му
624,richtig::A,correct,зөвтә
625,schlimm::A,nasty,җигшүртә
626,wahr::A,true,үнн
627,wahr::A,true,мөн
628,alt::A,old,хуучн
629,neu::A,new,шин
630,ehemalig::A,former,хуучн
631,alt[Lebewesen]::A,aged,көгшн
632,jung::A,young,баһ
633,arm::A,poor,угатя
634,reich::A,rich,байн
635,bekannt::A,familiar,таньл
636,bekannt::A,familiar,таньдг
637,berühmt::A,famous,туурсн
638,fremd::A,foreign,күүнә
639,verschieden::A,different,әдл биш
640,verschieden::A,different,йилһәтә
641,nah::A,near,өөрхн
642,fern::A,far,хол
643,linker::A,left,зүн
644,rechter::A,right,барун
645,anderer::A,other,талдан
646,erster::A,first,негдгч
647,zweiter::A,second,хойрдгч
648,dritter::A,third,һурвдгч
649,letzter::A,last,отхн
650,allein::ADV,alone,һанцарн
651,auf einmal::ADV,at once,нег дәкҗ
652,zusammen::ADV,together,хамдан
653,lange::ADV,long,удан
654,plötzlich::ADV,suddenly,генткн
655,sofort::ADV,instantly,дарунь
656,später::ADV,later,сүүлд
657,jetzt::ADV,now,ода
658,heute::ADV,today,эндр
659,morgen::ADV,tomorrow,маңһдур
660,bald::ADV,soon,дарунь
661,dann::ADV,then,дәкәд
662,gestern::ADV,yesterday,өцклдүр
663,einst::ADV,once,нег саамд
664,damals::ADV,at that time,тиигхд
665,danach::ADV,afterwards,тегәд
666,vorher::ADV,before,урд
667,zuerst::ADV,at first,түрүләд
668,einmal::ADV,once,нег дәкҗ
669,manchmal::ADV,sometimes,зәрмдән
670,oft::ADV,often,хара биш
671,oft::ADV,often,хатяр биш
672,oft::ADV,often,дару-дарунь
673,immer::ADV,always,оньдинд
674,niemals::ADV,never,кезә чмгн биш
675,hier::ADV,here,энд
676,hier::ADV,here,энүнд
677,hierhin::ADV,hither,нааран
678,hierhin::ADV,to here,нааран
679,hierhin::ADV,here,нааран
680,von hier::ADV,hence,эндәс
681,dort::ADV,there,тенд
682,dorthin::ADV,thither,тиигән
683,dorthin::ADV,there,тиигән
