,Concept_ID,av,et
0,Ohr::N,гӏин,kõrv
1,Nase::N,мегӏер,nina
2,Mund::N,кӏал,suu
3,Zahn::N,гӏус,hammas
4,Zunge::N,мацӏ,keel
5,Lippe::N,кӏветӏ,huul
6,Wange::N,гӏоно,põsk
7,Gesicht::N,гьумер,nägu
8,Stirn::N,нодо,otsmik
9,Haar::N,рас,juus
10,Schnurrbart::N,михъ,vurrud
11,Schnurrbart::N,михъ,vuntsid
12,Bart::N,мегеж,habe
13,Kinn::N,нилъу,lõug
14,Kiefer[Anatomie]::N,чанагъ,lõualuu
15,Kehle::N,щекъер,kõri
16,Hals::N,габур,kael
17,Genick::N,гъванща,kukal
18,Kopf::N,бетӏер,pea
19,Rücken::N,мугъ,selg
20,Bauch::N,чехь,kõht
21,Nabel::N,цӏину,naba
22,Busen::N,керен,rind
23,Brust::N,керен,rind
24,Schulter::N,гъажазубетӏер,õlg
25,Arm::N,гъеж,käsivars
26,Ellenbogen::N,гӏункӏрукь,küünarnukk
27,Hand::N,квер,käsi
28,Handfläche::N,огъохъат,pihk
29,Handfläche::N,жанисахъат,pihk
30,Finger::N,килищ,sõrm
31,Fingernagel::N,малъ,küüs
32,Nagel[Anatomie]::N,малъ,küüs
33,Zeh::N,килищ,varvas
34,Fuß::N,хӏетӏ,jalg
35,Fuß::N,хӏетӏе,jalg
36,Ferse::N,эгъе,kand
37,Knie::N,наку,põlv
38,Oberschenkel::N,мачӏ,reis
39,Bein::N,бох,jalg
40,Körper::N,къаркъала,ihu
41,Körper::N,къаркъала,keha
42,Haut::N,тӏом,nahk
43,Blut::N,би,veri
44,Ader::N,бидурихь,veen
45,Knochen::N,ракьа,luu
46,Gehirn::N,гӏадалнах,aju
47,Herz::N,ракӏ,süda
48,Magen::N,кванирукъ,magu
49,Leber::N,тӏул,maks
50,Atem::N,хӏухь,hingeõhk
51,Atem::N,хӏухь,hingamine
52,Hunger::N,ракъи,nälg
53,Träne::N,магӏу,pisar
54,Geschmack::N,тату,maitse
55,Geruch::N,махӏ,lõhn
56,Schlaf::N,макьу,uni
57,Traum::N,макьу,unenägu
58,Himmel::N,зоб,taevas
59,Sonne::N,бакъ,päike
60,Mond::N,моцӏ,kuu
61,Stern::N,цӏва,täht
62,Luft::N,гьава,õhk
63,Wind::N,гьури,tuul
64,Welle::N,карачел,laine
65,Wasser::N,лъим,vesi
66,Stein::N,гьецӏо,kivi
67,Boden::N,ракь,maa
68,Boden::N,ракь,pinnas
69,Erde::N,ракь,maa
70,Erde::N,дуниял,maa
71,Staub::N,хӏур,põrm
72,Rauch::N,кӏкӏуй,suits
73,Feuer::N,цӏа,tuli
74,Licht::N,канлъи,valgus
75,Schatten::N,рагӏад,vari
76,Wetter::N,гьава-бакъ,ilm
77,Nebel::N,гӏодобнакӏкӏ,udu
78,Wolke::N,накӏкӏ,pilv
79,Regen::N,цӏад,sadu
80,Schnee::N,гӏазу,lumi
81,Eis::N,цӏер,jää
82,Frost::N,замгьари,pakane
83,Kälte::N,квач,külm
84,Kälte::N,квач,külmus
85,Hitze::N,багӏари,kuumus
86,Hitze::N,багӏари,palavus
87,Raureif::N,мартӏ,härmatis
88,Regenbogen::N,нур,vikerkaar
89,Regenbogen::N,чамбара,vikerkaar
90,Donner::N,гъугъай,kõu
91,Donner::N,гъугъай,müristamine
92,Donner::N,гъугъади,kõu
93,Donner::N,гъугъади,müristamine
94,Strömung::N,чвахи,voolus
95,Strömung::N,чвахи,jõevool
96,Tropfen::N,резел,tilk
97,Tropfen::N,тӏинкӏ,tilk
98,Tropfen::N,къатӏра,tilk
99,Tropfen::N,тӏенкӏел,tilk
100,Schaum::N,полоп,vaht
101,Schmutz::N,чороклъи,pori
102,Schmutz::N,чороклъи,mustus
103,See::N,хӏор,järv
104,Sumpf::N,хьуцӏ,soo
105,Wiese::N,мегъ,aas
106,Wiese::N,мегъ,nurm
107,Wiese::N,гӏурдаллъи,aas
108,Wiese::N,гӏурдаллъи,nurm
109,Wald::N,рохь,mets
110,Hügel::N,гохӏ,küngas
111,Anhöhe::N,сийитма,küngas
112,Berg::N,мегӏер,mägi
113,Gipfel::N,тӏогь,mäetipp
114,Höhle::N,нохъо,koobas
115,Abhang::N,лабаллъи,nõlvak
116,Quelle::N,ицц,allikas
117,Bach::N,лъар,oja
118,Fluss::N,гӏор,jõgi
119,Ufer::N,рагӏал,kallas
120,Küste::N,рагӏал,rannik
121,Festland::N,ракь,mander
122,Festland::N,ракь,maismaa
123,Festland::N,ракъдаллъи,mander
124,Festland::N,ракъдаллъи,maismaa
125,Meer::N,ралъад,meri
126,Bucht::N,кӏветӏ,laht
127,Insel::N,чӏинкӏиллъи,saar
128,Blume::N,тӏегь,lill
129,Gras::N,хер,rohi
130,Wurzel::N,кьибил,juur
131,Baum::N,гъветӏ,puu
132,Stamm::N,рохти,tüvi
133,Rinde::N,макъар,koor
134,Ast::N,ноцӏ,oks
135,Zweig::N,гӏаркьел,oks
136,Blatt::N,тӏамах,leht
137,Birke::N,мах,kask
138,Birke::N,махигъветӏ,kask
139,Kiefer[Baum]::N,накӏкӏигъветӏ,mänd
140,Weide[Baum]::N,рицӏцӏ,paju
141,Weide[Baum]::N,рицӏцӏигъветӏ,paju
142,Tanne::N,ёлка,nulg
143,Horn::N,лълъар,sarv
144,Feder::N,хӏули,sulg
145,Fell::N,тӏом,karvkate
146,Fell::N,тӏом,karusnahk
147,Fell::N,цӏоко,karvkate
148,Fell::N,цӏоко,karusnahk
149,Flügel::N,кваркьи,tiib
150,Flügel::N,кваркьи,tiivik
151,Klaue::N,галъ,küüs
152,Kralle::N,квачӏ,küünis
153,Kralle::N,катиквачӏ,küünis
154,Schwanz::N,рачӏ,saba
155,Ei::N,хоно,muna
156,Nest::N,бусен,pesa
157,Bau::N,каратӏ,urg
158,Tier::N,хӏайван,loom
159,Herde::N,рехъен,kari
160,Herde::N,рехъед,kari
161,Kuh::N,гӏака,lehm
162,Bulle::N,оц,pull
163,Pferd::N,чу,hobune
164,Schaf::N,чахъу,lammas
165,Schwein::N,болъон,siga
166,Hund::N,гьой,koer
167,Katze::N,кету,kass
168,Bär::N,ци,karu
169,Eichhörnchen::N,гвангва,orav
170,Fuchs::N,цер,rebane
171,Hase::N,гӏанкӏ,jänes
172,Maus::N,гӏункӏкӏ,hiir
173,Wolf::N,бацӏ,hunt
174,Vogel::N,хӏинчӏ,lind
175,Schwarm::N,тӏел,parv
176,Huhn::N,гӏанкӏу,kana
177,Hahn::N,хӏелеко,kukk
178,Gans::N,хъаз,hani
179,Adler::N,цӏум,kotkas
180,Ente::N,ордек,part
181,Eule::N,беццаруз,kakk
182,Eule::N,беццаруз,öökull
183,Kranich::N,къункъра,kurg
184,Krähe::N,гъеду,vares
185,Kuckuck::N,гагу,kägu
186,Schwan::N,хӏанкъва,luik
187,Fisch::N,ччугӏа,kala
188,Barsch::N,окунь,ahven
189,Hecht::N,щука,haug
190,Schlange[Tier]::N,борохь,uss
191,Wurm::N,хӏапара,uss
192,Wurm::N,хӏапара,vagel
193,Spinne::N,хъанхъра,ämblik
194,Ameise::N,цӏунцӏра,sipelgas
195,Laus::N,нацӏ,täi
196,Mücke::N,кӏкӏара,sääsk
197,Fliege::N,тӏутӏ,kärbes
198,Schmetterling::N,кӏалкӏучӏ,liblikas
199,Apfel::N,гӏеч,õun
200,Pilz::N,гӏурдахӏан,seen
201,Zwiebel::N,кӏочӏопер,sibul
202,Saat::N,хьон,seeme
203,Korn::N,мугь,iva
204,Korn::N,мугь,tera
205,Heu::N,хер,hein
206,Schale::N,хъал,koor
207,Grube::N,гвенд,kaevand
208,Falle::N,къор,lõks
209,Falle::N,къор,püünis
210,Falle::N,къотен,lõks
211,Falle::N,къотен,püünis
212,Schlinge::N,кӏичӏ,aas
213,Spur::N,лъалкӏ,jälg
214,Asche::N,рахъу,tuhk
215,Dreck::N,гъиз,saast
216,Dreck::N,гъиз,mustus
217,Dreck::N,хӏарщ,saast
218,Dreck::N,хӏарщ,mustus
219,Eisen::N,махх,raud
220,Gold::N,месед,kuld
221,Silber::N,гӏарац,hõbe
222,Kohle::N,тӏурччи,süsi
223,Glas::N,цӏер,klaas
224,Lehm::N,хӏатӏ,savi
225,Sand::N,сали,liiv
226,Mensch::N,чи,inimene
227,Mann::N,бихьинчи,mees
228,Frau::N,гӏадан,naine
229,Kind::N,лъимер,laps
230,Junge::N,вас,poiss
231,Mädchen::N,яс,tüdruk
232,Familie::N,хъизан,perekond
233,Großvater::N,кӏудада,vanaisa
234,Großmutter::N,кӏодо,vanaema
235,Eltern::N,эбел-эмен,vanemad
236,Vater::N,эмен,isa
237,Mutter::N,эбел,ema
238,Sohn::N,вас,poeg
239,Tochter::N,яс,tütar
240,Bruder::N,вац,vend
241,Schwester::N,яц,õde
242,Onkel::N,даци,onu
243,Tante::N,ада,tädi
244,Ehemann::N,рос,mees
245,Ehemann::N,рос,abikaasa
246,Ehefrau::N,чӏужу,naine
247,Ehefrau::N,чӏужу,abikaasa
248,Freude::N,ракӏбохи,rõõm
249,Gelächter::N,релъи,naer
250,Glück::N,талихӏ,õnn
251,Glück::N,талихӏ-рохел,õnn
252,Kummer::N,хӏалкъай,mure
253,Kummer::N,хӏалкъай,kurbus
254,Wunsch::N,къасд,soov
255,Lust::N,гъира,himu
256,Geist::N,чӏанкӏ,vaim
257,Geist::N,рухӏ-жан,vaim
258,Gedanke::N,пикру,mõte
259,Verstand::N,лумалъи,aru
260,Verstand::N,лумалъи,mõistus
261,Verstand::N,цӏодорлъи,aru
262,Verstand::N,цӏодорлъи,mõistus
263,Sinn::N,магӏна,tähendus
264,Grund::N,багьана,põhjus
265,Wahrheit::N,ритӏухълъи,tõde
266,Gespräch::N,накъит,kõne
267,Gespräch::N,накъит,vestlus
268,Märchen::N,маргьа,muinasjutt
269,Erzählung::N,къиса,jutustus
270,Nachricht::N,хабар,teade
271,Neuigkeit::N,хабар-гӏазаб,uudis
272,Name::N,цӏар,nimi
273,Rätsel::N,бицанкӏо,mõistatus
274,Rede::N,речь,kõne
275,Rede::N,калам,kõne
276,Sprache::N,мацӏ,keel
277,Stimme::N,гьаракь,hääl
278,Wort::N,рагӏи,sõna
279,Zeichen::N,ишара,märk
280,Zeichen::N,гӏаламат,märk
281,Ruf::N,ахӏи,hüüe
282,Lärm::N,хъуй,müra
283,Lärm::N,хъуди,müra
284,Laut::N,гьаракь,hääl
285,Laut::N,сас,hääl
286,Lied::N,кечӏ,laul
287,Ruhe::N,рахӏат,rahu
288,Ruhe::N,рахӏат,vaikus
289,Leute::N,гӏадамал,inimesed
290,Volk::N,халкъ,rahvas
291,Arbeit::N,хӏалтӏи,töö
292,Gast::N,гьобол,külaline
293,Geschenk::N,сайигъат,kingitus
294,Spiel::N,хӏай,mäng
295,Spiel::N,расанди,mäng
296,Gesellschaft::N,жамагӏат,selts
297,Hilfe::N,кумек,abi
298,Freund::N,гьудул,sõber
299,Kamerad::N,гьалмагъ,sõber
300,Angelegenheit::N,къваригӏел,asi
301,Anzahl::N,рикӏкӏен,arv
302,Anzahl::N,рикӏкӏен,hulk
303,Art::N,жинс,liik
304,Stück::N,кесек,tükk
305,Teil::N,пай,osa
306,Hälfte::N,бащдаб,pool
307,Kreis::N,гор,ring
308,Kreuz::N,хъанч,rist
309,Linie::N,мухъ,joon
310,Strich::N,хӏучч,joon
311,Abstand::N,манзил,vahe
312,Entfernung::N,манзил,kaugus
313,Entfernung::N,манзил,vahemaa
314,Gegend::N,рахъ,ümbrus
315,Platz::N,бакӏ,ruum
316,Ort::N,бакӏ,paik
317,Seite::N,рахъ,pool
318,Mitte::N,бакьулъбакӏ,keskpaik
319,Gegenstand::N,жо,ese
320,Sache::N,жо,ese
321,Rand::N,мицӏир,äär
322,Rand::N,мицӏир,serv
323,Kante::N,рагӏал,kant
324,Kante::N,рагӏа-ракьан,kant
325,Ecke::N,цили,nurk
326,Spitze::N,тӏогь,teravik
327,Ende::N,кӏал,ots
328,Ende::N,кӏал,jupp
329,Loch::N,каратӏ,auk
330,Muster::N,накъиш,muster
331,Größe::N,кӏодо́лъи,suurus
332,Länge::N,халалъи,pikkus
333,Höhe::N,борхалъи,kõrgus
334,Gewicht::N,бакӏлъи,kaal
335,Gewicht::N,бакӏлъи,raskus
336,Haufen::N,гъуни,hunnik
337,Reihe::N,ирга́,rivi
338,Boot::N,раса,paat
339,Ruder::N,раххан,aer
340,Schlitten::N,чанагъ,saan
341,Ski::N,лыжаби,suusk
342,Lagerfeuer::N,цӏа,lõke
343,Last::N,бакӏлъи,koorem
344,Gang::N,хьвади,käik
345,Gang::N,хьвада-чӏвади,käik
346,Schritt::N,гали,samm
347,Norden::N,шимал,põhi
348,Süden::N,юг,lõuna
349,Süden::N,къибла,lõuna
350,Westen::N,гъарб,lääs
351,Westen::N,магъриб,lääs
352,Osten::N,шаркъ,ida
353,Osten::N,машрикъ,ida
354,Holz::N,цӏул,puu
355,Brett::N,хъарщи,saelaud
356,Platte::N,къоно,plaat
357,Stange::N,гӏер,latt
358,Stange::N,гӏер,teivas
359,Stock::N,тӏил,kepp
360,Stab::N,гӏер,varras
361,Rohr::N,турба,toru
362,Haus::N,ригь,maja
363,Haus::N,рукъзал,maja
364,Heim::N,рукъ,kodu
365,Ofen::N,печь,ahi
366,Fußboden::N,чӏабар,põrand
367,Tisch::N,стол,laud
368,Stuhl::N,бакӏу,tool
369,Wiege::N,кини,häll
370,Wiege::N,кини,kätki
371,Bett::N,кровать,voodi
372,Regal::N,хъарщи,riiul
373,Kiste::N,ящик,kast
374,Kiste::N,тӏалагъуд,kast
375,Fenster::N,гордо,aken
376,Tür::N,нуцӏа,uks
377,Tor::N,каву,värav
378,Zaun::N,раци,aed
379,Zaun::N,раци,tara
380,Dach::N,тӏох,katus
381,Leiter::N,мали,redel
382,Besen::N,жул,luud
383,Spaten::N,бел,labidas
384,Schaufel::N,раххан,kühvel
385,Gabel::N,гӏучӏ,kahvel
386,Löffel::N,гъуд,lusikas
387,Messer::N,нус,nuga
388,Nagel::N,магӏ,nael
389,Netz::N,гьин,võrk
390,Haken::N,гъанцӏа,haak
391,Haken::N,гъанцӏа,konks
392,Griff::N,гӏоркь,sang
393,Griff::N,гӏоркь,käepide
394,Schloss::N,кӏулал,lukk
395,Bild::N,сурат,pilt
396,Puppe::N,нани,nukk
397,Beutel::N,таргьа,paun
398,Bündel::N,къай,kimp
399,Tasche::N,сумка,kott
400,Tasche::N,къвачӏа,kott
401,Eimer::N,ведро,pang
402,Eimer::N,ведро,ämber
403,Deckel::N,тӏалъел,kaas
404,Deckel::N,дадитӏалъел,kaas
405,Geschirr::N,цӏарагӏ,nõud
406,Sack::N,хъап,kott
407,Sack::N,къандалъо,kott
408,Tasse::N,чашка,tass
409,Topf::N,хьаг,pada
410,Kessel::N,хьаг,pada
411,Kessel::N,гереги,pada
412,Essen::N,тӏагӏам,söök
413,Nahrung::N,квен,toit
414,Speise::N,квен,roog
415,Fleisch::N,гьан,liha
416,Getreide::N,бугӏа-ролъ,teravili
417,Getreide::N,могьолабл_культураби,teravili
418,Brei::N,карщ,puder
419,Brot::N,чед,sai
420,Brot::N,чед,leib
421,Scheibe::N,мочӏу,viil
422,Scheibe::N,мочӏу,viilukas
423,Fett::N,беэнлъи,rasv
424,Butter::N,нах,või
425,Öl::N,нах,õli
426,Salz::N,цӏам,sool
427,Suppe::N,чурпа,supp
428,Honig::N,гьоцӏо,mesi
429,Milch::N,рахь,piim
430,Tee::N,чай,tee
431,Leder::N,тӏом,nahk
432,Wolle::N,квас,vill
433,Stoff::N,ххам,kangas
434,Nadel::N,рокӏкӏен,nõel
435,Faden::N,кун,niit
436,Knopf::N,маргъал,nööp
437,Knoten::N,гарацӏ,sõlm
438,Farbe::N,релъен,värv
439,Kleidung::N,ретӏел,riided
440,Kleidung::N,ретӏел,riietus
441,Hemd::N,гурде,särk
442,Kragen::N,габур,krae
443,Ärmel::N,къвал,varrukas
444,Hose::N,тӏажу,püksid
445,Gürtel::N,рачел,vöö
446,Mütze::N,тӏагъур,müts
447,Stiefel::N,этек,saabas
448,Stiefel::N,чакма,saabas
449,Ring::N,баргъич,sõrmus
450,Band::N,лента,lint
451,Kamm::N,гьоркьо,kamm
452,Spiegel::N,матӏу,peegel
453,Riemen::N,рижу,rihm
454,Decke::N,одея́ло,tekk
455,Kissen::N,къандалъо,padi
456,Tuch::N,квархьи,kalev
457,Handtuch::N,беркӏалрацӏцӏ,käterätik
458,Kraft::N,гуч,jõud
459,Kraft::N,къуват,jõud
460,Stärke::N,хӏалкӏвей,tugevus
461,Gesundheit::N,сахлъи́,tervis
462,Krankheit::N,унти,haigus
463,Krankheit::N,щокълъи,haigus
464,Schmerz::N,унти,valu
465,Wunde::N,ругъун,haav
466,Fieber::N,цӏа-кан,palavik
467,Arznei::N,дару,ravim
468,Brücke::N,кьо,sild
469,Brunnen::N,гъуй,kaev
470,Weide::N,рицӏцӏ,karjamaa
