,Concept_ID,la,sah
0,Auge::N,oculus,харах
1,Ohr::N,auris,кулгаах
2,Nase::N,nasus,мурун
3,Mund::N,os,айах
4,Zahn::N,dens,тиис
5,Zunge::N,lingua,тыл
6,Lippe::N,labrum,уос
7,Wange::N,gena,иэдэс
8,Gesicht::N,vultus,сирэй
9,Stirn::N,frons,сүүс
10,Haar::N,capillus,баттах
11,Schnurrbart::N,barba labri superioris,уос бытыга
12,Bart::N,barba,сэҥийэ бытыга
13,Kinn::N,mentum,сэҥийэ
14,Kiefer[Anatomie]::N,mala,сыҥаах
15,Kehle::N,iugulums,тамах
16,Kehle::N,iugulums,күөмэй
17,Hals::N,collum,моой
18,Genick::N,cervices,кэтэх
19,Kopf::N,caput,бас
20,Rücken::N,tergum,көҕүс
21,Bauch::N,venter,ис
22,Nabel::N,umbilicus,киин
23,Busen::N,sinus,эмиий
24,Brust::N,pectus,түөс
25,Schulter::N,umerus,сарын
26,Arm::N,bracchium,илии
27,Ellenbogen::N,cubitum,тоҕонох
28,Hand::N,manus,илии
29,Handfläche::N,palma,ытыс
30,Finger::N,digitus,тарбах
31,Fingernagel::N,unguiculus,тыҥырах
32,Nagel[Anatomie]::N,unguis,тыҥырах
33,Zeh::N,digitus,тарбах
34,Fuß::N,pes,уллуҥах
35,Ferse::N,calx,тилэх
36,Knie::N,genu,тобук
37,Knie::N,genu,дьилбэк
38,Oberschenkel::N,femur,уллук
39,Oberschenkel::N,femur,өттүк
40,Bein::N,crus,атах
41,Körper::N,corpus,бэйэ
42,Haut::N,cutis,тирии
43,Haut::N,pellis,тирии
44,Blut::N,sanguis,хаан
45,Ader::N,vena,вена
46,Ader::N,vena,күөх_тымыр
47,Sehne::N,nervus,иҥиир
48,Knochen::N,os,уҥуох
49,Knochen::N,os,уҥгуох
50,Gehirn::N,cerebrum,мэйии
51,Herz::N,cor,сүрэх
52,Herz::N,animus,сүрэх
53,Magen::N,stomachus,куртах
54,Leber::N,iecur,быар
55,Atem::N,spiritus,тыын
56,Hunger::N,fames,аас
57,Träne::N,lacrima,харах уута
58,Geschmack::N,sapor,амтан
59,Geschmack::N,gustus,амтан
60,Geruch::N,odor,сыт
61,Schlaf::N,somnus,утуйуу
62,Traum::N,somnium,түүл
63,Himmel::N,caelum,халлаан
64,Sonne::N,sol,күн
65,Mond::N,luna,ый
66,Stern::N,sidus,сулус
67,Stern::N,stella,сулус
68,Luft::N,aer,салгын
69,Wind::N,ventus,тыал
70,Welle::N,unda,долгун
71,Welle::N,unda,балхаан
72,Wasser::N,aqua,уу
73,Stein::N,lapis,таас
74,Boden::N,solum,сир
75,Erde::N,terra,буор
76,Staub::N,pulvis,быыл
77,Rauch::N,fumus,буруо
78,Funke::N,scintilla,кыым
79,Feuer::N,ignis,уот
80,Licht::N,lux,уот
81,Licht::N,lumen,уот
82,Schatten::N,umbra,күлүк
83,Wetter::N,caelum,күн-дьыл
84,Wetter::N,tempestas,күн-дьыл
85,Nebel::N,nebula,туман
86,Wolke::N,nubes,былыт
87,Regen::N,imber,самыыр
88,Regen::N,pluvia,самыыр
89,Schnee::N,nix,хаар
90,Eis::N,glacies,муус
91,Frost::N,gelu,тымныы
92,Kälte::N,frigus,тымныы
93,Hitze::N,calor,куйаас
94,Hitze::N,aestus,куйаас
95,Raureif::N,pruina,кырыа
96,Regenbogen::N,arcus,кустук
97,Donner::N,tonitrus,этиҥ
98,Strömung::N,fluctus,сүүрүк
99,Tropfen::N,gutta,таммах
100,Tropfen::N,gutta,хааппыла
101,Schaum::N,spuma,күүгэн
102,Schmutz::N,sordes,кир
103,Schmutz::N,squalor,кир
104,See::N,lacus,күөл
105,Sumpf::N,palus,бадараан
106,Moor::N,palus,дьэбэрэ
107,Wiese::N,pratum,ходуһа
108,Wald::N,silva,ойуур
109,Hügel::N,collis,булгунньах
110,Anhöhe::N,specula,үрдэл
111,Berg::N,mons,хайа
112,Gipfel::N,vertex,чыпчаал
113,Höhle::N,caverna,хайа_хаспаҕа
114,Höhle::N,caverna,көҥүс
115,Höhle::N,spelunca,хайа_хаспаҕа
116,Höhle::N,spelunca,көҥүс
117,Abhang::N,declivum,эниэ
118,Quelle::N,fons,дьүүктэ
119,Bach::N,rivus,үрүйэ
120,Fluss::N,flumen,өрүс
121,Ufer::N,ripa,биэрэк
122,Küste::N,litus,кытыл
123,Festland::N,continens,кураанах сир
124,Meer::N,mare,муора
125,Bucht::N,sinus,хомо
126,Bucht::N,sinus,бухта
127,Insel::N,insula,арыы
128,Blume::N,flos,сибэкки
129,Gras::N,herba,от
130,Gras::N,gramen,от
131,Wurzel::N,radix,силис
132,Baum::N,arbor,мас
133,Stamm::N,truncus,умнас
134,Rinde::N,cortex,хатырык
135,Ast::N,ramus,мутук
136,Zweig::N,ramus,лабаа
137,Blatt::N,folium,сэбирдэх
138,Birke::N,betulla,хатыҥ
139,Kiefer[Baum]::N,pinus,бэс
140,Weide[Baum]::N,salix,үөт
141,Weide[Baum]::N,salix,талах
142,Tanne::N,abies,харыйа
143,Horn::N,cornu,муос
144,Feder::N,penna,куорсун
145,Fell::N,pellis,тирии
146,Flügel::N,ala,кынат
147,Klaue::N,unguis,тыҥырах
148,Kralle::N,unguis,баппаҕай
149,Schwanz::N,cauda,кутурук
150,Ei::N,ovum,сымыыт
151,Nest::N,nidus,уйа
152,Bau::N,cavum,хороон
153,Bau::N,latibulum,хороон
154,Tier::N,bestia,кыыл
155,Tier::N,bestia,харамай
156,Herde::N,grex,үөр
157,Kuh::N,vacca,ынах
158,Bulle::N,taurus,оҕус
159,Pferd::N,equus,сылгы
160,Schaf::N,ovis,овца
161,Schwein::N,sus,сибиинньэ
162,Schwein::N,porcus,сибиинньэ
163,Hund::N,canis,ыт
164,Katze::N,felis,куоска
165,Bär::N,ursus,эһэ
166,Eichhörnchen::N,sciurus,тииҥ
167,Elch::N,alces,тайах
168,Fuchs::N,vulpes,саһыл
169,Hase::N,lepus,куобах
170,Maus::N,mus,кутуйах
171,Wolf::N,lupus,бөрө
172,Vogel::N,avis,көтөр
173,Schwarm::N,examen,бөлөх
174,Huhn::N,gallina,куурусса
175,Hahn::N,gallus,бөтүүк
176,Gans::N,anser,хаас
177,Adler::N,aquila,хотой
178,Ente::N,anas,кус
179,Eule::N,ulula,мэкчиргэ
180,Eule::N,noctua,мэкчиргэ
181,Kranich::N,grus,туруйа
182,Krähe::N,cornix,тураах
183,Kuckuck::N,cuculus,кэҕэ
184,Schwan::N,olor,куба
185,Schwan::N,cycnus,куба
186,Fisch::N,piscis,балык
