,Concept_ID,es,br
0,Auge::N,ojo,lagad
1,Ohr::N,oreja,skouarn
2,Nase::N,nariz,fri
3,Mund::N,boca,genoù
4,Zahn::N,diente,dant
5,Zunge::N,lengua,teod
6,Lippe::N,labio,muzell
7,Wange::N,mejilla,chot
8,Gesicht::N,cara,dremm
9,Stirn::N,frente,tal
10,Haar::N,cabello,blev
11,Schnurrbart::N,bigote,mourenn
12,Bart::N,barba,barv
13,Kinn::N,barbilla,groñj
14,Kiefer[Anatomie]::N,mandíbula,javed
15,Kehle::N,garganta,gouzoug
16,Hals::N,cuello,gouzoug
17,Genick::N,nuca,choug
18,Genick::N,cerviz,choug
19,Kopf::N,cabeza,penn
20,Rücken::N,espalda,kein
21,Bauch::N,vientre,kof
22,Nabel::N,ombligo,begel
23,Busen::N,pecho,bronn
24,Brust::N,pecho,bruched
25,Schulter::N,hombro,skoaz
26,Arm::N,brazo,brec'h
27,Ellenbogen::N,codo,ilin
28,Hand::N,mano,dorn
29,Handfläche::N,palma,palv
30,Finger::N,dedo,biz
31,Fingernagel::N,uña,ivin
32,Nagel[Anatomie]::N,uña,ivin
33,Zeh::N,dedo del pie,biz-troad
34,Fuß::N,pie,troad
35,Ferse::N,talón,seul
36,Knie::N,rodilla,glin
37,Oberschenkel::N,muslo,morzhed
38,Bein::N,pierna,gar
39,Körper::N,cuerpo,korf
40,Haut::N,piel,kroc'hen
41,Blut::N,sangre,gwad
42,Ader::N,vena,gwazhi
43,Sehne::N,tendón,stir
44,Knochen::N,hueso,askorn
45,Gehirn::N,cerebro,empenn
46,Gehirn::N,encéfalo,empenn
47,Herz::N,corazón,kalon
48,Magen::N,estómago,stomog
49,Leber::N,hígado,avu
50,Atem::N,aliento,anal
51,Hunger::N,hambre,naon
52,Träne::N,lágrima,daer
53,Geschmack::N,gusto,blaz
54,Geruch::N,olor,c'hwezh
55,Schlaf::N,sueño,kousked
56,Traum::N,sueño,hune
57,Traum::N,ensueño,hune
58,Himmel::N,cielo,oabl
59,Sonne::N,sol,heol
60,Mond::N,luna,loar
61,Stern::N,estrella,steredenn
62,Luft::N,aire,aer
63,Wind::N,viento,avel
64,Welle::N,ola,houlenn
65,Welle::N,onda,houlenn
66,Wasser::N,agua,dour
67,Stein::N,piedra,maen
68,Boden::N,suelo,tachenn
69,Erde::N,tierra,douar
70,Staub::N,polvo,poultr
71,Rauch::N,humo,moged
72,Funke::N,chispa,ful
73,Feuer::N,fuego,tan
74,Licht::N,luz,gouloù
75,Schatten::N,sombra,disheol
76,Wetter::N,tiempo,amzer
77,Nebel::N,niebla,brumenn
78,Wolke::N,nube,koumoulenn
79,Regen::N,lluvia,glav
80,Schnee::N,nieve,erc'h
81,Eis::N,hielo,skorn
82,Frost::N,helada,rev
83,Kälte::N,frío,yen
84,Hitze::N,calor,tommder
85,Raureif::N,escarcha,frim
86,Regenbogen::N,arco iris,gwareg-ar-glav
87,Donner::N,trueno,kurun
88,Strömung::N,corriente,red
89,Tropfen::N,gota,bannac'h
90,Tropfen::N,gota,takenn
91,Schaum::N,espuma,spoum
92,Schmutz::N,suciedad,fank
93,See::N,lago,lenn
94,Sumpf::N,pantano,gwern
95,Moor::N,turbera,taouarc'heg
96,Wiese::N,prado,prad
97,Wiese::N,pradera,prad
98,Wald::N,bosque,koad
99,Hügel::N,colina,torgenn
100,Anhöhe::N,cerro,run
101,Berg::N,monte,menez
102,Berg::N,montaña,menez
103,Gipfel::N,cima,barr
104,Gipfel::N,cumbre,barr
105,Höhle::N,cueva,kav
106,Höhle::N,caverna,kav
107,Abhang::N,cuesta,naou
108,Abhang::N,declive,naou
109,Quelle::N,fuente,feunteun
110,Quelle::N,manantial,feunteun
111,Bach::N,arroyo,gwazh
112,Fluss::N,río,stêr
113,Ufer::N,orilla,ribl
114,Küste::N,costa,aod
115,Festland::N,tierra firme,douar
116,Meer::N,mar,mor
117,Bucht::N,cala,mor-bihan
