,Concept_ID,lbe,ca
0,Auge::N,я,ull
1,Ohr::N,вичӏи,orella
2,Nase::N,май,nas
3,Mund::N,кьацӏ,boca
4,Zahn::N,ккарччи,dent
5,Zunge::N,маз,llēngua
6,Lippe::N,мурччи,llavi
7,Wange::N,чӏав,galta
8,Gesicht::N,лажин,cara
9,Stirn::N,ненттабакӏ,front
10,Haar::N,чӏара,cabēll
11,Schnurrbart::N,ссирссилтту,bigoti
12,Bart::N,чӏири,barba
13,Kinn::N,лунттубакӏ,mentó
14,Kinn::N,лунттубакӏ,barbeta
15,Kiefer[Anatomie]::N,ххинчулул,queix
16,Kiefer[Anatomie]::N,ххинчулул,mandíbula
17,Kehle::N,кьакьари,gola
18,Kehle::N,кьакьари,gorja
19,Hals::N,ссурссу,coll
20,Genick::N,махъабакӏ,nuca
21,Kopf::N,бакӏ,cap
22,Rücken::N,ттиликӏ,esquena
23,Bauch::N,лякьа,panxa
24,Nabel::N,цӏумуккутӏ,llombrígol
25,Busen::N,ккукку,pit
26,Busen::N,ккукку,mama
27,Brust::N,хъазам,pit
28,Schulter::N,хъачӏ,espatlla
29,Arm::N,ка,braç
30,Ellenbogen::N,ссюрхъ,colze
31,Hand::N,бартка,mà
32,Handfläche::N,хъат,palma
33,Handfläche::N,битӏянхъ,palma
34,Finger::N,кӏисса,dit
35,Fingernagel::N,михь,ungla
36,Nagel[Anatomie]::N,михь,ungla
37,Zeh::N,кӏисса,dit del peu
38,Fuß::N,чӏанччан,peu
39,Ferse::N,никъа,taló
40,Knie::N,ник,genoll
41,Oberschenkel::N,жира,cuixa
42,Bein::N,ччан,cama
43,Körper::N,чурх,cos
44,Haut::N,бурчу,pell
45,Blut::N,оь,sang
46,Ader::N,тунну,vena
47,Sehne::N,хьхьа,tendó
48,Knochen::N,ттаркӏ,os
49,Gehirn::N,ня,cervell
50,Herz::N,дакӏ,cor
51,Herz::N,къюкӏ,cor
52,Magen::N,лякьа,estómac
53,Atem::N,ссихӏ ласаву,alè
54,Atem::N,ссихӏ ласаву,hàlit
55,Atem::N,ссихӏ бигьаву,alè
56,Atem::N,ссихӏ бигьаву,hàlit
57,Hunger::N,ккаши,fam
58,Hunger::N,ккаши,gana
59,Träne::N,макь,llàgrima
60,Geschmack::N,тӏин,gust
61,Geschmack::N,тӏин,sabor
62,Geschmack::N,тӏааьн,gust
63,Geschmack::N,тӏааьн,sabor
64,Geruch::N,кьанкь,olor
65,Schlaf::N,шану,son
66,Traum::N,макӏру,somni
67,Himmel::N,ссав,celm
68,Sonne::N,баргъ,sol
69,Mond::N,барз,lluna
70,Stern::N,цӏуку,estel
71,Stern::N,цӏуку,estrella
72,Luft::N,гьава,aire
73,Wind::N,марч,vent
74,Welle::N,щатӏи,ona
75,Wasser::N,щин,āigua
76,Stein::N,чару,pedra
77,Boden::N,аьрщи,sòl
78,Erde::N,аьрщи,terra
79,Staub::N,ххит,pols
80,Rauch::N,пуркӏу,fum
81,Funke::N,пиягь,guspira
82,Funke::N,пиягь,centella
83,Feuer::N,цӏу,foc
84,Licht::N,чани,llum
85,Schatten::N,ххют,ombra
86,Wetter::N,гьава,temps
87,Nebel::N,шархь ттурлу,boira
88,Wolke::N,ттурлу,núvol
89,Regen::N,гъарал,pluja
90,Schnee::N,марххала,neu
91,Eis::N,микӏ,gel
92,Eis::N,микӏ,glaç
93,Frost::N,дяркъу,glaçada
94,Frost::N,замгьар,glaçada
95,Kälte::N,дяркъу,fred
96,Hitze::N,кӏиришиву,calor
97,Raureif::N,сил,gebre
98,Raureif::N,бурса,gebre
99,Regenbogen::N,ссурул ккуртта,arc iris
100,Donner::N,къув,tro
101,Strömung::N,экьинанаву,corrent
102,Tropfen::N,кӏунтӏ,gota
103,Schaum::N,хьама,escuma
104,Schmutz::N,кьяркьи,brutícia
105,See::N,бяр,llac
106,Sumpf::N,кунцӏа,pantà
107,Wiese::N,кьан,prat
