,Concept_ID,tt,de
0,Auge::N,күз,Auge
1,Ohr::N,колак,Ohr
2,Nase::N,борын,Nase
3,Mund::N,авыз,Mund
4,Mund::N,тамак,Mund
5,Zahn::N,теш,Zahn
6,Zunge::N,тел,Zunge
7,Lippe::N,ирен,Lippe
8,Wange::N,яңак,Wange
9,Gesicht::N,йөз,Gesicht
10,Stirn::N,маңгай,Stirn
11,Haar::N,чәч,Haar
12,Schnurrbart::N,мыек,Schnurrbart
13,Bart::N,сакал,Bart
14,Kinn::N,ияк,Kinn
15,Kiefer[Anatomie]::N,казналык,Kiefer
16,Kehle::N,тамак,Kehle
17,Hals::N,бугаз,Hals
18,Genick::N,җилкә,Genick
19,Kopf::N,баш,Kopf
20,Rücken::N,сырт,Rücken
21,Bauch::N,корсак,Bauch
22,Nabel::N,кендек,Nabel
23,Busen::N,түш,Busen
24,Brust::N,имчәк,Brust
25,Brust::N,күкрәк,Brust
26,Schulter::N,иңбаш,Schulter
27,Schulter::N,кулбаш,Schulter
28,Arm::N,кул,Arm
29,Ellenbogen::N,терсәк,Ellenbogen
30,Hand::N,кул,Hand
31,Handfläche::N,уч,Handfläche
32,Finger::N,бармак,Finger
33,Fingernagel::N,тырнак,Fingernagel
34,Nagel[Anatomie]::N,тырнак,Nagel
35,Zeh::N,бармак,Zeh
36,Fuß::N,табан,Fuß
37,Ferse::N,үкчә,Ferse
38,Knie::N,тез,Knie
39,Oberschenkel::N,бот,Oberschenkel
40,Bein::N,аяк,Bein
41,Körper::N,тән,Körper
42,Körper::N,җисем,Körper
43,Haut::N,тире,Haut
44,Blut::N,кан,Blut
45,Ader::N,тамыр,Ader
46,Sehne::N,сеңер,Sehne
47,Knochen::N,сөяк,Knochen
48,Gehirn::N,ми,Gehirn
49,Herz::N,йөрәк,Herz
50,Magen::N,ашказаны,Magen
51,Leber::N,бавыр,Leber
52,Atem::N,сулыш,Atem
53,Hunger::N,ачлык,Hunger
54,Träne::N,яшь,Träne
55,Geschmack::N,тәм,Geschmack
56,Geschmack::N,зәвык,Geschmack
57,Geruch::N,ис,Geruch
58,Schlaf::N,йокы,Schlaf
59,Traum::N,төш,Traum
60,Himmel::N,күк,Himmel
61,Sonne::N,кояш,Sonne
62,Mond::N,ай,Mond
63,Stern::N,йолдыз,Stern
64,Luft::N,һава,Luft
65,Wind::N,җил,Wind
66,Welle::N,дулкын,Welle
67,Wasser::N,су,Wasser
68,Stein::N,таш,Stein
69,Boden::N,туфрак,Boden
70,Erde::N,җир,Erde
71,Staub::N,тузан,Staub
72,Rauch::N,төтен,Rauch
73,Funke::N,очкын,Funke
74,Feuer::N,ут,Feuer
75,Licht::N,якты,Licht
76,Schatten::N,күләгә,Schatten
77,Wetter::N,һава,Wetter
78,Nebel::N,томан,Nebel
79,Wolke::N,болыт,Wolke
80,Regen::N,яңгыр,Regen
81,Schnee::N,кар,Schnee
82,Eis::N,боз,Eis
83,Frost::N,суык,Frost
84,Frost::N,салкын,Frost
85,Kälte::N,суык,Kälte
86,Kälte::N,салкын,Kälte
87,Hitze::N,эсселек,Hitze
88,Raureif::N,бәс,Raureif
89,Raureif::N,сыкы,Raureif
90,Regenbogen::N,салават күпере,Regenbogen
91,Donner::N,күкрәү,Donner
92,Strömung::N,агыш'агым,Strömung
93,Tropfen::N,тамчы,Tropfen
94,Schaum::N,күбек,Schaum
95,Schmutz::N,пычрак,Schmutz
96,See::N,күл,See
