,Concept_ID,ar,hr
0,Auge::N,عين,oko
1,Ohr::N,أذن,uho
2,Nase::N,أنف,nos
3,Mund::N,فم,usta
4,Zahn::N,سن,zub
5,Zunge::N,لسان,jezik
6,Lippe::N,شفة,usna
7,Wange::N,خد,obraz
8,Wange::N,وجنة,obraz
9,Gesicht::N,وجه,lice
10,Stirn::N,جبين,čelo
11,Haar::N,شعر,kosa
12,Schnurrbart::N,شارب,brkovi
13,Bart::N,لحية,brada
14,Kinn::N,ذقن,brada
15,Kinn::N,ذقن,podbradak
16,Kiefer[Anatomie]::N,فك,čeljust
17,Kehle::N,حلق,grlo
18,Hals::N,عنق,vrat
19,Hals::N,رقبة,vrat
20,Genick::N,قفا,zatiljak
21,Kopf::N,رأس,glava
22,Rücken::N,ظهر,leđa
23,Rücken::N,ظهر,hrbat
24,Bauch::N,بطن,trbuh
25,Nabel::N,سرة,pupak
26,Busen::N,ثدي,sisa
27,Busen::N,ثدي,njedra
28,Brust::N,صدر,prsa
29,Schulter::N,كتف,rame
30,Schulter::N,كتف,pleći
31,Arm::N,ذراع,ruka
32,Ellenbogen::N,كوع,lakat
33,Hand::N,يد,ruka
34,Handfläche::N,كف,dlan
35,Finger::N,إصبع,prst
36,Fingernagel::N,ظفر,nokat
37,Nagel[Anatomie]::N,ظفر,nokat
38,Zeh::N,إصبع القدم,nozni prst
39,Fuß::N,قدم,noga
40,Fuß::N,قدم,stopalo
41,Ferse::N,كعب,peta
42,Knie::N,ركبة,koljeno
43,Oberschenkel::N,فخذ,bedro
44,Bein::N,ساق,noga
45,Körper::N,جسم,tijelo
46,Haut::N,بشرة,put
47,Haut::N,بشرة,koža
48,Blut::N,دم,krv
49,Ader::N,عرق,žila
50,Sehne::N,طنب,tetiva
51,Knochen::N,عظم,kost
52,Gehirn::N,دماغ,
53,Herz::N,قلب,srce
54,Magen::N,معدة,stomak
55,Magen::N,معدة,želudac
56,Leber::N,كبد,jetra
57,Atem::N,نفس,dah
58,Hunger::N,جوع,glad
59,Träne::N,دمعة,suza
60,Geschmack::N,طعم,ukus
61,Geschmack::N,مذاق,ukus
62,Geruch::N,رائحة,njuh
63,Geruch::N,رائحة,miris
64,Schlaf::N,نوم,san
65,Schlaf::N,منام,san
66,Traum::N,حلم,san
67,Himmel::N,سماء,nebo
68,Sonne::N,شمس,sunce
69,Mond::N,قمر,mjesec
70,Stern::N,نجم,zvijezda
71,Stern::N,كوكب,zvijezda
72,Luft::N,هواء,zrak
73,Wind::N,ريح,vjetar
74,Welle::N,موجة,val
75,Welle::N,موجة,talas
76,Wasser::N,ماء,voda
77,Stein::N,حجر,kamen
78,Boden::N,تراب,tlo
79,Boden::N,تراب,zemlja
80,Erde::N,أرض,zemlja
81,Staub::N,غبار,prah
82,Staub::N,غبار,prašina
83,Rauch::N,دخان,dim
84,Funke::N,شرارة,iskra
85,Funke::N,شرارة,varnica
86,Feuer::N,نار,vatra
87,Licht::N,نور,svjetlo
88,Licht::N,ضوء,svjetlo
89,Schatten::N,ظل,hlad
90,Schatten::N,ظل,sjena
91,Schatten::N,فيء,hlad
92,Schatten::N,فيء,sjena
93,Wetter::N,جو,vrijeme
94,Wetter::N,طقس,vrijeme
95,Nebel::N,ضباب,magla
96,Wolke::N,غيمة,oblak
97,Wolke::N,سحابة,oblak
98,Regen::N,مطر,kiša
99,Schnee::N,ثلج,snijeg
100,Eis::N,جليد,led
101,Frost::N,صقيع,mraz
102,Kälte::N,برد,studen
103,Kälte::N,برد,hladnoća
104,Hitze::N,حر,vrućina
105,Hitze::N,حرارة,vrućina
106,Raureif::N,صقيع,inje
107,Regenbogen::N,قوس قزح,duga
108,Donner::N,رعد,grom
109,Donner::N,رعد,grmljavina
110,Strömung::N,تيار,struja
111,Strömung::N,تيار,strujanje
112,Tropfen::N,قطرة,kap
113,Tropfen::N,قطرة,kaplja
114,Schaum::N,زبد,pjena
115,Schaum::N,رغوة,pjena
116,Schmutz::N,وسخ,nečistoća
117,Schmutz::N,وسخ,prljavština
118,See::N,بحيرة,jezero
119,Sumpf::N,مستنقع,bara
120,Moor::N,مستنقع,močvara
121,Wiese::N,مرج,livada
122,Wald::N,غابة,šuma
123,Hügel::N,تل,brijeg
124,Hügel::N,تل,brežuljak
125,Anhöhe::N,تل,uzvišica
126,Berg::N,جبل,brdo
127,Gipfel::N,قمة,vrh
128,Höhle::N,كهف,pećina
129,Höhle::N,كهف,spilja
130,Abhang::N,منحدر,obronak
131,Abhang::N,منحدر,nizbrdica
132,Quelle::N,منبع,izvor
133,Quelle::N,منبع,vrelo
134,Bach::N,مجرى,potok
135,Fluss::N,نهر,rijeka
136,Ufer::N,ضفة,obala
137,Küste::N,ساحل,obala
138,Küste::N,ساحل,morska obala
139,Festland::N,بر,kopno
140,Meer::N,بحر,more
141,Bucht::N,خليج,zaliv
142,Insel::N,جزيرة,ada
143,Insel::N,جزيرة,otok
144,Blume::N,زهرة,cvijet
145,Gras::N,حشيش,trava
146,Wurzel::N,أصل,korijen
147,Baum::N,شجرة,drvo
148,Baum::N,شجرة,stablo
149,Stamm::N,جذع,deblo
150,Stamm::N,جذع,stablo
151,Rinde::N,قشرة,kora
152,Ast::N,فرع,grana
153,Zweig::N,غصن,grana
154,Blatt::N,ورقة,list
155,Birke::N,قضبان,breza
156,Kiefer[Baum]::N,صنوبرة,bor
157,Weide[Baum]::N,صفصاف,iva
158,Weide[Baum]::N,صفصاف,vŕba
159,Tanne::N,شوح,jela
160,Tanne::N,تبوب,jela
161,Horn::N,قرن,rog
162,Feder::N,ريشة,pero
163,Fell::N,فرو,koža
164,Flügel::N,جناح,krilo
165,Klaue::N,مخلب,papak
166,Kralle::N,مخلب,pandža
167,Schwanz::N,ذيل,rep
168,Ei::N,بيض,jaje
169,Nest::N,عش,gnijezdo
170,Bau::N,جحر,jazbina
171,Tier::N,حيوان,životinja
172,Herde::N,قطيع,krdo
173,Herde::N,قطيع,stado
174,Kuh::N,بقرة,krava
175,Bulle::N,ثور,bik
176,Pferd::N,خيل,konj
177,Schaf::N,شاة,ovca
178,Schwein::N,خنزير,svinja
179,Hund::N,كلب,pas
180,Hund::N,كلب,pseto
181,Katze::N,قطة,mačka
182,Bär::N,دب,medvjed
183,Eichhörnchen::N,سنجاب,vjeverica
184,Elch::N,موظ,los
185,Fuchs::N,ثعلب,lisica
186,Hase::N,أرنب,zec
187,Maus::N,فأرة,miš
188,Wolf::N,ذئب,vuk
189,Wolf::N,ذئب,kurjak
190,Vogel::N,طير,ptica
191,Schwarm::N,سرب,roj
192,Schwarm::N,سرب,jato
193,Huhn::N,دجاجة,kokoš
194,Hahn::N,ديك,kokot
195,Hahn::N,ديك,pijevac
196,Gans::N,وزة,guska
197,Adler::N,نسر,orao
198,Ente::N,بطة,patka
199,Eule::N,بوم,sova
200,Kranich::N,كركي,ždral
201,Krähe::N,غراب,vrana
202,Kuckuck::N,وقواق,kukavica
203,Schwan::N,إوز عراقي,labud
204,Fisch::N,سمك,riba
205,Barsch::N,فرخ أوربي,grgeč
206,Hecht::N,سمك الكراكي,štuka
207,Schlange[Tier]::N,حية,guja
208,Schlange[Tier]::N,حية,zmija
209,Schlange[Tier]::N,ثعبان,guja
210,Schlange[Tier]::N,ثعبان,zmija
211,Wurm::N,دودة,crv
212,Spinne::N,عنكبوت,pauk
213,Ameise::N,نملة,mrav
214,Laus::N,قملة,uš
215,Mücke::N,ناموسة,komarac
216,Fliege::N,ذبابة,muha
217,Schmetterling::N,فراشة,leptir
218,Beere::N,حبة,boba
219,Beere::N,حبة,bobica
220,Apfel::N,تفاح,jabuka
221,Pilz::N,فطر,pečurka
222,Zwiebel::N,بصل,luk
223,Zwiebel::N,بصل,kapula
224,Saat::N,زرع,sjemenje
225,Korn::N,حبة,zrno
226,Heu::N,دريس,sijeno
227,Schale::N,قشرة,kora
228,Schale::N,قشرة,ljuska
229,Grube::N,نقرة,jama
230,Falle::N,فخ,zamka
231,Falle::N,فخ,klopka
232,Falle::N,مصيدة,zamka
233,Falle::N,مصيدة,klopka
234,Schlinge::N,عروة,uzao
235,Schlinge::N,عروة,petlja
236,Spur::N,أثر,trag
237,Spur::N,أثر,slijed
238,Asche::N,رماد,pepeo
239,Dreck::N,قذر,blato
240,Eisen::N,حديد,željezo
241,Gold::N,ذهب,zlato
