,Concept_ID,,ru
0,Auge::N,,глаз
1,Ohr::N,,ухо
2,Nase::N,,нос
3,Mund::N,,рот
4,Zahn::N,,зуб
5,Zunge::N,,язык
6,Lippe::N,,губа
7,Wange::N,,щека
8,Gesicht::N,,лицо
9,Stirn::N,,лоб
10,Haar::N,,волос
11,Haar::N,,волосы
12,Schnurrbart::N,,ус
13,Schnurrbart::N,,усы
14,Bart::N,,борода
15,Kinn::N,,подбородок
16,Kiefer[Anatomie]::N,,челюсть
17,Kehle::N,,горло
18,Hals::N,,шея
19,Genick::N,,затылок
20,Kopf::N,,голова
21,Rücken::N,,спина
22,Bauch::N,,живот
23,Nabel::N,,пупок
24,Busen::N,,женская грудь
25,Brust::N,,грудь
26,Schulter::N,,плечо
27,Arm::N,,рука
28,Ellenbogen::N,,локоть
29,Hand::N,,кисть
30,Handfläche::N,,ладонь
31,Finger::N,,палец
32,Fingernagel::N,,ноготь
33,Nagel[Anatomie]::N,,ноготь
34,Zeh::N,,палец
35,Fuß::N,,ступня
36,Ferse::N,,пята
37,Ferse::N,,пятка
38,Knie::N,,колено
39,Oberschenkel::N,,бедро
40,Bein::N,,нога
41,Körper::N,,тело
42,Haut::N,,кожа
43,Blut::N,,кровь
44,Ader::N,,вена
45,Ader::N,,сосуд
46,Sehne::N,,жила
47,Sehne::N,,тетива
48,Sehne::N,,сухожилие
49,Knochen::N,,кость
50,Gehirn::N,,мозг
51,Herz::N,,сердце
52,Magen::N,,желудок
53,Leber::N,,печень
54,Atem::N,,дух
55,Atem::N,,дыхание
56,Hunger::N,,голод
57,Träne::N,,слеза
58,Geschmack::N,,вкус
59,Geruch::N,,запах
60,Schlaf::N,,сон
61,Traum::N,,сновидение
62,Himmel::N,,небо
63,Sonne::N,,солнце
64,Mond::N,,луна
65,Stern::N,,звезда
66,Luft::N,,воздух
67,Wind::N,,ветер
68,Welle::N,,волна
69,Wasser::N,,вода
70,Stein::N,,камень
71,Boden::N,,почва
72,Erde::N,,земля
73,Staub::N,,пыль
74,Rauch::N,,дым
75,Funke::N,,искра
76,Feuer::N,,огонь
77,Licht::N,,свет
78,Schatten::N,,тень
