,Concept_ID,cy,el
0,Auge::N,llygad,μάτι
1,Auge::N,llygad,οφθαλμός
2,Ohr::N,clust,αυτί
3,Nase::N,trwyn,μύτη
4,Mund::N,ceg,στόμα
5,Zahn::N,dant,δόντι
6,Zunge::N,tafod,γλώσσα
7,Lippe::N,gwefus,χείλος
8,Wange::N,boch,παρειά
9,Wange::N,boch,μάγουλο
10,Gesicht::N,wyneb,πρόσωπο
11,Stirn::N,talcen,μέτωπο
12,Haar::N,blew,μαλλιά
13,Schnurrbart::N,mwstas,μουστάκι
14,Bart::N,barf,γένια
15,Kinn::N,gên,πιγούνι
16,Kiefer[Anatomie]::N,gên,σαγόνι
17,Kehle::N,gwddf,λαρύγγι
18,Hals::N,gwddf,λαιμός
19,Genick::N,gwar,σβέρκος
20,Genick::N,gwegil,σβέρκος
21,Kopf::N,pen,κεφάλι
22,Rücken::N,cefn,ράχη
23,Bauch::N,bol,κοιλιά
24,Nabel::N,bogail,αφαλός
25,Busen::N,bron,στήθος
26,Brust::N,brest,στήθος
27,Schulter::N,ysgwydd,ώμος
28,Arm::N,braich,χέρι
29,Arm::N,braich,μπράτςο
30,Ellenbogen::N,penelin,αγκώνας
31,Hand::N,llaw,χέρι
32,Handfläche::N,palf,παλάμη
33,Finger::N,bys,δάχτυλο
34,Fingernagel::N,ewin,νύχι
35,Nagel[Anatomie]::N,ewin,νύχι
36,Zeh::N,bys troed,δάχτυλο του ποδιού
37,Fuß::N,troed,πόδι
38,Ferse::N,sawdl,φτέρνα
39,Knie::N,glin,γόνατο
40,Oberschenkel::N,clun,μηρός
41,Bein::N,coes,πόδι
42,Körper::N,corff,σώμα
43,Körper::N,corff,κορμί
44,Haut::N,croen,πετσί
45,Blut::N,gwaed,αίμα
46,Ader::N,gwythïen,φλέβα
47,Sehne::N,gewyn,νεύρο
48,Sehne::N,gewyn,τένοντας
49,Knochen::N,asgwrn,οστό
50,Knochen::N,asgwrn,κόκκαλο
51,Gehirn::N,ymennydd,μυαλό
52,Gehirn::N,ymennydd,εγκέφαλος
53,Herz::N,calon,καρδιά
54,Magen::N,cylla,στομάχι
55,Magen::N,stumog,στομάχι
56,Leber::N,iau,ήπαρ
57,Leber::N,iau,συκωτί
58,Atem::N,anadl,αναπνοή
59,Hunger::N,newyn,πείνα
60,Träne::N,deigryn,δάκρυ
61,Geschmack::N,cyflas,γεύση
62,Geruch::N,aroglau,οσμή
63,Geruch::N,aroglau,μυρωδία
64,Schlaf::N,cwsg,ύπνος
65,Traum::N,breuddwyd,όνειρο
66,Himmel::N,awyr,ουρανός
67,Sonne::N,haul,ήλιος
68,Mond::N,lleuad,σελήνη
69,Mond::N,lleuad,φεγγάρι
70,Stern::N,seren,άστρο
71,Stern::N,seren,αστέρι
72,Luft::N,awyr,αέρας
73,Wind::N,gwynt,αέρας
74,Wind::N,gwynt,άνεμος
75,Welle::N,ton,κύμα
76,Wasser::N,dŵr,νερό
77,Stein::N,carreg,πέτρα
78,Boden::N,llawr,χώμα
79,Erde::N,pridd,γη
80,Staub::N,llwch,σκόνη
81,Rauch::N,mwg,καπνός
82,Funke::N,gwreichioni,σπίθα
83,Funke::N,gwreichioni,σπινθήρας
84,Feuer::N,tân,φωτιά
85,Licht::N,golau,φως
86,Schatten::N,cysgod,σκιά
87,Schatten::N,cysgod,ίσκιος
88,Wetter::N,tywydd,καιρός
89,Nebel::N,niwl,ομίχλη
90,Wolke::N,cwmwl,σύννεφο
91,Regen::N,glaw,βροχή
92,Schnee::N,ôd,χιόνι
93,Schnee::N,eira,χιόνι
94,Eis::N,iâ,πάγος
95,Frost::N,rhew,παγωνία
96,Kälte::N,oerni,κρύο
97,Kälte::N,oerni,ψύχος
98,Kälte::N,annwyd,κρύο
99,Kälte::N,annwyd,ψύχος
100,Hitze::N,gwres,ζέστη
101,Raureif::N,barrug,πάχνη
102,Regenbogen::N,enfys,ουράνιο τόξο
103,Donner::N,tyrfau,βροντή
104,Strömung::N,cerrynt,ρεύμα
105,Tropfen::N,dafn,στάλα
106,Tropfen::N,diferyn,στάλα
107,Schaum::N,ewyn,αφρός
108,Schmutz::N,baw,βρωμιά
109,Schmutz::N,budreddi,βρωμιά
110,See::N,llyn,λίμνη
111,Sumpf::N,cors,βάλτος
112,Moor::N,rhos,έλος
113,Wiese::N,dôl,λιβάδι
114,Wald::N,coedwig,δάσος
115,Hügel::N,bryn,λόφος
116,Anhöhe::N,bryn,ύψωμα
117,Berg::N,mynydd,όρος
118,Berg::N,mynydd,βουνό
119,Gipfel::N,copa,κορυφή
120,Höhle::N,ogof,σπηλιά
121,Abhang::N,llethr,πλαγιά
122,Quelle::N,tarddiad,πηγή
123,Quelle::N,tarddiad,βρύση
124,Quelle::N,ffynhonnell,πηγή
125,Quelle::N,ffynhonnell,βρύση
126,Bach::N,nant,ρυάκι
127,Bach::N,afonig,ρυάκι
128,Bach::N,cornant,ρυάκι
129,Fluss::N,afon,ποτάμι
130,Fluss::N,afon,ποταμός
131,Ufer::N,glan,όχθη
132,Küste::N,traeth,ακτή
133,Küste::N,traeth,ακρογιαλιά
134,Küste::N,arfordir,ακτή
135,Küste::N,arfordir,ακρογιαλιά
136,Festland::N,tir,στεριά
137,Meer::N,môr,θάλασσα
138,Bucht::N,bae,κόλπος
139,Insel::N,ynys,νησί
140,Insel::N,ynys,νήσος
141,Blume::N,blodyn,άνθος
142,Blume::N,blodyn,λουλούδι
143,Gras::N,glaswellt,χόρτο
144,Gras::N,glaswellt,χορτάρι
145,Wurzel::N,gwreiddyn,ρίζα
146,Baum::N,coeden,δέντρο
147,Stamm::N,colfen,κορμός
148,Stamm::N,boncyff,κορμός
149,Rinde::N,rhisgl,φλούδα
150,Ast::N,cangen,κλαδί
151,Zweig::N,cainc,κλαδί
152,Zweig::N,cainc,κλάδος
153,Zweig::N,cangen,κλαδί
154,Zweig::N,cangen,κλάδος
155,Blatt::N,deilen,φύλλο
156,Birke::N,bedwen,σημύδα
157,Kiefer[Baum]::N,pinwydden,πεύκο
158,Weide[Baum]::N,helygen,ιτιά
159,Tanne::N,ffynidwydden,έλατο
160,Horn::N,corn,κέρας
161,Horn::N,corn,κέρατο
