,Concept_ID,sl,is
0,Auge::N,okó,auga
1,Ohr::N,uhó,eyra
2,Nase::N,nós,nef
3,Mund::N,ústa,munnur
4,Zahn::N,zób,tönn
5,Zunge::N,jêzik,tunga
6,Lippe::N,ústnica,vör
7,Wange::N,líce,kinn
8,Wange::N,líce,vangi
9,Gesicht::N,oblíčje,andlit
10,Stirn::N,čêlo,enni
11,Haar::N,lás,hár
12,Schnurrbart::N,bŕki,yfirskegg
13,Bart::N,bráda,skegg
14,Kinn::N,bráda,haka
15,Kiefer[Anatomie]::N,čeljúst,kjálki
16,Kiefer[Anatomie]::N,čeljúst,skoltur
17,Kehle::N,gŕlo,kverk
18,Hals::N,vrát,háls
19,Genick::N,zatílnik,hnakki
20,Kopf::N,gláva,höfuð
21,Rücken::N,hrbèt,hryggur
22,Bauch::N,trébuh,kviður
23,Nabel::N,pópek,nafli
24,Busen::N,nédrja,barmur
25,Brust::N,pŕsi,brjóst
26,Schulter::N,ráma,öxl
27,Schulter::N,plêče,öxl
28,Arm::N,rôka,armur
29,Ellenbogen::N,komólec,olnbogi
30,Hand::N,rôka,hönd
31,Handfläche::N,dlán,lófi
32,Finger::N,pŕst,fingur
33,Fingernagel::N,nóht na rôki,fingurnögl
34,Nagel[Anatomie]::N,nóht,nögl
35,Zeh::N,pŕst na nôgi,tá
36,Fuß::N,nôga,fótur
37,Ferse::N,pêta,hæll
38,Knie::N,koléno,kné
39,Oberschenkel::N,stêgno,læri
40,Bein::N,nôga,fótleggur
41,Körper::N,teló,búkur
42,Körper::N,teló,líkami
43,Haut::N,kóža,húð
44,Haut::N,kóža,skinn
45,Blut::N,krí,blóð
46,Ader::N,žíla,æð
47,Sehne::N,kíta,sin
48,Knochen::N,kóst,bein
49,Gehirn::N,možgáni,heili
50,Herz::N,srcé,hjarta
51,Magen::N,želódec,magi
52,Leber::N,jétra,lifur
53,Atem::N,díh,andi
54,Atem::N,díh,andardráttur
55,Hunger::N,glád,hungur
56,Träne::N,sólza,tár
57,Geschmack::N,okús,smekkur
58,Geruch::N,vónj,lykt
59,Schlaf::N,sèn,svefn
60,Schlaf::N,spánec,svefn
61,Traum::N,sánje,draumur
62,Himmel::N,nebó,himinn
63,Sonne::N,sónce,sól
64,Mond::N,lúna,tungl
65,Mond::N,mésec,tungl
66,Stern::N,zvézda,stjarna
67,Luft::N,zràk,loft
68,Wind::N,véter,vindur
69,Welle::N,vál,alda
70,Welle::N,vál,bylgja
71,Wasser::N,vôda,vatn
72,Stein::N,kámen,steinn
73,Boden::N,tlà,botn
74,Erde::N,pŕst,jörð
75,Erde::N,zêmlja,jörð
76,Staub::N,práh,ryk
77,Staub::N,práh,duft
78,Rauch::N,dìm,reykur
79,Funke::N,ískra,neisti
80,Feuer::N,ôgenj,eldur
81,Licht::N,lúč,ljós
82,Schatten::N,sénca,skuggi
83,Wetter::N,vrême,veður
84,Nebel::N,meglà,þoka
85,Wolke::N,oblák,ský
86,Regen::N,dèž,regn
87,Schnee::N,snég,snjór
88,Eis::N,léd,ís
89,Frost::N,zmrzál,frost
90,Kälte::N,mràz,kuldi
91,Hitze::N,pripéka,hiti
92,Raureif::N,ívje,hrím
93,Raureif::N,slána,hrím
94,Regenbogen::N,mávrica,regnbogi
95,Donner::N,gròm,þruma
96,Strömung::N,strúja,straumur
97,Tropfen::N,káplja,dropi
98,Schaum::N,péna,froða
99,Schmutz::N,nesnága,óhreinindi
100,See::N,jézero,stöðuvatn
101,Sumpf::N,močvírje,fen
102,Moor::N,bárje,mýri
103,Wiese::N,trávnik,engi
104,Wald::N,lés,skógur
105,Wald::N,gòzd,skógur
106,Hügel::N,brég,hæð
107,Hügel::N,brég,hóll
108,Hügel::N,goríca,hæð
109,Hügel::N,goríca,hóll
