,Concept_ID,fi,xal
0,Auge::N,silmä,нүдн
1,Ohr::N,korva,чикн
2,Nase::N,nenä,хамр
3,Mund::N,suu,амн
4,Zahn::N,hammas,шүдн
5,Zunge::N,kieli,келн
6,Lippe::N,huuli,урл
7,Wange::N,poski,халх
8,Gesicht::N,naama,нүр
9,Gesicht::N,kasvot,нүр
10,Stirn::N,otsa,маңна
11,Haar::N,hius,үсн
12,Haar::N,tukka,үсн
13,Schnurrbart::N,viikset,сахл
14,Bart::N,parta,сахл
15,Bart::N,parta,өргнә сахл
16,Kinn::N,leuka,өргн
17,Kiefer[Anatomie]::N,leukaluu,өргн
18,Kehle::N,kurkku,хол
19,Hals::N,kaula,күзүн
20,Genick::N,niska,гиҗг
21,Kopf::N,pää,толһа
22,Rücken::N,selkä,нурһн
23,Bauch::N,maha,гесн
24,Bauch::N,vatsa,гесн
25,Nabel::N,napa,киисн
26,Busen::N,rinta,көкн
27,Brust::N,rinta,чееҗ
28,Schulter::N,olka,ээм
29,Schulter::N,hartia,ээм
30,Schulter::N,olkapää,ээм
31,Arm::N,käsivarsi,һар
32,Ellenbogen::N,kyynärpää,тоха
33,Hand::N,käsi,баһлцг
34,Handfläche::N,kämmen,альхн
35,Finger::N,sormi,хурһн
36,Finger::N,sormi,һарин хурһн
37,Fingernagel::N,kynsi,хумсн
38,Nagel[Anatomie]::N,kynsi,хумсн
39,Zeh::N,varvas,хурһн
40,Zeh::N,varvas,көлин хурһн
41,Fuß::N,jalka,тавг
42,Ferse::N,kantapää,өскә
43,Knie::N,polvi,өвдг
44,Oberschenkel::N,reisi,һуй
45,Bein::N,jalka,көл
46,Körper::N,keho,махмуд
47,Körper::N,ruumis,махмуд
48,Haut::N,iho,арсн
49,Blut::N,veri,цусн
50,Ader::N,suoni,судцн
51,Sehne::N,jänne,шүрүсн
52,Knochen::N,luu,ясн
53,Gehirn::N,aivot,экн
54,Herz::N,sydän,зүркн
55,Magen::N,maha,гесн
56,Magen::N,vatsa,гесн
57,Leber::N,maksa,элкн
58,Atem::N,henki,әмсхл
59,Atem::N,hengitys,әмсхл
60,Hunger::N,nälkä,харһнлһн
61,Träne::N,kyynel,нульмсн
62,Geschmack::N,maku,амтн
63,Geruch::N,haju,үнр
64,Schlaf::N,uni,нөр
65,Traum::N,uni,зүүдн
66,Himmel::N,taivas,теңгр
67,Sonne::N,aurinko,нарн
68,Mond::N,kuu,сар
69,Stern::N,tähti,одн
70,Luft::N,ilma,аһар
71,Wind::N,tuuli,салькн
72,Welle::N,aalto,дольган
73,Wasser::N,vesi,усн
74,Stein::N,kivi,чолун
75,Boden::N,maa,Һазр
76,Boden::N,maaperä,Һазр
77,Erde::N,maa,Һазр
78,Staub::N,pöly,тоосн
79,Rauch::N,savu,утан
80,Funke::N,kipinä,очн
81,Feuer::N,tuli,һал
82,Licht::N,valo,герл
83,Schatten::N,varjo,сүүдр
84,Wetter::N,sää,теңгр
85,Nebel::N,sumu,будн
86,Wolke::N,pilvi,үүлн
87,Regen::N,sade,хур
88,Schnee::N,lumi,цасн
89,Eis::N,jää,мөсн
90,Frost::N,halla,киитн
91,Frost::N,pakkanen,киитн
92,Kälte::N,vilu,киитн
93,Kälte::N,kylmyys,киитн
94,Hitze::N,helle,халун
95,Hitze::N,kuumuus,халун
96,Raureif::N,huurre,цаң
97,Raureif::N,huurre,кирү
98,Regenbogen::N,sateenkaari,солңһ
99,Donner::N,jyrinä,оһтрһун дун
100,Strömung::N,virtaus,урсхл
101,Tropfen::N,tippa,дусал
102,Tropfen::N,pisara,дусал
103,Schaum::N,vaahto,көөсн
104,Schmutz::N,loka,кир
105,See::N,järvi,нур
106,Sumpf::N,suo,унул
107,Moor::N,räme,улм
108,Wiese::N,niitty,хадлһн
109,Wald::N,metsä,ө-модн
110,Hügel::N,mäki,толһа
111,Hügel::N,kumpu,толһа
112,Hügel::N,kukkula,толһа
113,Anhöhe::N,mäki,хамр
114,Anhöhe::N,kumpare,хамр
115,Berg::N,mäki,уул
116,Berg::N,vuori,уул
117,Gipfel::N,laki,ора
118,Gipfel::N,huippu,ора
119,Höhle::N,luola,хадин көндә
120,Abhang::N,rinne,ташу
121,Quelle::N,lähde,булг
122,Bach::N,puro,һооҗур
123,Fluss::N,joki,һол
124,Ufer::N,ranta,көвә
125,Küste::N,rannikko,көвә
126,Küste::N,rannikko,теңгсин көвә
127,Festland::N,manner,хүүрә һазр
128,Meer::N,meri,теңгс
129,Bucht::N,lahti,цекә
130,Bucht::N,lahti,теңгсин цекә
131,Insel::N,saari,арл
132,Blume::N,kukka,цецг
133,Gras::N,ruoho,ноһан
134,Wurzel::N,juuri,уңг
135,Baum::N,puu,модн
136,Stamm::N,runko,шилв
137,Stamm::N,runko,һол модн
138,Rinde::N,kuori,көрсн
139,Rinde::N,parkki,көрсн
140,Ast::N,oksa,ац
141,Zweig::N,haara,ац
142,Blatt::N,lehti,хамтхасн
143,Birke::N,koivu,хусм модн
144,Kiefer[Baum]::N,mänty,шар харһа
145,Kiefer[Baum]::N,petäjä,шар харһа
146,Weide[Baum]::N,paju,удн
147,Tanne::N,kuusi,җөөлн цаһан модн
148,Horn::N,sarvi,өвр
149,Feder::N,sulka,өрвлг
150,Feder::N,höyhen,өрвлг
151,Fell::N,talja,арсн
152,Flügel::N,siipi,җивр
153,Klaue::N,kynsi,хумсн
154,Kralle::N,kynsi,тавг
155,Schwanz::N,häntä,сүл
156,Schwanz::N,pyrstö,сүл
157,Ei::N,muna,өндгн
158,Nest::N,pesä,үр
159,Bau::N,pesä,нүкн
160,Tier::N,eläin,мал
161,Herde::N,lauma,сүрг мал
162,Kuh::N,lehmä,үкр
163,Bulle::N,sonni,бух
164,Pferd::N,hevonen,мөрн
165,Schaf::N,lammas,хөн
166,Schwein::N,sika,һаха
167,Hund::N,koira,ноха
168,Katze::N,kissa,мис
169,Bär::N,karhu,аю
170,Eichhörnchen::N,orava,кермн
171,Elch::N,hirvi,хандһа
172,Fuchs::N,kettu,арат
173,Hase::N,jänis,туула
174,Maus::N,hiiri,хулһн
175,Wolf::N,susi,чон
176,Vogel::N,lintu,шовун
177,Schwarm::N,parvi,зел
178,Huhn::N,kana,така
179,Hahn::N,kukko,эр така
180,Gans::N,hanhi,һалун
181,Adler::N,kotka,һәрд
182,Ente::N,ankka,нуһсн
183,Eule::N,pöllö,һурвлһ
184,Kranich::N,kurki,тоһрун
185,Krähe::N,varis,шаазһа
186,Kuckuck::N,käki,эргин хуцдг
187,Schwan::N,joutsen,хун
188,Fisch::N,kala,заһсн
189,Barsch::N,ahven,шүрг
190,Hecht::N,hauki,цурх
191,Schlange[Tier]::N,käärme,моһа
192,Wurm::N,mato,өтн
193,Spinne::N,hämähäkki,аралҗн
194,Ameise::N,muurahainen,шорһлҗн
195,Laus::N,täi,бөөсн
196,Mücke::N,sääski,бөкүн
197,Mücke::N,hyttynen,бөкүн
198,Fliege::N,kärpänen,батхн
199,Schmetterling::N,perhonen,эрвәкә
200,Beere::N,marja,бөөлҗрһн
201,Apfel::N,omena,альмн
202,Pilz::N,sieni,теңгрин ки
203,Zwiebel::N,sipuli,мәңгрснә толһа
204,Saat::N,siemenet,буудян экн
205,Korn::N,jyvä,экн
206,Korn::N,vilja,экн
207,Heu::N,heinä,өвсн
208,Schale::N,kuori,хальсн
209,Grube::N,kuoppa,нүкн
210,Falle::N,loukku,урх
211,Falle::N,loukku,хавх
212,Schlinge::N,ansa,бүтү
213,Spur::N,jälki,мөр
214,Asche::N,tuhka,үмсн
215,Dreck::N,lika,бальчг
216,Eisen::N,rauta,төмр
217,Gold::N,kulta,алтн
218,Silber::N,hopea,мөңгн
219,Silber::N,hopea,цаһан мөңгн
220,Kohle::N,hiili,нүүрсн
221,Glas::N,lasi,шил
222,Lehm::N,savi,шавр
223,Sand::N,hiekka,элсн
224,Mensch::N,ihminen,күн
225,Mensch::N,ihminen,күмн
226,Mann::N,mies,эр
227,Frau::N,nainen,күүкд күн
228,Kind::N,lapsi,үрн
229,Junge::N,poika,көвүн
230,Mädchen::N,tyttö,бичкн күүкн
231,Familie::N,perhe,бүл
232,Großvater::N,isoisä,өвк эцк
233,Großvater::N,isoisä,наһц эцк
234,Großmutter::N,isoäiti,эмг эк
235,Großmutter::N,isoäiti,наһц эк
236,Eltern::N,vanhemmat,эк эцк хойр
237,Vater::N,isä,эцк
238,Mutter::N,äiti,эк
239,Sohn::N,poika,көвүн
240,Tochter::N,tytär,күүкн
241,Bruder::N,veli,дү көвүн
242,Schwester::N,sisko,эгч
243,Schwester::N,sisko,дү күүкн
244,Onkel::N,eno,авһ
245,Onkel::N,eno,наһцх
246,Onkel::N,setä,авһ
247,Onkel::N,setä,наһцх
248,Tante::N,täti,наһц эгч
249,Ehemann::N,mies,залу
250,Ehemann::N,aviomies,залу
251,Ehefrau::N,vaimo,гергн
252,Ehefrau::N,aviovaimo,гергн
253,Freude::N,ilo,байр
254,Freude::N,riemu,байр
255,Gelächter::N,nauru,инәдн
256,Glück::N,onni,җирһл
257,Glück::N,onni,сәәхн җирһл
258,Kummer::N,suru,зовлң
259,Kummer::N,murhe,зовлң
260,Wunsch::N,toive,дурн
261,Wunsch::N,toivomus,дурн
262,Lust::N,himo,җилвтлһн
263,Geist::N,henki,зөрг
264,Gedanke::N,aate,ухан
265,Gedanke::N,ajatus,ухан
266,Gedächtnis::N,muisti,чееҗин тодлвр
267,Verstand::N,äly,ухан
268,Verstand::N,järki,ухан
269,Verstand::N,ymmärrys,ухан
270,Sinn::N,merkitys,учр-утх
271,Grund::N,syy,учр
272,Grund::N,syy,шалтан
273,Grund::N,peruste,учр
274,Grund::N,peruste,шалтан
275,Wahrheit::N,tosi,үнн
276,Wahrheit::N,totuus,үнн
277,Gespräch::N,puhelu,күүндвүр
278,Gespräch::N,keskustelu,күүндвүр
279,Märchen::N,satu,тууль
280,Erzählung::N,tarina,келвр
281,Erzählung::N,kertomus,келвр
282,Nachricht::N,tieto,медүллһн
283,Nachricht::N,ilmoitus,медүллһн
284,Neuigkeit::N,uutinen,зәңг
285,Name::N,nimi,нерн
286,Rätsel::N,arvoitus,тәәлвртә тууль
287,Rede::N,puhe,келлһн
288,Sprache::N,kieli,келн
289,Stimme::N,ääni,дун
290,Wort::N,sana,үг
291,Zeichen::N,merkki,темдг
292,Ruf::N,kutsu,дуудлһн
293,Lärm::N,melu,шууган
294,Lärm::N,hälinä,шууган
295,Laut::N,ääni,ә
296,Ton::N,sävel,дун
297,Lied::N,laulu,дун
298,Ruhe::N,lepo,амулң
299,Ruhe::N,rauha,амулң
300,Leute::N,väki,әмтн
301,Leute::N,ihmiset,әмтн
302,Volk::N,kansa,улс
303,Arbeit::N,työ,көдлмш
304,Gast::N,vieras,гиич
305,Geschenk::N,lahja,белг
306,Spiel::N,peli,наадн
307,Spiel::N,leikki,наадн
308,Gesellschaft::N,seura,олн
309,Hilfe::N,apu,нөкд
310,Freund::N,ystävä,иньг
311,Kamerad::N,toveri,үр
312,Angelegenheit::N,asia,керг
313,Anzahl::N,lukumäärä,то
314,Art::N,laji,зүүл
315,Stück::N,pala,хусг
316,Stück::N,kappale,хусг
317,Teil::N,osa,хүв
318,Hälfte::N,puoli,өрәл
319,Kreis::N,ympyrä,төгрг
320,Kreuz::N,risti,кирс
321,Linie::N,viiva,зурасн
322,Strich::N,piirto,татасн
323,Abstand::N,väli,зә
324,Abstand::N,väljyys,зә
325,Entfernung::N,etäisyys,һазр
326,Gegend::N,seutu,һазр
327,Platz::N,tila,зә
328,Ort::N,kohta,бәәрн
329,Ort::N,paikka,бәәрн
330,Seite::N,sivu,тал
331,Seite::N,sivu,хаҗу
332,Seite::N,sivu,хәврһ
333,Seite::N,kylki,тал
334,Seite::N,kylki,хаҗу
335,Seite::N,kylki,хәврһ
336,Mitte::N,keskus,дунд
337,Mitte::N,puoliväli,дунд
338,Gegenstand::N,kalu,юмн
339,Gegenstand::N,esine,юмн
340,Sache::N,asia,юмн
341,Rand::N,ääri,зах
342,Rand::N,syrjä,зах
343,Kante::N,särmä,ирмәг
344,Ecke::N,nurkka,өнцг
345,Spitze::N,terä,үзүр
346,Spitze::N,kärki,үзүр
347,Ende::N,pää,үзүр
