,Concept_ID,is,mhr
0,Auge::N,auga,шинча́
1,Ohr::N,eyra,пы́лыш
2,Nase::N,nef,нер
3,Mund::N,munnur,умша́
4,Zahn::N,tönn,пӱй
5,Zunge::N,tunga,йы́лме
6,Lippe::N,vör,тӱ́рвӧ
7,Wange::N,kinn,шӱ́ргӧ
8,Wange::N,vangi,шӱ́ргӧ
9,Gesicht::N,andlit,чури́й
10,Stirn::N,enni,саҥга́
11,Haar::N,hár,ӱп
12,Schnurrbart::N,yfirskegg,ӧ́рыш
13,Bart::N,skegg,понда́ш
14,Kinn::N,haka,оҥыла́ш
15,Kiefer[Anatomie]::N,kjálki,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,kjálki,пӱйората́
17,Kiefer[Anatomie]::N,skoltur,пӱйдӱ́ҥ
18,Kiefer[Anatomie]::N,skoltur,пӱйората́
19,Kehle::N,kverk,лога́р
20,Hals::N,háls,шӱй
21,Genick::N,hnakki,шӱйло́дыш
22,Kopf::N,höfuð,вуй
23,Rücken::N,hryggur,туп
24,Bauch::N,kviður,мӱ́шкыр
25,Nabel::N,nafli,кы́лымде
26,Busen::N,barmur,чы́зе
27,Brust::N,brjóst,оҥ
28,Schulter::N,öxl,ва́че
29,Arm::N,armur,кид
30,Ellenbogen::N,olnbogi,кынерву́й
31,Hand::N,hönd,кид
32,Hand::N,hönd,копа́
33,Handfläche::N,lófi,со́во
34,Finger::N,fingur,парня́
35,Fingernagel::N,fingurnögl,кидкӱ́ч
36,Fingernagel::N,fingurnögl,парнягӱ́ч
37,Nagel[Anatomie]::N,nögl,кӱч
38,Zeh::N,tá,йолварня́
39,Fuß::N,fótur,йол
40,Fuß::N,fótur,йолкопа́
41,Ferse::N,hæll,тага́н
42,Knie::N,kné,пулву́й
43,Oberschenkel::N,læri,э́рде
44,Bein::N,fótleggur,йол
45,Körper::N,búkur,кап
46,Körper::N,líkami,кап
47,Haut::N,húð,кова́ште
48,Haut::N,skinn,кова́ште
49,Blut::N,blóð,вӱр
50,Ader::N,æð,шӧн
51,Sehne::N,sin,шӧн
52,Sehne::N,sin,кӱсе́н
53,Knochen::N,bein,лу
54,Gehirn::N,heili,вем
55,Gehirn::N,heili,вуйве́м
56,Herz::N,hjarta,шӱм
57,Magen::N,magi,пага́р
58,Leber::N,lifur,мокш
59,Atem::N,andi,шӱ́лыш
60,Atem::N,andardráttur,шӱ́лыш
61,Hunger::N,hungur,шужыма́ш
62,Träne::N,tár,шинчавӱ́д
63,Geschmack::N,smekkur,там
64,Geruch::N,lykt,пуш
65,Schlaf::N,svefn,о́мо
66,Traum::N,draumur,йӱдо́мо
67,Himmel::N,himinn,кава́
68,Sonne::N,sól,ке́че
69,Mond::N,tungl,ты́лзе
70,Stern::N,stjarna,шӱ́дыр
71,Luft::N,loft,юж
72,Wind::N,vindur,марде́ж
73,Welle::N,alda,то́лкын
74,Welle::N,bylgja,то́лкын
75,Wasser::N,vatn,вӱд
76,Stein::N,steinn,кӱ
77,Boden::N,botn,рок
78,Erde::N,jörð,мла́нде
79,Staub::N,ryk,пура́к
80,Staub::N,duft,пура́к
81,Rauch::N,reykur,шикш
82,Funke::N,neisti,сеске́м
83,Funke::N,neisti,тулйы́п
84,Feuer::N,eldur,тул
85,Licht::N,ljós,со́то
86,Schatten::N,skuggi,ӱ́мыл
87,Wetter::N,veður,иге́че
88,Nebel::N,þoka,тӱтыра́
89,Wolke::N,ský,пыл
90,Regen::N,regn,йӱр
91,Schnee::N,snjór,лум
92,Eis::N,ís,ий
93,Frost::N,frost,чатлама́
94,Kälte::N,kuldi,йӱ́штӧ
95,Hitze::N,hiti,шо́кшо
96,Raureif::N,hrím,пӧрш
97,Raureif::N,hrím,по́кшым
98,Regenbogen::N,regnbogi,шонанпы́л
99,Donner::N,þruma,кӱ́дырчӧ
100,Strömung::N,straumur,йо́гын
101,Tropfen::N,dropi,чӱча́лтыш
102,Schaum::N,froða,шоҥ
103,Schmutz::N,óhreinindi,лавыра́
104,See::N,stöðuvatn,ер
105,Sumpf::N,fen,лӱ́кӧ
106,Moor::N,mýri,куп
107,Wiese::N,engi,о́лык
108,Wald::N,skógur,чодыра́
109,Hügel::N,hæð,арка́
110,Hügel::N,hóll,арка́
111,Anhöhe::N,hæð,тӧва́
112,Anhöhe::N,hæð,кӱкшака́
113,Anhöhe::N,hóll,тӧва́
114,Anhöhe::N,hóll,кӱкшака́
115,Berg::N,fell,ку́рык
116,Berg::N,fjall,ку́рык
117,Gipfel::N,tindur,чаҥга́
118,Gipfel::N,tindur,курыкву́й
119,Höhle::N,hellir,пеще́р
120,Höhle::N,hellir,курыкпо́мыш
121,Abhang::N,hlíð,та́йыл
122,Abhang::N,brekka,та́йыл
123,Quelle::N,lind,важ
124,Quelle::N,lind,вӱдшинча́
125,Quelle::N,uppspretta,важ
126,Quelle::N,uppspretta,вӱдшинча́
127,Bach::N,lækur,изэҥе́р
128,Fluss::N,á,эҥе́р
129,Fluss::N,fljót,эҥе́р
130,Ufer::N,árbakki,сер
131,Ufer::N,sjávarbakki,сер
132,Küste::N,strönd,вӱдтӱ́р
133,Festland::N,meginland,мла́нде
134,Meer::N,haf,те́ҥыз
135,Meer::N,sjór,те́ҥыз
136,Bucht::N,vík,икса́
137,Insel::N,eyja,отро́
138,Blume::N,blóm,пеле́дыш
139,Gras::N,gras,шу́до
140,Wurzel::N,rót,вож
141,Baum::N,tré,пуше́ҥге
142,Stamm::N,stofn,йы́тыр
143,Rinde::N,börkur,шӱм
144,Ast::N,grein,укш
145,Zweig::N,angi,торма́к
146,Zweig::N,kvistur,торма́к
147,Blatt::N,blað,лышта́ш
148,Birke::N,birki,куэ́
149,Kiefer[Baum]::N,fura,пӱ́нчӧ
150,Weide[Baum]::N,víðir,уа́
151,Tanne::N,greni,кож
152,Horn::N,horn,шур
153,Feder::N,fjöður,пы́стыл
154,Fell::N,skinn,кова́ште
155,Flügel::N,vængur,шу́лдыр
156,Klaue::N,kló,кӱч
157,Kralle::N,kló,ла́па
158,Kralle::N,kló,копа́
159,Schwanz::N,rófa,поч
160,Schwanz::N,skott,поч
161,Ei::N,egg,му́но
162,Nest::N,hreiður,пыжа́ш
163,Bau::N,greni,пыжа́ш
164,Bau::N,bæli,пыжа́ш
165,Tier::N,dýr,я́нлык
166,Tier::N,dýr,живо́тный
167,Herde::N,hjörð,кӱ́тӱ
168,Herde::N,hjörð,тӱшка́
169,Kuh::N,kýr,ушка́л
170,Bulle::N,boli,ӱ́шкыж
171,Pferd::N,hestur,и́мне
172,Schaf::N,kind,шо́рык
173,Schwein::N,svín,сӧсна́
174,Hund::N,hundur,пий
175,Katze::N,köttur,пы́рыс
176,Bär::N,björn,маска́
177,Eichhörnchen::N,íkorni,ур
178,Elch::N,elgur,шо́рдо
179,Fuchs::N,refur,ры́выж
180,Hase::N,héri,мера́ҥ
181,Maus::N,mús,коля́
182,Wolf::N,úlfur,пи́ре
183,Vogel::N,fugl,ка́йык
184,Schwarm::N,sægur,каша́к
185,Huhn::N,hæna,чы́ве
186,Hahn::N,hani,агыта́н
187,Gans::N,gæs,ко́мбо
188,Adler::N,örn,карагу́ш
189,Ente::N,önd,лу́до
190,Eule::N,uggla,тумна́
191,Kranich::N,trana,турня́
192,Krähe::N,kráka,кора́к
193,Kuckuck::N,gaukur,куку́
194,Schwan::N,svanur,йӱ́ксӧ
195,Fisch::N,fiskur,кол
196,Barsch::N,aborri,ола́ҥге
197,Hecht::N,gedda,нуж
198,Hecht::N,gedda,чорта́н
199,Schlange[Tier]::N,naðra,ки́шке
200,Wurm::N,ormur,шукш
201,Spinne::N,kónguló,эҥыре́мыш
202,Ameise::N,maur,ку́тко
203,Laus::N,lús,тий
204,Mücke::N,mý,шыҥа́
205,Mücke::N,mýfluga,шыҥа́
206,Fliege::N,fluga,ка́рме
207,Schmetterling::N,fiðrildi,лы́ве
208,Beere::N,ber,мӧр
209,Apfel::N,epli,олма́
210,Pilz::N,sveppur,по́ҥго
211,Zwiebel::N,laukur,шога́н
212,Saat::N,fræ,нӧ́шмӧ
213,Saat::N,fræ,туш
214,Saat::N,útsæði,нӧ́шмӧ
215,Saat::N,útsæði,туш
216,Korn::N,korn,шу́рно
217,Heu::N,hey,шу́до
218,Schale::N,hýði,шӱм
219,Grube::N,gryfja,выне́м
220,Falle::N,gildra,лӧ́дӧ
221,Schlinge::N,snara,о́птыш
222,Schlinge::N,snara,шӧрга́лтыш
223,Spur::N,spor,кыша́
224,Asche::N,aska,ло́мыж
225,Dreck::N,óþverri,лавыра́
226,Eisen::N,járn,кӱ́ртньӧ
227,Gold::N,gull,шӧ́ртньӧ
228,Silber::N,silfur,ший
229,Kohle::N,kol,мландышӱ́й
230,Glas::N,gler,янда́
231,Lehm::N,leir,шун
232,Sand::N,sandur,ошма́
233,Mensch::N,maður,еҥ
234,Mensch::N,maður,айде́ме
235,Mensch::N,manneskja,еҥ
236,Mensch::N,manneskja,айде́ме
237,Mann::N,maður,пӧръе́ҥ
238,Mann::N,karlmaður,пӧръе́ҥ
239,Frau::N,kona,ӱдырама́ш
240,Kind::N,barn,аза́
241,Kind::N,krakki,аза́
242,Junge::N,drengur,рве́зе
243,Mädchen::N,stelpa,ӱдыра́ш
244,Familie::N,fjölskylda,еш
245,Großvater::N,afi,коча́
246,Großmutter::N,amma,кова́
247,Eltern::N,foreldrar,ача́-ава́
248,Vater::N,faðir,ача́
249,Mutter::N,móðir,ава́
250,Sohn::N,sonur,э́рге
251,Tochter::N,dóttir,ӱ́дыр
252,Bruder::N,bróðir,иза́
253,Bruder::N,bróðir,шо́льо
254,Schwester::N,systir,ака́
255,Onkel::N,föðurbróðir,иза́
256,Tante::N,frænka,кока́
257,Tante::N,móðursystir,кока́
258,Ehemann::N,eiginmaður,мари́й
259,Ehefrau::N,eiginkona,ва́те
260,Freude::N,gleði,куа́н
261,Freude::N,gleði,куаныма́ш
262,Gelächter::N,hlátur,во́штылтыш
263,Glück::N,gæfa,пиа́л
264,Kummer::N,sorg,о́йго
265,Wunsch::N,ósk,ку́мыл
266,Lust::N,fýsn,ку́мыл
267,Lust::N,löngun,ку́мыл
268,Geist::N,andi,ӧрт
269,Geist::N,andi,чон
270,Gedanke::N,hugsun,ой
271,Gedanke::N,hugsun,шоныма́ш
272,Gedächtnis::N,minni,шарныма́ш
273,Verstand::N,vit,уш
274,Sinn::N,merking,смысл
275,Grund::N,ástæða,ама́л
276,Wahrheit::N,sannleikur,чын
277,Gespräch::N,samtal,мутланыма́ш
278,Märchen::N,ævintýri,йома́к
279,Erzählung::N,saga,ойлыма́ш
280,Nachricht::N,frétt,увертарыма́ш
281,Neuigkeit::N,frétt,уве́р
282,Name::N,nafn,лӱм
283,Rätsel::N,gáta,ту́што
284,Rede::N,ræða,ойлыма́ш
285,Sprache::N,mál,йы́лме
286,Sprache::N,tungumál,йы́лме
287,Stimme::N,rödd,йӱк
288,Wort::N,orð,ой
289,Wort::N,orð,мут
290,Zeichen::N,tákn,ти́ште
291,Zeichen::N,tákn,знак
292,Zeichen::N,merki,ти́ште
293,Zeichen::N,merki,знак
294,Ruf::N,kall,ӱжма́ш
295,Lärm::N,hávaði,лӱшкыма́ш
296,Lärm::N,hávaði,йӱк-йӱа́н
297,Laut::N,hljóð,йӱк
298,Ton::N,tónn,йӱксе́м
299,Lied::N,ljóð,му́ро
300,Lied::N,söngur,му́ро
301,Ruhe::N,ró,ты́мык
302,Ruhe::N,kyrrð,ты́мык
303,Leute::N,fólk,еҥ-влак
304,Volk::N,þjóð,ка́лык
305,Arbeit::N,vinna,паша́
306,Gast::N,gestur,уна́
307,Geschenk::N,gjöf,пӧле́к
308,Spiel::N,leikur,мо́дыш
309,Spiel::N,leikur,модма́ш
310,Gesellschaft::N,selskapur,тӱшка́
311,Hilfe::N,hjálp,по́лыш
312,Freund::N,vinur,таҥ
