,Concept_ID,se,fa
0,Auge::N,tjelmie,چشم
1,Auge::N,tjalmme,چشم
2,Auge::N,čalbmi,چشم
3,Auge::N,čalme,چشم
4,Auge::N,čâ´lmm,چشم
5,Auge::N,ча̄лльм,چشم
6,Ohr::N,bieljie,گوش
7,Ohr::N,biellje,گوش
8,Ohr::N,beallji,گوش
9,Ohr::N,pelji,گوش
10,Ohr::N,pe´llj,گوش
11,Ohr::N,пе̄лльй,گوش
12,Nase::N,njuenie,بینی
13,Nase::N,njunnje,بینی
14,Nase::N,njunni,بینی
15,Nase::N,njuṇe,بینی
16,Nase::N,njuu´nn,بینی
17,Nase::N,нюннҍ,بینی
18,Mund::N,njaelmie,دهان
19,Mund::N,njálmme,دهان
20,Mund::N,njálbmi,دهان
21,Mund::N,njälmi,دهان
22,Mund::N,njä´lmm,دهان
23,Mund::N,ня̄лльм,دهان
24,Zahn::N,baenie,دندان
25,Zahn::N,bádne,دندان
26,Zahn::N,bátni,دندان
27,Zahn::N,pääṇi,دندان
28,Zahn::N,pää´nn,دندان
29,Zahn::N,па̄ннҍ,دندان
30,Zunge::N,njoektjeme,زبان
31,Zunge::N,njuovtjav,زبان
32,Zunge::N,njuovčča,زبان
33,Zunge::N,njuovčâ,زبان
34,Zunge::N,njuhččâm,زبان
35,Zunge::N,нюхчем,زبان
36,Lippe::N,bangseme,لب
37,Lippe::N,njálmmerabdda,لب
38,Lippe::N,bavssa,لب
39,Lippe::N,poovsâ,لب
40,Lippe::N,põõus,لب
41,Lippe::N,пэ̄кс,لب
42,Wange::N,skiehrie,لپ
43,Wange::N,nierra,لپ
44,Wange::N,muohtu,لپ
45,Wange::N,nieṛâ,لپ
46,Wange::N,njiõrr,لپ
47,Wange::N,нӣрр,لپ
48,Gesicht::N,ååredæjja,رو
49,Gesicht::N,ååredæjja,چهره
50,Gesicht::N,muohto,رو
51,Gesicht::N,muohto,چهره
52,Gesicht::N,muođut,رو
53,Gesicht::N,muođut,چهره
54,Gesicht::N,ámadadju,رو
55,Gesicht::N,ámadadju,چهره
56,Gesicht::N,muáđuh,رو
57,Gesicht::N,muáđuh,چهره
58,Gesicht::N,muâđ,رو
59,Gesicht::N,muâđ,چهره
60,Gesicht::N,ка̄ссв,رو
61,Gesicht::N,ка̄ссв,چهره
62,Stirn::N,gaalloe,پیشانی
63,Stirn::N,gállo,پیشانی
64,Stirn::N,gállu,پیشانی
65,Stirn::N,kállu,پیشانی
66,Stirn::N,käll,پیشانی
67,Stirn::N,вуэххьц,پیشانی
68,Haar::N,voepte,مو
69,Haar::N,vuoppta,مو
70,Haar::N,vuokta,مو
71,Haar::N,vuop'tâ,مو
72,Haar::N,vuõpt,مو
73,Haar::N,вӯппт,مو
74,Schnurrbart::N,bijjie-skaavtjoe,سبیل
75,Schnurrbart::N,njunjevuolskávttjá,سبیل
76,Schnurrbart::N,seamu,سبیل
77,Schnurrbart::N,siämu,سبیل
78,Schnurrbart::N,ää´bben,سبیل
79,Schnurrbart::N,о̄а̄бпан,سبیل
80,Bart::N,skaavtja,ریش
81,Bart::N,skaavtjoe,ریش
82,Bart::N,skávttjá,ریش
83,Bart::N,seamu,ریش
84,Bart::N,siämu,ریش
85,Bart::N,seäm,ریش
86,Bart::N,ся̄м,ریش
87,Kinn::N,gaejpie,چانه
88,Kinn::N,gájbbe,چانه
89,Kinn::N,gáibi,چانه
90,Kinn::N,käibi,چانه
91,Kinn::N,käi´bb,چانه
92,Kinn::N,ка̄ййп,چانه
93,Kiefer[Anatomie]::N,gaejpie,فک
94,Kiefer[Anatomie]::N,gaejpie,آرواره
95,Kiefer[Anatomie]::N,oalol,فک
96,Kiefer[Anatomie]::N,oalol,آرواره
97,Kiefer[Anatomie]::N,oaloldákte,فک
98,Kiefer[Anatomie]::N,oaloldákte,آرواره
99,Kiefer[Anatomie]::N,gáibi,فک
100,Kiefer[Anatomie]::N,gáibi,آرواره
101,Kiefer[Anatomie]::N,uá'lultähti,فک
102,Kiefer[Anatomie]::N,uá'lultähti,آرواره
103,Kiefer[Anatomie]::N,vuâl'lõš,فک
104,Kiefer[Anatomie]::N,vuâl'lõš,آرواره
105,Kiefer[Anatomie]::N,вуаллнешш,فک
106,Kiefer[Anatomie]::N,вуаллнешш,آرواره
107,Kehle::N,gealoe,حلق
108,Kehle::N,tjåttå,حلق
109,Kehle::N,njiello,حلق
110,Kehle::N,čotta,حلق
111,Kehle::N,čuudâ,حلق
112,Kehle::N,čoodd,حلق
113,Kehle::N,чонт,حلق
114,Kehle::N,кэ̄ҏс,حلق
115,Hals::N,tjeapohke,گردن
116,Hals::N,tjiebet,گردن
117,Hals::N,čeabet,گردن
118,Hals::N,čiäppát,گردن
119,Hals::N,čeäppat,گردن
120,Hals::N,ча̄пэх,گردن
121,Genick::N,tjovrese,پشت گردن
