,Concept_ID,sl,it
0,Auge::N,okó,occhio
1,Ohr::N,uhó,orecchio
2,Nase::N,nós,naso
3,Mund::N,ústa,bocca
4,Zahn::N,zób,dente
5,Zunge::N,jêzik,lingua
6,Lippe::N,ústnica,labbro
7,Wange::N,líce,guancia
8,Gesicht::N,oblíčje,viso
9,Gesicht::N,oblíčje,faccia
10,Stirn::N,čêlo,fronte
11,Haar::N,lás,capello
12,Schnurrbart::N,bŕki,baffi
13,Schnurrbart::N,bŕki,mustacchi
14,Bart::N,bráda,barba
15,Kinn::N,bráda,mento
16,Kiefer[Anatomie]::N,čeljúst,mascella
17,Kehle::N,gŕlo,gola
18,Hals::N,vrát,collo
19,Genick::N,zatílnik,nuca
20,Kopf::N,gláva,capo
21,Kopf::N,gláva,testa
22,Rücken::N,hrbèt,dorso
23,Rücken::N,hrbèt,schiena
24,Bauch::N,trébuh,ventre
25,Nabel::N,pópek,ombelico
26,Busen::N,nédrja,seno
27,Brust::N,pŕsi,petto
28,Schulter::N,ráma,spalla
29,Schulter::N,plêče,spalla
30,Arm::N,rôka,braccio
31,Ellenbogen::N,komólec,gomito
32,Hand::N,rôka,mano
33,Handfläche::N,dlán,palma
34,Finger::N,pŕst,dito
35,Fingernagel::N,nóht na rôki,unghia
36,Nagel[Anatomie]::N,nóht,unghia
37,Zeh::N,pŕst na nôgi,dito del piede
38,Fuß::N,nôga,piede
39,Ferse::N,pêta,tallone
40,Ferse::N,pêta,calcagno
41,Knie::N,koléno,ginocchio
42,Oberschenkel::N,stêgno,fèmore
43,Bein::N,nôga,gamba
44,Körper::N,teló,corpo
45,Haut::N,kóža,pelle
46,Blut::N,krí,sangue
47,Ader::N,žíla,vena
48,Sehne::N,kíta,tèndine
49,Knochen::N,kóst,osso
50,Gehirn::N,možgáni,cervello
51,Herz::N,srcé,cuore
52,Magen::N,želódec,stòmaco
53,Leber::N,jétra,fegato
54,Atem::N,díh,fiato
55,Atem::N,díh,respiro
56,Hunger::N,glád,fame
57,Träne::N,sólza,làcrima
58,Geschmack::N,okús,gusto
59,Geschmack::N,okús,sapore
60,Geruch::N,vónj,odore
61,Schlaf::N,sèn,sonno
62,Schlaf::N,spánec,sonno
63,Traum::N,sánje,sogno
64,Himmel::N,nebó,cielo
65,Sonne::N,sónce,sole
66,Mond::N,lúna,luna
67,Mond::N,mésec,luna
68,Stern::N,zvézda,stella
69,Luft::N,zràk,aria
70,Wind::N,véter,vento
71,Welle::N,vál,onda
72,Wasser::N,vôda,acqua
73,Stein::N,kámen,sasso
74,Stein::N,kámen,pietra
75,Boden::N,tlà,suolo
76,Boden::N,tlà,terreno
77,Erde::N,pŕst,terra
78,Erde::N,zêmlja,terra
79,Staub::N,práh,polvere
80,Rauch::N,dìm,fumo
81,Funke::N,ískra,scintilla
82,Feuer::N,ôgenj,fuoco
83,Licht::N,lúč,luce
84,Schatten::N,sénca,ombra
85,Wetter::N,vrême,tempo
86,Nebel::N,meglà,nebbia
87,Wolke::N,oblák,nube
88,Wolke::N,oblák,nùvola
89,Regen::N,dèž,pioggia
90,Schnee::N,snég,neve
91,Eis::N,léd,ghiaccio
92,Frost::N,zmrzál,gelo
93,Kälte::N,mràz,freddo
94,Hitze::N,pripéka,caldo
95,Hitze::N,pripéka,calura
96,Raureif::N,ívje,brina
97,Raureif::N,slána,brina
98,Regenbogen::N,mávrica,arcobaleno
99,Donner::N,gròm,tuono
100,Strömung::N,strúja,corrente
101,Tropfen::N,káplja,goccia
102,Schaum::N,péna,spuma
103,Schaum::N,péna,schiuma
104,Schmutz::N,nesnága,sudiciume
105,See::N,jézero,lago
106,Sumpf::N,močvírje,palude
107,Moor::N,bárje,torbiera
108,Wiese::N,trávnik,prato
109,Wald::N,lés,bosco
110,Wald::N,lés,foresta
111,Wald::N,gòzd,bosco
112,Wald::N,gòzd,foresta
113,Hügel::N,brég,colle
114,Hügel::N,brég,collina
115,Hügel::N,goríca,colle
116,Hügel::N,goríca,collina
117,Anhöhe::N,gríč,altura
118,Anhöhe::N,višína,altura
119,Berg::N,gôra,monte
120,Berg::N,gôra,montagna
121,Berg::N,planína,monte
122,Berg::N,planína,montagna
123,Gipfel::N,vŕh,cima
124,Höhle::N,jáma,grotta
125,Höhle::N,jáma,caverna
126,Höhle::N,votlína,grotta
127,Höhle::N,votlína,caverna
128,Abhang::N,pobóčje,pendìo
129,Quelle::N,izvír,sorgente
130,Bach::N,pôtok,ruscello
131,Fluss::N,réka,fiume
132,Ufer::N,brég,riva
133,Küste::N,obála,costa
134,Küste::N,obréžje,costa
135,Festland::N,celína,terraferma
136,Festland::N,kopnína,terraferma
137,Meer::N,mórje,mare
138,Bucht::N,zalív,cala
139,Insel::N,ôtok,ìsola
140,Blume::N,cvetlíca,fiore
141,Gras::N,tráva,erba
142,Wurzel::N,korenína,radice
143,Baum::N,drevó,àlbero
144,Stamm::N,dêblo,tronco
145,Rinde::N,lúbje,corteccia
146,Rinde::N,skórja,corteccia
147,Ast::N,véja,ramo
148,Zweig::N,véja,ramo
149,Blatt::N,líst,foglia
150,Birke::N,bréza,betulla
151,Kiefer[Baum]::N,bòr,pino
152,Weide[Baum]::N,vŕba,sàlice
153,Tanne::N,hója,abete
154,Horn::N,róg,corno
155,Feder::N,peró,penna
156,Fell::N,kŕzno,manto
157,Fell::N,kŕzno,pelame
158,Flügel::N,krílo,ala
159,Klaue::N,párkelj,grinfia
160,Kralle::N,krémpelj,unghia
161,Kralle::N,krémpelj,artiglio
162,Schwanz::N,rèp,coda
163,Ei::N,jájce,uovo
164,Nest::N,gnézdo,nido
165,Bau::N,brlòg,covo
166,Tier::N,živál,bestia
167,Tier::N,živál,animale
168,Herde::N,čréda,gregge
169,Kuh::N,kráva,vacca
170,Bulle::N,bìk,toro
171,Pferd::N,kònj,cavallo
172,Schaf::N,ôvca,pècora
173,Schwein::N,svínja,porco
174,Schwein::N,svínja,maiale
175,Hund::N,pès,cane
176,Katze::N,máčka,gatta
177,Bär::N,mêdved,orso
178,Eichhörnchen::N,véverica,scoiàttolo
179,Elch::N,lós,alce
180,Fuchs::N,lisíca,volpe
181,Hase::N,zájec,lepre
182,Maus::N,mìš,topo
183,Maus::N,mìš,sorcio
184,Wolf::N,vólk,lupo
185,Vogel::N,ptìč,uccello
186,Vogel::N,ptíca,uccello
187,Schwarm::N,játa,stormo
188,Huhn::N,kokóš,gallina
189,Hahn::N,petêlin,gallo
190,Gans::N,gós,oca
191,Adler::N,ôrel,àquila
192,Ente::N,ráca,ànatra
193,Eule::N,sôva,gufo
194,Eule::N,sôva,civetta
195,Kranich::N,žerjàv,gru
196,Krähe::N,vrána,cornacchia
197,Kuckuck::N,kúkavica,cuccù
198,Kuckuck::N,kúkavica,cùculo
199,Schwan::N,labód,cigno
200,Fisch::N,ríba,pesce
201,Barsch::N,ostríž,pèrsico
202,Hecht::N,ščúka,luccio
203,Schlange[Tier]::N,káča,serpente
204,Wurm::N,čr̀v,baco
205,Wurm::N,čr̀v,verme
206,Wurm::N,glísta,baco
207,Wurm::N,glísta,verme
208,Spinne::N,pájek,ragno
209,Ameise::N,mrávlja,formica
210,Laus::N,úš,pidocchio
211,Mücke::N,komár,zanzara
212,Fliege::N,múha,mosca
213,Schmetterling::N,metúlj,farfalla
214,Beere::N,jágoda,bacca
215,Apfel::N,jábolko,mela
216,Pilz::N,góba,fungo
217,Zwiebel::N,čebúla,cipolla
218,Saat::N,séme,semente
219,Korn::N,zŕno,grano
220,Heu::N,senó,fieno
221,Schale::N,lupína,buccia
222,Grube::N,jáma,cava
223,Grube::N,jáma,fossa
224,Falle::N,pást,tràppola
225,Schlinge::N,zánka,laccio
226,Schlinge::N,pêtlja,laccio
227,Spur::N,sléd,traccia
228,Asche::N,pepél,cenere
229,Dreck::N,bláto,fango
230,Eisen::N,želézo,ferro
231,Gold::N,zlató,oro
232,Silber::N,srebró,argento
233,Kohle::N,ógel,carbone
234,Glas::N,stêklo,vetro
235,Lehm::N,ílo,argilla
236,Sand::N,pések,arena
237,Sand::N,pések,sabbia
238,Mensch::N,člôvek,uomo
239,Mensch::N,člôvek,èssere umano
240,Mann::N,móž,uomo
241,Mann::N,môški,uomo
242,Frau::N,gospá,donna
243,Frau::N,žénska,donna
244,Kind::N,déte,bambino
245,Kind::N,otròk,bambino
246,Junge::N,fànt,ragazzo
247,Junge::N,déček,ragazzo
248,Mädchen::N,deklè,ragazza
249,Mädchen::N,déklica,ragazza
250,Familie::N,družína,famiglia
251,Großvater::N,dèd,nonno
252,Großvater::N,dédek,nonno
253,Großmutter::N,bábica,nonna
254,Eltern::N,stárši,genitori
255,Vater::N,ôče,padre
256,Mutter::N,máma,madre
257,Sohn::N,sín,figlio
258,Tochter::N,hčí,figlia
259,Tochter::N,hčérka,figlia
260,Bruder::N,bràt,fratello
261,Schwester::N,sêstra,sorella
262,Onkel::N,újec,zio
263,Onkel::N,stríc,zio
264,Tante::N,têta,zia
265,Tante::N,strína,zia
266,Ehemann::N,móž,marito
267,Ehemann::N,sopróg,marito
268,Ehefrau::N,žêna,moglie
269,Ehefrau::N,sopróga,moglie
270,Freude::N,rádost,gioia
271,Freude::N,rádost,piacere
272,Freude::N,vesêlje,gioia
273,Freude::N,vesêlje,piacere
274,Gelächter::N,sméh,risata
275,Gelächter::N,grohòt,risata
276,Glück::N,sréča,felicità
277,Kummer::N,gorjé,afflizione
278,Wunsch::N,žêlja,desiderio
279,Lust::N,poželênje,voglia
280,Geist::N,dúša,mente
281,Geist::N,dúša,spìrito
282,Gedanke::N,mísel,idea
