,Concept_ID,kk,sq
0,Auge::N,көз,sy
1,Ohr::N,құлақ,vesh
2,Nase::N,мұрын,hundë
3,Mund::N,ауыз,gojë
4,Zahn::N,тіс,dhëmb
5,Zunge::N,тіл,gjuhë
6,Lippe::N,ерін,buzë
7,Wange::N,ұрт,faqe
8,Wange::N,ұрт,mollëz
9,Gesicht::N,бет-аузы,fytyrë
10,Stirn::N,маңдай,ballë
11,Haar::N,қыл,flokë
12,Schnurrbart::N,мұрт,mustaqe
13,Bart::N,сақал,mjekër
14,Kinn::N,иек,mjekër
15,Kiefer[Anatomie]::N,жақ,nofull
16,Kehle::N,алқым,fyt
17,Kehle::N,алқым,grykë
18,Hals::N,мойын,qafë
19,Genick::N,желке,arrëz
20,Kopf::N,кәллә,kokë
21,Rücken::N,арқа,kurriz
22,Bauch::N,қарын,bark
23,Nabel::N,кіндік,kërthizë
24,Busen::N,омырау,gji
25,Brust::N,кеуде,gjoks
26,Brust::N,кеуде,kraharor
27,Schulter::N,иық,sup
28,Schulter::N,иық,krah
29,Arm::N,қол,krah
30,Ellenbogen::N,шынтақ,bërryl
31,Hand::N,қол,dorë
32,Handfläche::N,алақан,pëllëmbë
33,Finger::N,саусақ,gisht
34,Fingernagel::N,тырнақ,thua
35,Nagel[Anatomie]::N,тырнақ,thua
36,Zeh::N,тырнақ,gisht i këmbës
37,Zeh::N,тұяқ,gisht i këmbës
38,Fuß::N,аяқ-басы,këmbë
39,Ferse::N,өкше,thembër
40,Ferse::N,өкшелік,thembër
41,Knie::N,тізе,gju
42,Oberschenkel::N,жамбас,kofshë
43,Bein::N,аяқ,këmbë
44,Körper::N,дене,trup
45,Haut::N,тері,lëkurë
46,Blut::N,қан,gjak
47,Ader::N,көктамыр,venë
48,Ader::N,күретамыр,venë
49,Sehne::N,сіңір,dell
50,Knochen::N,жілік,asht
51,Knochen::N,жілік,kockë
52,Gehirn::N,ми,tru
53,Herz::N,жүрек,zemër
54,Magen::N,асқазан,stomak
55,Leber::N,бауыр,mëlçi
56,Atem::N,леп,frymë
57,Hunger::N,ашаршылық,uri
58,Träne::N,жас,lot
59,Geschmack::N,дәм,shije
60,Geschmack::N,татым,shije
61,Geschmack::N,талғам,shije
62,Geruch::N,иіс,erë
63,Schlaf::N,ұйқы,gjumë
64,Schlaf::N,ұйықтау,gjumë
65,Traum::N,түс,ëndërr
66,Himmel::N,аспан,qiell
67,Himmel::N,көқ,qiell
68,Himmel::N,таңдай,qiell
69,Sonne::N,күн,diell
70,Mond::N,ай,hënë
71,Stern::N,жұлдыз,yll
72,Luft::N,әуе,ajër
73,Wind::N,жел,erë
74,Welle::N,толқын,valë
75,Welle::N,толқын,dallgë
76,Wasser::N,су,ujë
77,Stein::N,тас,gur
78,Boden::N,қыртыс,tokë
79,Boden::N,қыртыс,truall
80,Erde::N,топырақ,dhe
81,Erde::N,топырақ,baltë
82,Staub::N,шаң,pluhur
83,Rauch::N,түтін,tym
84,Funke::N,ұшқын,xixë
85,Funke::N,ұшқын,shkëndijë
86,Feuer::N,алау,zjarr
87,Licht::N,шұғыла,dritë
88,Schatten::N,көлеңке,hije
89,Wetter::N,ауа райы,mot
90,Nebel::N,тұман,mjegull
91,Wolke::N,бұлт,re
92,Regen::N,жаңбыр,shi
93,Schnee::N,қар,borë
94,Eis::N,мұз,akull
95,Frost::N,суық,ngricë
96,Kälte::N,ызғар,të ftohtë
97,Kälte::N,суықтық,të ftohtë
98,Hitze::N,аптап,vapë
99,Hitze::N,аптап,nxehtësi
100,Raureif::N,қырау,cikmë
101,Regenbogen::N,кемпірқосақ,ylber
102,Donner::N,күн күркіреу,gjëmim
103,Donner::N,күн күркіреу,bubullimë
104,Strömung::N,ағын,rrymë
105,Tropfen::N,тамшы,pikë
106,Schaum::N,көбік,shkumë
107,Schmutz::N,кір,baltë
108,See::N,көл,liqen
109,Sumpf::N,саз,batak
110,Moor::N,саз,kënetë
111,Wiese::N,шалғын,livadh
112,Wald::N,орман,pyll
113,Hügel::N,төбе,kodër
114,Hügel::N,белес,kodër
115,Hügel::N,белес-белес,kodër
116,Anhöhe::N,дөң,bregore
117,Anhöhe::N,адыр,bregore
118,Anhöhe::N,қырат,bregore
119,Berg::N,тау,mal
120,Gipfel::N,төбе,kulm
121,Höhle::N,үңгір,shpellë
122,Höhle::N,үңгір,zgafelle
123,Abhang::N,бауыр,shpat
124,Abhang::N,бауыр,tatëpjetë
125,Quelle::N,қайнар,krua
126,Quelle::N,қайнар,burim
127,Bach::N,жылға,virua
128,Fluss::N,өзен,lumë
129,Ufer::N,жиек,breg
130,Küste::N,жиегі,anëdet
131,Küste::N,жиегі,bregdet
132,Küste::N,жағалау,anëdet
133,Küste::N,жағалау,bregdet
134,Festland::N,құрылық,kontinent
135,Meer::N,теңіз,det
136,Bucht::N,шығанақ,gji deti
137,Insel::N,арал,ishull
138,Insel::N,арал,ujdhesë
139,Blume::N,гүл,lule
140,Gras::N,от,bar
141,Wurzel::N,түбір,rrënjë
142,Baum::N,ағаш,pemë
143,Baum::N,дарақ,pemë
144,Stamm::N,сояу,trung
145,Stamm::N,оқпан,trung
146,Rinde::N,қабық,lëvore
147,Ast::N,бұтақ,degë
148,Zweig::N,шыбық,bisk
149,Blatt::N,жапырақ,fletë
150,Blatt::N,жапырақ,gjethe
151,Birke::N,қайың,mështekën
152,Kiefer[Baum]::N,қарағай,pishë
153,Weide[Baum]::N,тал,shelg
154,Tanne::N,шырша,bredh
155,Horn::N,мүйіз,bri
156,Feder::N,қаламұш,pupël
157,Fell::N,тері,lëkurë
158,Flügel::N,қанат,krah
159,Flügel::N,қанат,fletë
160,Klaue::N,тырнақ,kthetër
161,Kralle::N,аяқ,thua
162,Kralle::N,аяқ,kthetër
163,Schwanz::N,құйрық,bisht
164,Ei::N,жұмыртқа,vezë
165,Nest::N,ұя,fole
166,Bau::N,жатақ,strofkë
167,Tier::N,айуан,kafshë
168,Tier::N,жануар,kafshë
169,Herde::N,пада,kope
170,Herde::N,пада,grigjë
171,Kuh::N,сиыр,lopë
172,Bulle::N,өгіз,dem
173,Pferd::N,жылқы,kalë
174,Schaf::N,қой,dele
175,Schwein::N,шошқа,derr
176,Hund::N,ит,qen
177,Katze::N,мысық,mace
178,Bär::N,аю,ari
179,Eichhörnchen::N,тиін,ketër
180,Elch::N,бұғы,dre brilopatë
181,Fuchs::N,түлкі,dhelpër
182,Hase::N,қоян,lepur
183,Maus::N,қаптесер,mi
184,Wolf::N,бөрі,ujk
185,Wolf::N,қасқыр,ujk
186,Vogel::N,құс,zog
187,Vogel::N,құс,shpend
188,Schwarm::N,топ,luzmë
189,Schwarm::N,үйір,luzmë
190,Huhn::N,тауық,pulë
191,Huhn::N,мекиен,pulë
192,Hahn::N,әтеш,gjel
193,Hahn::N,әтеш,këndes
194,Hahn::N,қораз,gjel
195,Hahn::N,қораз,këndes
196,Gans::N,қаз,patë
197,Adler::N,бүркіт,shqiponjë
198,Ente::N,үйрек,rosë
199,Eule::N,жапалақ,buf
200,Kranich::N,тырна,lejlek
201,Kranich::N,тырна,kurrillë
202,Krähe::N,қарға,sorrë
203,Kuckuck::N,көкек,qyqe
204,Schwan::N,аққу,mjellmë
205,Fisch::N,балық,peshk
206,Barsch::N,алабұға,purtekë
207,Hecht::N,шортан,mlysh
208,Schlange[Tier]::N,жылан,gjarpër
209,Wurm::N,шұбалшаң,krimb
210,Spinne::N,өрмекші,marimangë
211,Ameise::N,қүмырска,thnegël
212,Ameise::N,қүмырска,milingonë
213,Laus::N,бит,morr
214,Mücke::N,маса,kunup
215,Mücke::N,маса,mushkonjë
216,Fliege::N,шыбын,mizë
217,Schmetterling::N,көбелек,flutur
218,Beere::N,жидек,frutë
219,Beere::N,жидек,manaferrë
220,Apfel::N,алма,mollë
221,Pilz::N,қозықұйрық,kërpudhë
222,Pilz::N,саңыраукулақ,kërpudhë
223,Zwiebel::N,жуа,qepë
224,Saat::N,тұқым,farë
225,Korn::N,дән,grurë
226,Korn::N,дән,kokërr
227,Heu::N,шөп,sanë
228,Schale::N,қабық,lëkurë
229,Schale::N,қабығы,lëkurë
230,Grube::N,ор,gropë
231,Falle::N,дұзақ,kurth
232,Falle::N,дұзақ,grackë
233,Falle::N,қақпан,kurth
234,Falle::N,қақпан,grackë
235,Schlinge::N,ілмек,nyjë
236,Spur::N,із,gjurmë
237,Asche::N,күл,hi
238,Dreck::N,былғаныш,baltë
239,Eisen::N,темір,hekur
240,Gold::N,алтын,ar
241,Gold::N,алтын,flori
242,Silber::N,күміс,argjend
243,Kohle::N,көмір,qymyr
244,Glas::N,шыны,qelq
245,Lehm::N,балшық,argjilë
246,Sand::N,құм,rërë
247,Mensch::N,адам,njeri
248,Mann::N,еркек,burrë
