,Concept_ID,mn,ka
0,Auge::N,нүд,თვალი
1,Ohr::N,чих,ყური
2,Nase::N,хамар,ცხვირი
3,Mund::N,ам,პირი
4,Zahn::N,шүд,კბილი
5,Zunge::N,хэл,ენა
6,Lippe::N,уруул,ბაგე
7,Wange::N,хацар,ლოყა
8,Gesicht::N,царай,სახე
9,Gesicht::N,нүүр,სახე
10,Stirn::N,дух,შუბლი
11,Haar::N,үс,თმა
12,Schnurrbart::N,дээд сахал,ულვაში
13,Schnurrbart::N,живэр сахал,ულვაში
14,Bart::N,сахал,წვერი
15,Kinn::N,эрүү,ნიკაპი
16,Kiefer[Anatomie]::N,эрүү,ყბა
17,Kehle::N,хоолой,ყელი
18,Hals::N,хүзүү,ყელი
19,Hals::N,хүзүү,კისერი
20,Genick::N,шил,კეფა
21,Genick::N,хүзүү,კეფა
22,Kopf::N,толгой,თავი
23,Rücken::N,ар,ზურგი
24,Rücken::N,нуруу,ზურგი
25,Bauch::N,хэвлий,მუცელი
26,Bauch::N,гэдэс,მუცელი
27,Nabel::N,хүйс,ჭიპი
28,Busen::N,хөх,ძუძუ
29,Brust::N,цээж,მკერდი
30,Schulter::N,мөр,მხარი
31,Schulter::N,мөр,მკლავი
32,Schulter::N,бугалга,მხარი
33,Schulter::N,бугалга,მკლავი
34,Arm::N,гар,ხელი
35,Ellenbogen::N,тохой,იდაყვი
36,Hand::N,гар,ხელი
37,Hand::N,алга,ხელი
38,Handfläche::N,алга,ნები
39,Handfläche::N,алга,ხელისგული
40,Finger::N,хуруу,თითი
41,Fingernagel::N,хурууны хумс,ფრჩხილი
42,Nagel[Anatomie]::N,хумс,ფრჩხილი
43,Zeh::N,хуруу,ფეხის თითი
44,Fuß::N,хөл,ტერფი
45,Fuß::N,хөл,ფეხისგული
46,Ferse::N,өсгий,ქუსლი
47,Knie::N,өвдөг,მუხლი
48,Oberschenkel::N,гуя,ბარძაყი
49,Bein::N,хөл,ფეხი
50,Körper::N,бие,ტანი
51,Körper::N,бие,სხეული
52,Haut::N,арьс,კანი
53,Blut::N,цус,სისხლი
54,Ader::N,судас,ძარღვი
55,Sehne::N,бүлх,მყესი
56,Sehne::N,шандас,მყესი
57,Knochen::N,яс,ძვალი
58,Gehirn::N,тархи,ტვინი
59,Herz::N,зүрх,გული
60,Magen::N,ходоод,კუჭი
