,Concept_ID,ta,no
0,Auge::N,கண்,øye
1,Ohr::N,காது,øre
2,Nase::N,மூக்கு,nese
3,Mund::N,வாய்,munn
4,Zahn::N,பல்,tann
5,Zunge::N,நாக்கு,tunge
6,Lippe::N,உதடு,leppe
7,Wange::N,கன்னம்,kinn
8,Gesicht::N,முகம்,fjes
9,Gesicht::N,முகம்,ansikt
10,Stirn::N,முன்னெற்றி,panne
11,Haar::N,முடி,hår
12,Schnurrbart::N,மீசை,bart
13,Bart::N,தாடி,skjegg
14,Kinn::N,கீழதாடை,hake
15,Kiefer[Anatomie]::N,தாடை,kjeve
16,Kehle::N,தொண்டை,strupe
17,Hals::N,கழுத்து,hals
18,Genick::N,கழுத்து,nakke
19,Kopf::N,தலை,hode
20,Rücken::N,முதுகு,rygg
21,Bauch::N,வயிறு,buk
22,Bauch::N,வயிறு,mage
23,Nabel::N,தொப்புள்,navle
24,Busen::N,மார்பகம்,barm
25,Brust::N, மார்பு,bryst
26,Schulter::N,தோள்பட்டை,skulder
27,Arm::N,கரம்,arm
28,Ellenbogen::N,முழங்கை,albue
29,Hand::N,கை,hånd
30,Handfläche::N,உள்ளங்கை,håndflate
31,Finger::N,விரல்,finger
32,Fingernagel::N,விரல் நகம்,fingernegl
33,Nagel[Anatomie]::N,நகம்,negl
34,Zeh::N,கால்விரல்,tå
35,Fuß::N,கால்,fot
36,Ferse::N,குதிகால்,hæl
37,Knie::N,முழங்கால்,kne
38,Oberschenkel::N,தொடை,lår
39,Bein::N,கால்,bein
40,Körper::N,உடல்,kropp
41,Körper::N,உடல்,legeme
42,Haut::N,சருமம்,hud
43,Haut::N,சருமம்,skinn
44,Blut::N,இரத்தம்,blod
45,Ader::N,நாளம்,åre
46,Sehne::N,தசைநார்,sene
47,Knochen::N,எலுமபு,bein
48,Knochen::N,எலுமபு,knokkel
49,Gehirn::N,மூனை,hjerne
50,Herz::N,இதயம,hjerte
51,Magen::N,வயிறு,mage
52,Leber::N,கல்லீரல்,lever
53,Atem::N,மூச்சு,pust
54,Hunger::N,பசி,sult
55,Träne::N,கண்ணீர்,tåre
56,Geschmack::N,நறுமணம்,smak
57,Geruch::N,துர்நாற்றம்,lukt
58,Schlaf::N,தூக்கம்,søvn
59,Traum::N,கனவு,drøm
60,Himmel::N,வானம்,himmel
61,Sonne::N,சூரியன்,sol
62,Mond::N,சந்திரன்,måne
63,Stern::N,நட்சத்திரம்,stjerne
64,Luft::N,காறறு,luft
65,Wind::N,காற்று,vind
66,Welle::N,அலை,bølge
67,Wasser::N,நீர்,vann
68,Stein::N,கல்,stein
69,Boden::N,தரை,bakke
70,Erde::N,மண்,jord
71,Staub::N,தூசி,støv
72,Rauch::N,புகை,røyk
73,Funke::N,தீப்பொறி,gnist
74,Feuer::N,தீ,ild
75,Licht::N,வெளிச்சம்,lys
76,Schatten::N,நிழல்,skygge
77,Wetter::N,வானிலை,vær
78,Nebel::N,பனிமூட்டம்,tåke
79,Wolke::N,மேகம்,sky
80,Regen::N,மழை,regn
81,Schnee::N,உறைபனி,snø
82,Eis::N,பனிக்கட்டி,is
83,Frost::N,உறைபனி,frost
84,Kälte::N,குளிர்ந்த,kulde
85,Hitze::N,சூடு,hete
86,Raureif::N,உறைபனி வெண்திரை,rimfrost
87,Regenbogen::N,வானவில்,regnbue
88,Donner::N,இடி,torden
89,Strömung::N,நீரோட்டம்,strømning
90,Tropfen::N,துளி,dråpe
91,Schaum::N,நுரை,skum
92,Schmutz::N,அழுக்கு,søl
93,Schmutz::N,அழுக்கு,skitt
94,See::N,ஏரி,sjø
95,Sumpf::N,சதுப்பு நிலம்,sump
96,Sumpf::N,சதுப்பு நிலம்,myrlende
97,Moor::N,முட்புதற்காடு,myr
98,Moor::N,முட்புதற்காடு,myrhei
99,Wiese::N,பசும் புல்தரை,eng
100,Wald::N,காடு,skog
101,Hügel::N,குன்று,haug
102,Hügel::N,குன்று,bakke
103,Anhöhe::N,பதுக்கை,haug
104,Anhöhe::N,பதுக்கை,bakke
105,Berg::N,மலை,berg
106,Berg::N,மலை,fjell
107,Gipfel::N,உச்சி மாநாடு,topp
108,Höhle::N,குகை,hule
109,Abhang::N,சரிவு,li
110,Abhang::N,சரிவு,skråning
111,Quelle::N,மூலம்,kilde
112,Bach::N,ஓடை,bekk
113,Fluss::N,ஆறு,elv
114,Ufer::N,நீர்க்கரை,bredd
115,Küste::N,கடற்கரை,kyst
116,Festland::N,நிலம்,fastland
117,Meer::N,கடல்,hav
118,Bucht::N,சிறுகுடா,bukt
119,Insel::N,தீவு,øy
120,Blume::N,பூ,blomst
121,Gras::N,புல்தரை,gress
122,Wurzel::N,வேர்,rot
123,Baum::N,மரம்,tre
124,Stamm::N,அடிமரம்,stamme
125,Rinde::N,பட்டை,bark
126,Rinde::N,மரப்பட்டை,bark
127,Ast::N,கினை,gren
128,Zweig::N,குச்சி,kvist
129,Blatt::N,இலை,blad
130,Birke::N,பிர்ச் மரம்,bjørk
131,Kiefer[Baum]::N,தேவதாரு மரம்,furu
132,Weide[Baum]::N,மர வகைகளுள் ஒன்று,selje
133,Weide[Baum]::N,மர வகைகளுள் ஒன்று,piletre
134,Tanne::N,சாதிக்கய்,gran
135,Horn::N,கொம்பு,horn
136,Feder::N,இறகு,fjær
137,Fell::N,மென்முடி,skinn
138,Flügel::N,இறக்கை,vinge
139,Klaue::N,நகம்,klauv
140,Kralle::N,நகம்,klo
141,Schwanz::N,வால்,hale
142,Ei::N,முட்டை,egg
143,Nest::N,கூடு,rede
144,Bau::N,குகை,hi
145,Tier::N,விலங்கு,dyr
146,Herde::N,கூட்டம்,flokk
147,Kuh::N,பசு,ku
148,Bulle::N,காளை,tyr
149,Pferd::N,குதிரை,hest
150,Schaf::N,செம்மறிஆடு,får
151,Schwein::N,பன்றி,gris
152,Hund::N,நாய்,hund
153,Katze::N,பூனை,katt
154,Bär::N,கரடி,bjørn
155,Eichhörnchen::N,அணில்,ekorn
156,Elch::N,கடம்பை,elg
157,Fuchs::N,நரி,rev
158,Hase::N,முயல்,hare
159,Maus::N,எலி,mus
160,Wolf::N,ஓநாய்,ulv
161,Wolf::N,ஓநாய்,varg
162,Vogel::N,பறவை,fugl
163,Schwarm::N,தொகுதி,sverm
164,Huhn::N,கோழிக்குஞசு,høne
165,Hahn::N,சேவல்,hane
166,Gans::N,பெண் வாத்து,gås
167,Adler::N,பருநது,ørn
168,Ente::N,வாத்து,and
169,Eule::N,ஆந்தை,ugle
170,Kranich::N,நாரை,trane
171,Krähe::N,காகம்,kråke
172,Kuckuck::N,குயில்,gjøk
173,Schwan::N,அன்னம்,svane
174,Fisch::N,மீன்,fisk
175,Barsch::N,பேர்ச்,abbor
176,Hecht::N,கோலாச்சி மீன்,gjedde
177,Schlange[Tier]::N,பாம்பு,orm
178,Schlange[Tier]::N,பாம்பு,slange
179,Wurm::N,புழு,orm
180,Wurm::N,புழு,mark
181,Spinne::N,சிலந்தி,edderkopp
182,Ameise::N,எறும்பு,maur
183,Laus::N,பேன்,lus
184,Mücke::N,கொசுவினப்பூச்சி,mygg
185,Fliege::N,ஈ,flue
186,Schmetterling::N,வண்ணத்துப்பூச்சி,sommerfugl
187,Beere::N,சதைப்பழம்,bær
188,Apfel::N,ஆப்பிள பழம்,eple
