,Concept_ID,sq,xal
0,Auge::N,sy,нүдн
1,Ohr::N,vesh,чикн
2,Nase::N,hundë,хамр
3,Mund::N,gojë,амн
4,Zahn::N,dhëmb,шүдн
5,Zunge::N,gjuhë,келн
6,Lippe::N,buzë,урл
7,Wange::N,faqe,халх
8,Wange::N,mollëz,халх
9,Gesicht::N,fytyrë,нүр
10,Stirn::N,ballë,маңна
11,Haar::N,flokë,үсн
12,Schnurrbart::N,mustaqe,сахл
13,Bart::N,mjekër,сахл
14,Bart::N,mjekër,өргнә сахл
15,Kinn::N,mjekër,өргн
16,Kiefer[Anatomie]::N,nofull,өргн
17,Kehle::N,fyt,хол
18,Kehle::N,grykë,хол
19,Hals::N,qafë,күзүн
20,Genick::N,arrëz,гиҗг
21,Kopf::N,kokë,толһа
22,Rücken::N,kurriz,нурһн
23,Bauch::N,bark,гесн
24,Nabel::N,kërthizë,киисн
25,Busen::N,gji,көкн
26,Brust::N,gjoks,чееҗ
27,Brust::N,kraharor,чееҗ
28,Schulter::N,sup,ээм
29,Schulter::N,krah,ээм
30,Arm::N,krah,һар
31,Ellenbogen::N,bërryl,тоха
32,Hand::N,dorë,баһлцг
33,Handfläche::N,pëllëmbë,альхн
34,Finger::N,gisht,хурһн
35,Finger::N,gisht,һарин хурһн
36,Fingernagel::N,thua,хумсн
37,Nagel[Anatomie]::N,thua,хумсн
38,Zeh::N,gisht i këmbës,хурһн
39,Zeh::N,gisht i këmbës,көлин хурһн
40,Fuß::N,këmbë,тавг
41,Ferse::N,thembër,өскә
42,Knie::N,gju,өвдг
43,Oberschenkel::N,kofshë,һуй
44,Bein::N,këmbë,көл
45,Körper::N,trup,махмуд
46,Haut::N,lëkurë,арсн
47,Blut::N,gjak,цусн
48,Ader::N,venë,судцн
49,Sehne::N,dell,шүрүсн
50,Knochen::N,asht,ясн
51,Knochen::N,kockë,ясн
52,Gehirn::N,tru,экн
53,Herz::N,zemër,зүркн
54,Magen::N,stomak,гесн
55,Leber::N,mëlçi,элкн
56,Atem::N,frymë,әмсхл
57,Hunger::N,uri,харһнлһн
58,Träne::N,lot,нульмсн
59,Geschmack::N,shije,амтн
60,Geruch::N,erë,үнр
61,Schlaf::N,gjumë,нөр
62,Traum::N,ëndërr,зүүдн
63,Himmel::N,qiell,теңгр
64,Sonne::N,diell,нарн
65,Mond::N,hënë,сар
66,Stern::N,yll,одн
67,Luft::N,ajër,аһар
68,Wind::N,erë,салькн
69,Welle::N,valë,дольган
70,Welle::N,dallgë,дольган
71,Wasser::N,ujë,усн
72,Stein::N,gur,чолун
73,Boden::N,tokë,Һазр
74,Boden::N,truall,Һазр
75,Erde::N,dhe,Һазр
76,Erde::N,baltë,Һазр
77,Staub::N,pluhur,тоосн
78,Rauch::N,tym,утан
79,Funke::N,xixë,очн
80,Funke::N,shkëndijë,очн
81,Feuer::N,zjarr,һал
82,Licht::N,dritë,герл
83,Schatten::N,hije,сүүдр
84,Wetter::N,mot,теңгр
85,Nebel::N,mjegull,будн
86,Wolke::N,re,үүлн
87,Regen::N,shi,хур
88,Schnee::N,borë,цасн
89,Eis::N,akull,мөсн
90,Frost::N,ngricë,киитн
91,Kälte::N,të ftohtë,киитн
92,Hitze::N,vapë,халун
93,Hitze::N,nxehtësi,халун
94,Raureif::N,cikmë,цаң
95,Raureif::N,cikmë,кирү
96,Regenbogen::N,ylber,солңһ
97,Donner::N,gjëmim,оһтрһун дун
98,Donner::N,bubullimë,оһтрһун дун
99,Strömung::N,rrymë,урсхл
100,Tropfen::N,pikë,дусал
101,Schaum::N,shkumë,көөсн
102,Schmutz::N,baltë,кир
103,See::N,liqen,нур
104,Sumpf::N,batak,унул
105,Moor::N,kënetë,улм
106,Wiese::N,livadh,хадлһн
107,Wald::N,pyll,ө-модн
108,Hügel::N,kodër,толһа
109,Anhöhe::N,bregore,хамр
110,Berg::N,mal,уул
111,Gipfel::N,kulm,ора
112,Höhle::N,shpellë,хадин көндә
113,Höhle::N,zgafelle,хадин көндә
114,Abhang::N,shpat,ташу
115,Abhang::N,tatëpjetë,ташу
116,Quelle::N,krua,булг
117,Quelle::N,burim,булг
118,Bach::N,virua,һооҗур
119,Fluss::N,lumë,һол
120,Ufer::N,breg,көвә
121,Küste::N,anëdet,көвә
122,Küste::N,anëdet,теңгсин көвә
123,Küste::N,bregdet,көвә
124,Küste::N,bregdet,теңгсин көвә
125,Festland::N,kontinent,хүүрә һазр
126,Meer::N,det,теңгс
127,Bucht::N,gji deti,цекә
128,Bucht::N,gji deti,теңгсин цекә
129,Insel::N,ishull,арл
130,Insel::N,ujdhesë,арл
131,Blume::N,lule,цецг
132,Gras::N,bar,ноһан
133,Wurzel::N,rrënjë,уңг
134,Baum::N,pemë,модн
135,Stamm::N,trung,шилв
136,Stamm::N,trung,һол модн
137,Rinde::N,lëvore,көрсн
138,Ast::N,degë,ац
139,Zweig::N,bisk,ац
140,Blatt::N,fletë,хамтхасн
141,Blatt::N,gjethe,хамтхасн
142,Birke::N,mështekën,хусм модн
143,Kiefer[Baum]::N,pishë,шар харһа
144,Weide[Baum]::N,shelg,удн
145,Tanne::N,bredh,җөөлн цаһан модн
146,Horn::N,bri,өвр
147,Feder::N,pupël,өрвлг
148,Fell::N,lëkurë,арсн
149,Flügel::N,krah,җивр
150,Flügel::N,fletë,җивр
151,Klaue::N,kthetër,хумсн
152,Kralle::N,thua,тавг
153,Kralle::N,kthetër,тавг
154,Schwanz::N,bisht,сүл
155,Ei::N,vezë,өндгн
156,Nest::N,fole,үр
157,Bau::N,strofkë,нүкн
158,Tier::N,kafshë,мал
159,Herde::N,kope,сүрг мал
160,Herde::N,grigjë,сүрг мал
161,Kuh::N,lopë,үкр
162,Bulle::N,dem,бух
163,Pferd::N,kalë,мөрн
164,Schaf::N,dele,хөн
165,Schwein::N,derr,һаха
166,Hund::N,qen,ноха
167,Katze::N,mace,мис
168,Bär::N,ari,аю
169,Eichhörnchen::N,ketër,кермн
170,Elch::N,dre brilopatë,хандһа
171,Fuchs::N,dhelpër,арат
172,Hase::N,lepur,туула
173,Maus::N,mi,хулһн
174,Wolf::N,ujk,чон
175,Vogel::N,zog,шовун
176,Vogel::N,shpend,шовун
177,Schwarm::N,luzmë,зел
178,Huhn::N,pulë,така
179,Hahn::N,gjel,эр така
180,Hahn::N,këndes,эр така
181,Gans::N,patë,һалун
182,Adler::N,shqiponjë,һәрд
183,Ente::N,rosë,нуһсн
184,Eule::N,buf,һурвлһ
185,Kranich::N,lejlek,тоһрун
186,Kranich::N,kurrillë,тоһрун
187,Krähe::N,sorrë,шаазһа
188,Kuckuck::N,qyqe,эргин хуцдг
189,Schwan::N,mjellmë,хун
190,Fisch::N,peshk,заһсн
191,Barsch::N,purtekë,шүрг
192,Hecht::N,mlysh,цурх
193,Schlange[Tier]::N,gjarpër,моһа
194,Wurm::N,krimb,өтн
195,Spinne::N,marimangë,аралҗн
196,Ameise::N,thnegël,шорһлҗн
197,Ameise::N,milingonë,шорһлҗн
198,Laus::N,morr,бөөсн
199,Mücke::N,kunup,бөкүн
200,Mücke::N,mushkonjë,бөкүн
201,Fliege::N,mizë,батхн
202,Schmetterling::N,flutur,эрвәкә
203,Beere::N,frutë,бөөлҗрһн
204,Beere::N,manaferrë,бөөлҗрһн
205,Apfel::N,mollë,альмн
206,Pilz::N,kërpudhë,теңгрин ки
207,Zwiebel::N,qepë,мәңгрснә толһа
208,Saat::N,farë,буудян экн
209,Korn::N,grurë,экн
210,Korn::N,kokërr,экн
211,Heu::N,sanë,өвсн
212,Schale::N,lëkurë,хальсн
213,Grube::N,gropë,нүкн
214,Falle::N,kurth,урх
215,Falle::N,kurth,хавх
216,Falle::N,grackë,урх
217,Falle::N,grackë,хавх
218,Schlinge::N,nyjë,бүтү
219,Spur::N,gjurmë,мөр
220,Asche::N,hi,үмсн
221,Dreck::N,baltë,бальчг
222,Eisen::N,hekur,төмр
223,Gold::N,ar,алтн
224,Gold::N,flori,алтн
225,Silber::N,argjend,мөңгн
226,Silber::N,argjend,цаһан мөңгн
227,Kohle::N,qymyr,нүүрсн
228,Glas::N,qelq,шил
229,Lehm::N,argjilë,шавр
230,Sand::N,rërë,элсн
231,Mensch::N,njeri,күн
232,Mensch::N,njeri,күмн
233,Mann::N,burrë,эр
234,Mann::N,mashkull,эр
235,Frau::N,grua,күүкд күн
236,Frau::N,femër,күүкд күн
237,Kind::N,kalama,үрн
238,Junge::N,djalë,көвүн
239,Mädchen::N,gocë,бичкн күүкн
240,Mädchen::N,vajzë,бичкн күүкн
241,Familie::N,familje,бүл
242,Großvater::N,gjysh,өвк эцк
243,Großvater::N,gjysh,наһц эцк
244,Großmutter::N,gjyshe,эмг эк
245,Großmutter::N,gjyshe,наһц эк
246,Eltern::N,prindër,эк эцк хойр
247,Vater::N,atë,эцк
248,Mutter::N,nënë,эк
249,Sohn::N,bir,көвүн
250,Tochter::N,bijë,күүкн
251,Bruder::N,vëlla,дү көвүн
252,Schwester::N,motër,эгч
253,Schwester::N,motër,дү күүкн
254,Onkel::N,dajë,авһ
255,Onkel::N,dajë,наһцх
256,Onkel::N,xhaxha,авһ
257,Onkel::N,xhaxha,наһцх
258,Tante::N,teze,наһц эгч
259,Tante::N,hallë,наһц эгч
260,Ehemann::N,burrë,залу
261,Ehemann::N,bashkëshort,залу
262,Ehefrau::N,grua,гергн
263,Ehefrau::N,bashkëshorte,гергн
264,Freude::N,gaz,байр
265,Freude::N,gëzim,байр
266,Gelächter::N,qeshje,инәдн
267,Glück::N,lumturi,җирһл
268,Glück::N,lumturi,сәәхн җирһл
269,Kummer::N,brengë,зовлң
270,Kummer::N,pikëllim,зовлң
271,Wunsch::N,dëshirë,дурн
272,Lust::N,epsh,җилвтлһн
273,Lust::N,dashuri,җилвтлһн
274,Geist::N,frymë,зөрг
275,Geist::N,shpirt,зөрг
276,Gedanke::N,ide,ухан
277,Gedanke::N,mendim,ухан
278,Gedächtnis::N,kujtesë,чееҗин тодлвр
279,Verstand::N,mend,ухан
280,Sinn::N,kuptim,учр-утх
281,Grund::N,arsye,учр
282,Grund::N,arsye,шалтан
283,Wahrheit::N,vërtetë,үнн
284,Gespräch::N,bisedim,күүндвүр
285,Märchen::N,përrallë,тууль
286,Erzählung::N,tregim,келвр
287,Nachricht::N,lajm,медүллһн
288,Neuigkeit::N,risi,зәңг
289,Name::N,emër,нерн
290,Rätsel::N,gjëzë,тәәлвртә тууль
291,Rätsel::N,gjëegjëzë,тәәлвртә тууль
292,Rede::N,fjalim,келлһн
293,Sprache::N,gjuhë,келн
294,Stimme::N,zë,дун
295,Wort::N,fjalë,үг
296,Zeichen::N,shenjë,темдг
297,Ruf::N,thirrmë,дуудлһн
298,Lärm::N,zhurmë,шууган
299,Laut::N,tingull,ә
300,Ton::N,ton,дун
301,Lied::N,këngë,дун
302,Ruhe::N,qetësi,амулң
303,Leute::N,botë,әмтн
304,Leute::N,njerëz,әмтн
305,Volk::N,popull,улс
