,Concept_ID,eu,ko
0,Auge::N,begi,눈
1,Ohr::N,belarri,귀
2,Nase::N,sudur,코
3,Mund::N,aho,입
4,Zahn::N,hortz,이
5,Zunge::N,mihi,혀
6,Lippe::N,ezpain,입술
7,Wange::N,masail,뺨
8,Gesicht::N,aurpegi,얼굴
9,Stirn::N,bekoki,이마
10,Haar::N,ile,털
11,Haar::N,bilo,털
12,Schnurrbart::N,bibote,윗수몀
13,Schnurrbart::N,bibote,코밑수염
14,Schnurrbart::N,sudurpeko,윗수몀
15,Schnurrbart::N,sudurpeko,코밑수염
16,Bart::N,bizar,수엄
17,Kinn::N,kokots,아래턱
18,Kiefer[Anatomie]::N,masailezur,턱
19,Kehle::N,eztarri,인후
20,Hals::N,sama,목
21,Genick::N,garondo,먹덜이
22,Kopf::N,buru,머리
23,Rücken::N,bizkar,든
24,Bauch::N,sabel,배
25,Nabel::N,zilbor,배꼽
26,Busen::N,titi,가슴속
27,Busen::N,ugatz,가슴속
28,Brust::N,bular,가슴
29,Schulter::N,besaburu,어깨
30,Arm::N,beso,팔
31,Ellenbogen::N,ukondo,팔쿰치
32,Hand::N,esku,손
33,Handfläche::N,ahur,손바닥
34,Finger::N,hatz,속가락
35,Fingernagel::N,azazkal,손톱
36,Nagel[Anatomie]::N,azazkal,손톱
37,Zeh::N,behatz,발가락
38,Fuß::N,oin,발
39,Ferse::N,orpo,발꿈치
40,Ferse::N,oinburu,발꿈치
41,Knie::N,belaun,무릎
42,Oberschenkel::N,izter,허벅다리
43,Bein::N,zango,다리
44,Körper::N,soin,구간
45,Haut::N,azal,살갗
46,Blut::N,odol,피
47,Ader::N,zain,정맥
48,Sehne::N,gihar-zain,현
49,Knochen::N,hezur,뼈
50,Gehirn::N,garun,뇌
51,Gehirn::N,garun,뇌수
52,Gehirn::N,burmuin,뇌
53,Gehirn::N,burmuin,뇌수
54,Herz::N,bihotz,염통
55,Magen::N,urdail,위
56,Leber::N,gibel,간
57,Atem::N,hats,기식
58,Atem::N,arnasa,기식
59,Hunger::N,gose,공복
60,Träne::N,malko,눈물
61,Geschmack::N,dasta,기호
62,Geruch::N,usain,냄새
63,Schlaf::N,lo,수면
64,Traum::N,amets,쿰
