,Concept_ID,it,vep
0,Auge::N,occhio,sil'm
1,Ohr::N,orecchio,korv
2,Nase::N,naso,nena
3,Mund::N,bocca,su
4,Zahn::N,dente,pi
5,Zahn::N,dente,hambaz
6,Zunge::N,lingua,kel'
7,Lippe::N,labbro,hul'
8,Wange::N,guancia,modpolišk
9,Gesicht::N,viso,mod
10,Gesicht::N,faccia,mod
11,Stirn::N,fronte,oc
12,Haar::N,capello,tuk
13,Haar::N,capello,hibuz
14,Schnurrbart::N,baffi,habinod
15,Schnurrbart::N,mustacchi,habinod
16,Bart::N,barba,bard
17,Kinn::N,mento,löug
18,Kiefer[Anatomie]::N,mascella,hambazlu
19,Kehle::N,gola,kurk
20,Hals::N,collo,kagl
21,Genick::N,nuca,tagarai
22,Kopf::N,capo,pä
23,Kopf::N,testa,pä
24,Rücken::N,dorso,sel'g
25,Rücken::N,schiena,sel'g
26,Bauch::N,ventre,vac
27,Bauch::N,ventre,koht
28,Nabel::N,ombelico,naba
29,Busen::N,seno,niža
30,Brust::N,petto,rind
31,Schulter::N,spalla,oug
32,Arm::N,braccio,käzi
33,Ellenbogen::N,gomito,künambruz
34,Hand::N,mano,käzi
35,Hand::N,mano,käzitera
36,Handfläche::N,palma,kämen
37,Finger::N,dito,sor'm
38,Fingernagel::N,unghia,künz'
39,Nagel[Anatomie]::N,unghia,künz'
40,Zeh::N,dito del piede,barbaz
41,Fuß::N,piede,jaug
42,Ferse::N,tallone,kand
43,Ferse::N,calcagno,kand
44,Knie::N,ginocchio,komb
45,Knie::N,ginocchio,pol'v
46,Oberschenkel::N,fèmore,riiže
47,Bein::N,gamba,jaug
48,Körper::N,corpo,hibj
49,Haut::N,pelle,nahk
50,Blut::N,sangue,čak
51,Blut::N,sangue,veri
52,Ader::N,vena,son'
53,Sehne::N,tèndine,jände
54,Knochen::N,osso,lu
55,Gehirn::N,cervello,aivod
56,Herz::N,cuore,südäin
57,Magen::N,stòmaco,südäikoht
58,Leber::N,fegato,maks
59,Atem::N,fiato,hengaiduz
60,Atem::N,respiro,hengaiduz
61,Hunger::N,fame,näl'g
62,Träne::N,làcrima,kündal'
63,Geschmack::N,gusto,magu
64,Geschmack::N,sapore,magu
65,Geruch::N,odore,haju
66,Schlaf::N,sonno,uni
67,Traum::N,sogno,unikuva
68,Himmel::N,cielo,taivaz
69,Sonne::N,sole,päiväine
70,Mond::N,luna,kudmaine
71,Stern::N,stella,tähtaz
72,Luft::N,aria,il'm
73,Wind::N,vento,döl
74,Wind::N,vento,tullei
75,Welle::N,onda,ald
76,Welle::N,onda,laineh
77,Wasser::N,acqua,vezi
78,Stein::N,sasso,kivi
79,Stein::N,pietra,kivi
80,Boden::N,suolo,ma
81,Boden::N,suolo,pohj
82,Boden::N,terreno,ma
83,Boden::N,terreno,pohj
84,Erde::N,terra,ma
85,Staub::N,polvere,pölü
86,Rauch::N,fumo,savu
87,Funke::N,scintilla,kibin
88,Feuer::N,fuoco,lämoi
89,Licht::N,luce,vauktuz
90,Schatten::N,ombra,pil'vez
91,Schatten::N,ombra,kuvahaine
92,Wetter::N,tempo,sä
93,Nebel::N,nebbia,sumeg
94,Wolke::N,nube,pil'v
95,Wolke::N,nùvola,pil'v
96,Regen::N,pioggia,vihm
97,Schnee::N,neve,lumi
98,Eis::N,ghiaccio,jä
99,Frost::N,gelo,hala
100,Frost::N,gelo,pakaine
101,Kälte::N,freddo,vilu
102,Hitze::N,caldo,räk
103,Hitze::N,calura,räk
104,Raureif::N,brina,hüde
105,Regenbogen::N,arcobaleno,jumalanbembel'
106,Donner::N,tuono,juru
107,Donner::N,tuono,jumalanjuru
108,Strömung::N,corrente,joksmuz
109,Tropfen::N,goccia,tilkuine
110,Schaum::N,spuma,vaht
111,Schaum::N,schiuma,vaht
112,Schmutz::N,sudiciume,redu
113,Schmutz::N,sudiciume,pačak
114,See::N,lago,järv
115,Sumpf::N,palude,so
116,Moor::N,torbiera,so
117,Wiese::N,prato,nit
118,Wald::N,bosco,mec
119,Wald::N,foresta,mec
120,Hügel::N,colle,kukaz
121,Hügel::N,collina,kukaz
122,Anhöhe::N,altura,kukaz
123,Berg::N,monte,mägi
124,Berg::N,montagna,mägi
125,Gipfel::N,cima,ladv
126,Höhle::N,grotta,mägionduz
127,Höhle::N,caverna,mägionduz
128,Abhang::N,pendìo,paute
129,Quelle::N,sorgente,lähte
130,Bach::N,ruscello,oja
131,Fluss::N,fiume,jogi
132,Ufer::N,riva,rand
133,Küste::N,costa,randišt
134,Festland::N,terraferma,kuivma
135,Meer::N,mare,meri
136,Bucht::N,cala,laht
137,Insel::N,ìsola,sar'
138,Blume::N,fiore,änik
139,Gras::N,erba,hein
140,Wurzel::N,radice,jur'
141,Baum::N,àlbero,pu
142,Stamm::N,tronco,tüvi
143,Rinde::N,corteccia,kor'
144,Ast::N,ramo,oks
145,Zweig::N,ramo,oks
146,Zweig::N,ramo,barb
147,Blatt::N,foglia,lehtez
148,Birke::N,betulla,koiv
149,Kiefer[Baum]::N,pino,pedai
150,Weide[Baum]::N,sàlice,raid
151,Tanne::N,abete,kuz'
152,Horn::N,corno,sar'v
153,Feder::N,penna,höuneh
154,Fell::N,manto,nahk
155,Fell::N,pelame,nahk
156,Flügel::N,ala,suug
157,Klaue::N,grinfia,künz'
158,Kralle::N,unghia,künz'
159,Kralle::N,artiglio,künz'
160,Schwanz::N,coda,händ
161,Ei::N,uovo,muna
162,Nest::N,nido,peza
163,Bau::N,covo,uru
164,Tier::N,bestia,živat
165,Tier::N,animale,živat
166,Herde::N,gregge,kogo
167,Kuh::N,vacca,lehm
168,Bulle::N,toro,härg
169,Pferd::N,cavallo,hebo
170,Schaf::N,pècora,lambaz
171,Schwein::N,porco,siga
172,Schwein::N,maiale,siga
173,Hund::N,cane,koir
174,Katze::N,gatta,kaži
175,Bär::N,orso,kondi
176,Eichhörnchen::N,scoiàttolo,orav
177,Elch::N,alce,hirb'
178,Fuchs::N,volpe,reboi
179,Hase::N,lepre,jäniš
180,Maus::N,topo,hir'
181,Maus::N,sorcio,hir'
182,Wolf::N,lupo,händikaz
183,Vogel::N,uccello,lind
184,Schwarm::N,stormo,parveh
185,Huhn::N,gallina,kana
186,Hahn::N,gallo,kukoi
187,Gans::N,oca,hanh'
188,Adler::N,àquila,orl
189,Ente::N,ànatra,sorz
190,Eule::N,gufo,hir'pulo
191,Eule::N,civetta,hir'pulo
192,Kranich::N,gru,kurg
193,Krähe::N,cornacchia,variš
194,Kuckuck::N,cuccù,kägi
195,Kuckuck::N,cùculo,kägi
196,Schwan::N,cigno,joucen
197,Fisch::N,pesce,kala
198,Barsch::N,pèrsico,ahven
199,Hecht::N,luccio,haug'
200,Schlange[Tier]::N,serpente,kü
201,Schlange[Tier]::N,serpente,mado
202,Wurm::N,baco,mado
203,Wurm::N,verme,mado
204,Spinne::N,ragno,hämähouk
205,Ameise::N,formica,murahaine
206,Laus::N,pidocchio,täi
207,Mücke::N,zanzara,säs'k
