,Concept_ID,se,pl
0,Auge::N,tjelmie,oko
1,Auge::N,tjalmme,oko
2,Auge::N,čalbmi,oko
3,Auge::N,čalme,oko
4,Auge::N,čâ´lmm,oko
5,Auge::N,ча̄лльм,oko
6,Ohr::N,bieljie,ucho
7,Ohr::N,biellje,ucho
8,Ohr::N,beallji,ucho
9,Ohr::N,pelji,ucho
10,Ohr::N,pe´llj,ucho
11,Ohr::N,пе̄лльй,ucho
12,Nase::N,njuenie,nos
13,Nase::N,njunnje,nos
14,Nase::N,njunni,nos
15,Nase::N,njuṇe,nos
16,Nase::N,njuu´nn,nos
17,Nase::N,нюннҍ,nos
18,Mund::N,njaelmie,usta
19,Mund::N,njálmme,usta
20,Mund::N,njálbmi,usta
21,Mund::N,njälmi,usta
22,Mund::N,njä´lmm,usta
23,Mund::N,ня̄лльм,usta
24,Zahn::N,baenie,ząb
25,Zahn::N,bádne,ząb
26,Zahn::N,bátni,ząb
27,Zahn::N,pääṇi,ząb
28,Zahn::N,pää´nn,ząb
29,Zahn::N,па̄ннҍ,ząb
30,Zunge::N,njoektjeme,język
31,Zunge::N,njuovtjav,język
32,Zunge::N,njuovčča,język
33,Zunge::N,njuovčâ,język
34,Zunge::N,njuhččâm,język
35,Zunge::N,нюхчем,język
36,Lippe::N,bangseme,warga
37,Lippe::N,njálmmerabdda,warga
38,Lippe::N,bavssa,warga
39,Lippe::N,poovsâ,warga
40,Lippe::N,põõus,warga
41,Lippe::N,пэ̄кс,warga
42,Wange::N,skiehrie,policzek
43,Wange::N,nierra,policzek
44,Wange::N,muohtu,policzek
45,Wange::N,nieṛâ,policzek
46,Wange::N,njiõrr,policzek
47,Wange::N,нӣрр,policzek
48,Gesicht::N,ååredæjja,twarz
49,Gesicht::N,muohto,twarz
50,Gesicht::N,muođut,twarz
51,Gesicht::N,ámadadju,twarz
52,Gesicht::N,muáđuh,twarz
53,Gesicht::N,muâđ,twarz
54,Gesicht::N,ка̄ссв,twarz
55,Stirn::N,gaalloe,czoło
56,Stirn::N,gállo,czoło
57,Stirn::N,gállu,czoło
58,Stirn::N,kállu,czoło
59,Stirn::N,käll,czoło
60,Stirn::N,вуэххьц,czoło
61,Haar::N,voepte,włos
62,Haar::N,voepte,włosy
63,Haar::N,vuoppta,włos
64,Haar::N,vuoppta,włosy
65,Haar::N,vuokta,włos
66,Haar::N,vuokta,włosy
67,Haar::N,vuop'tâ,włos
68,Haar::N,vuop'tâ,włosy
69,Haar::N,vuõpt,włos
70,Haar::N,vuõpt,włosy
71,Haar::N,вӯппт,włos
72,Haar::N,вӯппт,włosy
73,Schnurrbart::N,bijjie-skaavtjoe,wąsy
74,Schnurrbart::N,njunjevuolskávttjá,wąsy
75,Schnurrbart::N,seamu,wąsy
76,Schnurrbart::N,siämu,wąsy
77,Schnurrbart::N,ää´bben,wąsy
78,Schnurrbart::N,о̄а̄бпан,wąsy
79,Bart::N,skaavtja,broda
80,Bart::N,skaavtjoe,broda
81,Bart::N,skávttjá,broda
82,Bart::N,seamu,broda
83,Bart::N,siämu,broda
84,Bart::N,seäm,broda
85,Bart::N,ся̄м,broda
86,Kinn::N,gaejpie,podbródek
87,Kinn::N,gájbbe,podbródek
88,Kinn::N,gáibi,podbródek
89,Kinn::N,käibi,podbródek
90,Kinn::N,käi´bb,podbródek
91,Kinn::N,ка̄ййп,podbródek
92,Kiefer[Anatomie]::N,gaejpie,czeluść
93,Kiefer[Anatomie]::N,oalol,czeluść
94,Kiefer[Anatomie]::N,oaloldákte,czeluść
95,Kiefer[Anatomie]::N,gáibi,czeluść
96,Kiefer[Anatomie]::N,uá'lultähti,czeluść
97,Kiefer[Anatomie]::N,vuâl'lõš,czeluść
98,Kiefer[Anatomie]::N,вуаллнешш,czeluść
99,Kehle::N,gealoe,gardło
100,Kehle::N,tjåttå,gardło
101,Kehle::N,njiello,gardło
102,Kehle::N,čotta,gardło
103,Kehle::N,čuudâ,gardło
104,Kehle::N,čoodd,gardło
105,Kehle::N,чонт,gardło
106,Kehle::N,кэ̄ҏс,gardło
107,Hals::N,tjeapohke,szyja
108,Hals::N,tjiebet,szyja
109,Hals::N,čeabet,szyja
110,Hals::N,čiäppát,szyja
111,Hals::N,čeäppat,szyja
112,Hals::N,ча̄пэх,szyja
113,Genick::N,tjovrese,kark
114,Genick::N,nisske,kark
115,Genick::N,niehkki,kark
116,Genick::N,niski,kark
117,Genick::N,niek'ki,kark
118,Genick::N,nji´šǩǩmaadd,kark
119,Genick::N,нышшькмоант,kark
120,Kopf::N,åejjie,głowa
121,Kopf::N,oajvve,głowa
122,Kopf::N,oaivi,głowa
123,Kopf::N,uái'vi,głowa
124,Kopf::N,vuei´vv,głowa
125,Kopf::N,вуэййв,głowa
126,Rücken::N,rudtje,plecy
127,Rücken::N,rudtje,grzbiet
128,Rücken::N,hárddo,plecy
129,Rücken::N,hárddo,grzbiet
130,Rücken::N,tjavelk,plecy
131,Rücken::N,tjavelk,grzbiet
132,Rücken::N,sealgi,plecy
133,Rücken::N,sealgi,grzbiet
134,Rücken::N,selgi,plecy
135,Rücken::N,selgi,grzbiet
136,Rücken::N,čielgi,plecy
137,Rücken::N,čielgi,grzbiet
138,Rücken::N,seä´lǧǧ,plecy
139,Rücken::N,seä´lǧǧ,grzbiet
140,Rücken::N,се̄лльк,plecy
141,Rücken::N,се̄лльк,grzbiet
142,Bauch::N,tjåejjie,brzuch
143,Bauch::N,tjoajvve,brzuch
144,Bauch::N,čoavji,brzuch
145,Bauch::N,čuáv'ji,brzuch
146,Bauch::N,čåu´jj,brzuch
147,Bauch::N,чо̄ввьй,brzuch
148,Nabel::N,naepie,pępek
149,Nabel::N,náhpe,pępek
150,Nabel::N,náhpi,pępek
151,Nabel::N,nääpi,pępek
152,Nabel::N,nää´pp,pępek
153,Nabel::N,на̄бпь,pępek
154,Busen::N,boenge,biust
155,Busen::N,bållå,biust
156,Busen::N,čižži,biust
157,Busen::N,njamma,biust
158,Busen::N,njižže,biust
159,Busen::N,nje´ǯǯ,biust
160,Busen::N,раннҍт,biust
161,Brust::N,mïelke,pierś
162,Brust::N,radde,pierś
163,Brust::N,mielgga,pierś
164,Brust::N,raddi,pierś
165,Brust::N,radde,pierś
166,Brust::N,râ´dd,pierś
167,Brust::N,раннҍт,pierś
168,Schulter::N,åelkie,bark
169,Schulter::N,åelkie,ramię
170,Schulter::N,oalgge,bark
171,Schulter::N,oalgge,ramię
172,Schulter::N,hárdu,bark
173,Schulter::N,hárdu,ramię
174,Schulter::N,ärdee,bark
175,Schulter::N,ärdee,ramię
