,Concept_ID,tt,br
0,Auge::N,күз,lagad
1,Ohr::N,колак,skouarn
2,Nase::N,борын,fri
3,Mund::N,авыз,genoù
4,Mund::N,тамак,genoù
5,Zahn::N,теш,dant
6,Zunge::N,тел,teod
7,Lippe::N,ирен,muzell
8,Wange::N,яңак,chot
9,Gesicht::N,йөз,dremm
10,Stirn::N,маңгай,tal
11,Haar::N,чәч,blev
12,Schnurrbart::N,мыек,mourenn
13,Bart::N,сакал,barv
14,Kinn::N,ияк,groñj
15,Kiefer[Anatomie]::N,казналык,javed
16,Kehle::N,тамак,gouzoug
17,Hals::N,бугаз,gouzoug
18,Genick::N,җилкә,choug
19,Kopf::N,баш,penn
20,Rücken::N,сырт,kein
21,Bauch::N,корсак,kof
22,Nabel::N,кендек,begel
23,Busen::N,түш,bronn
24,Brust::N,имчәк,bruched
25,Brust::N,күкрәк,bruched
26,Schulter::N,иңбаш,skoaz
27,Schulter::N,кулбаш,skoaz
28,Arm::N,кул,brec'h
29,Ellenbogen::N,терсәк,ilin
30,Hand::N,кул,dorn
31,Handfläche::N,уч,palv
32,Finger::N,бармак,biz
33,Fingernagel::N,тырнак,ivin
34,Nagel[Anatomie]::N,тырнак,ivin
35,Zeh::N,бармак,biz-troad
36,Fuß::N,табан,troad
37,Ferse::N,үкчә,seul
38,Knie::N,тез,glin
39,Oberschenkel::N,бот,morzhed
40,Bein::N,аяк,gar
41,Körper::N,тән,korf
42,Körper::N,җисем,korf
43,Haut::N,тире,kroc'hen
44,Blut::N,кан,gwad
45,Ader::N,тамыр,gwazhi
46,Sehne::N,сеңер,stir
47,Knochen::N,сөяк,askorn
48,Gehirn::N,ми,empenn
49,Herz::N,йөрәк,kalon
50,Magen::N,ашказаны,stomog
51,Leber::N,бавыр,avu
52,Atem::N,сулыш,anal
53,Hunger::N,ачлык,naon
54,Träne::N,яшь,daer
55,Geschmack::N,тәм,blaz
56,Geschmack::N,зәвык,blaz
57,Geruch::N,ис,c'hwezh
58,Schlaf::N,йокы,kousked
59,Traum::N,төш,hune
60,Himmel::N,күк,oabl
61,Sonne::N,кояш,heol
62,Mond::N,ай,loar
63,Stern::N,йолдыз,steredenn
64,Luft::N,һава,aer
65,Wind::N,җил,avel
66,Welle::N,дулкын,houlenn
67,Wasser::N,су,dour
68,Stein::N,таш,maen
69,Boden::N,туфрак,tachenn
70,Erde::N,җир,douar
71,Staub::N,тузан,poultr
72,Rauch::N,төтен,moged
73,Funke::N,очкын,ful
74,Feuer::N,ут,tan
75,Licht::N,якты,gouloù
76,Schatten::N,күләгә,disheol
77,Wetter::N,һава,amzer
78,Nebel::N,томан,brumenn
79,Wolke::N,болыт,koumoulenn
80,Regen::N,яңгыр,glav
81,Schnee::N,кар,erc'h
82,Eis::N,боз,skorn
83,Frost::N,суык,rev
84,Frost::N,салкын,rev
85,Kälte::N,суык,yen
86,Kälte::N,салкын,yen
87,Hitze::N,эсселек,tommder
88,Raureif::N,бәс,frim
89,Raureif::N,сыкы,frim
90,Regenbogen::N,салават күпере,gwareg-ar-glav
91,Donner::N,күкрәү,kurun
92,Strömung::N,агыш'агым,red
93,Tropfen::N,тамчы,bannac'h
94,Tropfen::N,тамчы,takenn
95,Schaum::N,күбек,spoum
96,Schmutz::N,пычрак,fank
97,See::N,күл,lenn
98,Sumpf::N,саз,gwern
99,Moor::N,торфлык,taouarc'heg
100,Wiese::N,болын,prad
101,Wald::N,урман,koad
102,Hügel::N,калку,torgenn
103,Anhöhe::N,үр,run
104,Berg::N,тау,menez
105,Gipfel::N,оч,barr
106,Höhle::N,мәгарә,kav
107,Abhang::N,кабырга,naou
108,Quelle::N,чишмә,feunteun
109,Bach::N,елга,gwazh
110,Fluss::N,дәрья,stêr
111,Ufer::N,су кырые,ribl
112,Küste::N,яр буе,aod
113,Festland::N,коры җир,douar
114,Meer::N,диңгез,mor
115,Bucht::N,бухта,mor-bihan
116,Bucht::N,култык,mor-bihan
117,Insel::N,атау,enez
118,Insel::N,утрау,enez
119,Blume::N,чәчкә,bleunienn
120,Gras::N,үлән,geot
121,Wurzel::N,тамыр,gwrizienn
122,Baum::N,агач,gwezenn
123,Stamm::N,кәүсә,kef
124,Rinde::N,кабык,rusk
125,Ast::N,ботак,barr
126,Zweig::N,ботак,bod
127,Zweig::N,тармак,bod
128,Blatt::N,яфрак,delienn
129,Birke::N,каен,bezvenn
130,Kiefer[Baum]::N,нарат,pinenn
131,Weide[Baum]::N,тал,halegenn
132,Tanne::N,чыршы,sapenn
133,Horn::N,мөгез,korn
134,Feder::N,йон,pluñv
135,Fell::N,тире,kreoñ
136,Flügel::N,канат,askell
137,Klaue::N,тырнак,skilf
138,Kralle::N,тырнак,skilf
139,Schwanz::N,койрык,lost
140,Ei::N,күкәй,vi
141,Ei::N,йомырка,vi
142,Nest::N,оя,neizh
143,Bau::N,өн,douarenn
144,Tier::N,хайван,loen
145,Herde::N,көтү,tropell
146,Kuh::N,сыер,buoc'h
147,Bulle::N,үгез,tarv
148,Pferd::N,ат,marc'h
149,Schaf::N,сарык,dañvad
150,Schwein::N,дуңгыз,pemoc'h
151,Hund::N,эт,ki
152,Katze::N,песи,kazh
153,Bär::N,аю,arzh
154,Eichhörnchen::N,тиен,gwiñver
155,Elch::N,поши,karv-dour
156,Fuchs::N,төлке,louarn
157,Hase::N,куян,gad
158,Maus::N,тычкан,logodenn
159,Wolf::N,бүре,bleiz
160,Vogel::N,кош,labous
161,Schwarm::N,көтү,nijad
162,Huhn::N,тавык,yar
163,Hahn::N,әтәч,kilhog
164,Gans::N,каз,gwazenn
165,Adler::N,каракош,erer
166,Ente::N,үрдәк,houad
167,Eule::N,ябалак,toud
168,Kranich::N,торна,garan
169,Krähe::N,карга,bran
170,Kuckuck::N,күке,koukoug
171,Kuckuck::N,кәккүк,koukoug
172,Schwan::N,аккош,alarc'h
173,Fisch::N,балык,pesk
174,Barsch::N,алабуга,brell
175,Hecht::N,чуртан,beked
176,Schlange[Tier]::N,елан,naer
177,Wurm::N,корт,preñv
178,Spinne::N,үрмәкүч,kevnidenn
179,Ameise::N,кырмыска,merion
180,Laus::N,бет,laouenn
181,Mücke::N,черки,moustik
182,Mücke::N,озынборын,moustik
183,Fliege::N,чебен,kelienenn
184,Schmetterling::N,күбәләк,balafenn
185,Beere::N,җиләк,hog
186,Apfel::N,алма,aval
187,Pilz::N,гөмбә,kabell-touseg
188,Zwiebel::N,суган,ognonenn
189,Zwiebel::N,суганбаш,ognonenn
190,Saat::N,орлык,had
191,Korn::N,иген,ed
192,Korn::N,орлык,ed
193,Heu::N,печән,foenn
194,Schale::N,кабык,peliadur
195,Grube::N,баз,
196,Grube::N,чокыр,
197,Falle::N,тозак,pech
198,Falle::N,капкын,pech
199,Schlinge::N,элмәк,krouglas
200,Spur::N,эз,
201,Asche::N,көл,ludu
202,Dreck::N,пычрак,fank
203,Eisen::N,тимер,houarn
204,Gold::N,алтын,aour
205,Silber::N,көмеш,arc'hant
206,Kohle::N,күмер,glaou
207,Glas::N,пыяла,gwer
208,Lehm::N,балчык,
209,Sand::N,ком,traezh
210,Mensch::N,адәм,den
211,Mensch::N,инсан,den
212,Mann::N,ир,den
213,Frau::N,хатын,maouez
214,Kind::N,бала,bugel
215,Junge::N,малай,paotr
216,Mädchen::N,кыз,plac'h
217,Familie::N,гаилә,familh
218,Großvater::N,бабай,tad-kozh
219,Großmutter::N,әби,mamm-gozh
220,Eltern::N,ата-ана,kerent
221,Vater::N,ата,tad
222,Mutter::N,ана,mamm
223,Sohn::N,ул,mab
224,Tochter::N,кыз,merc'h
225,Bruder::N,кардәш,breur
226,Schwester::N,апа,c'hoar
227,Schwester::N,сеңел,c'hoar
228,Onkel::N,дәдә,eontr
229,Onkel::N,дәдәй,eontr
230,Tante::N,түти,moereb
231,Tante::N,тәтәй,moereb
232,Ehemann::N,ир,gwaz
233,Ehefrau::N,хатын,gwreg
234,Freude::N,сөенеч,levenez
235,Gelächter::N,көлү,c'hoarzherezh
236,Gelächter::N,көлеш,c'hoarzherezh
237,Glück::N,бәхет,chañs
238,Kummer::N,хәсрәт,doan
239,Wunsch::N,теләк,c'hoant
240,Lust::N,теләк,c'hoant
241,Lust::N,теләү,c'hoant
242,Geist::N,рух,spered
243,Gedanke::N,уй,soñj
244,Gedanke::N,фикер,soñj
245,Gedächtnis::N,хәтер,eñvor
246,Verstand::N,акыл,skiant
247,Sinn::N,мәгънә,ster
248,Grund::N,сәбәп,kaoz
249,Wahrheit::N,хак,gwirionez
250,Gespräch::N,әңгәмә,kaozeadenn
251,Märchen::N,әкият,kaoz korriganez
252,Erzählung::N,хикәя,kontadenn
253,Nachricht::N,хәбәр,keloù
254,Neuigkeit::N,яңалык,kelaouenn
255,Name::N,исем,anv
256,Rätsel::N,табышмак,divinatez
257,Rede::N,нотык,diskour
258,Sprache::N,тел,yezh
259,Stimme::N,тавыш,mouezh
260,Wort::N,сүз,ger
261,Zeichen::N,ишарә,sin
262,Ruf::N,дәшү,galv
263,Lärm::N,шау,trouz
264,Laut::N,аваз,
265,Ton::N,шалтырату,ton
266,Lied::N,җыр,kanaouenn
267,Ruhe::N,тынлык,sioulded
268,Leute::N,халык,tud
269,Volk::N,халык,pobl
270,Arbeit::N,эш,labour
271,Arbeit::N,хезмәт,labour
272,Gast::N,кунак,kouviad
273,Geschenk::N,бүләк,prof
274,Spiel::N,уен,c'hoari
275,Gesellschaft::N,җәмгыять,kompagnunezh
276,Gesellschaft::N,җәмгыять,kavandad
277,Hilfe::N,ярдәм,sikour
278,Hilfe::N,булышлык,sikour
279,Freund::N,дус,mignon
280,Kamerad::N,иптәш,kamarad
281,Angelegenheit::N,эш,afer
282,Anzahl::N,микъдар,niver
283,Art::N,төр,sort
284,Stück::N,кисәк,tamm
285,Teil::N,өлеш,pezh
286,Hälfte::N,ярым,hanterenn
287,Kreis::N,түгәрәк,kelc'h
288,Kreuz::N,хач,kroaz
289,Kreuz::N,тәре,kroaz
290,Linie::N,сызык,linenn
291,Strich::N,сызык,tenn
292,Abstand::N,ара,distok
293,Entfernung::N,ераклык,keid
294,Entfernung::N,ераклык,kehid
295,Gegend::N,урын,korn-bro
296,Platz::N,бушлык,plasenn
297,Ort::N,урын,lec'h
298,Seite::N,як,tu
299,Mitte::N,урта,kreiz
300,Gegenstand::N,нәрсә,tra
301,Sache::N,нәрсә,tra
302,Rand::N,чит,kantenn
303,Kante::N,кырый,kantenn
304,Ecke::N,почмак,korn
305,Spitze::N,оч,begell
306,Ende::N,азак,dibenn
307,Loch::N,тишек,toull
308,Winkel::N,почмак,
309,Muster::N,парча,tresadenn
310,Größe::N,зурлык,ment
311,Länge::N,озынлык,hirder
312,Höhe::N,биеклек,uhelder
313,Gewicht::N,авырлык,pouez
314,Menge::N,микъдар,bern
315,Haufen::N,өем,bern
316,Reihe::N,рәт,steud
317,Boot::N,каек,bag
318,Boot::N,көймә,bag
319,Ruder::N,ишкәк,roeñv
320,Schlitten::N,чана,trainell
321,Ski::N,чаңгы,ski
322,Lagerfeuer::N,костёр,
323,Last::N,йөк,karg
324,Gang::N,йөреш,kerzh
325,Schritt::N,адым,paz
326,Norden::N,төньяк,norzh
327,Norden::N,төньяк,hanternoz
328,Süden::N,көньяк,su
329,Süden::N,көньяк,kreisteiz
330,Westen::N,көнбатыш,kuzh-heol
331,Osten::N,шәрык,reter
332,Osten::N,шәрык,sav-heol
333,Osten::N,көнчыгыш,reter
334,Osten::N,көнчыгыш,sav-heol
335,Holz::N,агач,koad
336,Brett::N,такта,plankenn
337,Platte::N,плитә,plakenn
338,Stütze::N,таяу,harp
339,Stange::N,колга,sparl
340,Stock::N,таяк,bazh
341,Stab::N,таяк,bazh
342,Rohr::N,торба,tub
343,Rohr::N,торба,korz
344,Haus::N,өй,ti
345,Haus::N,йорт,ti
346,Heim::N,гаилә,kêr
347,Heim::N,нәсел,kêr
348,Ofen::N,мич,forn
349,Fußboden::N,идән,plañchod
350,Tisch::N,өстәл,taol
351,Stuhl::N,утыргыч,kador
352,Wiege::N,бишек,kavell
353,Bett::N,ятак,gwele
354,Bett::N,урын-җир,gwele
355,Regal::N,киштә,estajerenn
356,Regal::N,шүрлек,estajerenn
357,Kiste::N,әрҗә,kased
358,Fenster::N,тәрәзә,prenestr
359,Tür::N,ишек,dor
360,Tor::N,капка,portal
361,Zaun::N,койма,sklotur
362,Dach::N,түбә,toenn
363,Leiter::N,баскыч,skeul
364,Besen::N,себерке,skubell
365,Spaten::N,көрәк,pal
366,Schaufel::N,көрәк,pal
367,Gabel::N,чәннечке,fourchetez
368,Löffel::N,кашык,loa
369,Messer::N,пычак,kontell
370,Nagel::N,кадак,tach
371,Netz::N,челтәр,roued
372,Haken::N,ыргак,krog
373,Griff::N,тотка,kemer
374,Schloss::N,йозак,potenn
375,Bild::N,рәсем,skeudenn
376,Bild::N,картина,skeudenn
377,Figur::N,сын,skeud
378,Figur::N,сын,figur
379,Figur::N,фигура,skeud
380,Figur::N,фигура,figur
381,Puppe::N,курчак,merc'hodenn
382,Beutel::N,луза,sac'h
383,Bündel::N,бәйләм,feskenn
384,Tasche::N,букча,sac'h
385,Eimer::N,чиләк,sailh
386,Deckel::N,капкач,pallenn
387,Geschirr::N,савыт-саба,listriaj
388,Geschirr::N,кашык-аяк,listriaj
389,Sack::N,капчык,sac'h
390,Tasse::N,чынаяк,tas
391,Topf::N,чүлмәк,pod
392,Kessel::N,казан,chaodouron
393,Essen::N,ашау,pred
394,Nahrung::N,азык,boued
395,Nahrung::N,тәгам,boued
396,Nahrung::N,ашамлык,boued
397,Speise::N,ризык,meuz
398,Fleisch::N,ит,kig
399,Getreide::N,ашлык,ed
400,Brei::N,ботка,yod
401,Brot::N,ипи,bara
402,Brot::N,икмәк,bara
403,Scheibe::N,телем,tailhenn
404,Fett::N,май,lard
405,Butter::N,май,amann
406,Öl::N,май,eoul
407,Salz::N,тоз,holen
408,Suppe::N,шулпа,soubenn
409,Honig::N,бал,mel
410,Milch::N,сөт,laezh
411,Tee::N,чәй,te
412,Leder::N,күн,lêr
413,Wolle::N,йон,gloan
414,Stoff::N,тукыма,danvez
415,Nadel::N,энә,nadoz
416,Faden::N,җеп,neudenn
417,Knopf::N,төймә,bouton
418,Knoten::N,төен,skoulm
419,Farbe::N,буяу,liv
420,Kleidung::N,кием,dilhad
421,Hemd::N,күлмәк,roc'hed
422,Kragen::N,яка,gouzoug
423,Ärmel::N,җиң,milgin
424,Hose::N,чалбар,bragoù
425,Gürtel::N,билбау,gouriz
426,Mütze::N,бүрек,boned
427,Schuh::N,башмак,botez
428,Stiefel::N,итек,botez
429,Ring::N,балдак,gwalenn
430,Band::N,тасма,bagad
431,Kamm::N,тарак,krib
432,Spiegel::N,көзге,melezour
433,Riemen::N,каеш,lerenn
434,Schnur::N,бау,kordenn
435,Leine::N,тезген,roll
436,Decke::N,юрган,golo
437,Kissen::N,мендәр,goubenner
438,Tuch::N,яулык,mezher
439,Handtuch::N,сөлгә,toailhon
440,Kraft::N,егәр,nerzh
441,Kraft::N,дәрман,nerzh
442,Stärke::N,көч,nerzhder
443,Stärke::N,дәрман,nerzhder
444,Gesundheit::N,саулык,yec'hed
445,Krankheit::N,чир,klañved
446,Krankheit::N,хаста,klañved
447,Krankheit::N,сырхау,klañved
448,Schmerz::N,авырту,poan
449,Schmerz::N,авырту,droug
450,Wunde::N,яра,gloazadenn
451,Wunde::N,җәрәхәт,gloazadenn
452,Fieber::N,бизгәк,terzhienn
453,Arznei::N,дару,louzoù
454,Brücke::N,күпер,pont
455,Brunnen::N,кое,puñs
456,Weide::N,утлавык,prad
457,Pfad::N,сукмак,gwenodenn
458,Weg::N,юл,hent
459,Straße::N,урам,ru
460,Straße::N,урам,hent
461,Dorf::N,авыл,kêr
462,Dorf::N,авыл,kêriadenn
463,Stadt::N,шәһәр,kêr
464,Brief::N,хат,lizher
465,Buch::N,китап,levr
466,Buchstabe::N,хәреф,lizherenn
467,Zeitung::N,газет,kazetenn
468,Zeitung::N,газета,kazetenn
469,Leben::N,гомер,buhez
470,Leben::N,тормыш,buhez
471,Leben::N,тереклек,buhez
472,Tod::N,үлем,marv
473,Grab::N,гүр,bez
474,Grab::N,кабер,bez
475,Kirche::N,чиркәү,iliz
476,Sünde::N,язык,pec'hed
477,Sünde::N,гөнаһ,pec'hed
478,Gott::N,алла,doue
479,Gott::N,ходай,doue
480,Arbeiter::N,эшче,labourer
481,Arbeiter::N,эшче,micherour
482,Chef::N,башлык,penn
483,Meister::N,оста,mestr
484,Arzt::N,врач,mezeg
485,Arzt::N,врач,medisin
486,Arzt::N,табиб,mezeg
487,Arzt::N,табиб,medisin
488,Lehrer::N,укытучы,skolaer
489,Lehrer::N,укытучы,kelenner
490,Lehrer::N,мөгаллим,skolaer
491,Lehrer::N,мөгаллим,kelenner
492,Geld::N,акча,arc'hant
493,Geschäft::N,эш,stal
494,Laden::N,кибет,stal
495,Laden::N,магазин,stal
496,Preis::N,бәя,priz
497,Preis::N,бәһа,priz
498,Ware::N,товар,marc'hadourezh
499,Nutzen::N,файда,gounidegezh
500,Nutzen::N,файда,lañs
501,Nutzen::N,файда,profit
502,Nutzen::N,файда,spleit
503,Reichtum::N,байлык,pinvidigezh
504,Welt::N,дөнья,douar
