,Concept_ID,ar,mdf
0,Auge::N,عين,сельме
1,Ohr::N,أذن,пиле
2,Nase::N,أنف,шалхка
3,Mund::N,فم,курга
4,Zahn::N,سن,пей
5,Zunge::N,لسان,кяль
6,Lippe::N,شفة,търва́
7,Wange::N,خد,щёка
8,Wange::N,وجنة,щёка
9,Gesicht::N,وجه,шама
10,Stirn::N,جبين,коня
11,Haar::N,شعر,шя́ярь
12,Schnurrbart::N,شارب,уса́
13,Bart::N,لحية,сакал
14,Kinn::N,ذقن,ула
15,Kiefer[Anatomie]::N,فك,саласка
16,Kehle::N,حلق,кълдома
17,Kehle::N,حلق,кърга́парь
18,Hals::N,عنق,сялдаз
19,Hals::N,رقبة,сялдаз
20,Genick::N,قفا,шовонь
21,Kopf::N,رأس,пря
22,Rücken::N,ظهر,копорь
23,Bauch::N,بطن,пеке
24,Nabel::N,سرة,по́кон
25,Busen::N,ثدي,потя
26,Brust::N,صدر,мяште
27,Schulter::N,كتف,лафту
28,Arm::N,ذراع,кядь
29,Ellenbogen::N,كوع,кенерьба́карь
30,Hand::N,يد,кядь
31,Handfläche::N,كف,кядьлапш
32,Finger::N,إصبع,сур
33,Fingernagel::N,ظفر,кенже
34,Nagel[Anatomie]::N,ظفر,кенже
35,Zeh::N,إصبع القدم,пильгосу́р
36,Fuß::N,قدم,пильге
37,Fuß::N,قدم,пильгелапа
38,Ferse::N,كعب,кочкяря
39,Knie::N,ركبة,эль
40,Knie::N,ركبة,пълма́нжа
41,Oberschenkel::N,فخذ,пильгепукша
42,Bein::N,ساق,пильге
43,Körper::N,جسم,ро́нга
44,Körper::N,جسم,по́нда
45,Haut::N,بشرة,киське
46,Blut::N,دم,вер
47,Ader::N,عرق,сан
48,Ader::N,عرق,верза́н
49,Sehne::N,طنب,коське сан
50,Knochen::N,عظم,пакарь
51,Gehirn::N,دماغ,уй
52,Herz::N,قلب,седи
53,Magen::N,معدة,коткърдазь
54,Leber::N,كبد,макса
55,Atem::N,نفس,лекома
56,Atem::N,نفس,ваймонь тарксема
57,Hunger::N,جوع,вачеши
58,Träne::N,دمعة,сельмове́дь
59,Geschmack::N,طعم,таньф
60,Geschmack::N,مذاق,таньф
61,Geruch::N,رائحة,шине
62,Schlaf::N,نوم,удома́
63,Schlaf::N,منام,удома́
64,Traum::N,حلم,он
65,Himmel::N,سماء,менель
66,Sonne::N,شمس,ши
67,Mond::N,قمر,ков
68,Stern::N,نجم,тяште
69,Stern::N,كوكب,тяште
70,Luft::N,هواء,кожф
71,Wind::N,ريح,варма
72,Welle::N,موجة,тавла
73,Wasser::N,ماء,ведь
74,Stein::N,حجر,кев
75,Boden::N,تراب,мода
76,Boden::N,تراب,потмакс
77,Erde::N,أرض,мода
78,Erde::N,أرض,мастор
79,Staub::N,غبار,пуль
80,Rauch::N,دخان,качам
81,Funke::N,شرارة,ця́тка
82,Feuer::N,نار,тол
83,Licht::N,نور,ва́лда
84,Licht::N,ضوء,ва́лда
85,Schatten::N,ظل,цильф
86,Schatten::N,فيء,цильф
87,Wetter::N,جو,уша
88,Wetter::N,طقس,уша
89,Nebel::N,ضباب,тума́н
90,Wolke::N,غيمة,ковол
91,Wolke::N,سحابة,ковол
92,Regen::N,مطر,пизем
93,Schnee::N,ثلج,лов
94,Eis::N,جليد,эй
95,Frost::N,صقيع,ке́льме
96,Kälte::N,برد,якшама
97,Hitze::N,حر,пси
98,Hitze::N,حرارة,пси
99,Raureif::N,صقيع,леш
100,Regenbogen::N,قوس قزح,а́тямъёнга
101,Donner::N,رعد,атям
102,Strömung::N,تيار,шудема́
103,Tropfen::N,قطرة,путькс
104,Tropfen::N,قطرة,пътняфкс
105,Schaum::N,زبد,шов
106,Schaum::N,رغوة,шов
107,Schmutz::N,وسخ,ърда́з
108,See::N,بحيرة,эрьхке
109,Sumpf::N,مستنقع,шяй
110,Moor::N,مستنقع,шяй
111,Wiese::N,مرج,луга
112,Wald::N,غابة,вирь
113,Hügel::N,تل,губо́р
114,Hügel::N,تل,пандоня
115,Anhöhe::N,تل,губо́р
116,Berg::N,جبل,панда
117,Gipfel::N,قمة,пря
118,Höhle::N,كهف,у́нда
119,Abhang::N,منحدر,па́нда ша́ма
120,Quelle::N,منبع,эшиня
121,Bach::N,مجرى,шудерькс
