,Concept_ID,kl,sah
0,Auge::N,isi,харах
1,Ohr::N,siut,кулгаах
2,Mund::N,paaq,айах
3,Mund::N,qaneq,айах
4,Zahn::N,kigut,тиис
5,Zunge::N,oqaq,тыл
6,Lippe::N,qarloq,уос
7,Wange::N,ersaq,иэдэс
8,Gesicht::N,kiinaq,сирэй
9,Stirn::N,qaaq,сүүс
10,Haar::N,meqqoq,баттах
11,Bart::N,umik,сэҥийэ бытыга
12,Kinn::N,talloq,сэҥийэ
13,Kiefer[Anatomie]::N,alleroq,сыҥаах
14,Kehle::N,malaq,тамах
15,Kehle::N,malaq,күөмэй
16,Hals::N,qungaseq,моой
17,Genick::N,pukusuk,кэтэх
18,Kopf::N,niaqoq,бас
19,Rücken::N,qimerlut,көҕүс
20,Bauch::N,naaq,ис
21,Nabel::N,qalaseq,киин
22,Busen::N,iviangeq,эмиий
23,Brust::N,iviangeq,түөс
24,Schulter::N,ersik,сарын
25,Schulter::N,assaqqoq,сарын
26,Arm::N,taleq,илии
27,Ellenbogen::N,ikusik,тоҕонох
28,Hand::N,assak,илии
29,Handfläche::N,itumak,ытыс
30,Finger::N,inuak,тарбах
31,Fingernagel::N,kikiak,тыҥырах
32,Nagel[Anatomie]::N,kukik,тыҥырах
33,Zeh::N,isigak,тарбах
34,Ferse::N,kimmik,тилэх
35,Knie::N,seeqqoq,тобук
36,Knie::N,seeqqoq,дьилбэк
37,Oberschenkel::N,uppat,уллук
38,Oberschenkel::N,uppat,өттүк
39,Oberschenkel::N,quttoraq,уллук
40,Oberschenkel::N,quttoraq,өттүк
41,Bein::N,isigak,атах
42,Körper::N,timi,бэйэ
43,Haut::N,mattak,тирии
44,Blut::N,aak,хаан
45,Ader::N,taqaq,вена
46,Ader::N,taqaq,күөх_тымыр
47,Sehne::N,ujalu,иҥиир
48,Sehne::N,ujaloq,иҥиир
49,Knochen::N,saanikut,уҥуох
50,Knochen::N,saanikut,уҥгуох
51,Gehirn::N,qarasaq,мэйии
52,Herz::N,uummat,сүрэх
53,Magen::N,aqajaroq,куртах
54,Leber::N,tinguk,быар
55,Atem::N,anerneq,тыын
56,Hunger::N,kaanneq,аас
57,Träne::N,qia,харах уута
58,Träne::N,qiak,харах уута
59,Geschmack::N,qilanaartuut,амтан
60,Geruch::N,tipi,сыт
61,Geruch::N,tipik,сыт
62,Traum::N,sinnattoq,түүл
63,Traum::N,sinnattugaq,түүл
64,Himmel::N,qilak,халлаан
65,Sonne::N,seqineq,күн
66,Mond::N,qaammat,ый
67,Stern::N,ulloriaq,сулус
68,Luft::N,silaannaq,салгын
69,Wind::N,anori,тыал
70,Wind::N,anorsarik,тыал
71,Welle::N,aalappaa,долгун
72,Welle::N,aalappaa,балхаан
73,Wasser::N,imeq,уу
74,Stein::N,ujarak,таас
75,Boden::N,nateq,сир
76,Erde::N,issoq,буор
77,Staub::N,pujualanerit,быыл
78,Staub::N,pujoralanerit,быыл
79,Rauch::N,iseq,буруо
80,Rauch::N,pujoq,буруо
81,Funke::N,illoorneq,кыым
82,Feuer::N,inneq,уот
83,Licht::N,qaamaneq,уот
84,Schatten::N,tarraq,күлүк
85,Wetter::N,sila,күн-дьыл
86,Nebel::N,pujoq,туман
87,Wolke::N,nuia,былыт
88,Regen::N,sialuk,самыыр
89,Schnee::N,aput,хаар
90,Eis::N,siku,муус
91,Frost::N,issi,тымныы
92,Frost::N,issik,тымныы
93,Kälte::N,issi,тымныы
94,Hitze::N,kianneq,куйаас
95,Hitze::N,kiassuseq,куйаас
96,Raureif::N,kaneq,кырыа
97,Regenbogen::N,neriusaaq,кустук
98,Donner::N,kalleq,этиҥ
99,Tropfen::N,kuseriarneq,таммах
100,Tropfen::N,kuseriarneq,хааппыла
101,Schaum::N,qapuk,күүгэн
102,Schmutz::N,minguk,кир
103,See::N,taseq,күөл
104,Sumpf::N,maqulluk,бадараан
105,Wiese::N,masarsuk,ходуһа
106,Hügel::N,qattuneq,булгунньах
107,Hügel::N,majuariaq,булгунньах
108,Hügel::N,majorajaaq,булгунньах
109,Hügel::N,qaqqannguaq,булгунньах
110,Berg::N,qaqqaq,хайа
111,Höhle::N,qaarusuk,хайа_хаспаҕа
112,Höhle::N,qaarusuk,көҥүс
113,Abhang::N,ippik,эниэ
114,Abhang::N,sivinganeq,эниэ
115,Abhang::N,sivingajaaq,эниэ
116,Abhang::N,kussangajaaq,эниэ
117,Bach::N,kuunnguaq,үрүйэ
118,Fluss::N,kuuk,өрүс
119,Ufer::N,sissap sinaa,биэрэк
120,Küste::N,sineriak,кытыл
121,Meer::N,imaq,муора
122,Bucht::N,ikeq,хомо
123,Bucht::N,ikeq,бухта
124,Bucht::N,kangerluk,хомо
125,Bucht::N,kangerluk,бухта
126,Bucht::N,kangerliumaneq,хомо
127,Bucht::N,kangerliumaneq,бухта
128,Insel::N,qeqertaq,арыы
129,Blume::N,naasoq,сибэкки
130,Gras::N,ivigaq,от
131,Wurzel::N,niulutaq,силис
132,Baum::N,orpik,мас
133,Stamm::N,kanaartaq,умнас
134,Rinde::N,ameraq,хатырык
135,Ast::N,avalequt,мутук
136,Zweig::N,avalequt,лабаа
137,Blatt::N,pilutaq,сэбирдэх
138,Birke::N,patitsit,хатыҥ
139,Weide[Baum]::N,palleq,үөт
140,Weide[Baum]::N,palleq,талах
141,Tanne::N,orsuerneq,харыйа
142,Horn::N,nassuk,муос
143,Feder::N,suluk,куорсун
144,Fell::N,ameq,тирии
145,Flügel::N,suluk,кынат
146,Flügel::N,isaroq,кынат
