,Concept_ID,udm,kl
0,Auge::N,син,isi
1,Ohr::N,пель,siut
2,Nase::N,ныр,
3,Mund::N,ым,paaq
4,Mund::N,ым,qaneq
5,Zahn::N,пинь,kigut
6,Zunge::N,кыл,oqaq
7,Lippe::N,ымдур,qarloq
8,Wange::N,бам,ersaq
9,Gesicht::N,ымныр,kiinaq
10,Stirn::N,кымес,qaaq
11,Haar::N,йырси,meqqoq
12,Schnurrbart::N,мыйык,
13,Bart::N,туш,umik
14,Kinn::N,ангес,talloq
15,Kiefer[Anatomie]::N,ан,alleroq
16,Kiefer[Anatomie]::N,анлы,alleroq
17,Kehle::N,гульым,malaq
18,Hals::N,чырты,qungaseq
19,Genick::N,йырбер,pukusuk
20,Kopf::N,йыр,niaqoq
21,Rücken::N,мыш,qimerlut
22,Bauch::N,кӧт,naaq
23,Nabel::N,гогы,qalaseq
24,Busen::N,ноны,iviangeq
25,Brust::N,мӧля,iviangeq
26,Schulter::N,пельпум,ersik
27,Schulter::N,пельпум,assaqqoq
28,Arm::N,суй,taleq
29,Ellenbogen::N,гырпум,ikusik
30,Hand::N,ки,assak
31,Handfläche::N,ки пыдэс,itumak
32,Handfläche::N,кырым пыдэс,itumak
33,Finger::N,чиньы,inuak
34,Fingernagel::N,гижы,kikiak
35,Fingernagel::N,гиждӥнь,kikiak
36,Nagel[Anatomie]::N,гижы,kukik
37,Zeh::N,пыдчиньы,isigak
38,Fuß::N,пыд,
39,Ferse::N,пыдбер,kimmik
40,Knie::N,пыдес,seeqqoq
41,Oberschenkel::N,макес,uppat
42,Oberschenkel::N,макес,quttoraq
43,Bein::N,пыд,isigak
44,Körper::N,мугор,timi
45,Körper::N,вылтыр,timi
46,Haut::N,ку,mattak
47,Blut::N,вир,aak
48,Ader::N,вирсэр,taqaq
49,Sehne::N,вуж,ujalu
50,Sehne::N,вуж,ujaloq
51,Knochen::N,лы,saanikut
52,Gehirn::N,вим,qarasaq
53,Herz::N,сюлэм,uummat
54,Magen::N,ӝуш,aqajaroq
55,Leber::N,мус,tinguk
56,Atem::N,лул,anerneq
57,Atem::N,шокан,anerneq
58,Hunger::N,кӧтсюман,kaanneq
59,Träne::N,синкыли,qia
60,Träne::N,синкыли,qiak
61,Geschmack::N,шӧм,qilanaartuut
62,Geruch::N,зын,tipi
63,Geruch::N,зын,tipik
64,Schlaf::N,вӧт,
65,Traum::N,уйвӧт,sinnattoq
66,Traum::N,уйвӧт,sinnattugaq
67,Himmel::N,ин,qilak
68,Sonne::N,шунды,seqineq
69,Mond::N,толэзь,qaammat
70,Stern::N,кизили,ulloriaq
71,Luft::N,омыр,silaannaq
72,Wind::N,тӧл,anori
73,Wind::N,тӧл,anorsarik
74,Welle::N,тулкым,aalappaa
75,Wasser::N,ву,imeq
76,Stein::N,из,ujarak
77,Boden::N,музъем,nateq
78,Erde::N,му,issoq
79,Staub::N,пыль,pujualanerit
80,Staub::N,пыль,pujoralanerit
81,Rauch::N,ӵын,iseq
82,Rauch::N,ӵын,pujoq
83,Funke::N,гизьы,illoorneq
84,Feuer::N,тыл,inneq
85,Licht::N,тыл,qaamaneq
86,Schatten::N,вужер,tarraq
87,Wetter::N,куазь,sila
88,Nebel::N,бус,pujoq
89,Wolke::N,пилем,nuia
90,Regen::N,зор,sialuk
91,Schnee::N,лымы,aput
92,Eis::N,йӧ,siku
93,Frost::N,кезьыт,issi
94,Frost::N,кезьыт,issik
95,Kälte::N,кезьыт,issi
96,Hitze::N,пӧсь,kianneq
97,Hitze::N,пӧсь,kiassuseq
98,Raureif::N,гӧр,kaneq
99,Regenbogen::N,вуюись,neriusaaq
100,Donner::N,гудыри,kalleq
101,Strömung::N,бызён,
102,Tropfen::N,шапык,kuseriarneq
103,Schaum::N,шукы,qapuk
104,Schmutz::N,нӧд,minguk
105,Schmutz::N,дэри,minguk
106,See::N,ты,taseq
107,Sumpf::N,нюр,maqulluk
108,Moor::N,нюр,
109,Wiese::N,возь,masarsuk
110,Wiese::N,возьвыл,masarsuk
111,Wald::N,сик,
112,Wald::N,нюлэс,
113,Hügel::N,выр,qattuneq
114,Hügel::N,выр,majuariaq
115,Hügel::N,выр,majorajaaq
116,Hügel::N,выр,qaqqannguaq
117,Hügel::N,вырйыл,qattuneq
118,Hügel::N,вырйыл,majuariaq
119,Hügel::N,вырйыл,majorajaaq
120,Hügel::N,вырйыл,qaqqannguaq
121,Anhöhe::N,выр,
122,Anhöhe::N,вырйыл,
123,Berg::N,гурезь,qaqqaq
124,Gipfel::N,йыл,
125,Höhle::N,гу,qaarusuk
126,Abhang::N,бам,ippik
127,Abhang::N,бам,sivinganeq
128,Abhang::N,бам,sivingajaaq
129,Abhang::N,бам,kussangajaaq
130,Quelle::N,ошмес,
131,Bach::N,пичи шур,kuunnguaq
132,Fluss::N,шур,kuuk
133,Ufer::N,ярдур,sissap sinaa
134,Küste::N,вудур,sineriak
135,Festland::N,мувыр,
136,Meer::N,зарезь,imaq
137,Bucht::N,вукож,ikeq
138,Bucht::N,вукож,kangerluk
139,Bucht::N,вукож,kangerliumaneq
140,Insel::N,вумуӵ,qeqertaq
141,Insel::N,шормуӵ,qeqertaq
142,Blume::N,сяська,naasoq
143,Gras::N,турын,ivigaq
144,Wurzel::N,выжы,niulutaq
145,Baum::N,пу,orpik
146,Stamm::N,модос,kanaartaq
147,Rinde::N,сул,ameraq
148,Ast::N,ул,avalequt
149,Zweig::N,вай,avalequt
150,Blatt::N,куар,pilutaq
151,Birke::N,кызьпу,patitsit
152,Kiefer[Baum]::N,пужым,
153,Weide[Baum]::N,бадьпу,palleq
154,Tanne::N,кыз,orsuerneq
155,Horn::N,сюр,nassuk
156,Feder::N,тылы,suluk
157,Fell::N,ку,ameq
158,Flügel::N,бурд,suluk
159,Flügel::N,бурд,isaroq
160,Klaue::N,гижы,kukik
161,Kralle::N,пыд,kukik
162,Schwanz::N,быж,pamioq
163,Schwanz::N,быж,paperuusaq
164,Ei::N,пуз,mannik
165,Ei::N,кукей,mannik
166,Nest::N,кар,ullut
167,Nest::N,пузкар,ullut
168,Bau::N,кар,ini
169,Bau::N,гу,ini
170,Tier::N,пӧйшур,uumasoq
171,Herde::N,уллё,unguukkat
172,Kuh::N,скал,ussik
173,Bulle::N,ош,angukulak
174,Bulle::N,ош,anguteralak
175,Bulle::N,ош,angutikulooq
176,Bulle::N,пороз,angukulak
177,Bulle::N,пороз,anguteralak
178,Bulle::N,пороз,angutikulooq
179,Pferd::N,вал,
180,Schaf::N,ыж,sava
181,Schwein::N,парсь,puuluki
182,Hund::N,пуны,qimmeq
183,Katze::N,коӵыш,puisaaq
184,Bär::N,гондыр,allaq
185,Eichhörnchen::N,коньы,sissinnguaq
186,Elch::N,койык,
187,Fuchs::N,ӟичы,terianniaq
188,Hase::N,кеч,ukaleq
189,Maus::N,шыр,teriannguaq
190,Wolf::N,кион,amaroq
191,Vogel::N,тылобурдо,timmiaq
192,Schwarm::N,уллё,
193,Huhn::N,курег,kukkukooq
194,Huhn::N,курег,marloraaqaaq
195,Hahn::N,атас,kiasiusaq
196,Gans::N,ӟазег,nerleq
197,Adler::N,ӧрзи,nattoralik
198,Ente::N,ӵӧж,
199,Eule::N,кучыран,uppik
200,Kranich::N,тури,qorlorfik
201,Krähe::N,куака,tuluatsiaq
202,Kuckuck::N,кикы,kukkooq
203,Schwan::N,юсь,qussuk
204,Fisch::N,чорыг,aalisagaq
205,Barsch::N,юш,
206,Hecht::N,чипей,
207,Schlange[Tier]::N,кый,pulateriarsuk
208,Schlange[Tier]::N,кый,pulateriaarsuk
209,Wurm::N,нумыр,
210,Spinne::N,чонари,aasiaq
211,Spinne::N,чонари,nissavaarsuk
212,Ameise::N,кузьыли,uniaaluk
213,Laus::N,тэй,kumak
214,Mücke::N,нымы,ippernaq
215,Mücke::N,чибинь,ippernaq
216,Fliege::N,кут,ippernaq
217,Schmetterling::N,бубыли,paluaq
218,Schmetterling::N,бубыли,pakkaluaq
219,Schmetterling::N,бубыли,utsuppaluaq
220,Schmetterling::N,бубыли,taqaleqisaaq
221,Beere::N,узы-боры,paarmaq
222,Beere::N,узы-боры,paarngaq
223,Apfel::N,яблок,iipili
224,Pilz::N,губи,anngiusaq
