,Concept_ID,mhr,sq
0,Auge::N,шинча́,sy
1,Ohr::N,пы́лыш,vesh
2,Nase::N,нер,hundë
3,Mund::N,умша́,gojë
4,Zahn::N,пӱй,dhëmb
5,Zunge::N,йы́лме,gjuhë
6,Lippe::N,тӱ́рвӧ,buzë
7,Wange::N,шӱ́ргӧ,faqe
8,Wange::N,шӱ́ргӧ,mollëz
9,Gesicht::N,чури́й,fytyrë
10,Stirn::N,саҥга́,ballë
11,Haar::N,ӱп,flokë
12,Schnurrbart::N,ӧ́рыш,mustaqe
13,Bart::N,понда́ш,mjekër
14,Kinn::N,оҥыла́ш,mjekër
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,nofull
16,Kiefer[Anatomie]::N,пӱйората́,nofull
17,Kehle::N,лога́р,fyt
18,Kehle::N,лога́р,grykë
19,Hals::N,шӱй,qafë
20,Genick::N,шӱйло́дыш,arrëz
21,Kopf::N,вуй,kokë
22,Rücken::N,туп,kurriz
23,Bauch::N,мӱ́шкыр,bark
24,Nabel::N,кы́лымде,kërthizë
25,Busen::N,чы́зе,gji
26,Brust::N,оҥ,gjoks
27,Brust::N,оҥ,kraharor
28,Schulter::N,ва́че,sup
29,Schulter::N,ва́че,krah
30,Arm::N,кид,krah
31,Ellenbogen::N,кынерву́й,bërryl
32,Hand::N,кид,dorë
33,Hand::N,копа́,dorë
34,Handfläche::N,со́во,pëllëmbë
35,Finger::N,парня́,gisht
36,Fingernagel::N,кидкӱ́ч,thua
37,Fingernagel::N,парнягӱ́ч,thua
38,Nagel[Anatomie]::N,кӱч,thua
39,Zeh::N,йолварня́,gisht i këmbës
40,Fuß::N,йол,këmbë
41,Fuß::N,йолкопа́,këmbë
42,Ferse::N,тага́н,thembër
43,Knie::N,пулву́й,gju
44,Oberschenkel::N,э́рде,kofshë
45,Bein::N,йол,këmbë
46,Körper::N,кап,trup
47,Haut::N,кова́ште,lëkurë
48,Blut::N,вӱр,gjak
49,Ader::N,шӧн,venë
50,Sehne::N,шӧн,dell
51,Sehne::N,кӱсе́н,dell
52,Knochen::N,лу,asht
53,Knochen::N,лу,kockë
54,Gehirn::N,вем,tru
55,Gehirn::N,вуйве́м,tru
56,Herz::N,шӱм,zemër
57,Magen::N,пага́р,stomak
58,Leber::N,мокш,mëlçi
59,Atem::N,шӱ́лыш,frymë
60,Hunger::N,шужыма́ш,uri
61,Träne::N,шинчавӱ́д,lot
62,Geschmack::N,там,shije
63,Geruch::N,пуш,erë
64,Schlaf::N,о́мо,gjumë
65,Traum::N,йӱдо́мо,ëndërr
66,Himmel::N,кава́,qiell
67,Sonne::N,ке́че,diell
68,Mond::N,ты́лзе,hënë
69,Stern::N,шӱ́дыр,yll
70,Luft::N,юж,ajër
71,Wind::N,марде́ж,erë
72,Welle::N,то́лкын,valë
73,Welle::N,то́лкын,dallgë
74,Wasser::N,вӱд,ujë
75,Stein::N,кӱ,gur
76,Boden::N,рок,tokë
77,Boden::N,рок,truall
78,Erde::N,мла́нде,dhe
79,Erde::N,мла́нде,baltë
80,Staub::N,пура́к,pluhur
81,Rauch::N,шикш,tym
82,Funke::N,сеске́м,xixë
83,Funke::N,сеске́м,shkëndijë
84,Funke::N,тулйы́п,xixë
85,Funke::N,тулйы́п,shkëndijë
86,Feuer::N,тул,zjarr
87,Licht::N,со́то,dritë
88,Schatten::N,ӱ́мыл,hije
89,Wetter::N,иге́че,mot
90,Nebel::N,тӱтыра́,mjegull
91,Wolke::N,пыл,re
92,Regen::N,йӱр,shi
93,Schnee::N,лум,borë
94,Eis::N,ий,akull
95,Frost::N,чатлама́,ngricë
