,Concept_ID,fi,et
262,Ehefrau::N,vaimo,naine
263,Ehefrau::N,vaimo,abikaasa
264,Ehefrau::N,aviovaimo,naine
265,Ehefrau::N,aviovaimo,abikaasa
266,Freude::N,ilo,rõõm
267,Freude::N,riemu,rõõm
268,Gelächter::N,nauru,naer
269,Glück::N,onni,õnn
270,Kummer::N,suru,mure
271,Kummer::N,suru,kurbus
272,Kummer::N,murhe,mure
273,Kummer::N,murhe,kurbus
274,Wunsch::N,toive,soov
275,Wunsch::N,toivomus,soov
276,Lust::N,himo,himu
277,Geist::N,henki,vaim
278,Gedanke::N,aate,mõte
279,Gedanke::N,ajatus,mõte
280,Gedächtnis::N,muisti,mälu
281,Verstand::N,äly,aru
282,Verstand::N,äly,mõistus
283,Verstand::N,järki,aru
284,Verstand::N,järki,mõistus
285,Verstand::N,ymmärrys,aru
286,Verstand::N,ymmärrys,mõistus
287,Sinn::N,merkitys,tähendus
288,Grund::N,syy,põhjus
289,Grund::N,peruste,põhjus
290,Wahrheit::N,tosi,tõde
291,Wahrheit::N,totuus,tõde
292,Gespräch::N,puhelu,kõne
293,Gespräch::N,puhelu,vestlus
294,Gespräch::N,keskustelu,kõne
295,Gespräch::N,keskustelu,vestlus
296,Märchen::N,satu,muinasjutt
297,Erzählung::N,tarina,jutustus
298,Erzählung::N,kertomus,jutustus
299,Nachricht::N,tieto,teade
300,Nachricht::N,ilmoitus,teade
301,Neuigkeit::N,uutinen,uudis
302,Name::N,nimi,nimi
303,Rätsel::N,arvoitus,mõistatus
304,Rede::N,puhe,kõne
305,Sprache::N,kieli,keel
306,Stimme::N,ääni,hääl
307,Wort::N,sana,sõna
308,Zeichen::N,merkki,märk
309,Ruf::N,kutsu,hüüe
310,Lärm::N,melu,müra
311,Lärm::N,hälinä,müra
312,Laut::N,ääni,hääl
313,Ton::N,sävel,toon
314,Lied::N,laulu,laul
315,Ruhe::N,lepo,rahu
316,Ruhe::N,lepo,vaikus
317,Ruhe::N,rauha,rahu
318,Ruhe::N,rauha,vaikus
319,Leute::N,väki,inimesed
320,Leute::N,ihmiset,inimesed
321,Volk::N,kansa,rahvas
322,Arbeit::N,työ,töö
323,Gast::N,vieras,külaline
324,Geschenk::N,lahja,kingitus
325,Spiel::N,peli,mäng
326,Spiel::N,leikki,mäng
327,Gesellschaft::N,seura,selts
328,Hilfe::N,apu,abi
329,Freund::N,ystävä,sõber
330,Kamerad::N,toveri,sõber
