,Concept_ID,it,bg
0,Auge::N,occhio,око
1,Ohr::N,orecchio,ухо
2,Nase::N,naso,нос
3,Mund::N,bocca,уста
4,Zahn::N,dente,зъб
5,Zunge::N,lingua,език
6,Lippe::N,labbro,устна
7,Wange::N,guancia,буза
8,Gesicht::N,viso,лице
9,Gesicht::N,viso,образ
10,Gesicht::N,faccia,лице
11,Gesicht::N,faccia,образ
12,Stirn::N,fronte,чело
13,Haar::N,capello,коса
14,Haar::N,capello,косъм
15,Schnurrbart::N,baffi,мустаци
16,Schnurrbart::N,mustacchi,мустаци
17,Bart::N,barba,брада
18,Kinn::N,mento,брада
19,Kinn::N,mento,брадичка
20,Kiefer[Anatomie]::N,mascella,челюст
21,Kehle::N,gola,гърло
22,Hals::N,collo,врат
23,Genick::N,nuca,тил
24,Kopf::N,capo,глава
25,Kopf::N,testa,глава
26,Rücken::N,dorso,гръб
27,Rücken::N,schiena,гръб
28,Bauch::N,ventre,корем
29,Nabel::N,ombelico,пъп
30,Busen::N,seno,бозка
31,Brust::N,petto,гръд
32,Schulter::N,spalla,рамо
33,Schulter::N,spalla,плещи
34,Arm::N,braccio,ръка
35,Ellenbogen::N,gomito,лакът
36,Hand::N,mano,ръка
37,Hand::N,mano,китка
38,Handfläche::N,palma,длан
39,Finger::N,dito,пръст
40,Fingernagel::N,unghia,нокът
41,Nagel[Anatomie]::N,unghia,нокът
42,Zeh::N,dito del piede,пръст на крак
43,Fuß::N,piede,крак
44,Fuß::N,piede,нога
45,Ferse::N,tallone,пета
46,Ferse::N,calcagno,пета
47,Knie::N,ginocchio,коляно
48,Oberschenkel::N,fèmore,бедро
49,Bein::N,gamba,крак
50,Bein::N,gamba,нога
51,Körper::N,corpo,тяло
52,Haut::N,pelle,кожа
53,Blut::N,sangue,кръв
54,Ader::N,vena,вена
55,Ader::N,vena,артерия
56,Sehne::N,tèndine,жила
57,Sehne::N,tèndine,сухожилие
58,Knochen::N,osso,кост
59,Gehirn::N,cervello,мозък
60,Herz::N,cuore,сърце
61,Magen::N,stòmaco,стомах
62,Leber::N,fegato,черен дроб
63,Atem::N,fiato,дишане
64,Atem::N,respiro,дишане
65,Hunger::N,fame,глад
66,Träne::N,làcrima,сълза
67,Geschmack::N,gusto,вкус
68,Geschmack::N,sapore,вкус
69,Geruch::N,odore,миризма
70,Schlaf::N,sonno,сън
71,Traum::N,sogno,сън
72,Himmel::N,cielo,небе
73,Sonne::N,sole,слънце
74,Mond::N,luna,луна
75,Mond::N,luna,месец
76,Stern::N,stella,звезда
77,Luft::N,aria,въздух
78,Wind::N,vento,вятър
79,Welle::N,onda,вълна
80,Wasser::N,acqua,вода
81,Stein::N,sasso,камък
82,Stein::N,pietra,камък
83,Boden::N,suolo,земя
84,Boden::N,suolo,почва
85,Boden::N,terreno,земя
86,Boden::N,terreno,почва
87,Erde::N,terra,земя
88,Erde::N,terra,почва
89,Staub::N,polvere,прах
90,Rauch::N,fumo,дим
91,Rauch::N,fumo,пушек
92,Funke::N,scintilla,искра
93,Feuer::N,fuoco,огън
94,Licht::N,luce,светлина
95,Schatten::N,ombra,сянка
96,Wetter::N,tempo,време
