,Concept_ID,bg,eu
0,Auge::N,око,begi
1,Ohr::N,ухо,belarri
2,Nase::N,нос,sudur
3,Mund::N,уста,aho
4,Zahn::N,зъб,hortz
5,Zunge::N,език,mihi
6,Lippe::N,устна,ezpain
7,Wange::N,буза,masail
8,Gesicht::N,лице,aurpegi
9,Gesicht::N,образ,aurpegi
10,Stirn::N,чело,bekoki
11,Haar::N,коса,ile
12,Haar::N,коса,bilo
13,Haar::N,косъм,ile
14,Haar::N,косъм,bilo
15,Schnurrbart::N,мустаци,bibote
16,Schnurrbart::N,мустаци,sudurpeko
17,Bart::N,брада,bizar
18,Kinn::N,брада,kokots
19,Kinn::N,брадичка,kokots
20,Kiefer[Anatomie]::N,челюст,masailezur
21,Kehle::N,гърло,eztarri
22,Hals::N,врат,sama
23,Genick::N,тил,garondo
24,Kopf::N,глава,buru
25,Rücken::N,гръб,bizkar
26,Bauch::N,корем,sabel
27,Nabel::N,пъп,zilbor
28,Busen::N,бозка,titi
29,Busen::N,бозка,ugatz
30,Brust::N,гръд,bular
31,Schulter::N,рамо,besaburu
32,Schulter::N,плещи,besaburu
33,Arm::N,ръка,beso
34,Ellenbogen::N,лакът,ukondo
35,Hand::N,ръка,esku
36,Hand::N,китка,esku
37,Handfläche::N,длан,ahur
38,Finger::N,пръст,hatz
39,Fingernagel::N,нокът,azazkal
40,Nagel[Anatomie]::N,нокът,azazkal
41,Zeh::N,пръст на крак,behatz
42,Fuß::N,крак,oin
43,Fuß::N,нога,oin
44,Ferse::N,пета,orpo
45,Ferse::N,пета,oinburu
46,Knie::N,коляно,belaun
47,Oberschenkel::N,бедро,izter
48,Bein::N,крак,zango
49,Bein::N,нога,zango
50,Körper::N,тяло,soin
51,Haut::N,кожа,azal
52,Blut::N,кръв,odol
53,Ader::N,вена,zain
54,Ader::N,артерия,zain
55,Sehne::N,жила,gihar-zain
56,Sehne::N,сухожилие,gihar-zain
57,Knochen::N,кост,hezur
58,Gehirn::N,мозък,garun
59,Gehirn::N,мозък,burmuin
60,Herz::N,сърце,bihotz
61,Magen::N,стомах,urdail
62,Leber::N,черен дроб,gibel
63,Atem::N,дишане,hats
64,Atem::N,дишане,arnasa
65,Hunger::N,глад,gose
66,Träne::N,сълза,malko
67,Geschmack::N,вкус,dasta
68,Geruch::N,миризма,usain
69,Schlaf::N,сън,lo
70,Traum::N,сън,amets
71,Himmel::N,небе,zeru
72,Sonne::N,слънце,eguzki
73,Mond::N,луна,ilargi
74,Mond::N,месец,ilargi
75,Stern::N,звезда,izar
76,Luft::N,въздух,aire
77,Wind::N,вятър,haize
78,Welle::N,вълна,uhin
79,Welle::N,вълна,olatu
80,Wasser::N,вода,ur
81,Stein::N,камък,harri
82,Boden::N,земя,lur
83,Boden::N,земя,zoru
84,Boden::N,почва,lur
85,Boden::N,почва,zoru
86,Erde::N,земя,lur
87,Erde::N,почва,lur
88,Staub::N,прах,hauts
89,Rauch::N,дим,ke
90,Rauch::N,пушек,ke
91,Funke::N,искра,zirta
92,Funke::N,искра,txinparta
93,Feuer::N,огън,su
94,Licht::N,светлина,argi
95,Schatten::N,сянка,itzal
96,Schatten::N,сянка,geriza
97,Wetter::N,време,eguraldi
98,Nebel::N,мъгла,laino
99,Wolke::N,облак,hodei
100,Regen::N,дъжд,euri
101,Schnee::N,сняг,elur
102,Eis::N,лед,horma
103,Frost::N,мраз,izotzaldi
104,Kälte::N,студ,hotz
105,Hitze::N,жега,bero
106,Hitze::N,горещина,bero
107,Raureif::N,скреж,antzigar
108,Raureif::N,слана,antzigar
109,Regenbogen::N,дъга,ostadar
110,Regenbogen::N,дъга,ortzadar
111,Donner::N,гръм,ostots
112,Donner::N,гръм,ihurtzuri
113,Strömung::N,течение,laster
114,Tropfen::N,капка,xorta
115,Schaum::N,пяна,bits
116,Schmutz::N,кал,lohi
117,Schmutz::N,кал,zikin
118,Schmutz::N,мръсотия,lohi
119,Schmutz::N,мръсотия,zikin
120,See::N,езеро,laku
121,See::N,езеро,aintzira
122,Sumpf::N,блато,zingira
123,Moor::N,мочурище,zohikaztegi
124,Wiese::N,ливада,larre
125,Wiese::N,ливада,belardi
126,Wald::N,гора,baso
127,Wald::N,гора,oihan
128,Hügel::N,рид,muino
129,Hügel::N,рид,pentoka
130,Hügel::N,хълм,muino
131,Hügel::N,хълм,pentoka
132,Anhöhe::N,могила,garai
133,Anhöhe::N,могила,goragune
134,Anhöhe::N,възвишение,garai
135,Anhöhe::N,възвишение,goragune
136,Berg::N,планина,mendi
137,Gipfel::N,връх,gain
138,Gipfel::N,връх,tontor
139,Höhle::N,пещера,kobazulo
140,Abhang::N,склон,aldapa
141,Abhang::N,стръмнина,aldapa
142,Quelle::N,извор,iturri
143,Quelle::N,извор,iturbegi
144,Bach::N,поток,lats
145,Bach::N,поток,erreka
146,Fluss::N,река,ibai
147,Fluss::N,река,uhaitz
148,Ufer::N,бряг,bazter
149,Küste::N,бряг,itsasalde
150,Küste::N,крайбрежие,itsasalde
151,Festland::N,суша,lehor
152,Meer::N,море,itsaso
153,Bucht::N,залив,golko
154,Insel::N,остров,irla
155,Insel::N,остров,uharte
156,Blume::N,цвете,lili
157,Gras::N,трева,belar
158,Wurzel::N,корен,zuztar
159,Wurzel::N,корен,sustrai
160,Baum::N,дърво,zuhaitz
161,Stamm::N,стъбло,enbor
162,Rinde::N,кора,azal
163,Ast::N,клон,adar
164,Zweig::N,клон,abar
165,Blatt::N,лист,hosto
166,Birke::N,бреза,urki
167,Kiefer[Baum]::N,бор,ler
168,Weide[Baum]::N,върба,zume
169,Weide[Baum]::N,върба,sahats
170,Tanne::N,ела,izei
171,Horn::N,рог,adar
172,Feder::N,перо,luma
173,Feder::N,перо,hegaki
174,Fell::N,кожа,ile
175,Fell::N,кожа,larru
176,Flügel::N,крило,hego
177,Klaue::N,нокът,atzapar
178,Kralle::N,нокът,erpe
179,Kralle::N,нокът,atzapar
180,Schwanz::N,опашка,isats
181,Schwanz::N,опашка,buztan
182,Ei::N,яйце,arrautza
183,Nest::N,гнездо,habia
184,Bau::N,дупка,ohantze
185,Tier::N,животно,abere
186,Tier::N,животно,piztia
187,Herde::N,стадо,saldo
188,Herde::N,стадо,abere talde
189,Kuh::N,крава,behi
190,Bulle::N,бик,zezen
191,Pferd::N,кон,zaldi
192,Schaf::N,овца,ardi
193,Schwein::N,свиня,urde
194,Schwein::N,свиня,txerri
195,Hund::N,куче,txakur
196,Katze::N,котка,katu
197,Bär::N,мечка,hartz
198,Eichhörnchen::N,катерица,urtxintxa
199,Elch::N,лос,altze
200,Fuchs::N,лисица,azeri
201,Hase::N,заек,erbi
202,Maus::N,мишка,sagu
203,Wolf::N,вълк,otso
204,Vogel::N,птица,txori
205,Vogel::N,птица,hegazti
206,Schwarm::N,рой,aldra
207,Schwarm::N,рояк,aldra
208,Huhn::N,кокошка,oilo
209,Hahn::N,петел,oilar
210,Gans::N,гъска,antzara
211,Adler::N,орел,arrano
212,Ente::N,патица,ahate
213,Eule::N,сова,hontza
214,Kranich::N,жерав,kurrilo
215,Krähe::N,врана,bele
216,Kuckuck::N,кукувица,kuku
217,Schwan::N,лебед,beltxarga
218,Fisch::N,риба,arrain
219,Barsch::N,костур,perka
220,Hecht::N,щука,lutxo
221,Schlange[Tier]::N,змия,suge
222,Wurm::N,червей,har
223,Spinne::N,паяк,armiarma
224,Ameise::N,мравка,inurri
225,Laus::N,въшка,zorri
226,Mücke::N,комар,eltxo
227,Fliege::N,муха,euli
228,Schmetterling::N,пеперуда,pinpirin
229,Schmetterling::N,пеперуда,tximeleta
230,Beere::N,плод,baia
231,Apfel::N,ябълка,sagar
232,Pilz::N,гъба,onddo
233,Pilz::N,гъба,perretxiko
234,Zwiebel::N,лук,tipula
235,Zwiebel::N,кромид,tipula
236,Saat::N,семе,haziak
237,Korn::N,зърно,ale
238,Korn::N,зърно,pikor
239,Heu::N,сено,belar ondu
240,Schale::N,кора,azal
241,Grube::N,яма,hobi
242,Grube::N,дупка,hobi
243,Falle::N,примка,harrapagailu
244,Schlinge::N,клуп,bilur
245,Schlinge::N,клуп,xedera
246,Spur::N,диря,lorratz
247,Spur::N,следа,lorratz
248,Asche::N,пепел,errauts
249,Dreck::N,кал,satsukeria
250,Eisen::N,желязо,burdina
251,Gold::N,злато,urre
252,Gold::N,злато,urregorri
253,Silber::N,сребро,zilar
254,Silber::N,сребро,urrezuri
255,Kohle::N,въглища,ikatz
256,Glas::N,стъкло,beira
