,Concept_ID,ar,el
0,Auge::N,عين,μάτι
1,Auge::N,عين,οφθαλμός
2,Ohr::N,أذن,αυτί
3,Nase::N,أنف,μύτη
4,Mund::N,فم,στόμα
5,Zahn::N,سن,δόντι
6,Zunge::N,لسان,γλώσσα
7,Lippe::N,شفة,χείλος
8,Wange::N,خد,παρειά
9,Wange::N,خد,μάγουλο
10,Wange::N,وجنة,παρειά
11,Wange::N,وجنة,μάγουλο
12,Gesicht::N,وجه,πρόσωπο
13,Stirn::N,جبين,μέτωπο
14,Haar::N,شعر,μαλλιά
15,Schnurrbart::N,شارب,μουστάκι
16,Bart::N,لحية,γένια
17,Kinn::N,ذقن,πιγούνι
18,Kiefer[Anatomie]::N,فك,σαγόνι
19,Kehle::N,حلق,λαρύγγι
20,Hals::N,عنق,λαιμός
21,Hals::N,رقبة,λαιμός
22,Genick::N,قفا,σβέρκος
23,Kopf::N,رأس,κεφάλι
24,Rücken::N,ظهر,ράχη
25,Bauch::N,بطن,κοιλιά
26,Nabel::N,سرة,αφαλός
27,Busen::N,ثدي,στήθος
28,Brust::N,صدر,στήθος
29,Schulter::N,كتف,ώμος
30,Arm::N,ذراع,χέρι
31,Arm::N,ذراع,μπράτςο
32,Ellenbogen::N,كوع,αγκώνας
33,Hand::N,يد,χέρι
34,Handfläche::N,كف,παλάμη
35,Finger::N,إصبع,δάχτυλο
36,Fingernagel::N,ظفر,νύχι
37,Nagel[Anatomie]::N,ظفر,νύχι
38,Zeh::N,إصبع القدم,δάχτυλο του ποδιού
39,Fuß::N,قدم,πόδι
40,Ferse::N,كعب,φτέρνα
41,Knie::N,ركبة,γόνατο
42,Oberschenkel::N,فخذ,μηρός
43,Bein::N,ساق,πόδι
44,Körper::N,جسم,σώμα
45,Körper::N,جسم,κορμί
46,Haut::N,بشرة,πετσί
47,Blut::N,دم,αίμα
48,Ader::N,عرق,φλέβα
49,Sehne::N,طنب,νεύρο
50,Sehne::N,طنب,τένοντας
51,Knochen::N,عظم,οστό
52,Knochen::N,عظم,κόκκαλο
53,Gehirn::N,دماغ,μυαλό
54,Gehirn::N,دماغ,εγκέφαλος
55,Herz::N,قلب,καρδιά
56,Magen::N,معدة,στομάχι
57,Leber::N,كبد,ήπαρ
58,Leber::N,كبد,συκωτί
59,Atem::N,نفس,αναπνοή
60,Hunger::N,جوع,πείνα
61,Träne::N,دمعة,δάκρυ
62,Geschmack::N,طعم,γεύση
63,Geschmack::N,مذاق,γεύση
64,Geruch::N,رائحة,οσμή
65,Geruch::N,رائحة,μυρωδία
66,Schlaf::N,نوم,ύπνος
67,Schlaf::N,منام,ύπνος
68,Traum::N,حلم,όνειρο
69,Himmel::N,سماء,ουρανός
70,Sonne::N,شمس,ήλιος
71,Mond::N,قمر,σελήνη
72,Mond::N,قمر,φεγγάρι
73,Stern::N,نجم,άστρο
74,Stern::N,نجم,αστέρι
75,Stern::N,كوكب,άστρο
76,Stern::N,كوكب,αστέρι
77,Luft::N,هواء,αέρας
78,Wind::N,ريح,αέρας
79,Wind::N,ريح,άνεμος
80,Welle::N,موجة,κύμα
81,Wasser::N,ماء,νερό
82,Stein::N,حجر,πέτρα
83,Boden::N,تراب,χώμα
84,Erde::N,أرض,γη
85,Staub::N,غبار,σκόνη
86,Rauch::N,دخان,καπνός
87,Funke::N,شرارة,σπίθα
88,Funke::N,شرارة,σπινθήρας
89,Feuer::N,نار,φωτιά
90,Licht::N,نور,φως
91,Licht::N,ضوء,φως
92,Schatten::N,ظل,σκιά
93,Schatten::N,ظل,ίσκιος
94,Schatten::N,فيء,σκιά
95,Schatten::N,فيء,ίσκιος
96,Wetter::N,جو,καιρός
97,Wetter::N,طقس,καιρός
98,Nebel::N,ضباب,ομίχλη
99,Wolke::N,غيمة,σύννεφο
100,Wolke::N,سحابة,σύννεφο
101,Regen::N,مطر,βροχή
102,Schnee::N,ثلج,χιόνι
103,Eis::N,جليد,πάγος
