,Concept_ID,cs,ml
0,Auge::N,oko,കണ്ണ്
1,Ohr::N,ucho,ചെവി
2,Nase::N,nos,മൂക്ക്
3,Mund::N,pusa,വായ
4,Zahn::N,zub,പല്ല്
5,Zunge::N,jazyk,നാക്ക്
6,Lippe::N,ret,ചുണ്ട്
7,Wange::N,tvář,കവിൾത്തടം
8,Gesicht::N,obličej,മുഖം
9,Stirn::N,čelo,നെറ്റി
10,Haar::N,vlas,തലമുടി
11,Haar::N,vlasy,തലമുടി
12,Schnurrbart::N,kníry,മീശ
13,Bart::N,vousy,താടിരോമം
14,Kinn::N,brada,താടി
15,Kiefer[Anatomie]::N,čelist,താടിയെല്ല്
16,Kehle::N,hrdlo,കണ്ഠനാളം
17,Hals::N,krk,കഴുത്ത്
18,Genick::N,týl,പിടലി
19,Kopf::N,hlava,തല
20,Rücken::N,záda,മുതുക്
21,Rücken::N,hřbet,മുതുക്
22,Bauch::N,břicho,നയറ്
23,Nabel::N,pupek,നാഭി
24,Busen::N,ňadra,സ്തനം
25,Brust::N,prsa,സ്തനം
26,Schulter::N,plece,തോൾ
27,Schulter::N,rameno,തോൾ
28,Arm::N,ruka,കൈ
29,Ellenbogen::N,loket,കൈമുട്ട്
30,Hand::N,ruka,കൈ
31,Handfläche::N,dlaň,ഉള്ളം കൈ
32,Finger::N,prst,വിരൽ
33,Fingernagel::N,nehet,നഖം
34,Nagel[Anatomie]::N,nehet,നഖം
35,Zeh::N,prst u nohy,കാൽവിരൽ
36,Fuß::N,noha,കാൽപ്പാദം
37,Ferse::N,pata,ഉപ്പൂറ്റി
38,Knie::N,koleno,കാൽമുട്ട്
39,Oberschenkel::N,stehno,തുട
40,Bein::N,noha,കാൽ
41,Körper::N,tělo,ശരീരം
42,Haut::N,kůže,ചർമ്മം
43,Blut::N,krev,രക്തം
44,Ader::N,céva,ഞരമ്പ്
45,Sehne::N,šlacha,സ്നായു
46,Knochen::N,kost,അസ്ഥി
47,Gehirn::N,mozek,തലച്ചോറ്
48,Herz::N,srdce,ഹൃദയം
49,Magen::N,žaludek,വയർ
50,Leber::N,játra,കരൾ
51,Atem::N,dech,ശ്വാസം
52,Hunger::N,hlad,വിശപ്പ്
53,Träne::N,slza,കണ്ണീർ
54,Geschmack::N,vkus,രുചി
55,Geruch::N,vůně,ഗന്ധം
56,Geruch::N,zápach,ഗന്ധം
57,Schlaf::N,spánek,ഉറകും
58,Traum::N,sen,സ്വപ്നം
59,Himmel::N,nebe,ആകാശം
60,Sonne::N,slunce,സൂര്യൻ
61,Mond::N,měsíc,ചന്ദ്രൻ
62,Stern::N,hvězda,നക്ഷത്രം
63,Luft::N,vzduch,കാറ്റ്
64,Wind::N,vítr,കാറ്റ്
65,Welle::N,vlna,തിരമാല
66,Wasser::N,voda,വെള്ളം
67,Stein::N,kámen,ശില
68,Stein::N,kámen,കല്ല്
69,Boden::N,půda,തറ
70,Boden::N,půda,നിലം
71,Erde::N,země,മണ്ണ്
72,Staub::N,prach,പൊടി
73,Rauch::N,dým,പുക
74,Rauch::N,kouř,പുക
75,Funke::N,jiskra,തീപ്പൊരി
76,Feuer::N,oheň,തീ
77,Licht::N,světlo,വിളക്ക്
78,Licht::N,světlo,സൂര്യപ്രകാശം
79,Schatten::N,stín,തണൽ
80,Wetter::N,počasí,കാലാവസ്ഥ
81,Nebel::N,mlha,മൂടൽമഞ്ഞ്
82,Wolke::N,mrak,മേഘം
83,Wolke::N,oblak,മേഘം
84,Regen::N,déšť,മഴ
85,Schnee::N,sníh,മഞ്ഞ്
86,Eis::N,led,ഐസ്
87,Frost::N,mráz,മൂടൽമഞ്ഞ്
88,Kälte::N,chlad,തണുപ്പ്
89,Hitze::N,horko,ചൂട്
90,Raureif::N,jinovatka,കോടമഞ്ഞ്
91,Regenbogen::N,duha,മഴവില്ല്
92,Donner::N,hrom,ഇടി
93,Strömung::N,proudění,പ്രവാഹം
94,Tropfen::N,kapka,തുള്ളി
95,Schaum::N,pěna,നുര
96,Schmutz::N,špína,അഴുക്ക്
97,See::N,jezero,തടാകം
98,Sumpf::N,močál,ചതുപ്പുനിലം
99,Sumpf::N,bažina,ചതുപ്പുനിലം
100,Moor::N,bažina,പാഴ്നിലം
101,Moor::N,slatina,പാഴ്നിലം
102,Wiese::N,louka,പുൽത്തകിടി
103,Wald::N,les,വനം
104,Wald::N,les,കാട്
105,Hügel::N,kopec,കുന്ന്
106,Anhöhe::N,pahorek,ഉയർന്ന ഭൂമി
107,Berg::N,hora,പർവ്വതം
108,Gipfel::N,vrchol,ഉച്ചകോടി
109,Höhle::N,jeskyně,ഗുഹ
110,Abhang::N,svah,ചരിവ്
111,Abhang::N,stráň,ചരിവ്
112,Quelle::N,pramen,ഉറവിടം
113,Bach::N,potok,അരുവി
114,Fluss::N,řeka,നദി
115,Ufer::N,břeh,തീരം
116,Küste::N,pobřeží,കടൽത്തീരം
117,Festland::N,souš,കര
118,Festland::N,pevnina,കര
119,Meer::N,moře,കടൽ
120,Bucht::N,záliv,ഉൾക്കടല്
121,Bucht::N,zátoka,ഉൾക്കടല്
122,Insel::N,ostrov,ദ്വീപ്
123,Blume::N,květina,പൂവ്
124,Gras::N,tráva,പുല്ല്
125,Wurzel::N,kořen,വേര്
126,Baum::N,strom,മരം
127,Stamm::N,kmen,തായ്ത്തടി
128,Rinde::N,kůra,പട്ട
129,Ast::N,větev,ശാഖ
130,Zweig::N,větev,ശാഖ
131,Blatt::N,lupen,ഇല
132,Birke::N,bříza,പൂവരശ്
133,Kiefer[Baum]::N,sosna,പൈൻമരം
134,Kiefer[Baum]::N,borovice,പൈൻമരം
135,Weide[Baum]::N,vrba,വില്ലോ
136,Tanne::N,jedle,ദേവദാരു
137,Horn::N,roh,മൃഗത്തിൻറെ കൊമ്പ്
138,Feder::N,pero,തൂവൽ
139,Fell::N,srst,മൃദുരോമം
140,Flügel::N,křídlo,ചിറക്
141,Klaue::N,dráp,നഖം
142,Klaue::N,pazneht,നഖം
143,Kralle::N,dráp,നഖം
144,Schwanz::N,ocas,വാൽ
145,Ei::N,vejce,മുട്ട
146,Nest::N,hnízdo,കൂട്
147,Bau::N,nora,മാളം
148,Tier::N,zvíře,മൃഗം
149,Herde::N,stádo,കൂട്ടം
150,Kuh::N,kráva,പശു
151,Bulle::N,býk,കാള
152,Pferd::N,kůň,കുതിര
153,Schaf::N,ovce,ആട്
154,Schwein::N,vepř,പന്നി
155,Schwein::N,prase,പന്നി
156,Hund::N,pes,നായ്
157,Katze::N,kočka,പൂച്ച
158,Bär::N,medvěd,കരടി
159,Eichhörnchen::N,veverka,അണ്ണാൻ
160,Elch::N,los,കടമാന്
161,Fuchs::N,liška,കുറുക്കൻ
162,Hase::N,zajíc,മുയൽ
163,Maus::N,myš,ചുണ്ടലി
164,Wolf::N,vlk,ചെന്നായ
165,Vogel::N,pták,പക്ഷി
166,Schwarm::N,roj,കൂട്ടം
167,Schwarm::N,hejno,കൂട്ടം
168,Huhn::N,kuře,കോഴി
169,Huhn::N,slepice,കോഴി
170,Hahn::N,kohout,പൂവൻകോഴി
171,Gans::N,husa,അരയന്നം
172,Adler::N,orel,കഴുകൻ
173,Ente::N,kachna,താറാവ്
174,Eule::N,sova,മൂങ്ങ
175,Kranich::N,jeřáb,കൊക്ക്
176,Krähe::N,vrána,കാക്ക
177,Kuckuck::N,kukačka,കുയിൽ
178,Schwan::N,labuť,അരയന്നം
179,Fisch::N,ryba,മത്സ്യം
180,Barsch::N,okoun,ഒരിനം മത്സ്യം
181,Hecht::N,štika,ഒരു മത്സ്യം
182,Schlange[Tier]::N,had,പാമ്പ്
183,Wurm::N,červ,വിര
184,Spinne::N,pavouk,ചിലന്തി
185,Ameise::N,mravenec,ഉറുമ്പ്
186,Laus::N,veš,പേന്
187,Mücke::N,komár,മശകം
188,Fliege::N,moucha,ഈച്ച
189,Schmetterling::N,motýl,ചിത്രശലഭം
190,Beere::N,bobule,ബെറി
191,Apfel::N,jablko,ആപ്പിൾ
192,Pilz::N,houba,കൂൺ
193,Zwiebel::N,cibule,സവാള
194,Saat::N,osivo,വിത്ത്
195,Korn::N,zrno,ധാന്യം
196,Heu::N,seno,വയ്ക്കോൽ
197,Schale::N,slupka,തൊലി
198,Schale::N,skořápka,തൊലി
199,Grube::N,jáma,കുഴി
200,Falle::N,past,കെണി
201,Falle::N,léčka,കെണി
202,Schlinge::N,smyčka,കുടുക്ക്
203,Spur::N,stopa,ചുവട്
