,Concept_ID,es,lv
0,Auge::N,ojo,син
1,Auge::N,ojo,acs
2,Ohr::N,oreja,пель
3,Ohr::N,oreja,auss
4,Nase::N,nariz,ныр
5,Nase::N,nariz,deguns
6,Mund::N,boca,вом
7,Mund::N,boca,mute
8,Zahn::N,diente,пинь
9,Zahn::N,diente,zobs
10,Zunge::N,lengua,кыв
11,Zunge::N,lengua,mēle
12,Lippe::N,labio,вом дор
13,Lippe::N,labio,lūpa
14,Wange::N,mejilla,бан
15,Wange::N,mejilla,vaigs
16,Gesicht::N,cara,чужӧм
17,Gesicht::N,cara,seja
18,Gesicht::N,cara,ģīmis
19,Stirn::N,frente,плеш
20,Stirn::N,frente,кымӧс
21,Stirn::N,frente,piere
22,Haar::N,cabello,си
23,Haar::N,cabello,юрси
24,Haar::N,cabello,mats
25,Schnurrbart::N,bigote,ус
26,Schnurrbart::N,bigote,пыртсим
27,Schnurrbart::N,bigote,ūsas
28,Bart::N,barba,тош
29,Bart::N,barba,bārda
30,Kinn::N,barbilla,тшӧка
31,Kinn::N,barbilla,zods
32,Kinn::N,barbilla,smakrs
33,Kiefer[Anatomie]::N,mandíbula,черлы
34,Kiefer[Anatomie]::N,mandíbula,алака лы
35,Kiefer[Anatomie]::N,mandíbula,вомкӧтш лы
36,Kiefer[Anatomie]::N,mandíbula,žoklis
37,Kehle::N,garganta,голя
38,Kehle::N,garganta,rīkle
39,Hals::N,cuello,сьылі
40,Hals::N,cuello,kakls
41,Genick::N,nuca,юрбӧр
42,Genick::N,nuca,балябӧж
43,Genick::N,nuca,sprands
44,Genick::N,cerviz,юрбӧр
45,Genick::N,cerviz,балябӧж
46,Genick::N,cerviz,sprands
47,Kopf::N,cabeza,юр
48,Kopf::N,cabeza,galva
49,Rücken::N,espalda,мыш
50,Rücken::N,espalda,mugura
51,Bauch::N,vientre,рушку
52,Bauch::N,vientre,vēders
53,Nabel::N,ombligo,гӧг
54,Nabel::N,ombligo,naba
55,Busen::N,pecho,морӧс
56,Busen::N,pecho,krūts
57,Brust::N,pecho,морӧс
58,Brust::N,pecho,krūts
59,Schulter::N,hombro,пельпом
60,Schulter::N,hombro,plecs
61,Arm::N,brazo,ки
62,Arm::N,brazo,roka
63,Arm::N,brazo,delms
64,Ellenbogen::N,codo,гырддза
65,Ellenbogen::N,codo,elkonis
66,Hand::N,mano,ки
67,Hand::N,mano,roka
68,Hand::N,mano,plauksta
69,Handfläche::N,palma,ки пыдӧс
70,Handfläche::N,palma,delna
71,Handfläche::N,palma,plauksta
72,Finger::N,dedo,чунь
73,Finger::N,dedo,pirksts
74,Fingernagel::N,uña,гыж
75,Fingernagel::N,uña,nags
76,Nagel[Anatomie]::N,uña,гыж
77,Nagel[Anatomie]::N,uña,nags
78,Zeh::N,dedo del pie,кок чунь
79,Zeh::N,dedo del pie,pirksts
80,Fuß::N,pie,кок
81,Fuß::N,pie,kāja
82,Ferse::N,talón,кокбӧр
83,Ferse::N,talón,papēdis
84,Knie::N,rodilla,пидзӧс
85,Knie::N,rodilla,celis
86,Oberschenkel::N,muslo,лядьвей
87,Oberschenkel::N,muslo,бек
88,Oberschenkel::N,muslo,ciska
89,Oberschenkel::N,muslo,augšstilbs
90,Bein::N,pierna,кок
