,Concept_ID,hr,xal
0,Auge::N,oko,нүдн
1,Ohr::N,uho,чикн
2,Nase::N,nos,хамр
3,Mund::N,usta,амн
4,Zahn::N,zub,шүдн
5,Zunge::N,jezik,келн
6,Lippe::N,usna,урл
7,Wange::N,obraz,халх
8,Gesicht::N,lice,нүр
9,Stirn::N,čelo,маңна
10,Haar::N,kosa,үсн
11,Schnurrbart::N,brkovi,сахл
12,Bart::N,brada,сахл
13,Bart::N,brada,өргнә сахл
14,Kinn::N,brada,өргн
15,Kinn::N,podbradak,өргн
16,Kiefer[Anatomie]::N,čeljust,өргн
17,Kehle::N,grlo,хол
18,Hals::N,vrat,күзүн
19,Genick::N,zatiljak,гиҗг
20,Kopf::N,glava,толһа
21,Rücken::N,leđa,нурһн
22,Rücken::N,hrbat,нурһн
23,Bauch::N,trbuh,гесн
24,Nabel::N,pupak,киисн
25,Busen::N,sisa,көкн
26,Busen::N,njedra,көкн
27,Brust::N,prsa,чееҗ
28,Schulter::N,rame,ээм
29,Schulter::N,pleći,ээм
30,Arm::N,ruka,һар
31,Ellenbogen::N,lakat,тоха
32,Hand::N,ruka,баһлцг
33,Handfläche::N,dlan,альхн
34,Finger::N,prst,хурһн
35,Finger::N,prst,һарин хурһн
36,Fingernagel::N,nokat,хумсн
37,Nagel[Anatomie]::N,nokat,хумсн
38,Zeh::N,nozni prst,хурһн
39,Zeh::N,nozni prst,көлин хурһн
40,Fuß::N,noga,тавг
41,Fuß::N,stopalo,тавг
42,Ferse::N,peta,өскә
43,Knie::N,koljeno,өвдг
44,Oberschenkel::N,bedro,һуй
45,Bein::N,noga,көл
46,Körper::N,tijelo,махмуд
47,Haut::N,put,арсн
48,Haut::N,koža,арсн
49,Blut::N,krv,цусн
50,Ader::N,žila,судцн
51,Sehne::N,tetiva,шүрүсн
52,Knochen::N,kost,ясн
53,Herz::N,srce,зүркн
54,Magen::N,stomak,гесн
55,Magen::N,želudac,гесн
56,Leber::N,jetra,элкн
57,Atem::N,dah,әмсхл
58,Hunger::N,glad,харһнлһн
59,Träne::N,suza,нульмсн
60,Geschmack::N,ukus,амтн
61,Geruch::N,njuh,үнр
62,Geruch::N,miris,үнр
63,Schlaf::N,san,нөр
64,Traum::N,san,зүүдн
65,Himmel::N,nebo,теңгр
66,Sonne::N,sunce,нарн
67,Mond::N,mjesec,сар
68,Stern::N,zvijezda,одн
69,Luft::N,zrak,аһар
70,Wind::N,vjetar,салькн
71,Welle::N,val,дольган
72,Welle::N,talas,дольган
73,Wasser::N,voda,усн
74,Stein::N,kamen,чолун
75,Boden::N,tlo,Һазр
76,Boden::N,zemlja,Һазр
77,Erde::N,zemlja,Һазр
78,Staub::N,prah,тоосн
79,Staub::N,prašina,тоосн
80,Rauch::N,dim,утан
81,Funke::N,iskra,очн
82,Funke::N,varnica,очн
83,Feuer::N,vatra,һал
84,Licht::N,svjetlo,герл
85,Schatten::N,hlad,сүүдр
86,Schatten::N,sjena,сүүдр
87,Wetter::N,vrijeme,теңгр
88,Nebel::N,magla,будн
89,Wolke::N,oblak,үүлн
90,Regen::N,kiša,хур
91,Schnee::N,snijeg,цасн
92,Eis::N,led,мөсн
93,Frost::N,mraz,киитн
94,Kälte::N,studen,киитн
95,Kälte::N,hladnoća,киитн
96,Hitze::N,vrućina,халун
97,Raureif::N,inje,цаң
98,Raureif::N,inje,кирү
99,Regenbogen::N,duga,солңһ
100,Donner::N,grom,оһтрһун дун
101,Donner::N,grmljavina,оһтрһун дун
102,Strömung::N,struja,урсхл
103,Strömung::N,strujanje,урсхл
104,Tropfen::N,kap,дусал
105,Tropfen::N,kaplja,дусал
106,Schaum::N,pjena,көөсн
107,Schmutz::N,nečistoća,кир
108,Schmutz::N,prljavština,кир
109,See::N,jezero,нур
110,Sumpf::N,bara,унул
111,Moor::N,močvara,улм
112,Wiese::N,livada,хадлһн
113,Wald::N,šuma,ө-модн
114,Hügel::N,brijeg,толһа
115,Hügel::N,brežuljak,толһа
116,Anhöhe::N,uzvišica,хамр
117,Berg::N,brdo,уул
118,Gipfel::N,vrh,ора
119,Höhle::N,pećina,хадин көндә
120,Höhle::N,spilja,хадин көндә
121,Abhang::N,obronak,ташу
122,Abhang::N,nizbrdica,ташу
123,Quelle::N,izvor,булг
124,Quelle::N,vrelo,булг
125,Bach::N,potok,һооҗур
126,Fluss::N,rijeka,һол
127,Ufer::N,obala,көвә
128,Küste::N,obala,көвә
129,Küste::N,obala,теңгсин көвә
130,Küste::N,morska obala,көвә
131,Küste::N,morska obala,теңгсин көвә
132,Festland::N,kopno,хүүрә һазр
133,Meer::N,more,теңгс
134,Bucht::N,zaliv,цекә
135,Bucht::N,zaliv,теңгсин цекә
136,Insel::N,ada,арл
137,Insel::N,otok,арл
138,Blume::N,cvijet,цецг
139,Gras::N,trava,ноһан
140,Wurzel::N,korijen,уңг
141,Baum::N,drvo,модн
142,Baum::N,stablo,модн
143,Stamm::N,deblo,шилв
144,Stamm::N,deblo,һол модн
145,Stamm::N,stablo,шилв
146,Stamm::N,stablo,һол модн
147,Rinde::N,kora,көрсн
148,Ast::N,grana,ац
149,Zweig::N,grana,ац
150,Blatt::N,list,хамтхасн
151,Birke::N,breza,хусм модн
152,Kiefer[Baum]::N,bor,шар харһа
153,Weide[Baum]::N,iva,удн
154,Weide[Baum]::N,vŕba,удн
155,Tanne::N,jela,җөөлн цаһан модн
156,Horn::N,rog,өвр
157,Feder::N,pero,өрвлг
158,Fell::N,koža,арсн
159,Flügel::N,krilo,җивр
160,Klaue::N,papak,хумсн
161,Kralle::N,pandža,тавг
162,Schwanz::N,rep,сүл
163,Ei::N,jaje,өндгн
164,Nest::N,gnijezdo,үр
165,Bau::N,jazbina,нүкн
166,Tier::N,životinja,мал
167,Herde::N,krdo,сүрг мал
168,Herde::N,stado,сүрг мал
169,Kuh::N,krava,үкр
170,Bulle::N,bik,бух
171,Pferd::N,konj,мөрн
172,Schaf::N,ovca,хөн
173,Schwein::N,svinja,һаха
174,Hund::N,pas,ноха
175,Hund::N,pseto,ноха
176,Katze::N,mačka,мис
177,Bär::N,medvjed,аю
178,Eichhörnchen::N,vjeverica,кермн
179,Elch::N,los,хандһа
180,Fuchs::N,lisica,арат
181,Hase::N,zec,туула
182,Maus::N,miš,хулһн
183,Wolf::N,vuk,чон
184,Wolf::N,kurjak,чон
185,Vogel::N,ptica,шовун
186,Schwarm::N,roj,зел
187,Schwarm::N,jato,зел
188,Huhn::N,kokoš,така
189,Hahn::N,kokot,эр така
190,Hahn::N,pijevac,эр така
191,Gans::N,guska,һалун
192,Adler::N,orao,һәрд
193,Ente::N,patka,нуһсн
194,Eule::N,sova,һурвлһ
195,Kranich::N,ždral,тоһрун
196,Krähe::N,vrana,шаазһа
197,Kuckuck::N,kukavica,эргин хуцдг
198,Schwan::N,labud,хун
199,Fisch::N,riba,заһсн
200,Barsch::N,grgeč,шүрг
201,Hecht::N,štuka,цурх
202,Schlange[Tier]::N,guja,моһа
203,Schlange[Tier]::N,zmija,моһа
204,Wurm::N,crv,өтн
205,Spinne::N,pauk,аралҗн
206,Ameise::N,mrav,шорһлҗн
207,Laus::N,uš,бөөсн
208,Mücke::N,komarac,бөкүн
209,Fliege::N,muha,батхн
210,Schmetterling::N,leptir,эрвәкә
211,Beere::N,boba,бөөлҗрһн
212,Beere::N,bobica,бөөлҗрһн
213,Apfel::N,jabuka,альмн
214,Pilz::N,pečurka,теңгрин ки
215,Zwiebel::N,luk,мәңгрснә толһа
216,Zwiebel::N,kapula,мәңгрснә толһа
217,Saat::N,sjemenje,буудян экн
218,Korn::N,zrno,экн
219,Heu::N,sijeno,өвсн
220,Schale::N,kora,хальсн
221,Schale::N,ljuska,хальсн
222,Grube::N,jama,нүкн
223,Falle::N,zamka,урх
224,Falle::N,zamka,хавх
225,Falle::N,klopka,урх
226,Falle::N,klopka,хавх
227,Schlinge::N,uzao,бүтү
228,Schlinge::N,petlja,бүтү
229,Spur::N,trag,мөр
230,Spur::N,slijed,мөр
231,Asche::N,pepeo,үмсн
232,Dreck::N,blato,бальчг
233,Eisen::N,željezo,төмр
234,Gold::N,zlato,алтн
235,Silber::N,srebro,мөңгн
236,Silber::N,srebro,цаһан мөңгн
237,Kohle::N,ugalj,нүүрсн
238,Kohle::N,ugljen,нүүрсн
239,Glas::N,staklo,шил
240,Lehm::N,glina,шавр
241,Lehm::N,ilovača,шавр
242,Sand::N,pijesak,элсн
243,Mensch::N,čovjek,күн
244,Mensch::N,čovjek,күмн
245,Mann::N,muškarac,эр
246,Frau::N,žena,күүкд күн
247,Kind::N,čedo,үрн
248,Kind::N,dijete,үрн
249,Junge::N,momče,көвүн
250,Junge::N,dječak,көвүн
251,Mädchen::N,djevojka,бичкн күүкн
252,Mädchen::N,djevojčica,бичкн күүкн
253,Familie::N,obitelj,бүл
254,Familie::N,porodica,бүл
255,Großvater::N,djed,өвк эцк
256,Großvater::N,djed,наһц эцк
257,Großmutter::N,baka,эмг эк
258,Großmutter::N,baka,наһц эк
259,Eltern::N,roditelji,эк эцк хойр
260,Vater::N,otac,эцк
261,Mutter::N,majka,эк
262,Sohn::N,sin,көвүн
263,Tochter::N,kći,күүкн
264,Tochter::N,kćerka,күүкн
265,Bruder::N,brat,дү көвүн
266,Schwester::N,sestra,эгч
267,Schwester::N,sestra,дү күүкн
268,Onkel::N,čika,авһ
269,Onkel::N,čika,наһцх
270,Onkel::N,ujak,авһ
271,Onkel::N,ujak,наһцх
272,Tante::N,ujna,наһц эгч
273,Tante::N,tetka,наһц эгч
274,Ehemann::N,muž,залу
275,Ehemann::N,suprug,залу
276,Ehefrau::N,žena,гергн
277,Ehefrau::N,supruga,гергн
278,Freude::N,radost,байр
279,Gelächter::N,grohot,инәдн
280,Glück::N,sreća,җирһл
281,Glück::N,sreća,сәәхн җирһл
282,Kummer::N,jad,зовлң
283,Kummer::N,briga,зовлң
284,Wunsch::N,želja,дурн
285,Lust::N,volja,җилвтлһн
286,Geist::N,duh,зөрг
287,Gedanke::N,misao,ухан
288,Gedächtnis::N,pamćenje,чееҗин тодлвр
289,Verstand::N,um,ухан
290,Verstand::N,razum,ухан
291,Sinn::N,smisao,учр-утх
292,Sinn::N,značenje,учр-утх
293,Grund::N,razlog,учр
294,Grund::N,razlog,шалтан
295,Wahrheit::N,istina,үнн
296,Gespräch::N,razgovor,күүндвүр
297,Märchen::N,bajka,тууль
298,Erzählung::N,priča,келвр
299,Erzählung::N,pripovijest,келвр
300,Nachricht::N,vijest,медүллһн
301,Neuigkeit::N,novost,зәңг
302,Name::N,ime,нерн
303,Rätsel::N,zagonetka,тәәлвртә тууль
304,Rede::N,govor,келлһн
305,Rede::N,besjeda,келлһн
306,Sprache::N,jezik,келн
307,Stimme::N,glas,дун
308,Wort::N,riječ,үг
309,Zeichen::N,znak,темдг
310,Ruf::N,povik,дуудлһн
311,Ruf::N,poklik,дуудлһн
312,Lärm::N,buka,шууган
313,Lärm::N,galama,шууган
314,Laut::N,zvuk,ә
315,Ton::N,ton,дун
316,Lied::N,pjesma,дун
317,Ruhe::N,tišina,амулң
318,Ruhe::N,počinak,амулң
319,Leute::N,ljudi,әмтн
320,Volk::N,puk,улс
321,Volk::N,narod,улс
322,Arbeit::N,rad,көдлмш
323,Arbeit::N,posao,көдлмш
324,Gast::N,gost,гиич
325,Geschenk::N,dar,белг
326,Geschenk::N,poklon,белг
327,Spiel::N,igra,наадн
328,Gesellschaft::N,društvo,олн
329,Gesellschaft::N,kompanija,олн
330,Hilfe::N,pomoć,нөкд
331,Freund::N,prijatelj,иньг
332,Kamerad::N,drug,үр
333,Kamerad::N,drugar,үр
334,Angelegenheit::N,posao,керг
335,Anzahl::N,broj,то
336,Anzahl::N,brojnost,то
337,Art::N,vid,зүүл
338,Art::N,vrst,зүүл
339,Stück::N,komad,хусг
340,Teil::N,dio,хүв
341,Hälfte::N,polovina,өрәл
342,Kreis::N,krug,төгрг
343,Kreuz::N,križ,кирс
344,Linie::N,crta,зурасн
345,Strich::N,crta,татасн
346,Abstand::N,razmak,зә
347,Abstand::N,odstojanje,зә
348,Entfernung::N,udaljenost,һазр
349,Gegend::N,kraj,һазр
350,Gegend::N,predeo,һазр
351,Platz::N,mjesto,зә
352,Ort::N,mjesto,бәәрн
353,Seite::N,bok,тал
354,Seite::N,bok,хаҗу
355,Seite::N,bok,хәврһ
356,Seite::N,strana,тал
357,Seite::N,strana,хаҗу
358,Seite::N,strana,хәврһ
359,Mitte::N,sredina,дунд
360,Gegenstand::N,predmet,юмн
361,Sache::N,posao,юмн
362,Rand::N,rub,зах
363,Rand::N,kraj,зах
364,Kante::N,brid,ирмәг
365,Kante::N,ivica,ирмәг
366,Ecke::N,ugao,өнцг
367,Spitze::N,vrh,үзүр
368,Spitze::N,šiljak,үзүр
369,Ende::N,konac,үзүр
370,Loch::N,rupa,хаһрха
371,Winkel::N,kut,булң
372,Winkel::N,ugao,булң
373,Muster::N,uzor,намч
374,Größe::N,veličina,кемҗән
375,Länge::N,duljina,ут
376,Höhe::N,visina,өндр
377,Gewicht::N,težina,күнд
378,Gewicht::N,težina,чиңнүр
379,Menge::N,mnoštvo,ик
380,Menge::N,količina,ик
381,Haufen::N,hrpa,ова
382,Haufen::N,gomila,ова
383,Reihe::N,red,зерг
384,Reihe::N,red,зерглән
385,Boot::N,čun,оңһц
386,Boot::N,čamac,оңһц
387,Ruder::N,veslo,хәәв
388,Schlitten::N,saone,цан
389,Ski::N,ski,лыҗ
390,Ski::N,smučka,лыҗ
391,Lagerfeuer::N,logorska vatra,костёр
392,Last::N,tovar,күнд
393,Gang::N,hod,йовлһн
394,Schritt::N,korak,ишкм
395,Norden::N,sjever,ар үзг
396,Süden::N,jug,өмн
397,Süden::N,jug,өмн үзг
398,Westen::N,zapad,барун
399,Westen::N,zapad,барун үзг
400,Osten::N,istok,зүн
401,Osten::N,istok,зүн үзг
402,Holz::N,drvo,модн
403,Brett::N,daska,харһа
404,Platte::N,ploča,хавтха чолун
405,Stütze::N,potpora,тулг
406,Stange::N,motka,уньн
407,Stock::N,štap,модн
408,Stock::N,palica,модн
409,Stab::N,štap,шуург
410,Stab::N,šipka,шуург
411,Rohr::N,cijev,турва
412,Haus::N,kuća,гер
413,Heim::N,dom,гер-бул
414,Ofen::N,peć,беш
415,Fußboden::N,pod,девскр
416,Tisch::N,stol,ширә
417,Tisch::N,trpeza,ширә
418,Stuhl::N,stolac,стул
419,Stuhl::N,stolica,стул
420,Wiege::N,kolijevka,өлгә
421,Wiege::N,kolijevka,дүүҗң
422,Bett::N,krevet,орн
423,Bett::N,krevet,орндг
424,Bett::N,postelja,орн
425,Bett::N,postelja,орндг
426,Regal::N,polica,таг
427,Regal::N,polica,тәвц
428,Kiste::N,sanduk,яршг
429,Fenster::N,prozor,терз
430,Tür::N,vrata,үүдн
431,Tor::N,vrata,үүдн
432,Tor::N,vrata,өргн үүдн
433,Tor::N,vrata,хашан үүдн
434,Tor::N,kapija,үүдн
435,Tor::N,kapija,өргн үүдн
436,Tor::N,kapija,хашан үүдн
437,Zaun::N,plot,хаша
438,Zaun::N,ograda,хаша
439,Dach::N,krov,деевр
440,Leiter::N,ljestve,шат
441,Leiter::N,ljestve,давшур
442,Leiter::N,ljestvice,шат
443,Leiter::N,ljestvice,давшур
444,Besen::N,metla,сәвүр
445,Spaten::N,ašov,күрз
446,Schaufel::N,lopata,совг
447,Gabel::N,viljuška,серә
448,Löffel::N,žlica,ухр
449,Messer::N,nož,утх
450,Nagel::N,čavao,хадасн
451,Netz::N,mreža,гөлм
452,Haken::N,kuka,дегә
453,Griff::N,držak,иш
454,Griff::N,držak,бәрүл
455,Griff::N,ručica,иш
456,Griff::N,ručica,бәрүл
457,Schloss::N,brava,оньс
458,Bild::N,slika,зург
459,Figur::N,figura,фигур
460,Puppe::N,lutka,наадһа
461,Beutel::N,kesa,мишг
462,Bündel::N,snop,багла
463,Bündel::N,snop,боодһа
464,Bündel::N,svežanj,багла
465,Bündel::N,svežanj,боодһа
466,Tasche::N,torba,сумк
467,Tasche::N,taška,сумк
468,Eimer::N,kabao,суулһ
469,Deckel::N,poklopac,бүркәсн
470,Geschirr::N,suđe,сав
471,Geschirr::N,suđe,сав-сарх
472,Geschirr::N,posuđe,сав
473,Geschirr::N,posuđe,сав-сарх
474,Sack::N,džak,мишг
475,Sack::N,vreća,мишг
476,Tasse::N,šalica,ааһ
477,Topf::N,lonac,кастрюль
478,Kessel::N,kazan,хәәсн
479,Essen::N,obrok,зоогллһн
480,Nahrung::N,hrana,теҗәл
481,Speise::N,jelo,хот
482,Fleisch::N,meso,махн
483,Getreide::N,žito,хот болҗ эдлгддг цецгүдтә урһмл
484,Getreide::N,žitarice,хот болҗ эдлгддг цецгүдтә урһмл
485,Brei::N,kaša,хаш
486,Brot::N,kruh,өдмг
487,Scheibe::N,kriška,зүсм
488,Fett::N,mast,өөкн
489,Fett::N,salo,өөкн
490,Butter::N,buter,тосн
491,Butter::N,maslac,тосн
