,Concept_ID,ca,is
0,Auge::N,ull,auga
1,Ohr::N,orella,eyra
2,Nase::N,nas,nef
3,Mund::N,boca,munnur
4,Zahn::N,dent,tönn
5,Zunge::N,llēngua,tunga
6,Lippe::N,llavi,vör
7,Wange::N,galta,kinn
8,Wange::N,galta,vangi
9,Gesicht::N,cara,andlit
10,Stirn::N,front,enni
11,Haar::N,cabēll,hár
12,Schnurrbart::N,bigoti,yfirskegg
13,Bart::N,barba,skegg
14,Kinn::N,mentó,haka
15,Kinn::N,barbeta,haka
16,Kiefer[Anatomie]::N,queix,kjálki
17,Kiefer[Anatomie]::N,queix,skoltur
18,Kiefer[Anatomie]::N,mandíbula,kjálki
19,Kiefer[Anatomie]::N,mandíbula,skoltur
20,Kehle::N,gola,kverk
21,Kehle::N,gorja,kverk
22,Hals::N,coll,háls
23,Genick::N,nuca,hnakki
24,Kopf::N,cap,höfuð
25,Rücken::N,esquena,hryggur
26,Bauch::N,panxa,kviður
27,Nabel::N,llombrígol,nafli
28,Busen::N,pit,barmur
29,Busen::N,mama,barmur
30,Brust::N,pit,brjóst
31,Schulter::N,espatlla,öxl
32,Arm::N,braç,armur
33,Ellenbogen::N,colze,olnbogi
34,Hand::N,mà,hönd
35,Handfläche::N,palma,lófi
36,Finger::N,dit,fingur
37,Fingernagel::N,ungla,fingurnögl
38,Nagel[Anatomie]::N,ungla,nögl
39,Zeh::N,dit del peu,tá
40,Fuß::N,peu,fótur
41,Ferse::N,taló,hæll
42,Knie::N,genoll,kné
43,Oberschenkel::N,cuixa,læri
44,Bein::N,cama,fótleggur
45,Körper::N,cos,búkur
46,Körper::N,cos,líkami
47,Haut::N,pell,húð
48,Haut::N,pell,skinn
49,Blut::N,sang,blóð
50,Ader::N,vena,æð
51,Sehne::N,tendó,sin
52,Knochen::N,os,bein
53,Gehirn::N,cervell,heili
54,Herz::N,cor,hjarta
55,Magen::N,estómac,magi
56,Leber::N,fetge,lifur
57,Atem::N,alè,andi
58,Atem::N,alè,andardráttur
59,Atem::N,hàlit,andi
60,Atem::N,hàlit,andardráttur
61,Hunger::N,fam,hungur
62,Hunger::N,gana,hungur
63,Träne::N,llàgrima,tár
64,Geschmack::N,gust,smekkur
65,Geschmack::N,sabor,smekkur
66,Geruch::N,olor,lykt
67,Schlaf::N,son,svefn
68,Traum::N,somni,draumur
69,Himmel::N,celm,himinn
70,Sonne::N,sol,sól
71,Mond::N,lluna,tungl
72,Stern::N,estel,stjarna
73,Stern::N,estrella,stjarna
74,Luft::N,aire,loft
75,Wind::N,vent,vindur
76,Welle::N,ona,alda
77,Welle::N,ona,bylgja
78,Wasser::N,āigua,vatn
79,Stein::N,pedra,steinn
80,Boden::N,sòl,botn
81,Erde::N,terra,jörð
82,Staub::N,pols,ryk
83,Staub::N,pols,duft
84,Rauch::N,fum,reykur
85,Funke::N,guspira,neisti
86,Funke::N,centella,neisti
87,Feuer::N,foc,eldur
88,Licht::N,llum,ljós
89,Schatten::N,ombra,skuggi
90,Wetter::N,temps,veður
91,Nebel::N,boira,þoka
92,Wolke::N,núvol,ský
93,Regen::N,pluja,regn
94,Schnee::N,neu,snjór
95,Eis::N,gel,ís
96,Eis::N,glaç,ís
97,Frost::N,glaçada,frost
98,Kälte::N,fred,kuldi
99,Hitze::N,calor,hiti
100,Raureif::N,gebre,hrím
