,Concept_ID,lt,ml
0,Auge::N,akis,കണ്ണ്
1,Ohr::N,ausis,ചെവി
2,Nase::N,nosis,മൂക്ക്
3,Mund::N,burna,വായ
4,Zahn::N,dantis,പല്ല്
5,Zunge::N,liežuvis,നാക്ക്
6,Lippe::N,lūpa,ചുണ്ട്
7,Wange::N,žandas,കവിൾത്തടം
8,Wange::N,skruostas,കവിൾത്തടം
9,Gesicht::N,veidas,മുഖം
10,Stirn::N,kakta,നെറ്റി
11,Haar::N,plaukai,തലമുടി
12,Schnurrbart::N,ūsai,മീശ
13,Bart::N,barzda,താടിരോമം
14,Kinn::N,smakras,താടി
15,Kiefer[Anatomie]::N,žandikaulis,താടിയെല്ല്
16,Kehle::N,gerklė,കണ്ഠനാളം
17,Hals::N,kaklas,കഴുത്ത്
18,Genick::N,sprandas,പിടലി
19,Kopf::N,galva,തല
20,Rücken::N,nugara,മുതുക്
21,Bauch::N,pilvas,നയറ്
22,Nabel::N,bamba,നാഭി
23,Busen::N,krūtinė,സ്തനം
24,Brust::N,krūtis,സ്തനം
25,Schulter::N,petys,തോൾ
26,Arm::N,ranka,കൈ
27,Ellenbogen::N,alkūnė,കൈമുട്ട്
28,Hand::N,ranka,കൈ
29,Hand::N,plaštaka,കൈ
30,Handfläche::N,delnas,ഉള്ളം കൈ
31,Handfläche::N,plaštaka,ഉള്ളം കൈ
32,Finger::N,pirštas,വിരൽ
33,Fingernagel::N,nagas,നഖം
34,Nagel[Anatomie]::N,nagas,നഖം
35,Zeh::N,pirštas,കാൽവിരൽ
36,Fuß::N,pėda,കാൽപ്പാദം
37,Ferse::N,kulnas,ഉപ്പൂറ്റി
38,Knie::N,kelis,കാൽമുട്ട്
39,Oberschenkel::N,kulšis,തുട
40,Oberschenkel::N,šlaunis,തുട
41,Bein::N,koja,കാൽ
42,Körper::N,kūnas,ശരീരം
43,Haut::N,oda,ചർമ്മം
44,Blut::N,kraujas,രക്തം
45,Ader::N,kraujagyslė,ഞരമ്പ്
46,Sehne::N,sausgyslė,സ്നായു
47,Knochen::N,kaulas,അസ്ഥി
48,Gehirn::N,smegenys,തലച്ചോറ്
49,Herz::N,širdis,ഹൃദയം
50,Magen::N,skrandis,വയർ
51,Leber::N,kepenys,കരൾ
52,Atem::N,kvapas,ശ്വാസം
53,Hunger::N,badas,വിശപ്പ്
54,Hunger::N,alkis,വിശപ്പ്
55,Träne::N,ašara,കണ്ണീർ
56,Geschmack::N,skonis,രുചി
57,Geruch::N,kvapas,ഗന്ധം
58,Schlaf::N,miegas,ഉറകും
59,Traum::N,sapnas,സ്വപ്നം
60,Himmel::N,dangus,ആകാശം
61,Sonne::N,saulė,സൂര്യൻ
62,Mond::N,mėnulis,ചന്ദ്രൻ
63,Stern::N,žvaigždė,നക്ഷത്രം
64,Luft::N,oras,കാറ്റ്
65,Wind::N,vėjas,കാറ്റ്
66,Welle::N,banga,തിരമാല
67,Welle::N,vilnis,തിരമാല
68,Wasser::N,vanduo,വെള്ളം
69,Stein::N,akmuo,ശില
70,Stein::N,akmuo,കല്ല്
71,Boden::N,žemė,തറ
72,Boden::N,žemė,നിലം
73,Boden::N,dugnas,തറ
74,Boden::N,dugnas,നിലം
75,Erde::N,žemė,മണ്ണ്
76,Staub::N,dulkės,പൊടി
77,Rauch::N,dūmai,പുക
78,Funke::N,kibirkštis,തീപ്പൊരി
79,Feuer::N,ugnis,തീ
80,Licht::N,šviesa,വിളക്ക്
