,Concept_ID,ja,sah
0,Auge::N,目,харах
1,Ohr::N,耳,кулгаах
2,Nase::N,鼻,мурун
3,Mund::N,口,айах
4,Zahn::N,歯,тиис
5,Zunge::N,舌,тыл
6,Lippe::N,唇,уос
7,Wange::N,頬,иэдэс
8,Gesicht::N,顔,сирэй
9,Stirn::N,額,сүүс
10,Haar::N,髪,баттах
11,Schnurrbart::N,口髭,уос бытыга
12,Bart::N,髭,сэҥийэ бытыга
13,Kinn::N,顎,сэҥийэ
14,Kiefer[Anatomie]::N,顎,сыҥаах
15,Kehle::N,喉,тамах
16,Kehle::N,喉,күөмэй
17,Hals::N,首,моой
18,Genick::N,首,кэтэх
19,Kopf::N,頭,бас
20,Rücken::N,背中,көҕүс
21,Bauch::N,腹,ис
22,Bauch::N,お腹,ис
23,Nabel::N,へそ,киин
24,Busen::N,乳房,эмиий
25,Brust::N,胸,түөс
26,Schulter::N,肩,сарын
27,Arm::N,腕,илии
28,Ellenbogen::N,肘,тоҕонох
29,Hand::N,手,илии
30,Handfläche::N,手のひら,ытыс
31,Finger::N,指,тарбах
32,Fingernagel::N,爪,тыҥырах
33,Nagel[Anatomie]::N,爪,тыҥырах
34,Zeh::N,足の指,тарбах
35,Fuß::N,足,уллуҥах
36,Ferse::N,かかと,тилэх
37,Knie::N,膝,тобук
38,Knie::N,膝,дьилбэк
39,Oberschenkel::N,上腿,уллук
40,Oberschenkel::N,上腿,өттүк
41,Bein::N,足,атах
42,Körper::N,体,бэйэ
43,Haut::N,皮膚,тирии
44,Blut::N,血,хаан
45,Ader::N,血管,вена
46,Ader::N,血管,күөх_тымыр
47,Sehne::N,腱,иҥиир
48,Knochen::N,骨,уҥуох
49,Knochen::N,骨,уҥгуох
50,Gehirn::N,脳,мэйии
51,Herz::N,心,сүрэх
52,Herz::N,心臓,сүрэх
53,Magen::N,胃,куртах
54,Leber::N,肝臓,быар
55,Atem::N,息,тыын
56,Atem::N,呼吸,тыын
57,Hunger::N,空腹,аас
58,Träne::N,涙,харах уута
59,Geschmack::N,味,амтан
60,Geruch::N,匂い,сыт
61,Schlaf::N,睡眠,утуйуу
62,Traum::N,夢,түүл
63,Himmel::N,空,халлаан
64,Sonne::N,太陽,күн
65,Mond::N,月,ый
66,Stern::N,星,сулус
67,Luft::N,空気,салгын
68,Wind::N,風,тыал
69,Welle::N,波,долгун
70,Welle::N,波,балхаан
71,Wasser::N,水,уу
72,Stein::N,石,таас
73,Boden::N,土地,сир
74,Erde::N,土,буор
75,Staub::N,埃,быыл
76,Rauch::N,煙,буруо
77,Funke::N,火花,кыым
78,Feuer::N,火,уот
79,Licht::N,光,уот
80,Schatten::N,陰,күлүк
81,Wetter::N,天気,күн-дьыл
82,Nebel::N,霧,туман
83,Wolke::N,雲,былыт
84,Regen::N,雨,самыыр
85,Schnee::N,雪,хаар
86,Eis::N,氷,муус
87,Frost::N,霜,тымныы
88,Kälte::N,寒さ,тымныы
89,Hitze::N,暑さ,куйаас
90,Raureif::N,霧氷,кырыа
91,Regenbogen::N,虹,кустук
92,Donner::N,雷,этиҥ
93,Strömung::N,流れ,сүүрүк
94,Tropfen::N,滴,таммах
95,Tropfen::N,滴,хааппыла
96,Schaum::N,泡,күүгэн
97,Schmutz::N,汚れ,кир
98,See::N,湖,күөл
99,Sumpf::N,沼,бадараан
100,Moor::N,湿原,дьэбэрэ
101,Wiese::N,草原,ходуһа
102,Wald::N,森,ойуур
103,Hügel::N,丘,булгунньах
104,Anhöhe::N,高み,үрдэл
105,Berg::N,山,хайа
106,Gipfel::N,頂上,чыпчаал
107,Höhle::N,洞窟,хайа_хаспаҕа
108,Höhle::N,洞窟,көҥүс
109,Abhang::N,斜面,эниэ
110,Quelle::N,泉,дьүүктэ
111,Bach::N,小川,үрүйэ
112,Fluss::N,川,өрүс
113,Ufer::N,岸,биэрэк
114,Küste::N,海岸,кытыл
115,Festland::N,陸,кураанах сир
116,Meer::N,海,муора
117,Bucht::N,湾,хомо
118,Bucht::N,湾,бухта
119,Insel::N,島,арыы
120,Blume::N,花,сибэкки
121,Gras::N,草,от
122,Wurzel::N,根,силис
123,Baum::N,木,мас
124,Stamm::N,幹,умнас
125,Rinde::N,皮層,хатырык
126,Ast::N,枝,мутук
127,Zweig::N,小枝,лабаа
128,Blatt::N,葉,сэбирдэх
129,Birke::N,樺,хатыҥ
130,Kiefer[Baum]::N,松,бэс
131,Weide[Baum]::N,柳,үөт
132,Weide[Baum]::N,柳,талах
133,Tanne::N,樅,харыйа
134,Horn::N,角,муос
135,Feder::N,羽根,куорсун
136,Fell::N,毛皮,тирии
137,Flügel::N,羽,кынат
138,Klaue::N,鉤爪,тыҥырах
139,Kralle::N,爪,баппаҕай
140,Schwanz::N,尻尾,кутурук
141,Ei::N,卵,сымыыт
142,Nest::N,巣,уйа
143,Bau::N,穴,хороон
144,Tier::N,動物,кыыл
145,Tier::N,動物,харамай
146,Herde::N,群れ,үөр
147,Kuh::N,牛,ынах
148,Bulle::N,雄牛,оҕус
149,Pferd::N,馬,сылгы
150,Schaf::N,羊,овца
151,Schwein::N,豚,сибиинньэ
152,Hund::N,犬,ыт
153,Katze::N,猫,куоска
154,Bär::N,熊,эһэ
155,Eichhörnchen::N,栗鼠,тииҥ
156,Elch::N,ヘラジカ,тайах
157,Fuchs::N,狐,саһыл
158,Hase::N,兎,куобах
159,Maus::N,鼠,кутуйах
160,Wolf::N,狼,бөрө
161,Vogel::N,鳥,көтөр
162,Schwarm::N,群れ,бөлөх
163,Huhn::N,鶏,куурусса
164,Hahn::N,雄鶏,бөтүүк
165,Gans::N,ガチョウ,хаас
166,Adler::N,鷲,хотой
167,Ente::N,鴨,кус
168,Eule::N,フクロウ,мэкчиргэ
169,Kranich::N,鶴,туруйа
170,Krähe::N,烏,тураах
171,Kuckuck::N,郭公,кэҕэ
172,Schwan::N,白鳥,куба
173,Fisch::N,魚,балык
174,Barsch::N,鱸,алыһар
175,Hecht::N,川魳,сордон
176,Schlange[Tier]::N,蛇,моҕой
177,Schlange[Tier]::N,蛇,эриэн үөн
178,Wurm::N,虫,үөн
179,Spinne::N,蜘蛛,ооҕуй
180,Ameise::N,蟻,кымырдаҕас
181,Laus::N,虱,быт
182,Mücke::N,蚊,кумаар
183,Fliege::N,蝿,сахсырҕа
184,Schmetterling::N,蝶,лыах
185,Schmetterling::N,蝶,үрүмэччи
186,Beere::N,漿果,отон
187,Apfel::N,林檎,яблоко
188,Pilz::N,茸,тэллэй
189,Zwiebel::N,玉葱,луук
190,Saat::N,種,сиэмэ
191,Korn::N,粒,сиэмэ
192,Heu::N,干し草,от
193,Schale::N,皮,хах
194,Grube::N,穴,дьаама
195,Falle::N,わな,сохсо
196,Schlinge::N,輪,уктаа
197,Spur::N,跡,суол
198,Asche::N,灰,күл
199,Dreck::N,泥,бадараан
200,Eisen::N,鉄,тимир
201,Gold::N,金,көмүс
202,Gold::N,金,кыһыл көмүс
203,Silber::N,銀,көмүс
204,Silber::N,銀,үрүҥ көмүс
205,Kohle::N,炭,чох
206,Glas::N,ガラス,өстүөкүлэ
207,Lehm::N,ローム,туой
208,Sand::N,砂,кумах
209,Mensch::N,人,киһи
210,Mann::N,男,эр
211,Mann::N,男性,эр
212,Frau::N,女,дьахтар
213,Frau::N,女性,дьахтар
214,Kind::N,子,оҕо
215,Kind::N,子供,оҕо
216,Junge::N,男の子,уол
217,Mädchen::N,女の子,кыыс оҕо
218,Familie::N,家族,кэргэн
219,Großvater::N,祖父,эһэ
220,Großvater::N,おじいさん,эһэ
221,Großmutter::N,祖母,эбэ
222,Großmutter::N,おばあさん,эбэ
223,Eltern::N,親,аҕа-ийэ
224,Eltern::N,両親,аҕа-ийэ
225,Vater::N,父,аҕа
226,Vater::N,お父さん,аҕа
227,Mutter::N,母,ийэ
228,Mutter::N,お母さん,ийэ
229,Sohn::N,息子,уол
230,Sohn::N,息子さん,уол
231,Tochter::N,娘,кыыс
232,Tochter::N,お嬢さん,кыыс
233,Bruder::N,弟,убай
234,Bruder::N,弟,быраат
235,Schwester::N,妹,аҕас
236,Schwester::N,妹,балыс
237,Onkel::N,伯父,таай
