,Concept_ID,ps,lez
0,Auge::N,سترګه,вил
1,Ohr::N,غوږ,яб
2,Nase::N,پوزه,нер
3,Mund::N,خوله,сив
4,Zahn::N,غاښ,сас
5,Zahn::N,غاښ,свах
6,Zunge::N,جبه,мез
7,Lippe::N,شونډه,пӏуз
8,Wange::N,باړخو,хъвехъ
9,Gesicht::N,مخ,ччин
10,Stirn::N,تندی,пел
11,Stirn::N,وچولی,пел
12,Haar::N,وېښته,чӏар
13,Schnurrbart::N,برېت,спел
14,Schnurrbart::N,برېت,спелар
15,Bart::N,ږیره,ччуру
16,Kinn::N,زنه,чене
17,Kiefer[Anatomie]::N,جامه,чене
18,Kehle::N,غاړه,туьд
19,Hals::N,غاړه,гардан
20,Genick::N,ورمېږ,кьам
21,Kopf::N,سر,кьил
22,Rücken::N,شا,далу
23,Bauch::N,نس,руфун
24,Bauch::N,ګېډه,руфун
25,Nabel::N,نوم,пицӏ
26,Busen::N,تی,мам
27,Brust::N,سینه,хур
28,Schulter::N,اوږه,къуьн
29,Arm::N,لاس,гъил
30,Ellenbogen::N,څنګل,кьуьнт
31,Hand::N,لاس,капаш
32,Handfläche::N,ورغوی,капан юкь
33,Finger::N,ګوته,тӏуб
34,Fingernagel::N,نوک,кек
35,Nagel[Anatomie]::N,نوک,кек
36,Zeh::N,ګوته,кул
37,Fuß::N,پښه,кӏвач
38,Ferse::N,پونده,дабан
39,Knie::N,زنګون,мет
40,Oberschenkel::N,پتون,
41,Bein::N,پښه,кӏвач
42,Körper::N,ځان,беден
43,Haut::N,پوټکی,хам
44,Blut::N,وینه,иви
45,Ader::N,رګ,дамар
46,Sehne::N,پله,кьуру дамар
47,Knochen::N,هډوکی,кӏараб
48,Gehirn::N,ماغزه,мефт
49,Herz::N,زړه,рикӏ
50,Magen::N,معده,хук
51,Leber::N,ينه,лекь
52,Leber::N,ځیګر,лекь
53,Atem::N,نفس,ял
54,Atem::N,نفس,нефес
55,Hunger::N,ولږه,каш
56,Träne::N,اوښکه,вилин нагъв
57,Geschmack::N,مزه,дад
58,Geschmack::N,مزه,тӏям
