,Concept_ID,it,tt
0,Auge::N,occhio,күз
1,Ohr::N,orecchio,колак
2,Nase::N,naso,борын
3,Mund::N,bocca,авыз
4,Mund::N,bocca,тамак
5,Zahn::N,dente,теш
6,Zunge::N,lingua,тел
7,Lippe::N,labbro,ирен
8,Wange::N,guancia,яңак
9,Gesicht::N,viso,йөз
10,Gesicht::N,faccia,йөз
11,Stirn::N,fronte,маңгай
12,Haar::N,capello,чәч
13,Schnurrbart::N,baffi,мыек
14,Schnurrbart::N,mustacchi,мыек
15,Bart::N,barba,сакал
16,Kinn::N,mento,ияк
17,Kiefer[Anatomie]::N,mascella,казналык
18,Kehle::N,gola,тамак
19,Hals::N,collo,бугаз
20,Genick::N,nuca,җилкә
21,Kopf::N,capo,баш
22,Kopf::N,testa,баш
23,Rücken::N,dorso,сырт
24,Rücken::N,schiena,сырт
25,Bauch::N,ventre,корсак
26,Nabel::N,ombelico,кендек
27,Busen::N,seno,түш
28,Brust::N,petto,имчәк
29,Brust::N,petto,күкрәк
30,Schulter::N,spalla,иңбаш
31,Schulter::N,spalla,кулбаш
32,Arm::N,braccio,кул
33,Ellenbogen::N,gomito,терсәк
34,Hand::N,mano,кул
35,Handfläche::N,palma,уч
36,Finger::N,dito,бармак
37,Fingernagel::N,unghia,тырнак
38,Nagel[Anatomie]::N,unghia,тырнак
39,Zeh::N,dito del piede,бармак
40,Fuß::N,piede,табан
41,Ferse::N,tallone,үкчә
42,Ferse::N,calcagno,үкчә
43,Knie::N,ginocchio,тез
44,Oberschenkel::N,fèmore,бот
45,Bein::N,gamba,аяк
46,Körper::N,corpo,тән
47,Körper::N,corpo,җисем
48,Haut::N,pelle,тире
49,Blut::N,sangue,кан
50,Ader::N,vena,тамыр
51,Sehne::N,tèndine,сеңер
52,Knochen::N,osso,сөяк
53,Gehirn::N,cervello,ми
54,Herz::N,cuore,йөрәк
55,Magen::N,stòmaco,ашказаны
56,Leber::N,fegato,бавыр
57,Atem::N,fiato,сулыш
58,Atem::N,respiro,сулыш
59,Hunger::N,fame,ачлык
60,Träne::N,làcrima,яшь
61,Geschmack::N,gusto,тәм
62,Geschmack::N,gusto,зәвык
63,Geschmack::N,sapore,тәм
64,Geschmack::N,sapore,зәвык
65,Geruch::N,odore,ис
66,Schlaf::N,sonno,йокы
67,Traum::N,sogno,төш
68,Himmel::N,cielo,күк
69,Sonne::N,sole,кояш
70,Mond::N,luna,ай
71,Stern::N,stella,йолдыз
72,Luft::N,aria,һава
73,Wind::N,vento,җил
74,Welle::N,onda,дулкын
75,Wasser::N,acqua,су
76,Stein::N,sasso,таш
77,Stein::N,pietra,таш
78,Boden::N,suolo,туфрак
79,Boden::N,terreno,туфрак
80,Erde::N,terra,җир
81,Staub::N,polvere,тузан
82,Rauch::N,fumo,төтен
83,Funke::N,scintilla,очкын
84,Feuer::N,fuoco,ут
85,Licht::N,luce,якты
86,Schatten::N,ombra,күләгә
87,Wetter::N,tempo,һава
88,Nebel::N,nebbia,томан
89,Wolke::N,nube,болыт
90,Wolke::N,nùvola,болыт
91,Regen::N,pioggia,яңгыр
92,Schnee::N,neve,кар
93,Eis::N,ghiaccio,боз
94,Frost::N,gelo,суык
95,Frost::N,gelo,салкын
96,Kälte::N,freddo,суык
97,Kälte::N,freddo,салкын
98,Hitze::N,caldo,эсселек
99,Hitze::N,calura,эсселек
100,Raureif::N,brina,бәс
101,Raureif::N,brina,сыкы
102,Regenbogen::N,arcobaleno,салават күпере
103,Donner::N,tuono,күкрәү
104,Strömung::N,corrente,агыш'агым
105,Tropfen::N,goccia,тамчы
106,Schaum::N,spuma,күбек
107,Schaum::N,schiuma,күбек
108,Schmutz::N,sudiciume,пычрак
109,See::N,lago,күл
110,Sumpf::N,palude,саз
111,Moor::N,torbiera,торфлык
112,Wiese::N,prato,болын
113,Wald::N,bosco,урман
114,Wald::N,foresta,урман
115,Hügel::N,colle,калку
116,Hügel::N,collina,калку
117,Anhöhe::N,altura,үр
118,Berg::N,monte,тау
119,Berg::N,montagna,тау
120,Gipfel::N,cima,оч
121,Höhle::N,grotta,мәгарә
122,Höhle::N,caverna,мәгарә
123,Abhang::N,pendìo,кабырга
124,Quelle::N,sorgente,чишмә
125,Bach::N,ruscello,елга
126,Fluss::N,fiume,дәрья
127,Ufer::N,riva,су кырые
128,Küste::N,costa,яр буе
129,Festland::N,terraferma,коры җир
130,Meer::N,mare,диңгез
131,Bucht::N,cala,бухта
132,Bucht::N,cala,култык
133,Insel::N,ìsola,атау
134,Insel::N,ìsola,утрау
135,Blume::N,fiore,чәчкә
136,Gras::N,erba,үлән
137,Wurzel::N,radice,тамыр
138,Baum::N,àlbero,агач
139,Stamm::N,tronco,кәүсә
140,Rinde::N,corteccia,кабык
141,Ast::N,ramo,ботак
142,Zweig::N,ramo,ботак
143,Zweig::N,ramo,тармак
144,Blatt::N,foglia,яфрак
145,Birke::N,betulla,каен
146,Kiefer[Baum]::N,pino,нарат
147,Weide[Baum]::N,sàlice,тал
148,Tanne::N,abete,чыршы
149,Horn::N,corno,мөгез
150,Feder::N,penna,йон
151,Fell::N,manto,тире
152,Fell::N,pelame,тире
153,Flügel::N,ala,канат
154,Klaue::N,grinfia,тырнак
155,Kralle::N,unghia,тырнак
156,Kralle::N,artiglio,тырнак
157,Schwanz::N,coda,койрык
158,Ei::N,uovo,күкәй
159,Ei::N,uovo,йомырка
160,Nest::N,nido,оя
161,Bau::N,covo,өн
162,Tier::N,bestia,хайван
163,Tier::N,animale,хайван
164,Herde::N,gregge,көтү
165,Kuh::N,vacca,сыер
166,Bulle::N,toro,үгез
167,Pferd::N,cavallo,ат
168,Schaf::N,pècora,сарык
