,Concept_ID,sk,mhr
135,Baum::N,strom,пуше́ҥге
136,Stamm::N,kmeň,йы́тыр
137,Rinde::N,kôra,шӱм
138,Ast::N,konár,укш
139,Zweig::N,vetva,торма́к
140,Blatt::N,list,лышта́ш
141,Birke::N,breza,куэ́
142,Kiefer[Baum]::N,sosna,пӱ́нчӧ
143,Kiefer[Baum]::N,borovica,пӱ́нчӧ
144,Weide[Baum]::N,vŕba,уа́
145,Tanne::N,jedľa,кож
146,Horn::N,roh,шур
147,Feder::N,pero,пы́стыл
148,Fell::N,koža,кова́ште
149,Fell::N,kožušina,кова́ште
150,Flügel::N,krídlo,шу́лдыр
151,Klaue::N,paznecht,кӱч
152,Kralle::N,pazúr,ла́па
153,Kralle::N,pazúr,копа́
154,Schwanz::N,chvost,поч
155,Ei::N,vajce,му́но
156,Ei::N,vajíčko,му́но
157,Nest::N,hniezdo,пыжа́ш
158,Bau::N,nora,пыжа́ш
159,Tier::N,zviera,я́нлык
160,Tier::N,zviera,живо́тный
161,Herde::N,stádo,кӱ́тӱ
162,Herde::N,stádo,тӱшка́
163,Kuh::N,krava,ушка́л
164,Bulle::N,býk,ӱ́шкыж
165,Pferd::N,kôň,и́мне
166,Schaf::N,ovca,шо́рык
167,Schwein::N,sviňa,сӧсна́
168,Hund::N,pes,пий
169,Katze::N,mačka,пы́рыс
170,Bär::N,medveď,маска́
171,Eichhörnchen::N,veverička,ур
172,Elch::N,los,шо́рдо
173,Fuchs::N,líška,ры́выж
174,Hase::N,zajac,мера́ҥ
175,Maus::N,myš,коля́
176,Wolf::N,vlk,пи́ре
177,Vogel::N,vták,ка́йык
178,Schwarm::N,roj,каша́к
179,Huhn::N,kurča,чы́ве
180,Huhn::N,sliepka,чы́ве
181,Hahn::N,kohút,агыта́н
182,Gans::N,hus,ко́мбо
183,Adler::N,orol,карагу́ш
184,Ente::N,kačka,лу́до
185,Ente::N,kačica,лу́до
186,Eule::N,sova,тумна́
187,Kranich::N,žeriav,турня́
188,Krähe::N,vrana,кора́к
189,Kuckuck::N,kukučka,куку́
190,Schwan::N,labuť,йӱ́ксӧ
191,Fisch::N,ryba,кол
192,Barsch::N,ostriež,ола́ҥге
193,Hecht::N,šťuka,нуж
194,Hecht::N,šťuka,чорта́н
195,Schlange[Tier]::N,had,ки́шке
196,Wurm::N,červ,шукш
197,Spinne::N,pavúk,эҥыре́мыш
198,Ameise::N,mravec,ку́тко
199,Laus::N,voš,тий
200,Mücke::N,komár,шыҥа́
