,Concept_ID,udm,ka
0,Auge::N,син,თვალი
1,Ohr::N,пель,ყური
2,Nase::N,ныр,ცხვირი
3,Mund::N,ым,პირი
4,Zahn::N,пинь,კბილი
5,Zunge::N,кыл,ენა
6,Lippe::N,ымдур,ბაგე
7,Wange::N,бам,ლოყა
8,Gesicht::N,ымныр,სახე
9,Stirn::N,кымес,შუბლი
10,Haar::N,йырси,თმა
11,Schnurrbart::N,мыйык,ულვაში
12,Bart::N,туш,წვერი
13,Kinn::N,ангес,ნიკაპი
14,Kiefer[Anatomie]::N,ан,ყბა
15,Kiefer[Anatomie]::N,анлы,ყბა
16,Kehle::N,гульым,ყელი
17,Hals::N,чырты,ყელი
18,Hals::N,чырты,კისერი
19,Genick::N,йырбер,კეფა
20,Kopf::N,йыр,თავი
21,Rücken::N,мыш,ზურგი
22,Bauch::N,кӧт,მუცელი
23,Nabel::N,гогы,ჭიპი
24,Busen::N,ноны,ძუძუ
25,Brust::N,мӧля,მკერდი
26,Schulter::N,пельпум,მხარი
27,Schulter::N,пельпум,მკლავი
28,Arm::N,суй,ხელი
29,Ellenbogen::N,гырпум,იდაყვი
30,Hand::N,ки,ხელი
31,Handfläche::N,ки пыдэс,ნები
32,Handfläche::N,ки пыдэс,ხელისგული
33,Handfläche::N,кырым пыдэс,ნები
34,Handfläche::N,кырым пыдэс,ხელისგული
35,Finger::N,чиньы,თითი
36,Fingernagel::N,гижы,ფრჩხილი
37,Fingernagel::N,гиждӥнь,ფრჩხილი
38,Nagel[Anatomie]::N,гижы,ფრჩხილი
39,Zeh::N,пыдчиньы,ფეხის თითი
40,Fuß::N,пыд,ტერფი
41,Fuß::N,пыд,ფეხისგული
42,Ferse::N,пыдбер,ქუსლი
43,Knie::N,пыдес,მუხლი
44,Oberschenkel::N,макес,ბარძაყი
45,Bein::N,пыд,ფეხი
46,Körper::N,мугор,ტანი
47,Körper::N,мугор,სხეული
48,Körper::N,вылтыр,ტანი
49,Körper::N,вылтыр,სხეული
50,Haut::N,ку,კანი
51,Blut::N,вир,სისხლი
52,Ader::N,вирсэр,ძარღვი
53,Sehne::N,вуж,მყესი
54,Knochen::N,лы,ძვალი
55,Gehirn::N,вим,ტვინი
56,Herz::N,сюлэм,გული
57,Magen::N,ӝуш,კუჭი
58,Leber::N,мус,ღვიძლი
59,Atem::N,лул,სუნთქვა
60,Atem::N,шокан,სუნთქვა
61,Hunger::N,кӧтсюман,შიმშილი
62,Träne::N,синкыли,ცრემლი
63,Geschmack::N,шӧм,გემო
64,Geruch::N,зын,სუნი
65,Schlaf::N,вӧт,ძილი
66,Traum::N,уйвӧт,სიზმარი
67,Himmel::N,ин,ცა
68,Sonne::N,шунды,მზე
69,Mond::N,толэзь,მთვარე
70,Stern::N,кизили,ვარსკვლავი
71,Luft::N,омыр,ჰაერი
72,Wind::N,тӧл,ქარი
73,Welle::N,тулкым,ტალღა
74,Wasser::N,ву,წყალი
75,Stein::N,из,ქვა
76,Boden::N,музъем,მიწა
77,Erde::N,му,ნიადაგი
78,Staub::N,пыль,მტვერი
79,Rauch::N,ӵын,ბოლი
80,Rauch::N,ӵын,კვამლი
81,Funke::N,гизьы,ნაკვესი
82,Feuer::N,тыл,ცეცხლი
83,Licht::N,тыл,შუქი
84,Licht::N,тыл,სინათლე
85,Schatten::N,вужер,ლანდი
86,Schatten::N,вужер,ჩრდილი
87,Wetter::N,куазь,ამინდი
88,Nebel::N,бус,ნისლი
89,Wolke::N,пилем,ღრუბელი
90,Regen::N,зор,წვიმა
91,Schnee::N,лымы,თოვლი
