,Concept_ID,mrj,la
0,Auge::N,сӹнзӓ,oculus
1,Ohr::N,пӹлӹш,auris
2,Nase::N,нер,nasus
3,Mund::N,ышма,os
4,Zahn::N,пӱ,dens
5,Zunge::N,йӹлмӹ,lingua
6,Lippe::N,тӹрвӹ,labrum
7,Wange::N,шӹргӹ,gena
8,Gesicht::N,лицӓ,vultus
9,Stirn::N,лепкӓ,frons
10,Haar::N,ӱп,capillus
11,Schnurrbart::N,öрш,barba labri superioris
12,Bart::N,пандаш,barba
13,Kinn::N,онгылаш,mentum
14,Kiefer[Anatomie]::N,пӱ арата,mala
15,Kehle::N,логер,iugulums
16,Hals::N,шӱ,collum
17,Genick::N,ланга,cervices
18,Kopf::N,вуй,caput
19,Rücken::N,туп,tergum
20,Bauch::N,мӹшкӹр,venter
21,Nabel::N,кӹлӹмдӹ,umbilicus
22,Busen::N,цӹзӹ,sinus
23,Brust::N,мел,pectus
24,Schulter::N,ӹнгӹжӓ,umerus
25,Arm::N,кид,bracchium
26,Ellenbogen::N,кӹнервуй,cubitum
27,Hand::N,лапа,manus
28,Handfläche::N,кид лапа,palma
29,Finger::N,парня,digitus
30,Fingernagel::N,кӹч,unguiculus
31,Nagel[Anatomie]::N,кӹч,unguis
32,Zeh::N,парня,digitus
33,Fuß::N,ял лапа,pes
34,Ferse::N,ялгавал,calx
35,Ferse::N,ял кавал,calx
36,Knie::N,пылвуй,genu
37,Oberschenkel::N,ӓрдӹ,femur
38,Bein::N,ял,crus
39,Körper::N,монгыр,corpus
40,Haut::N,кавашты,cutis
41,Haut::N,кавашты,pellis
42,Blut::N,вӹр,sanguis
43,Ader::N,вӹршӓр,vena
44,Sehne::N,кукшышӱн,nervus
45,Knochen::N,лу,os
46,Gehirn::N,вим,cerebrum
47,Herz::N,шӱм,cor
48,Herz::N,шӱм,animus
49,Magen::N,шӱм,stomachus
50,Leber::N,мокш,iecur
51,Atem::N,шӱлӹш,spiritus
52,Hunger::N,шужымаш,fames
53,Träne::N,сӹнзӓвӹд,lacrima
54,Geschmack::N,тот,sapor
55,Geschmack::N,тот,gustus
56,Geruch::N,пыш,odor
57,Schlaf::N,ом,somnus
58,Traum::N,ом,somnium
59,Himmel::N,пӹлгом,caelum
60,Sonne::N,кечӹ,sol
61,Mond::N,тӹлзӹ,luna
62,Stern::N,шӹдӹр,sidus
63,Stern::N,шӹдӹр,stella
64,Luft::N,юж,aer
65,Luft::N,воздух,aer
66,Wind::N,мардеж,ventus
67,Welle::N,ко,unda
68,Welle::N,коэ,unda
69,Wasser::N,вӹд,aqua
70,Stein::N,кӱ,lapis
71,Boden::N,рок,solum
72,Erde::N,свет,terra
73,Staub::N,пырак,pulvis
74,Rauch::N,шӹкш,fumus
75,Funke::N,ип,scintilla
76,Funke::N,тылип,scintilla
77,Feuer::N,тыл,ignis
78,Licht::N,соты,lux
79,Licht::N,соты,lumen
80,Licht::N,валгыды,lux
81,Licht::N,валгыды,lumen
82,Schatten::N,ӹмӹл,umbra
83,Wetter::N,игечӹ,caelum
84,Wetter::N,игечӹ,tempestas
85,Nebel::N,тӹтӹрӓ,nebula
86,Wolke::N,пӹл,nubes
87,Regen::N,юр,imber
88,Regen::N,юр,pluvia
89,Schnee::N,лым,nix
90,Eis::N,и,glacies
91,Frost::N,ӱштӹ,gelu
92,Kälte::N,ӱштӹ,frigus
93,Hitze::N,шокшы,calor
94,Hitze::N,шокшы,aestus
95,Raureif::N,пöрш,pruina
96,Regenbogen::N,шанавӹл,arcus
97,Donner::N,хӹдӹртӹш,tonitrus
98,Strömung::N,йогы,fluctus
99,Tropfen::N,капльы,gutta
100,Tropfen::N,капльык,gutta
101,Schaum::N,шонг,spuma
102,Schmutz::N,лявӹрӓ,sordes
