,Concept_ID,et,pt
0,Auge::N,silm,olho
1,Ohr::N,kõrv,orelha
2,Nase::N,nina,nariz
3,Mund::N,suu,boca
4,Zahn::N,hammas,dente
5,Zunge::N,keel,língua
6,Lippe::N,huul,lábio
7,Wange::N,põsk,face
8,Gesicht::N,nägu,cara
9,Gesicht::N,nägu,rosto
10,Stirn::N,otsmik,testa
11,Haar::N,juus,cabelo
12,Schnurrbart::N,vurrud,bigode
13,Schnurrbart::N,vuntsid,bigode
14,Bart::N,habe,barba
15,Kinn::N,lõug,queixo
16,Kiefer[Anatomie]::N,lõualuu,maxila
17,Kiefer[Anatomie]::N,lõualuu,mandíbula
18,Kehle::N,kõri,garganta
19,Hals::N,kael,colo
20,Hals::N,kael,pescoço
21,Genick::N,kukal,nuca
22,Kopf::N,pea,cabeça
23,Rücken::N,selg,dorso
24,Rücken::N,selg,costas
25,Bauch::N,kõht,ventre
26,Bauch::N,kõht,barriga
27,Nabel::N,naba,umbigo
28,Busen::N,rind,seio
29,Brust::N,rind,peito
30,Schulter::N,õlg,ombro
31,Arm::N,käsivars,braço
32,Ellenbogen::N,küünarnukk,cotovelo
33,Hand::N,käsi,mão
34,Handfläche::N,pihk,palma
35,Handfläche::N,pihk,palma da mão
36,Finger::N,sõrm,dedo
37,Fingernagel::N,küüs,unha
38,Nagel[Anatomie]::N,küüs,unha
39,Zeh::N,varvas,dedo do pé
40,Fuß::N,jalg,pé
41,Ferse::N,kand,calcanhar
42,Knie::N,põlv,joelho
43,Oberschenkel::N,reis,coxa
44,Bein::N,jalg,perna
45,Körper::N,ihu,corpo
46,Körper::N,keha,corpo
47,Haut::N,nahk,pele
48,Blut::N,veri,sangue
49,Ader::N,veen,veia
50,Sehne::N,kõõlus,tendão
51,Knochen::N,luu,osso
52,Gehirn::N,aju,cérebro
53,Herz::N,süda,coração
54,Magen::N,magu,estômago
55,Leber::N,maks,fígado
56,Atem::N,hingeõhk,fôlego
57,Atem::N,hingamine,fôlego
58,Hunger::N,nälg,fome
59,Träne::N,pisar,lágrima
60,Geschmack::N,maitse,gosto
61,Geruch::N,lõhn,odor
62,Geruch::N,lõhn,cheiro
63,Schlaf::N,uni,sono
64,Traum::N,unenägu,sonho
65,Himmel::N,taevas,céu
66,Sonne::N,päike,sol
67,Mond::N,kuu,lua
68,Stern::N,täht,estrela
69,Luft::N,õhk,ar
70,Wind::N,tuul,vento
71,Welle::N,laine,onda
72,Wasser::N,vesi,água
73,Stein::N,kivi,pedra
