,Concept_ID,mhr,lv
0,Auge::N,шинча́,син
1,Auge::N,шинча́,acs
2,Ohr::N,пы́лыш,пель
3,Ohr::N,пы́лыш,auss
4,Nase::N,нер,ныр
5,Nase::N,нер,deguns
6,Mund::N,умша́,вом
7,Mund::N,умша́,mute
8,Zahn::N,пӱй,пинь
9,Zahn::N,пӱй,zobs
10,Zunge::N,йы́лме,кыв
11,Zunge::N,йы́лме,mēle
12,Lippe::N,тӱ́рвӧ,вом дор
13,Lippe::N,тӱ́рвӧ,lūpa
14,Wange::N,шӱ́ргӧ,бан
15,Wange::N,шӱ́ргӧ,vaigs
16,Gesicht::N,чури́й,чужӧм
17,Gesicht::N,чури́й,seja
18,Gesicht::N,чури́й,ģīmis
19,Stirn::N,саҥга́,плеш
20,Stirn::N,саҥга́,кымӧс
21,Stirn::N,саҥга́,piere
22,Haar::N,ӱп,си
23,Haar::N,ӱп,юрси
24,Haar::N,ӱп,mats
25,Schnurrbart::N,ӧ́рыш,ус
26,Schnurrbart::N,ӧ́рыш,пыртсим
27,Schnurrbart::N,ӧ́рыш,ūsas
28,Bart::N,понда́ш,тош
29,Bart::N,понда́ш,bārda
30,Kinn::N,оҥыла́ш,тшӧка
31,Kinn::N,оҥыла́ш,zods
32,Kinn::N,оҥыла́ш,smakrs
33,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,черлы
34,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,алака лы
35,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,вомкӧтш лы
36,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,žoklis
37,Kiefer[Anatomie]::N,пӱйората́,черлы
38,Kiefer[Anatomie]::N,пӱйората́,алака лы
39,Kiefer[Anatomie]::N,пӱйората́,вомкӧтш лы
40,Kiefer[Anatomie]::N,пӱйората́,žoklis
41,Kehle::N,лога́р,голя
42,Kehle::N,лога́р,rīkle
43,Hals::N,шӱй,сьылі
44,Hals::N,шӱй,kakls
45,Genick::N,шӱйло́дыш,юрбӧр
46,Genick::N,шӱйло́дыш,балябӧж
47,Genick::N,шӱйло́дыш,sprands
48,Kopf::N,вуй,юр
49,Kopf::N,вуй,galva
50,Rücken::N,туп,мыш
51,Rücken::N,туп,mugura
52,Bauch::N,мӱ́шкыр,рушку
53,Bauch::N,мӱ́шкыр,vēders
54,Nabel::N,кы́лымде,гӧг
55,Nabel::N,кы́лымде,naba
56,Busen::N,чы́зе,морӧс
57,Busen::N,чы́зе,krūts
58,Brust::N,оҥ,морӧс
59,Brust::N,оҥ,krūts
60,Schulter::N,ва́че,пельпом
61,Schulter::N,ва́че,plecs
62,Arm::N,кид,ки
63,Arm::N,кид,roka
64,Arm::N,кид,delms
65,Ellenbogen::N,кынерву́й,гырддза
66,Ellenbogen::N,кынерву́й,elkonis
67,Hand::N,кид,ки
68,Hand::N,кид,roka
69,Hand::N,кид,plauksta
70,Hand::N,копа́,ки
71,Hand::N,копа́,roka
72,Hand::N,копа́,plauksta
73,Handfläche::N,со́во,ки пыдӧс
74,Handfläche::N,со́во,delna
75,Handfläche::N,со́во,plauksta
76,Finger::N,парня́,чунь
77,Finger::N,парня́,pirksts
78,Fingernagel::N,кидкӱ́ч,гыж
79,Fingernagel::N,кидкӱ́ч,nags
80,Fingernagel::N,парнягӱ́ч,гыж
81,Fingernagel::N,парнягӱ́ч,nags
82,Nagel[Anatomie]::N,кӱч,гыж
83,Nagel[Anatomie]::N,кӱч,nags
84,Zeh::N,йолварня́,кок чунь
85,Zeh::N,йолварня́,pirksts
86,Fuß::N,йол,кок
87,Fuß::N,йол,kāja
88,Fuß::N,йолкопа́,кок
89,Fuß::N,йолкопа́,kāja
90,Ferse::N,тага́н,кокбӧр
91,Ferse::N,тага́н,papēdis
92,Knie::N,пулву́й,пидзӧс
93,Knie::N,пулву́й,celis
94,Oberschenkel::N,э́рде,лядьвей
95,Oberschenkel::N,э́рде,бек
96,Oberschenkel::N,э́рде,ciska
97,Oberschenkel::N,э́рде,augšstilbs
98,Bein::N,йол,кок
99,Bein::N,йол,kāja
100,Körper::N,кап,туша
101,Körper::N,кап,вывтыр
102,Körper::N,кап,miesa
103,Körper::N,кап,ķermenis
104,Haut::N,кова́ште,ку
105,Haut::N,кова́ште,āda
106,Blut::N,вӱр,вир
107,Blut::N,вӱр,asins
108,Ader::N,шӧн,сӧн
109,Ader::N,шӧн,asinsvads
110,Sehne::N,шӧн,вез
111,Sehne::N,шӧн,dzīsla
112,Sehne::N,кӱсе́н,вез
113,Sehne::N,кӱсе́н,dzīsla
114,Knochen::N,лу,лы
115,Knochen::N,лу,kauls
116,Gehirn::N,вем,вем
117,Gehirn::N,вем,smadzenes
118,Gehirn::N,вуйве́м,вем
119,Gehirn::N,вуйве́м,smadzenes
120,Herz::N,шӱм,сьӧлӧм
121,Herz::N,шӱм,sirds
122,Magen::N,пага́р,кынӧм
123,Magen::N,пага́р,kuņģis
124,Leber::N,мокш,мус
125,Leber::N,мокш,aknas
126,Atem::N,шӱ́лыш,лов
127,Atem::N,шӱ́лыш,elpa
128,Hunger::N,шужыма́ш,тшыг
129,Hunger::N,шужыма́ш,bads
130,Hunger::N,шужыма́ш,izsalkums
131,Träne::N,шинчавӱ́д,синва
132,Träne::N,шинчавӱ́д,asara
133,Geschmack::N,там,кӧр
134,Geschmack::N,там,чӧсмӧс
135,Geschmack::N,там,garša
136,Geruch::N,пуш,зын
137,Geruch::N,пуш,дук
138,Geruch::N,пуш,smaka
139,Schlaf::N,о́мо,узьӧм
140,Schlaf::N,о́мо,miegs
141,Traum::N,йӱдо́мо,вӧт
142,Traum::N,йӱдо́мо,вӧтасьӧм
143,Traum::N,йӱдо́мо,sapnis
144,Himmel::N,кава́,енэж
145,Himmel::N,кава́,debess
146,Sonne::N,ке́че,шонді
147,Sonne::N,ке́че,saule
148,Mond::N,ты́лзе,тӧлысь
149,Mond::N,ты́лзе,mēness
150,Stern::N,шӱ́дыр,кодзув
151,Stern::N,шӱ́дыр,zvaigzne
152,Luft::N,юж,сынӧд
153,Luft::N,юж,gaiss
154,Wind::N,марде́ж,тӧв
155,Wind::N,марде́ж,vējš
156,Welle::N,то́лкын,гы
157,Welle::N,то́лкын,vilnis
