,Concept_ID,az,av
0,Auge::N,göz,
1,Ohr::N,qulaq,гӏин
2,Nase::N,burun,мегӏер
3,Mund::N,ağız,кӏал
4,Zahn::N,diş,гӏус
5,Zunge::N,dil,мацӏ
6,Lippe::N,dodaq,кӏветӏ
7,Wange::N,yanaq,гӏоно
8,Gesicht::N,üz,гьумер
9,Stirn::N,alın,нодо
10,Haar::N,saç,рас
11,Schnurrbart::N,bığ,михъ
12,Bart::N,saqqal,мегеж
13,Kinn::N,çənə,нилъу
14,Kiefer[Anatomie]::N,çənə,чанагъ
15,Kehle::N,boğaz,щекъер
16,Hals::N,boyun,габур
17,Genick::N,ənsə,гъванща
18,Kopf::N,baş,бетӏер
19,Rücken::N,bel,мугъ
20,Bauch::N,qarın,чехь
21,Nabel::N,göbək,цӏину
22,Busen::N,məmə,керен
23,Brust::N,döş,керен
24,Schulter::N,çiyin,гъажазубетӏер
25,Arm::N,qol,гъеж
26,Ellenbogen::N,dirsək,гӏункӏрукь
27,Hand::N,əl,квер
28,Handfläche::N,ovuc,огъохъат
29,Handfläche::N,ovuc,жанисахъат
30,Finger::N,barmaq,килищ
31,Fingernagel::N,barmaq dırnağı,малъ
32,Nagel[Anatomie]::N,dırnak,малъ
33,Zeh::N,ayaq barmağı,килищ
34,Fuß::N,ayaq,хӏетӏ
35,Fuß::N,ayaq,хӏетӏе
36,Ferse::N,daban,эгъе
37,Knie::N,diz,наку
38,Oberschenkel::N,bud,мачӏ
39,Bein::N,qıç,бох
40,Körper::N,əndam,къаркъала
41,Haut::N,dəri,тӏом
42,Blut::N,qan,би
43,Ader::N,damar,бидурихь
44,Sehne::N,vətər,
45,Knochen::N,sümük,ракьа
46,Gehirn::N,beyin,гӏадалнах
47,Herz::N,ürək,ракӏ
48,Magen::N,mədə,кванирукъ
49,Leber::N,qara ciyər,тӏул
50,Atem::N,nəfəs,хӏухь
51,Hunger::N,aclıq,ракъи
52,Träne::N,göz yaşı,магӏу
53,Geschmack::N,tam,тату
54,Geschmack::N,ləzzət,тату
55,Geruch::N,qoxu,махӏ
56,Schlaf::N,yuxu,макьу
57,Traum::N,röya,макьу
58,Himmel::N,göy,зоб
59,Himmel::N,səma,зоб
60,Sonne::N,günəş,бакъ
61,Mond::N,ay,моцӏ
62,Stern::N,ulduz,цӏва
63,Luft::N,hava,гьава
64,Wind::N,yel,гьури
65,Wind::N,külək,гьури
66,Welle::N,dalğa,карачел
67,Wasser::N,su,лъим
68,Stein::N,daş,гьецӏо
69,Boden::N,yer,ракь
70,Boden::N,zəmin,ракь
71,Erde::N,yer torpaq,ракь
72,Erde::N,yer torpaq,дуниял
73,Staub::N,toz,хӏур
74,Rauch::N,tüstü,кӏкӏуй
75,Funke::N,qığılcım,
76,Feuer::N,od,цӏа
77,Licht::N,işıq,канлъи
78,Schatten::N,kölgə,рагӏад
79,Wetter::N,hava,гьава-бакъ
80,Nebel::N,duman,гӏодобнакӏкӏ
81,Wolke::N,bulud,накӏкӏ
82,Regen::N,yağış,цӏад
83,Regen::N,yağmur,цӏад
84,Schnee::N,qar,гӏазу
85,Eis::N,buz,цӏер
86,Frost::N,ayaz,замгьари
87,Kälte::N,soyuq,квач
88,Hitze::N,coşğunluq,багӏари
89,Raureif::N,qırov,мартӏ
90,Regenbogen::N,göy qurşağı,нур
91,Regenbogen::N,göy qurşağı,чамбара
92,Donner::N,göy gurultusu,гъугъай
93,Donner::N,göy gurultusu,гъугъади
94,Strömung::N,axın,чвахи
95,Tropfen::N,damcı,резел
96,Tropfen::N,damcı,тӏинкӏ
97,Tropfen::N,damcı,къатӏра
98,Tropfen::N,damcı,тӏенкӏел
99,Schaum::N,köpük,полоп
100,Schmutz::N,çamır,чороклъи
101,See::N,göl,хӏор
102,Sumpf::N,bataqlıq,хьуцӏ
103,Moor::N,bataqlıq,
104,Wiese::N,çəmən,мегъ
105,Wiese::N,çəmən,гӏурдаллъи
106,Wald::N,meşə,рохь
107,Hügel::N,təpə,гохӏ
108,Anhöhe::N,təpə,сийитма
109,Berg::N,dağ,мегӏер
110,Gipfel::N,zirvə,тӏогь
111,Höhle::N,mağara,нохъо
112,Abhang::N,yamac,лабаллъи
113,Quelle::N,bulaq,ицц
114,Bach::N,kiçik çay,лъар
115,Fluss::N,çay,гӏор
116,Ufer::N,kənar,рагӏал
117,Küste::N,sahil,рагӏал
118,Festland::N,materik,ракь
119,Festland::N,materik,ракъдаллъи
120,Meer::N,dəniz,ралъад
121,Bucht::N,körfəz,кӏветӏ
122,Insel::N,ada,чӏинкӏиллъи
123,Blume::N,çiçək,тӏегь
124,Gras::N,ot,хер
125,Wurzel::N,kök,кьибил
126,Baum::N,ağac,гъветӏ
127,Stamm::N,gövdə,рохти
128,Rinde::N,qabıq,макъар
129,Ast::N,şax,ноцӏ
130,Zweig::N,budaq,гӏаркьел
131,Blatt::N,yarpaq,тӏамах
132,Birke::N,tozağacı,мах
133,Birke::N,tozağacı,махигъветӏ
134,Kiefer[Baum]::N,şam,накӏкӏигъветӏ
135,Weide[Baum]::N,söyüd,рицӏцӏ
136,Weide[Baum]::N,söyüd,рицӏцӏигъветӏ
137,Tanne::N,küknar,ёлка
138,Horn::N,buynuz,лълъар
139,Feder::N,tük,хӏули
140,Feder::N,lələk,хӏули
141,Fell::N,xəz,тӏом
142,Fell::N,xəz,цӏоко
143,Flügel::N,qanad,кваркьи
144,Klaue::N,pəncə,галъ
145,Kralle::N,dırnaq,квачӏ
146,Kralle::N,dırnaq,катиквачӏ
147,Schwanz::N,quyruq,рачӏ
148,Ei::N,yumurta,хоно
149,Nest::N,yuva,бусен
150,Bau::N,yuva,каратӏ
151,Tier::N,heyvan,хӏайван
152,Herde::N,sürü,рехъен
153,Herde::N,sürü,рехъед
154,Kuh::N,inək,гӏака
155,Bulle::N,öküz,оц
156,Pferd::N,at,чу
157,Schaf::N,qoyun,чахъу
158,Schwein::N,donuz,болъон
159,Hund::N,it,гьой
160,Hund::N,köpək,гьой
161,Katze::N,pişik,кету
162,Bär::N,ayı,ци
163,Eichhörnchen::N,dələ,гвангва
164,Elch::N,sığın,
165,Fuchs::N,tülkü,цер
166,Hase::N,dovşan,гӏанкӏ
167,Maus::N,siçan,гӏункӏкӏ
168,Wolf::N,qurd,бацӏ
169,Vogel::N,quş,хӏинчӏ
170,Schwarm::N,sürü,тӏел
171,Huhn::N,toyuq,гӏанкӏу
172,Hahn::N,xoruz,хӏелеко
173,Gans::N,qaz,хъаз
174,Adler::N,qartal,цӏум
175,Adler::N,qaraquş,цӏум
176,Ente::N,ördək,ордек
177,Eule::N,bayquş,беццаруз
178,Kranich::N,durna,къункъра
179,Krähe::N,qarğa,гъеду
180,Kuckuck::N,ququ,гагу
181,Schwan::N,qu quşu,хӏанкъва
182,Fisch::N,balıq,ччугӏа
183,Barsch::N,tar,окунь
184,Hecht::N,durnabalığı,щука
185,Schlange[Tier]::N,ilan,борохь
186,Wurm::N,qurd,хӏапара
187,Spinne::N,hörümçək,хъанхъра
188,Ameise::N,qarışqa,цӏунцӏра
189,Laus::N,bit,нацӏ
190,Mücke::N,ağcaqanad,кӏкӏара
191,Fliege::N,milçək,тӏутӏ
192,Schmetterling::N,kəpənək,кӏалкӏучӏ
193,Beere::N,gilə,
194,Apfel::N,alma,гӏеч
