,Concept_ID,vep,hu
0,Auge::N,sil'm,szem
1,Ohr::N,korv,fül
2,Nase::N,nena,orr
3,Mund::N,su,száj
4,Zahn::N,pi,fog
5,Zahn::N,hambaz,fog
6,Zunge::N,kel',nyelv
7,Lippe::N,hul',ajak
8,Wange::N,modpolišk,orca
9,Gesicht::N,mod,arc
10,Stirn::N,oc,homlok
11,Haar::N,tuk,haj
12,Haar::N,hibuz,haj
13,Schnurrbart::N,habinod,bajusz
14,Bart::N,bard,szakáll
15,Kinn::N,löug,áll
16,Kiefer[Anatomie]::N,hambazlu,állkapocs
17,Kehle::N,kurk,gége
18,Kehle::N,kurk,torok
19,Hals::N,kagl,nyak
20,Genick::N,tagarai,tarkó
21,Kopf::N,pä,fő
22,Kopf::N,pä,fej
23,Rücken::N,sel'g,hát
24,Bauch::N,vac,has
25,Bauch::N,koht,has
26,Nabel::N,naba,köldök
27,Busen::N,niža,mell
28,Busen::N,niža,kebel
29,Brust::N,rind,mell
30,Schulter::N,oug,váll
31,Arm::N,käzi,kar
32,Ellenbogen::N,künambruz,könyök
33,Hand::N,käzi,kéz
34,Hand::N,käzitera,kéz
35,Handfläche::N,kämen,tenyér
36,Finger::N,sor'm,ujj
37,Fingernagel::N,künz',köröm
38,Nagel[Anatomie]::N,künz',köröm
39,Zeh::N,barbaz,lábujj
40,Fuß::N,jaug,láb
41,Ferse::N,kand,sarok
42,Knie::N,komb,térd
43,Knie::N,pol'v,térd
44,Oberschenkel::N,riiže,comb
45,Bein::N,jaug,láb
46,Bein::N,jaug,lábszár
47,Körper::N,hibj,test
48,Haut::N,nahk,bőr
49,Blut::N,čak,vér
50,Blut::N,veri,vér
51,Ader::N,son',ér
52,Sehne::N,jände,ín
53,Knochen::N,lu,csont
54,Gehirn::N,aivod,agy
55,Gehirn::N,aivod,agyvelő
56,Herz::N,südäin,szív
57,Magen::N,südäikoht,gyomor
58,Leber::N,maks,máj
59,Atem::N,hengaiduz,lehelet
60,Atem::N,hengaiduz,lélegzet
61,Hunger::N,näl'g,éhség
62,Träne::N,kündal',könny
63,Geschmack::N,magu,íz
64,Geruch::N,haju,szag
65,Schlaf::N,uni,álom
66,Schlaf::N,uni,alvás
67,Traum::N,unikuva,álom
68,Himmel::N,taivaz,ég
69,Himmel::N,taivaz,menny
70,Sonne::N,päiväine,nap
71,Mond::N,kudmaine,hold
72,Stern::N,tähtaz,csillag
73,Luft::N,il'm,levegő
74,Wind::N,döl,szél
75,Wind::N,tullei,szél
76,Welle::N,ald,hullám
77,Welle::N,laineh,hullám
78,Wasser::N,vezi,víz
79,Stein::N,kivi,kő
80,Boden::N,ma,föld
81,Boden::N,ma,talaj
82,Boden::N,pohj,föld
83,Boden::N,pohj,talaj
84,Erde::N,ma,föld
85,Staub::N,pölü,por
86,Rauch::N,savu,füst
87,Funke::N,kibin,szikra
88,Feuer::N,lämoi,tűz
89,Licht::N,vauktuz,fény
90,Schatten::N,pil'vez,árnyék
91,Schatten::N,kuvahaine,árnyék
92,Wetter::N,sä,idő
93,Wetter::N,sä,időjárás
94,Nebel::N,sumeg,köd
95,Wolke::N,pil'v,felhő
96,Regen::N,vihm,eső
97,Schnee::N,lumi,hó
98,Eis::N,jä,jég
99,Frost::N,hala,fagy
100,Frost::N,pakaine,fagy
101,Kälte::N,vilu,hideg
102,Hitze::N,räk,hő
103,Hitze::N,räk,hőség
104,Raureif::N,hüde,zúzmara
105,Regenbogen::N,jumalanbembel',szivárvány
106,Donner::N,juru,dörgés
107,Donner::N,juru,mennydörgés
108,Donner::N,jumalanjuru,dörgés
109,Donner::N,jumalanjuru,mennydörgés
110,Strömung::N,joksmuz,áramlat
111,Tropfen::N,tilkuine,csepp
112,Schaum::N,vaht,hab
113,Schaum::N,vaht,tajték
114,Schmutz::N,redu,piszok
115,Schmutz::N,pačak,piszok
116,See::N,järv,tó
117,Sumpf::N,so,mocsár
118,Moor::N,so,láp
119,Wiese::N,nit,rét
120,Wiese::N,nit,mező
121,Wald::N,mec,erdő
122,Hügel::N,kukaz,domb
123,Anhöhe::N,kukaz,magaslat
124,Berg::N,mägi,hegy
125,Gipfel::N,ladv,csúcs
126,Höhle::N,mägionduz,barlang
127,Abhang::N,paute,lejtő
128,Quelle::N,lähte,forrás
129,Bach::N,oja,patak
130,Fluss::N,jogi,folyó
131,Ufer::N,rand,part
132,Küste::N,randišt,tengerpart
133,Festland::N,kuivma,szárazföld
134,Meer::N,meri,tenger
135,Bucht::N,laht,öböl
136,Insel::N,sar',sziget
137,Blume::N,änik,virág
138,Gras::N,hein,fű
139,Wurzel::N,jur',gyökér
140,Baum::N,pu,fa
141,Stamm::N,tüvi,tő
142,Stamm::N,tüvi,törzs
143,Rinde::N,kor',kéreg
144,Ast::N,oks,ág
145,Zweig::N,oks,gally
146,Zweig::N,barb,gally
147,Blatt::N,lehtez,levél
148,Birke::N,koiv,nyír
149,Kiefer[Baum]::N,pedai,fenyő
150,Weide[Baum]::N,raid,fűz
151,Tanne::N,kuz',fenyő
152,Horn::N,sar'v,szarv
153,Feder::N,höuneh,toll
154,Fell::N,nahk,szőr
155,Fell::N,nahk,bunda
156,Flügel::N,suug,szárny
157,Klaue::N,künz',köröm
158,Kralle::N,künz',karom
159,Schwanz::N,händ,farok
160,Ei::N,muna,tojás
161,Nest::N,peza,fészek
162,Bau::N,uru,odú
163,Tier::N,živat,állat
164,Herde::N,kogo,nyáj
165,Herde::N,kogo,csorda
166,Kuh::N,lehm,tehén
167,Bulle::N,härg,bika
168,Pferd::N,hebo,ló
169,Schaf::N,lambaz,juh
170,Schaf::N,lambaz,birka
171,Schwein::N,siga,sertés
172,Hund::N,koir,eb
173,Hund::N,koir,kutya
174,Katze::N,kaži,macska
175,Bär::N,kondi,medve
176,Eichhörnchen::N,orav,mókus
177,Elch::N,hirb',jávorszarvas
178,Fuchs::N,reboi,róka
179,Hase::N,jäniš,nyúl
180,Maus::N,hir',egér
181,Wolf::N,händikaz,farkas
182,Vogel::N,lind,madár
183,Schwarm::N,parveh,raj
184,Huhn::N,kana,tyúk
185,Hahn::N,kukoi,kakas
186,Gans::N,hanh',lúd
187,Gans::N,hanh',liba
188,Adler::N,orl,sas
189,Ente::N,sorz,kacsa
190,Eule::N,hir'pulo,bagoly
191,Kranich::N,kurg,daru
192,Krähe::N,variš,varjú
193,Kuckuck::N,kägi,kakukk
194,Schwan::N,joucen,hattyú
195,Fisch::N,kala,hal
196,Barsch::N,ahven,sügér
197,Hecht::N,haug',csuka
198,Schlange[Tier]::N,kü,kígyó
199,Schlange[Tier]::N,mado,kígyó
200,Wurm::N,mado,kukac
201,Spinne::N,hämähouk,pók
202,Ameise::N,murahaine,hangya
203,Laus::N,täi,tetű
204,Mücke::N,säs'k,szúnyog
205,Fliege::N,kärbhaine,légy
206,Schmetterling::N,lipkaine,lepke
207,Schmetterling::N,lipkaine,pillangó
208,Beere::N,marj,bogyó
209,Apfel::N,jablok,alma
210,Pilz::N,sen',gomba
211,Pilz::N,babuk,gomba
212,Zwiebel::N,lauk,hagyma
213,Saat::N,semned,vetőmag
214,Korn::N,jüvä,mag
215,Korn::N,jüvä,szem
216,Korn::N,vill',mag
217,Korn::N,vill',szem
218,Heu::N,hein,széna
219,Schale::N,kor',héj
220,Grube::N,kop,verem
221,Falle::N,rida,csapda
222,Schlinge::N,rihm,tőr
223,Spur::N,jäl'g,nyom
224,Asche::N,tuhk,hamu
225,Dreck::N,redu,sár
226,Dreck::N,redu,piszok
227,Dreck::N,pačak,sár
228,Dreck::N,pačak,piszok
229,Eisen::N,raud,vas
230,Gold::N,kuld,arany
231,Silber::N,hobed,ezüst
232,Kohle::N,hil',szén
233,Glas::N,stökol,üveg
234,Lehm::N,savi,agyag
235,Lehm::N,savi,vályog
236,Sand::N,lete,homok
237,Mensch::N,mez',ember
238,Mensch::N,ristit,ember
239,Mann::N,mez',úr
240,Mann::N,mez',férfi
241,Frau::N,naine,nő
242,Frau::N,naine,asszony
243,Kind::N,laps',gyerek
244,Kind::N,laps',gyermek
245,Junge::N,poig,fiú
246,Junge::N,prihaine,fiú
247,Mädchen::N,neičukaine,lány
248,Familie::N,kanz,család
249,Familie::N,pereh,család
250,Großvater::N,ded,nagyapa
251,Großmutter::N,bab,nagyanya
252,Eltern::N,vanhembad,szülők
253,Eltern::N,kazvatajad,szülők
254,Vater::N,tat,apa
255,Vater::N,tat,atya
256,Mutter::N,mam,anya
257,Sohn::N,poig,fiú
258,Tochter::N,tütär,lány
259,Bruder::N,veik,fivér
260,Bruder::N,veik,testvér
261,Bruder::N,vell',fivér
262,Bruder::N,vell',testvér
263,Schwester::N,čiža,nővér
264,Schwester::N,čiža,lánytestvér
265,Schwester::N,sizar,nővér
266,Schwester::N,sizar,lánytestvér
267,Onkel::N,däd',nagybácsi
268,Tante::N,tädi,nagynéni
269,Ehemann::N,mužik,férj
270,Ehefrau::N,ak,feleség
271,Freude::N,ilo,öröm
272,Freude::N,ihastuz,öröm
273,Gelächter::N,nagr,nevetés
274,Gelächter::N,nagr,hahotázás
275,Glück::N,oza,boldogság
276,Kummer::N,gor'a,bánat
277,Wunsch::N,taht,óhaj
278,Lust::N,himo,kedv
279,Geist::N,heng,elme
280,Geist::N,heng,szellem
281,Gedanke::N,meletuz,gondolat
282,Gedächtnis::N,mušt,emlékezet
283,Verstand::N,mel',ész
284,Verstand::N,mel',értelem
285,Sinn::N,jüvä,értelem
286,Grund::N,sü,ok
287,Grund::N,sü,alap
288,Wahrheit::N,tozi,igaz
289,Wahrheit::N,tozi,igazság
290,Gespräch::N,lodu,beszélgetés
291,Gespräch::N,pagin,beszélgetés
292,Märchen::N,sarn,mese
293,Erzählung::N,sanutez,elbeszélés
294,Nachricht::N,tedotuz,hír
295,Nachricht::N,tedotuz,híradás
296,Neuigkeit::N,uzištuz,újság
297,Name::N,nimi,név
298,Rätsel::N,ozoitez,rejtvény
299,Rede::N,pagin,beszéd
300,Rede::N,pagin,szónoklat
301,Rede::N,sanad,beszéd
302,Rede::N,sanad,szónoklat
303,Sprache::N,kel',nyelv
304,Stimme::N,än',hang
305,Wort::N,sana,szó
306,Zeichen::N,znam,jel
307,Ruf::N,kida,kiáltás
308,Ruf::N,kucund,kiáltás
309,Lärm::N,judu,zaj
310,Laut::N,kulund,hang
311,Ton::N,kulund,hang
312,Lied::N,pajo,dal
313,Lied::N,pajo,ének
314,Ruhe::N,lebu,csend
315,Ruhe::N,lebu,nyugalom
316,Leute::N,rahvaz,emberek
317,Volk::N,rahvaz,nép
318,Arbeit::N,tö,dolog
319,Arbeit::N,rad,dolog
320,Gast::N,adiv,vendég
321,Geschenk::N,lahj,ajándék
322,Spiel::N,vänd,játék
323,Gesellschaft::N,sebr,társaság
324,Hilfe::N,abu,segítség
325,Freund::N,sebranik,barát
326,Kamerad::N,sebranik,társ
327,Angelegenheit::N,azj,ügy
328,Anzahl::N,lugu,szám
329,Art::N,rod,faj
330,Art::N,rod,fajta
331,Art::N,rodsugu,faj
332,Art::N,rodsugu,fajta
333,Stück::N,pala,darab
334,Stück::N,supal,darab
335,Teil::N,pala,rész
336,Hälfte::N,pol',fél
337,Kreis::N,ümbruz,kör
338,Kreis::N,kehkruz,kör
339,Kreuz::N,rist,kereszt
340,Linie::N,pird,vonal
341,Strich::N,pird,vonás
342,Abstand::N,keskust,köz
343,Entfernung::N,matk,távolság
344,Gegend::N,taho,táj
345,Gegend::N,taho,vidék
346,Platz::N,avaruz',hely
347,Ort::N,koht,hely
348,Seite::N,pol',fél
349,Seite::N,pol',oldal
350,Seite::N,kül'g,fél
351,Seite::N,kül'g,oldal
352,Mitte::N,kesk,közép
353,Gegenstand::N,kalu,tárgy
354,Sache::N,azj,dolog
355,Rand::N,röun,szél
356,Rand::N,röun,perem
357,Rand::N,röun,szegély
358,Kante::N,röun,él
359,Ecke::N,saum,sarok
360,Ecke::N,saum,szöglet
361,Spitze::N,agjaine,csúcs
362,Ende::N,agj,vég
363,Loch::N,reig,lyuk
364,Winkel::N,čoga,szög
365,Winkel::N,saum,szög
366,Muster::N,kirjam,minta
367,Größe::N,suruz',nagyság
368,Länge::N,piduz,hossz
369,Länge::N,piduz,hosszúság
370,Höhe::N,korktuz',magasság
371,Gewicht::N,jügu,súly
