,Concept_ID,av,ca
0,Ohr::N,гӏин,orella
1,Nase::N,мегӏер,nas
2,Mund::N,кӏал,boca
3,Zahn::N,гӏус,dent
4,Zunge::N,мацӏ,llēngua
5,Lippe::N,кӏветӏ,llavi
6,Wange::N,гӏоно,galta
7,Gesicht::N,гьумер,cara
8,Stirn::N,нодо,front
9,Haar::N,рас,cabēll
10,Schnurrbart::N,михъ,bigoti
11,Bart::N,мегеж,barba
12,Kinn::N,нилъу,mentó
13,Kinn::N,нилъу,barbeta
14,Kiefer[Anatomie]::N,чанагъ,queix
15,Kiefer[Anatomie]::N,чанагъ,mandíbula
16,Kehle::N,щекъер,gola
17,Kehle::N,щекъер,gorja
18,Hals::N,габур,coll
19,Genick::N,гъванща,nuca
20,Kopf::N,бетӏер,cap
21,Rücken::N,мугъ,esquena
22,Bauch::N,чехь,panxa
23,Nabel::N,цӏину,llombrígol
24,Busen::N,керен,pit
25,Busen::N,керен,mama
26,Brust::N,керен,pit
27,Schulter::N,гъажазубетӏер,espatlla
28,Arm::N,гъеж,braç
29,Ellenbogen::N,гӏункӏрукь,colze
30,Hand::N,квер,mà
31,Handfläche::N,огъохъат,palma
32,Handfläche::N,жанисахъат,palma
33,Finger::N,килищ,dit
34,Fingernagel::N,малъ,ungla
35,Nagel[Anatomie]::N,малъ,ungla
36,Zeh::N,килищ,dit del peu
37,Fuß::N,хӏетӏ,peu
38,Fuß::N,хӏетӏе,peu
39,Ferse::N,эгъе,taló
40,Knie::N,наку,genoll
41,Oberschenkel::N,мачӏ,cuixa
42,Bein::N,бох,cama
43,Körper::N,къаркъала,cos
44,Haut::N,тӏом,pell
45,Blut::N,би,sang
46,Ader::N,бидурихь,vena
47,Knochen::N,ракьа,os
48,Gehirn::N,гӏадалнах,cervell
49,Herz::N,ракӏ,cor
50,Magen::N,кванирукъ,estómac
51,Leber::N,тӏул,fetge
52,Atem::N,хӏухь,alè
53,Atem::N,хӏухь,hàlit
54,Hunger::N,ракъи,fam
55,Hunger::N,ракъи,gana
56,Träne::N,магӏу,llàgrima
57,Geschmack::N,тату,gust
58,Geschmack::N,тату,sabor
59,Geruch::N,махӏ,olor
60,Schlaf::N,макьу,son
61,Traum::N,макьу,somni
62,Himmel::N,зоб,celm
63,Sonne::N,бакъ,sol
64,Mond::N,моцӏ,lluna
65,Stern::N,цӏва,estel
66,Stern::N,цӏва,estrella
67,Luft::N,гьава,aire
68,Wind::N,гьури,vent
69,Welle::N,карачел,ona
70,Wasser::N,лъим,āigua
71,Stein::N,гьецӏо,pedra
72,Boden::N,ракь,sòl
73,Erde::N,ракь,terra
74,Erde::N,дуниял,terra
75,Staub::N,хӏур,pols
76,Rauch::N,кӏкӏуй,fum
77,Feuer::N,цӏа,foc
78,Licht::N,канлъи,llum
79,Schatten::N,рагӏад,ombra
80,Wetter::N,гьава-бакъ,temps
81,Nebel::N,гӏодобнакӏкӏ,boira
82,Wolke::N,накӏкӏ,núvol
83,Regen::N,цӏад,pluja
84,Schnee::N,гӏазу,neu
85,Eis::N,цӏер,gel
86,Eis::N,цӏер,glaç
87,Frost::N,замгьари,glaçada
88,Kälte::N,квач,fred
89,Hitze::N,багӏари,calor
90,Raureif::N,мартӏ,gebre
91,Regenbogen::N,нур,arc iris
92,Regenbogen::N,чамбара,arc iris
93,Donner::N,гъугъай,tro
94,Donner::N,гъугъади,tro
