,Concept_ID,fr,be
0,Auge::N,œil,вока
1,Ohr::N,oreille,вуха
2,Nase::N,nez,нос
3,Mund::N,bouche,рот
4,Zahn::N,dent,зуб
5,Zunge::N,langue,язык
6,Lippe::N,lèvre,губа
7,Wange::N,joue,шчака
8,Gesicht::N,face,твар
9,Gesicht::N,visage,твар
10,Stirn::N,front,лоб
11,Haar::N,cheveu,волас
12,Haar::N,cheveu,валасы
13,Schnurrbart::N,moustache,вус
14,Schnurrbart::N,moustache,вусы
15,Bart::N,barbe,барада
16,Kinn::N,menton,падбародак
17,Kiefer[Anatomie]::N,mâchoire,сківіца
18,Kehle::N,gorge,горла
19,Hals::N,cou,шыя
20,Genick::N,nuque,патыліца
21,Kopf::N,tête,галава
22,Rücken::N,dos,спіна
23,Bauch::N,ventre,жывот
24,Nabel::N,nombril,пупок
25,Busen::N,sein,грудзі
26,Brust::N,poitrine,грудзі
27,Schulter::N,épaule,плячо
28,Arm::N,bras,рука
29,Ellenbogen::N,coude,локаць
30,Hand::N,main,кісць
31,Handfläche::N,paume,далонь
32,Finger::N,doigt,палец
33,Fingernagel::N,ongle,ногаць
34,Nagel[Anatomie]::N,ongle,ногаць
35,Zeh::N,orteil,палец
36,Zeh::N,doigt de pied,палец
37,Fuß::N,pied,нага
38,Ferse::N,talon,пята
39,Ferse::N,talon,пятка
40,Knie::N,genou,калена
41,Oberschenkel::N,cuisse,бядро
42,Oberschenkel::N,cuisse,сцягно
43,Bein::N,jambe,нага
44,Körper::N,corps,цела
45,Haut::N,peau,скура
46,Blut::N,sang,кроў
47,Ader::N,veine,вена
48,Ader::N,veine,сасуд
49,Sehne::N,tendon,жыла
50,Sehne::N,tendon,цеціва
51,Sehne::N,tendon,сухажылле
52,Knochen::N,os,косць
53,Gehirn::N,cerveau,мозг
54,Herz::N,cœur,сэрца
55,Magen::N,estomac,страўнік
56,Leber::N,foie,печань
57,Atem::N,haleine,дыханне
58,Hunger::N,faim,голад
59,Träne::N,larme,сляза
60,Geschmack::N,goût,смак
61,Geschmack::N,saveur,смак
62,Geruch::N,odeur,пах
63,Schlaf::N,sommeil,сон
64,Traum::N,songe,сон
65,Himmel::N,ciel,неба
66,Sonne::N,soleil,сонца
67,Mond::N,lune,месяц
68,Stern::N,étoile,зорка
69,Luft::N,air,паветра
70,Wind::N,vent,вецер
71,Welle::N,vague,хваля
72,Wasser::N,eau,вада
73,Stein::N,pierre,камень
74,Boden::N,sol,глеба
75,Boden::N,terrain,глеба
76,Erde::N,terre,зямля
77,Staub::N,poussière,пыл
78,Rauch::N,fumée,дым
79,Funke::N,étincelle,іскра
80,Feuer::N,feu,агонь
81,Licht::N,lumière,святло
82,Schatten::N,ombre,цень
83,Wetter::N,temps,пагода
84,Wetter::N,temps,надворʼе
85,Nebel::N,brume,туман
86,Nebel::N,brouillard,туман
87,Wolke::N,nuage,воблака
88,Regen::N,pluie,дождж
89,Schnee::N,neige,снег
90,Eis::N,glace,лёд
91,Frost::N,gel,мароз
92,Frost::N,gelée,мароз
93,Kälte::N,froid,холад
94,Hitze::N,chaleur,спёка
95,Raureif::N,givre,іней
96,Regenbogen::N,arc-en-ciel,вясёлка
