,Concept_ID,el,sah
0,Auge::N,μάτι,харах
1,Auge::N,οφθαλμός,харах
2,Ohr::N,αυτί,кулгаах
3,Nase::N,μύτη,мурун
4,Mund::N,στόμα,айах
5,Zahn::N,δόντι,тиис
6,Zunge::N,γλώσσα,тыл
7,Lippe::N,χείλος,уос
8,Wange::N,παρειά,иэдэс
9,Wange::N,μάγουλο,иэдэс
10,Gesicht::N,πρόσωπο,сирэй
11,Stirn::N,μέτωπο,сүүс
12,Haar::N,μαλλιά,баттах
13,Schnurrbart::N,μουστάκι,уос бытыга
14,Bart::N,γένια,сэҥийэ бытыга
15,Kinn::N,πιγούνι,сэҥийэ
16,Kiefer[Anatomie]::N,σαγόνι,сыҥаах
17,Kehle::N,λαρύγγι,тамах
18,Kehle::N,λαρύγγι,күөмэй
19,Hals::N,λαιμός,моой
20,Genick::N,σβέρκος,кэтэх
21,Kopf::N,κεφάλι,бас
22,Rücken::N,ράχη,көҕүс
23,Bauch::N,κοιλιά,ис
24,Nabel::N,αφαλός,киин
25,Busen::N,στήθος,эмиий
26,Brust::N,στήθος,түөс
27,Schulter::N,ώμος,сарын
28,Arm::N,χέρι,илии
29,Arm::N,μπράτςο,илии
30,Ellenbogen::N,αγκώνας,тоҕонох
31,Hand::N,χέρι,илии
32,Handfläche::N,παλάμη,ытыс
33,Finger::N,δάχτυλο,тарбах
34,Fingernagel::N,νύχι,тыҥырах
35,Nagel[Anatomie]::N,νύχι,тыҥырах
36,Zeh::N,δάχτυλο του ποδιού,тарбах
37,Fuß::N,πόδι,уллуҥах
38,Ferse::N,φτέρνα,тилэх
39,Knie::N,γόνατο,тобук
40,Knie::N,γόνατο,дьилбэк
41,Oberschenkel::N,μηρός,уллук
42,Oberschenkel::N,μηρός,өттүк
43,Bein::N,πόδι,атах
44,Körper::N,σώμα,бэйэ
45,Körper::N,κορμί,бэйэ
46,Haut::N,πετσί,тирии
47,Blut::N,αίμα,хаан
48,Ader::N,φλέβα,вена
49,Ader::N,φλέβα,күөх_тымыр
50,Sehne::N,νεύρο,иҥиир
51,Sehne::N,τένοντας,иҥиир
52,Knochen::N,οστό,уҥуох
53,Knochen::N,οστό,уҥгуох
54,Knochen::N,κόκκαλο,уҥуох
55,Knochen::N,κόκκαλο,уҥгуох
56,Gehirn::N,μυαλό,мэйии
57,Gehirn::N,εγκέφαλος,мэйии
58,Herz::N,καρδιά,сүрэх
59,Magen::N,στομάχι,куртах
60,Leber::N,ήπαρ,быар
61,Leber::N,συκωτί,быар
62,Atem::N,αναπνοή,тыын
63,Hunger::N,πείνα,аас
64,Träne::N,δάκρυ,харах уута
65,Geschmack::N,γεύση,амтан
66,Geruch::N,οσμή,сыт
67,Geruch::N,μυρωδία,сыт
68,Schlaf::N,ύπνος,утуйуу
69,Traum::N,όνειρο,түүл
70,Himmel::N,ουρανός,халлаан
71,Sonne::N,ήλιος,күн
72,Mond::N,σελήνη,ый
73,Mond::N,φεγγάρι,ый
74,Stern::N,άστρο,сулус
75,Stern::N,αστέρι,сулус
76,Luft::N,αέρας,салгын
77,Wind::N,αέρας,тыал
78,Wind::N,άνεμος,тыал
79,Welle::N,κύμα,долгун
80,Welle::N,κύμα,балхаан
81,Wasser::N,νερό,уу
82,Stein::N,πέτρα,таас
83,Boden::N,χώμα,сир
84,Erde::N,γη,буор
85,Staub::N,σκόνη,быыл
86,Rauch::N,καπνός,буруо
87,Funke::N,σπίθα,кыым
88,Funke::N,σπινθήρας,кыым
89,Feuer::N,φωτιά,уот
90,Licht::N,φως,уот
91,Schatten::N,σκιά,күлүк
92,Schatten::N,ίσκιος,күлүк
93,Wetter::N,καιρός,күн-дьыл
