,Concept_ID,sv,kv
0,Auge::N,öga,син
1,Ohr::N,öra,пель
2,Nase::N,näsa,ныр
3,Mund::N,mun,ӧм
4,Zahn::N,tand,пинь
5,Zunge::N,tunga,кыв
6,Lippe::N,läpp,тырп
7,Wange::N,kind,рожабан
8,Gesicht::N,syn,бан
9,Gesicht::N,ansikte,бан
10,Stirn::N,panna,кымӧс
11,Haar::N,hår,юрси
12,Schnurrbart::N,mustasch,уссэз
13,Bart::N,skägg,тош
14,Kinn::N,haka,тшӧка
15,Kiefer[Anatomie]::N,käke,ан
16,Kehle::N,strupe,юан
17,Hals::N,hals,юан
18,Genick::N,nacke,юр бӧр
19,Kopf::N,huvud,юр
20,Rücken::N,rygg,мышк
21,Bauch::N,buk,кынӧм
22,Bauch::N,mage,кынӧм
23,Nabel::N,navel,гӧг
24,Busen::N,barm,морос
25,Brust::N,bröst,морос
26,Schulter::N,skuldra,пельпон
27,Arm::N,arm,ки
28,Ellenbogen::N,armbåge,гырдзза
29,Hand::N,hand,кикар
30,Handfläche::N,handflata,ки пыдӧс
31,Finger::N,finger,чунь
32,Fingernagel::N,fingernagel,гыж
33,Nagel[Anatomie]::N,nagel,гыж
34,Zeh::N,tå,чунь
35,Fuß::N,fot,кокпыдӧс
36,Ferse::N,häl,кокдзир
37,Knie::N,knä,пидзӧс
38,Oberschenkel::N,lår,лядьбей
39,Bein::N,ben,кок
40,Körper::N,kropp,вывтыр
41,Haut::N,hud,кучик
42,Haut::N,skinn,кучик
43,Blut::N,blod,вир
44,Ader::N,åder,сӧн
45,Sehne::N,sena,жила
46,Knochen::N,ben,коска
47,Gehirn::N,hjärna,вем
48,Herz::N,hjärta,сьӧлӧм
49,Magen::N,mage,жӧвдӧк
50,Leber::N,lever,мус
51,Atem::N,anda,лолалӧм
52,Atem::N,andedräkt,лолалӧм
53,Hunger::N,svält,тшыг
54,Hunger::N,hunger,тшыг
55,Träne::N,tår,синва
56,Geschmack::N,smak,кӧр
57,Geruch::N,lukt,дук
58,Schlaf::N,sömn,он
59,Traum::N,dröm,вӧт
60,Himmel::N,himmel,небо
61,Sonne::N,sol,шондi
62,Mond::N,måne,тӧлiсь
63,Stern::N,stjärna,кӧдзыв
64,Luft::N,luft,ру
65,Wind::N,vind,тӧв
66,Welle::N,våg,гы
67,Welle::N,bölja,гы
68,Wasser::N,vatten,ва
69,Stein::N,sten,из
70,Boden::N,mark,му
71,Erde::N,jord,му
72,Staub::N,damm,бус
73,Rauch::N,rök,тшын
74,Funke::N,gnista,бичир
75,Feuer::N,eld,би
76,Licht::N,ljus,би
77,Schatten::N,skugga,вуджӧр
78,Wetter::N,väder,погоддя
79,Nebel::N,dimma,туман
80,Nebel::N,töcken,туман
81,Wolke::N,sky,кымӧр
82,Wolke::N,moln,кымӧр
83,Regen::N,regn,зэр
84,Schnee::N,snö,лым
85,Eis::N,is,йы
86,Frost::N,frost,мороз
87,Kälte::N,köld,кӧдзыт
88,Hitze::N,hetta,ӧд
89,Raureif::N,rimfrost,кижа
90,Regenbogen::N,regnbåge,енӧшка
91,Donner::N,åska,гым
92,Donner::N,dunder,гым
93,Strömung::N,strömning,визывтӧм
94,Tropfen::N,dropper,тёп
95,Schaum::N,skum,быг
96,Schmutz::N,lort,нять
97,Schmutz::N,smuts,нять
98,See::N,sjö,ты
99,Sumpf::N,träsk,арай
100,Moor::N,myr,нюр
101,Moor::N,mosse,нюр
102,Wiese::N,äng,видз
103,Wald::N,skog,вӧр
104,Hügel::N,höjd,мыльк
105,Hügel::N,kulle,мыльк
106,Anhöhe::N,höjd,вывтас
107,Anhöhe::N,höjd,вылынін
108,Anhöhe::N,backe,вывтас
109,Anhöhe::N,backe,вылынін
110,Berg::N,berg,керӧс
111,Berg::N,fjäll,керӧс
112,Gipfel::N,topp,йыв
113,Höhle::N,håla,нора
114,Höhle::N,grotta,нора
115,Abhang::N,slänt,покат
116,Abhang::N,sluttning,покат
117,Quelle::N,källa,больган
118,Bach::N,bäck,шор
119,Fluss::N,älv,ю
120,Fluss::N,flod,ю
121,Ufer::N,strand,берег
122,Küste::N,kust,берег
123,Festland::N,fastland,му
124,Meer::N,hav,море
125,Bucht::N,vik,курья
126,Bucht::N,bukt,курья
127,Insel::N,ö,
128,Blume::N,blomma,цветок
129,Blume::N,blomster,цветок
130,Gras::N,gräs,турун
131,Wurzel::N,rot,вуж
132,Baum::N,träd,пу
133,Stamm::N,stam,мыр
134,Stamm::N,stam,кер
135,Rinde::N,bark,кач
136,Ast::N,gren,ув
137,Zweig::N,kvist,ув
138,Blatt::N,löv,лист
139,Blatt::N,blad,лист
140,Birke::N,björk,кыдз
141,Kiefer[Baum]::N,tall,пожум
142,Weide[Baum]::N,pil,бадь
143,Weide[Baum]::N,vide,бадь
144,Tanne::N,gran,кӧз
145,Horn::N,horn,сюр
146,Feder::N,fjäder,гӧн
147,Fell::N,fäll,кучик
148,Fell::N,skinn,кучик
149,Flügel::N,vinge,борд
150,Klaue::N,klöv,гыж
151,Kralle::N,klo,кабыр
152,Schwanz::N,svans,бӧж
153,Schwanz::N,stjärt,бӧж
154,Ei::N,ägg,кольть
155,Nest::N,rede,поз
156,Nest::N,näste,поз
157,Bau::N,bo,осьта
158,Bau::N,bo,нора
159,Tier::N,djur,зверь
160,Herde::N,flock,гурт
161,Kuh::N,ko,мӧс
162,Bulle::N,tjur,ӧшка
163,Pferd::N,häst,вӧв
164,Schaf::N,får,баля
165,Schwein::N,svin,порсь
166,Hund::N,hund,пон
167,Katze::N,katt,кань
168,Bär::N,björn,ош
169,Eichhörnchen::N,ekorre,ур
170,Elch::N,älg,вӧр мӧс
171,Fuchs::N,räv,руч
172,Hase::N,hare,кӧч
173,Maus::N,mus,шыр
174,Wolf::N,varg,кӧин
175,Vogel::N,fågel,кай
176,Schwarm::N,svärm,стая
177,Schwarm::N,svärm,чукӧр
178,Huhn::N,höns,курӧг
179,Hahn::N,tupp,петух
180,Hahn::N,tupp,ай курӧг
181,Gans::N,gås,дзодзог
182,Adler::N,örn,куч
183,Adler::N,örn,кутш
184,Ente::N,anka,утка
185,Eule::N,uggla,тупка
186,Kranich::N,trana,тури
187,Krähe::N,kråka,рака
188,Kuckuck::N,gök,кӧк
189,Schwan::N,svan,юсь
190,Fisch::N,fisk,чери
191,Barsch::N,abborre,ёкыш
192,Hecht::N,gädda,сирпинь
193,Schlange[Tier]::N,orm,змей
194,Wurm::N,mask,номыр
195,Spinne::N,spindel,черань
196,Ameise::N,myra,кӧдзывкар
197,Laus::N,lus,ляпа той
198,Mücke::N,mygga,ном
199,Fliege::N,fluga,гут
200,Schmetterling::N,fjäril,бабыв
201,Beere::N,bär,ягӧд
202,Apfel::N,äpple,яблоко
203,Pilz::N,svamp,тшак
204,Zwiebel::N,lök,грез
205,Saat::N,sådd,кӧдзыс
206,Korn::N,korn,сю
207,Heu::N,hö,турун
208,Schale::N,skal,кыш
209,Schale::N,skal,киль
210,Grube::N,grop,яма
211,Falle::N,fälla,нальк
212,Falle::N,fälla,кляпча
213,Schlinge::N,snara,лӧч
214,Spur::N,spår,туй
215,Asche::N,aska,пӧим
216,Dreck::N,lort,нять
217,Eisen::N,järn,кӧрт
218,Gold::N,guld,зарни
219,Silber::N,silver,язісь
220,Kohle::N,kol,шом
221,Kohle::N,kol,уголь
222,Glas::N,glas,стекло
