,Concept_ID,vep,ro
0,Auge::N,sil'm,ochi
1,Ohr::N,korv,ureche
2,Nase::N,nena,nas
3,Mund::N,su,gură
4,Zahn::N,pi,dinte
5,Zahn::N,hambaz,dinte
6,Zunge::N,kel',limbă
7,Lippe::N,hul',buză
8,Wange::N,modpolišk,bucă
9,Wange::N,modpolišk,obraz
10,Gesicht::N,mod,față
11,Gesicht::N,mod,figură
12,Stirn::N,oc,frunte
13,Haar::N,tuk,păr
14,Haar::N,hibuz,păr
15,Schnurrbart::N,habinod,mustață
16,Bart::N,bard,barbă
17,Kinn::N,löug,bărbie
18,Kiefer[Anatomie]::N,hambazlu,falcă
19,Kehle::N,kurk,beregată
20,Hals::N,kagl,gât
21,Genick::N,tagarai,ceafă
22,Kopf::N,pä,cap
23,Rücken::N,sel'g,dos
24,Rücken::N,sel'g,spate
25,Rücken::N,sel'g,spinare
26,Bauch::N,vac,burtă
27,Bauch::N,vac,pântece
28,Bauch::N,koht,burtă
29,Bauch::N,koht,pântece
30,Nabel::N,naba,buric
31,Busen::N,niža,sân
32,Brust::N,rind,piept
33,Schulter::N,oug,umăr
34,Schulter::N,oug,spate
35,Arm::N,käzi,braț
36,Ellenbogen::N,künambruz,cot
37,Hand::N,käzi,mână
38,Hand::N,käzitera,mână
39,Handfläche::N,kämen,palmă
40,Finger::N,sor'm,deget
41,Fingernagel::N,künz',unghie
42,Nagel[Anatomie]::N,künz',unghie
43,Zeh::N,barbaz,deget de la picior
44,Fuß::N,jaug,picior
45,Ferse::N,kand,călcâi
46,Knie::N,komb,genunchi
47,Knie::N,pol'v,genunchi
48,Oberschenkel::N,riiže,coapsă
49,Bein::N,jaug,picior
50,Körper::N,hibj,corp
51,Haut::N,nahk,piele
52,Blut::N,čak,sânge
53,Blut::N,veri,sânge
54,Ader::N,son',vână
55,Ader::N,son',arteră
56,Sehne::N,jände,tendon
57,Knochen::N,lu,os
58,Gehirn::N,aivod,creier
59,Herz::N,südäin,inimă
60,Magen::N,südäikoht,stomac
61,Leber::N,maks,ficat
62,Atem::N,hengaiduz,răsuflare
63,Atem::N,hengaiduz,respirație
64,Hunger::N,näl'g,foame
65,Träne::N,kündal',lacrimă
66,Geschmack::N,magu,gust
67,Geruch::N,haju,miros
68,Schlaf::N,uni,somn
69,Traum::N,unikuva,vis
70,Himmel::N,taivaz,cer
71,Sonne::N,päiväine,soare
72,Mond::N,kudmaine,lună
73,Stern::N,tähtaz,stea
74,Luft::N,il'm,aer
75,Wind::N,döl,vânt
76,Wind::N,tullei,vânt
77,Welle::N,ald,val
78,Welle::N,ald,undă
79,Welle::N,laineh,val
80,Welle::N,laineh,undă
81,Wasser::N,vezi,apă
82,Stein::N,kivi,piatră
83,Boden::N,ma,sol
84,Boden::N,ma,pământ
85,Boden::N,pohj,sol
86,Boden::N,pohj,pământ
87,Erde::N,ma,pământ
88,Staub::N,pölü,praf
89,Rauch::N,savu,fum
90,Funke::N,kibin,scânteie
91,Feuer::N,lämoi,foc
92,Licht::N,vauktuz,lumină
93,Schatten::N,pil'vez,umbră
94,Schatten::N,kuvahaine,umbră
95,Wetter::N,sä,timp
96,Wetter::N,sä,vreme
97,Nebel::N,sumeg,ceață
98,Nebel::N,sumeg,negură
99,Wolke::N,pil'v,nor
100,Regen::N,vihm,ploaie
101,Schnee::N,lumi,zăpadă
102,Eis::N,jä,gheață
103,Frost::N,hala,ger
104,Frost::N,pakaine,ger
105,Kälte::N,vilu,frig
106,Hitze::N,räk,arșiță
107,Hitze::N,räk,căldură
108,Raureif::N,hüde,chiciură
109,Regenbogen::N,jumalanbembel',curcubeu
110,Donner::N,juru,tunet
111,Donner::N,jumalanjuru,tunet
112,Strömung::N,joksmuz,curent
113,Tropfen::N,tilkuine,picătură
114,Schaum::N,vaht,spumă
115,Schmutz::N,redu,murdărie
116,Schmutz::N,pačak,murdărie
117,See::N,järv,lac
118,Sumpf::N,so,mlaștină
119,Moor::N,so,bărăgan
120,Wiese::N,nit,fânaț
121,Wiese::N,nit,livadă
122,Wald::N,mec,codru
123,Wald::N,mec,pădure
124,Hügel::N,kukaz,deal
125,Hügel::N,kukaz,movilă
126,Anhöhe::N,kukaz,deal
127,Anhöhe::N,kukaz,ridicătură
128,Berg::N,mägi,munte
129,Gipfel::N,ladv,pisc
130,Höhle::N,mägionduz,peșteră
131,Abhang::N,paute,pantă
132,Abhang::N,paute,versant
133,Quelle::N,lähte,izvor
134,Bach::N,oja,gârlă
135,Fluss::N,jogi,râu
136,Fluss::N,jogi,fluviu
137,Ufer::N,rand,mal
138,Ufer::N,rand,țărm
139,Küste::N,randišt,coastă
140,Festland::N,kuivma,uscat
141,Meer::N,meri,mare
142,Bucht::N,laht,golf
143,Insel::N,sar',insulă
144,Blume::N,änik,floare
145,Gras::N,hein,iarbă
146,Wurzel::N,jur',rădăcină
147,Baum::N,pu,copac
148,Baum::N,pu,arbore
149,Stamm::N,tüvi,tulpină
150,Rinde::N,kor',scoarță
151,Ast::N,oks,cracă
152,Ast::N,oks,creangă
153,Zweig::N,oks,ramură
154,Zweig::N,oks,creangă
155,Zweig::N,barb,ramură
