,Concept_ID,ru,sl
0,Auge::N,глаз,okó
1,Ohr::N,ухо,uhó
2,Nase::N,нос,nós
3,Mund::N,рот,ústa
4,Zahn::N,зуб,zób
5,Zunge::N,язык,jêzik
6,Lippe::N,губа,ústnica
7,Wange::N,щека,líce
8,Gesicht::N,лицо,oblíčje
9,Stirn::N,лоб,čêlo
10,Haar::N,волос,lás
11,Haar::N,волосы,lás
12,Schnurrbart::N,ус,bŕki
13,Schnurrbart::N,усы,bŕki
14,Bart::N,борода,bráda
15,Kinn::N,подбородок,bráda
16,Kiefer[Anatomie]::N,челюсть,čeljúst
17,Kehle::N,горло,gŕlo
18,Hals::N,шея,vrát
19,Genick::N,затылок,zatílnik
20,Kopf::N,голова,gláva
21,Rücken::N,спина,hrbèt
22,Bauch::N,живот,trébuh
23,Nabel::N,пупок,pópek
24,Busen::N,женская грудь,nédrja
25,Brust::N,грудь,pŕsi
26,Schulter::N,плечо,ráma
27,Schulter::N,плечо,plêče
28,Arm::N,рука,rôka
29,Ellenbogen::N,локоть,komólec
30,Hand::N,кисть,rôka
31,Handfläche::N,ладонь,dlán
32,Finger::N,палец,pŕst
33,Fingernagel::N,ноготь,nóht na rôki
34,Nagel[Anatomie]::N,ноготь,nóht
35,Zeh::N,палец,pŕst na nôgi
36,Fuß::N,ступня,nôga
37,Ferse::N,пята,pêta
38,Ferse::N,пятка,pêta
39,Knie::N,колено,koléno
40,Oberschenkel::N,бедро,stêgno
41,Bein::N,нога,nôga
42,Körper::N,тело,teló
43,Haut::N,кожа,kóža
44,Blut::N,кровь,krí
45,Ader::N,вена,žíla
46,Ader::N,сосуд,žíla
47,Sehne::N,жила,kíta
48,Sehne::N,тетива,kíta
49,Sehne::N,сухожилие,kíta
50,Knochen::N,кость,kóst
51,Gehirn::N,мозг,možgáni
52,Herz::N,сердце,srcé
53,Magen::N,желудок,želódec
54,Leber::N,печень,jétra
55,Atem::N,дух,díh
56,Atem::N,дыхание,díh
57,Hunger::N,голод,glád
58,Träne::N,слеза,sólza
59,Geschmack::N,вкус,okús
60,Geruch::N,запах,vónj
61,Schlaf::N,сон,sèn
62,Schlaf::N,сон,spánec
63,Traum::N,сновидение,sánje
64,Himmel::N,небо,nebó
65,Sonne::N,солнце,sónce
66,Mond::N,луна,lúna
67,Mond::N,луна,mésec
68,Stern::N,звезда,zvézda
69,Luft::N,воздух,zràk
70,Wind::N,ветер,véter
71,Welle::N,волна,vál
72,Wasser::N,вода,vôda
73,Stein::N,камень,kámen
74,Boden::N,почва,tlà
75,Erde::N,земля,pŕst
76,Erde::N,земля,zêmlja
77,Staub::N,пыль,práh
78,Rauch::N,дым,dìm
79,Funke::N,искра,ískra
80,Feuer::N,огонь,ôgenj
81,Licht::N,свет,lúč
82,Schatten::N,тень,sénca
83,Wetter::N,погода,vrême
84,Nebel::N,туман,meglà
85,Wolke::N,облако,oblák
86,Regen::N,дождь,dèž
87,Schnee::N,снег,snég
88,Eis::N,лед,léd
89,Frost::N,мороз,zmrzál
90,Kälte::N,холод,mràz
91,Hitze::N,жара,pripéka
92,Raureif::N,иней,ívje
93,Raureif::N,иней,slána
94,Regenbogen::N,радуга,mávrica
95,Donner::N,гром,gròm
96,Strömung::N,течение,strúja
97,Tropfen::N,капля,káplja
98,Schaum::N,пена,péna
99,Schmutz::N,грязь,nesnága
100,See::N,озеро,jézero
101,Sumpf::N,топь,močvírje
102,Moor::N,болото,bárje
103,Wiese::N,луг,trávnik
104,Wald::N,лес,lés
105,Wald::N,лес,gòzd
106,Hügel::N,холм,brég
107,Hügel::N,холм,goríca
108,Anhöhe::N,возвышенность,gríč
109,Anhöhe::N,возвышенность,višína
110,Berg::N,гора,gôra
111,Berg::N,гора,planína
112,Gipfel::N,вершина,vŕh
113,Höhle::N,пещера,jáma
114,Höhle::N,пещера,votlína
115,Abhang::N,склон,pobóčje
116,Quelle::N,источник,izvír
117,Bach::N,ручей,pôtok
118,Fluss::N,река,réka
119,Ufer::N,берег,brég
120,Küste::N,побережье,obála
121,Küste::N,побережье,obréžje
122,Festland::N,суша,celína
123,Festland::N,суша,kopnína
124,Meer::N,море,mórje
125,Bucht::N,бухта,zalív
126,Insel::N,остров,ôtok
127,Blume::N,цветок,cvetlíca
128,Gras::N,трава,tráva
129,Wurzel::N,корень,korenína
130,Baum::N,дерево,drevó
131,Stamm::N,ствол,dêblo
132,Rinde::N,кора,lúbje
133,Rinde::N,кора,skórja
134,Ast::N,сук,véja
135,Zweig::N,ветвь,véja
136,Blatt::N,лист,líst
137,Birke::N,береза,bréza
138,Kiefer[Baum]::N,сосна,bòr
139,Weide[Baum]::N,ива,vŕba
140,Tanne::N,ель,hója
141,Horn::N,рог,róg
142,Feder::N,перо,peró
143,Fell::N,шкура,kŕzno
144,Flügel::N,крыло,krílo
145,Klaue::N,коготь,párkelj
146,Kralle::N,лапа,krémpelj
147,Schwanz::N,хвост,rèp
148,Ei::N,яйцо,jájce
149,Nest::N,гнездо,gnézdo
150,Bau::N,нора,brlòg
151,Tier::N,животное,živál
152,Herde::N,стадо,čréda
153,Kuh::N,корова,kráva
154,Bulle::N,бык,bìk
155,Pferd::N,лошадь,kònj
156,Schaf::N,овца,ôvca
157,Schwein::N,свинья,svínja
158,Hund::N,собака,pès
159,Katze::N,кошка,máčka
160,Bär::N,медведь,mêdved
161,Eichhörnchen::N,белка,véverica
162,Elch::N,лось,lós
163,Fuchs::N,лиса,lisíca
164,Hase::N,заяц,zájec
165,Maus::N,мышь,mìš
166,Wolf::N,волк,vólk
167,Vogel::N,птица,ptìč
168,Vogel::N,птица,ptíca
169,Schwarm::N,стая,játa
170,Huhn::N,курица,kokóš
171,Hahn::N,петух,petêlin
172,Gans::N,гусь,gós
173,Adler::N,орел,ôrel
174,Ente::N,утка,ráca
175,Eule::N,сова,sôva
176,Kranich::N,журавль,žerjàv
177,Krähe::N,ворона,vrána
178,Kuckuck::N,кукушка,kúkavica
179,Schwan::N,лебедь,labód
180,Fisch::N,рыба,ríba
181,Barsch::N,окунь,ostríž
182,Hecht::N,щука,ščúka
183,Schlange[Tier]::N,змея,káča
184,Wurm::N,червяк,čr̀v
185,Wurm::N,червяк,glísta
186,Spinne::N,паук,pájek
187,Ameise::N,муравей,mrávlja
188,Laus::N,вошь,úš
189,Mücke::N,комар,komár
190,Fliege::N,муха,múha
191,Schmetterling::N,бабочка,metúlj
192,Beere::N,ягода,jágoda
193,Apfel::N,яблоко,jábolko
194,Pilz::N,гриб,góba
195,Zwiebel::N,луковица,čebúla
196,Saat::N,семя,séme
197,Korn::N,зерно,zŕno
198,Heu::N,сено,senó
199,Schale::N,шелуха,lupína
200,Grube::N,яма,jáma
201,Falle::N,ловушка,pást
202,Schlinge::N,силок,zánka
203,Schlinge::N,силок,pêtlja
204,Spur::N,след,sléd
205,Asche::N,зола,pepél
206,Asche::N,пепел,pepél
207,Dreck::N,грязь,bláto
208,Eisen::N,железо,želézo
209,Gold::N,золото,zlató
210,Silber::N,серебро,srebró
211,Kohle::N,уголь,ógel
212,Glas::N,стекло,stêklo
213,Lehm::N,глина,ílo
214,Sand::N,песок,pések
215,Mensch::N,человек,člôvek
216,Mann::N,мужчина,móž
217,Mann::N,мужчина,môški
218,Frau::N,женщина,gospá
219,Frau::N,женщина,žénska
220,Kind::N,ребенок,déte
221,Kind::N,ребенок,otròk
222,Junge::N,мальчик,fànt
223,Junge::N,мальчик,déček
224,Mädchen::N,девочка,deklè
225,Mädchen::N,девочка,déklica
226,Familie::N,семья,družína
227,Großvater::N,дедушка,dèd
228,Großvater::N,дедушка,dédek
229,Großmutter::N,бабушка,bábica
230,Eltern::N,родители,stárši
231,Vater::N,отец,ôče
232,Mutter::N,мать,máma
233,Sohn::N,сын,sín
234,Tochter::N,дочь,hčí
235,Tochter::N,дочь,hčérka
236,Bruder::N,брат,bràt
237,Schwester::N,сестра,sêstra
238,Onkel::N,дядя,újec
239,Onkel::N,дядя,stríc
240,Tante::N,тетя,têta
241,Tante::N,тетя,strína
242,Ehemann::N,муж,móž
243,Ehemann::N,муж,sopróg
244,Ehefrau::N,жена,žêna
245,Ehefrau::N,жена,sopróga
246,Freude::N,радость,rádost
247,Freude::N,радость,vesêlje
248,Gelächter::N,смех,sméh
249,Gelächter::N,смех,grohòt
250,Glück::N,счастье,sréča
251,Kummer::N,горе,gorjé
252,Wunsch::N,желание,žêlja
253,Lust::N,влечение,poželênje
254,Geist::N,дух,dúša
255,Gedanke::N,мысль,mísel
256,Gedächtnis::N,память,pámet
257,Verstand::N,ум,
258,Sinn::N,смысл,pomèn
259,Sinn::N,смысл,smísel
260,Grund::N,повод,vzròk
261,Wahrheit::N,правда,resníca
262,Gespräch::N,беседа,pogóvor
263,Märchen::N,сказка,právljica
264,Erzählung::N,рассказ,povést
265,Nachricht::N,сообщение,sporočílo
266,Neuigkeit::N,новость,novóst
267,Name::N,имя,imé
268,Rätsel::N,загадка,ugánka
269,Rede::N,речь,góvor
270,Sprache::N,язык,jêzik
271,Stimme::N,голос,glás
272,Wort::N,слово,beséda
273,Zeichen::N,знак,znák
274,Ruf::N,зов,klíc
275,Lärm::N,шум,hrúp
276,Lärm::N,шум,trúšč
277,Laut::N,звук,glás
278,Ton::N,звучание,tón
279,Lied::N,песня,pésem
280,Ruhe::N,покой,pokòj
281,Leute::N,люди,ljudjé
282,Volk::N,народ,národ
283,Arbeit::N,работа,délo
284,Gast::N,гость,gòst
285,Geschenk::N,подарок,darílo
286,Spiel::N,игра,ígra
287,Gesellschaft::N,общество,drúžba
288,Hilfe::N,помощь,pomóč
289,Freund::N,друг,prijátelj
290,Kamerad::N,приятель,továriš
291,Angelegenheit::N,дело,zadéva
292,Anzahl::N,количество,števílo
293,Art::N,вид,vŕsta
294,Stück::N,кусок,kós
295,Teil::N,часть,dél
296,Hälfte::N,половина,polovíca
297,Kreis::N,круг,króg
298,Kreis::N,круг,kolobár
299,Kreuz::N,крест,kríž
300,Linie::N,линия,próga
301,Strich::N,черта,čŕta
302,Abstand::N,промежуток,preslédek
303,Entfernung::N,расстояние,oddáljenost
304,Gegend::N,местность,kràj
305,Gegend::N,местность,dežêla
306,Platz::N,пространство,prôstor
307,Ort::N,место,mésto
308,Seite::N,сторона,bòk
309,Seite::N,сторона,strán
310,Mitte::N,середина,sredína
311,Gegenstand::N,предмет,prédmet
312,Sache::N,вещь,réč
313,Sache::N,вещь,stvár
314,Rand::N,край,kràj
315,Kante::N,ребро,rób
316,Ecke::N,угол,vogál
317,Spitze::N,кончик,óst
318,Ende::N,конец,kônec
319,Loch::N,дыра,lúknja
320,Winkel::N,угол,kót
321,Muster::N,узор,vzórec
322,Größe::N,размер,veličína
323,Länge::N,длина,dolžína
324,Höhe::N,высота,vršína
325,Gewicht::N,вес,téža
326,Menge::N,количество,količína
327,Haufen::N,куча,kùp
328,Haufen::N,куча,kopíca
329,Reihe::N,ряд,níz
330,Reihe::N,ряд,vŕsta
331,Boot::N,лодка,čóln
332,Ruder::N,весло,vêslo
333,Schlitten::N,сани,saní
334,Ski::N,лыжа,smučí
335,Lagerfeuer::N,костер,táborni ôgenj
336,Last::N,тяжесть,tôvor
337,Gang::N,ход,hòd
338,Schritt::N,шаг,korák
339,Norden::N,север,séver
340,Süden::N,юг,júg
341,Westen::N,запад,zapàd
342,Osten::N,восток,vzhòd
343,Holz::N,древесина,lés
344,Brett::N,доска,deskà
345,Platte::N,плита,plôča
346,Stütze::N,подпорка,opóra
347,Stütze::N,подпорка,zaslómba
348,Stange::N,жердь,gréd
349,Stock::N,палка,pálica
350,Stab::N,шест,pálica
351,Rohr::N,труба,cév
352,Haus::N,дом,híša
353,Heim::N,дом,dóm
354,Ofen::N,печь,péč
355,Fußboden::N,пол,pòd
356,Tisch::N,стол,míza
357,Stuhl::N,стул,stòl
358,Wiege::N,колыбель,zíbel
359,Bett::N,постель,póstelja
360,Regal::N,полка,políca
361,Kiste::N,ящик,zabòj
362,Fenster::N,окно,ôkno
363,Tür::N,дверь,vráta
364,Tor::N,ворота,velíka vráta
365,Zaun::N,забор,ográja
366,Dach::N,крыша,stréha
367,Leiter::N,лестница,léstev
368,Besen::N,метла,mêtla
369,Spaten::N,лопата,lopáta
370,Schaufel::N,совок,lopáta
371,Gabel::N,вилка,vílice
372,Löffel::N,ложка,žlíca
373,Messer::N,нож,nòž
374,Nagel::N,гвоздь,žebèlj
375,Netz::N,сеть,mréža
376,Haken::N,крюк,kljúka
377,Griff::N,ручка,ročáj
378,Griff::N,ручка,oprijèm
379,Schloss::N,замок,ključávnica
380,Bild::N,картина,slíka
381,Figur::N,фигура,figúra
382,Figur::N,фигура,postáva
383,Puppe::N,кукла,lútka
384,Beutel::N,мешок,môšnja
385,Bündel::N,связка,cúla
386,Bündel::N,связка,svéženj
387,Tasche::N,сумка,tórba
388,Tasche::N,сумка,tobôlec
389,Eimer::N,ведро,vêdro
390,Deckel::N,крышка,pokròv
391,Deckel::N,крышка,poklópec
392,Geschirr::N,посуда,posóda
393,Sack::N,мешок,vréča
394,Tasse::N,чашка,skodélica
395,Topf::N,кастрюля,lônec
396,Kessel::N,котел,kôtel
397,Essen::N,еда,hrána
398,Nahrung::N,пища,živílo
399,Speise::N,блюдо,jéd
400,Speise::N,кушанье,jéd
401,Fleisch::N,мясо,mesó
402,Getreide::N,хлеб,žíto
403,Brei::N,каша,káša
404,Brot::N,хлеб,krùh
405,Scheibe::N,ломоть,réženj
406,Fett::N,жир,mást
407,Fett::N,жир,maščôba
408,Butter::N,масло,máslo
409,Öl::N,масло,ólje
410,Salz::N,соль,sól
411,Suppe::N,суп,júha
412,Honig::N,мед,méd
413,Milch::N,молоко,mléko
414,Tee::N,чай,čáj
415,Leder::N,кожа,úsnje
416,Wolle::N,шерсть,vólna
417,Stoff::N,ткань,blagó
418,Nadel::N,игла,ígla
419,Faden::N,нитка,nít
420,Knopf::N,пуговица,gúmb
421,Knoten::N,узел,vôzel
422,Farbe::N,краска,bárva
423,Kleidung::N,одежда,obléka
424,Hemd::N,рубашка,srájca
425,Kragen::N,воротник,ovrátnik
426,Ärmel::N,рукав,rokáv
427,Hose::N,брюки,hláče
428,Gürtel::N,пояс,pás
429,Mütze::N,шапка,kápa
430,Mütze::N,шапка,čépica
431,Schuh::N,ботинок,čévelj
432,Stiefel::N,сапог,škórenj
433,Ring::N,кольцо,pŕstan
434,Band::N,лента,trák
435,Kamm::N,расческа,glavník
436,Spiegel::N,зеркало,zrcálo
437,Spiegel::N,зеркало,ogledálo
438,Riemen::N,ремень,jêrmen
439,Schnur::N,веревка,vŕvca
440,Leine::N,поводок,konôpec
441,Decke::N,одеяло,odéja
442,Kissen::N,подушка,blazína
443,Tuch::N,платок,pŕt
444,Tuch::N,платок,rúta
445,Handtuch::N,полотенце,brisáča
446,Kraft::N,сила,síla
447,Stärke::N,крепость,jákost
448,Gesundheit::N,здоровье,zdrávje
449,Krankheit::N,болезнь,bolézen
450,Schmerz::N,боль,ból
451,Schmerz::N,боль,bolečína
452,Wunde::N,рана,rána
453,Fieber::N,лихорадка,vročína
454,Fieber::N,температура,vročína
455,Arznei::N,лекарство,lék
