,Concept_ID,ar,te
0,Auge::N,عين,కన్ను
1,Ohr::N,أذن,చెవి
2,Nase::N,أنف,ముక్కు
3,Mund::N,فم,నోరు
4,Zahn::N,سن,పల్లు
5,Zunge::N,لسان,నాలుక
6,Lippe::N,شفة,పెదవి
7,Wange::N,خد,చెంప
8,Wange::N,وجنة,చెంప
9,Gesicht::N,وجه,ముఖము
10,Stirn::N,جبين,నుదురు
11,Haar::N,شعر,వెండ్రుక
12,Schnurrbart::N,شارب,మీసము
13,Bart::N,لحية,గడ్డము
14,Kinn::N,ذقن,గడ్డము
15,Kiefer[Anatomie]::N,فك,దౌడ
16,Kehle::N,حلق,గొంతు
17,Hals::N,عنق,మెడ
18,Hals::N,رقبة,మెడ
19,Genick::N,قفا,మూపు
20,Kopf::N,رأس,తల
21,Rücken::N,ظهر,వెన్ను
22,Bauch::N,بطن,కడుపు
23,Nabel::N,سرة,బొడ్డు
24,Busen::N,ثدي,స్తనము
25,Brust::N,صدر,ఱొమ్ము
26,Schulter::N,كتف,భుజము
27,Arm::N,ذراع,చేయి
28,Ellenbogen::N,كوع,మోచేయి
29,Hand::N,يد,చేయి
30,Handfläche::N,كف,అరచేయు
31,Finger::N,إصبع,చేతిప్రేలు
32,Fingernagel::N,ظفر,గోరు
33,Nagel[Anatomie]::N,ظفر,గోరు
34,Zeh::N,إصبع القدم,కాలిప్రేలు
35,Fuß::N,قدم,అడుగు
36,Ferse::N,كعب,మడమ
37,Knie::N,ركبة,మోకాలు
38,Oberschenkel::N,فخذ,తొడ
39,Bein::N,ساق,కాలు
40,Körper::N,جسم,కాయము
41,Haut::N,بشرة,చర్మము
42,Blut::N,دم,రక్తము
43,Ader::N,عرق,సిర
44,Sehne::N,طنب,స్నాయువు
45,Knochen::N,عظم,ఎముక
46,Gehirn::N,دماغ,మెదడు
47,Herz::N,قلب,హృదయము
48,Magen::N,معدة,కడుపు
49,Leber::N,كبد,కాలేయము
50,Atem::N,نفس,ఉపిరి
51,Hunger::N,جوع,ఆకలి
52,Träne::N,دمعة,కన్నీటిచుక్క
53,Geschmack::N,طعم,రుచి
54,Geschmack::N,مذاق,రుచి
55,Geruch::N,رائحة,వాసన
56,Schlaf::N,نوم,నిద్ర
57,Schlaf::N,منام,నిద్ర
58,Traum::N,حلم,కల
59,Himmel::N,سماء,ఆకాశము
60,Sonne::N,شمس,సూర్యుడు
61,Mond::N,قمر,చంద్రుడు
62,Stern::N,نجم,నక్షత్రము
63,Stern::N,كوكب,నక్షత్రము
64,Luft::N,هواء,గాలి
65,Wind::N,ريح,వీచుచున్నగాలి
66,Welle::N,موجة,అల
67,Wasser::N,ماء,నీరు
68,Stein::N,حجر,ఱాయి
69,Boden::N,تراب,నేల
70,Erde::N,أرض,మన్ను
71,Staub::N,غبار,దుమ్ము
72,Rauch::N,دخان,పొగ
73,Funke::N,شرارة,అగ్నికణము
74,Feuer::N,نار,అగ్ని
75,Licht::N,نور,కాంతి
76,Licht::N,ضوء,కాంతి
77,Schatten::N,ظل,నీడ
78,Schatten::N,فيء,నీడ
79,Wetter::N,جو,వాతావరణ స్థితి
80,Wetter::N,طقس,వాతావరణ స్థితి
81,Nebel::N,ضباب,పొగమంచు
82,Wolke::N,غيمة,మేఘము
83,Wolke::N,سحابة,మేఘము
84,Regen::N,مطر,వాన
85,Schnee::N,ثلج,హిమము
86,Eis::N,جليد,మంచుగడ్డ
87,Frost::N,صقيع,పేరిన మంచు
88,Kälte::N,برد,చలి
89,Hitze::N,حر,వేడిమి
90,Hitze::N,حرارة,వేడిమి
91,Raureif::N,صقيع,మంచు
92,Regenbogen::N,قوس قزح,ఇంద్రధనుస్సు
93,Donner::N,رعد,ఉరుము
94,Strömung::N,تيار,ప్రవాహము
95,Tropfen::N,قطرة,చుక్క
96,Schaum::N,زبد,నురుగు
97,Schaum::N,رغوة,నురుగు
98,Schmutz::N,وسخ,మైల
99,See::N,بحيرة,సరస్సు
100,Sumpf::N,مستنقع,చిత్తడినేల
101,Moor::N,مستنقع,చిత్తడినేల
102,Wiese::N,مرج,పచ్చిక బయలు
103,Wald::N,غابة,అడవి
104,Hügel::N,تل,చివ్నకొండ
105,Anhöhe::N,تل,కొండ
106,Berg::N,جبل,పర్వతము
107,Gipfel::N,قمة,శిఖరము
108,Höhle::N,كهف,గుహ
109,Abhang::N,منحدر,ఏటవాలు
110,Quelle::N,منبع,మూలము
111,Bach::N,مجرى,కాలువ
112,Fluss::N,نهر,నది
113,Ufer::N,ضفة,తీరము
114,Küste::N,ساحل,తీరము
115,Festland::N,بر,భూమి
116,Meer::N,بحر,సముద్రము
117,Bucht::N,خليج,మరుగు
118,Insel::N,جزيرة,దీవి
119,Blume::N,زهرة,పుష్పము
120,Gras::N,حشيش,పచ్చగడ్డి
121,Wurzel::N,أصل,వేరు
122,Baum::N,شجرة,చెట్టు
123,Stamm::N,جذع,చెట్టుబోదె
124,Rinde::N,قشرة,చెట్టుపట్ట
125,Ast::N,فرع,కొమ్మ
126,Zweig::N,غصن,చివుకు
127,Blatt::N,ورقة,ఆకు
128,Birke::N,قضبان,తరహా చెట్టు
129,Kiefer[Baum]::N,صنوبرة,దేవదారు చెట్టు
130,Weide[Baum]::N,صفصاف,జాతిచెట్టు
131,Tanne::N,شوح,దేవదారుచెట్టు
132,Tanne::N,تبوب,దేవదారుచెట్టు
133,Horn::N,قرن,కొమ్ము
134,Feder::N,ريشة,ఈక
135,Fell::N,فرو,తోలు
136,Flügel::N,جناح,ఱెక్క
137,Klaue::N,مخلب,వంకరగోరు
138,Kralle::N,مخلب,వంకరగోరు
139,Schwanz::N,ذيل,తోక
140,Ei::N,بيض,గ్రుడ్డు
141,Nest::N,عش,పక్షిగూడు
142,Bau::N,جحر,గుహ
143,Tier::N,حيوان,జంతువు
144,Herde::N,قطيع,మంద
145,Kuh::N,بقرة,ఆవు
146,Bulle::N,ثور,గిత్త
147,Pferd::N,خيل,గుఱ్ఱము
148,Schaf::N,شاة,గొఱ్ఱె
149,Schwein::N,خنزير,పంది
150,Hund::N,كلب,కుక్క
151,Katze::N,قطة,పిల్లి
152,Bär::N,دب,ఎలుగుబంటి
153,Eichhörnchen::N,سنجاب,ఉడుత
154,Elch::N,موظ,కణంజు
155,Fuchs::N,ثعلب,గుంటనక్క
156,Hase::N,أرنب,కుందేలు
157,Maus::N,فأرة,చిట్టెలుక
158,Wolf::N,ذئب,తోడేలు
159,Vogel::N,طير,పక్షి
160,Schwarm::N,سرب,గుంపు
161,Huhn::N,دجاجة,కోడిపిల్ల
162,Hahn::N,ديك,కోడివుంజు
163,Gans::N,وزة,ఆడుబాతు
164,Adler::N,نسر,గ్రద్ద
165,Ente::N,بطة,పాట్టిబాతు
166,Eule::N,بوم,గ్రుడ్లగూబ
167,Kranich::N,كركي,కొంగ
168,Krähe::N,غراب,కాకి
169,Kuckuck::N,وقواق,కోయల
170,Schwan::N,إوز عراقي,హంస
171,Fisch::N,سمك,చేప
172,Barsch::N,فرخ أوربي,ఒకచేఁప
173,Hecht::N,سمك الكراكي,గండుమీను
174,Schlange[Tier]::N,حية,పాము
175,Schlange[Tier]::N,ثعبان,పాము
176,Wurm::N,دودة,పురుగు
177,Spinne::N,عنكبوت,సాలె పురుగు
178,Ameise::N,نملة,చీమ
179,Laus::N,قملة,పేను
180,Mücke::N,ناموسة,చీకటీగ
181,Fliege::N,ذبابة,ఈగ
182,Schmetterling::N,فراشة,సీతాకోకచిలుక
183,Beere::N,حبة,కాయ
184,Apfel::N,تفاح,ఆపిల్ పండు
185,Pilz::N,فطر,కుక్కగొడుగు
186,Zwiebel::N,بصل,నీరుల్లి
187,Saat::N,زرع,విత్తనము
188,Korn::N,حبة,గింజ
189,Heu::N,دريس,ఎండుగడ్డి
190,Schale::N,قشرة,పొట్టు
191,Grube::N,نقرة,గొయ్యి
192,Falle::N,فخ,బోను
193,Falle::N,مصيدة,బోను
194,Schlinge::N,عروة,ఉరి
195,Spur::N,أثر,జాడ
196,Asche::N,رماد,బూడిద
197,Dreck::N,قذر,ముఱికి
198,Eisen::N,حديد,ఇనుము
199,Gold::N,ذهب,బంగారము
200,Silber::N,فضة,వెండి
201,Kohle::N,فحم,నేలబొగ్గు
202,Glas::N,زجاج,గాజు
203,Lehm::N,طين,బంకమన్ను
204,Sand::N,رمل,ఇసుక
205,Mensch::N,إنسان,నరుడు
206,Mann::N,رجل,పురుమడు
207,Frau::N,امرأة,ఆడుది
208,Kind::N,طفل,బిడ్డ
209,Junge::N,ولد,బాలుడు
210,Mädchen::N,بنت,బాలిక
211,Familie::N,عائلة,కుటుంబము
212,Großvater::N,جد,తాత
213,Großmutter::N,جدة,అయ్యమ్మ
214,Eltern::N,أبوان,తల్లితండ్రులు
215,Eltern::N,والدان,తల్లితండ్రులు
216,Vater::N,أب,తండ్రి
217,Mutter::N,أم,తల్లి
218,Sohn::N,إبن,కొడుకు
219,Tochter::N,بنت,కూతురు
220,Tochter::N,إبنة,కూతురు
221,Bruder::N,أخ,పోదరుడు
222,Bruder::N,شقيق,పోదరుడు
223,Schwester::N,أخت,సోదరి
224,Onkel::N,عم,మేనమామ
225,Tante::N,عمة,మేనత్త
226,Tante::N,عمة,పినతల్లి
227,Ehemann::N,زوج,భర్త
228,Ehefrau::N,زوجة,భార్య
229,Freude::N,فرح,సంతోషము
230,Freude::N,سرور,సంతోషము
231,Gelächter::N,قهقهة,నవ్వు
232,Glück::N,سعادة,సంతోషము
233,Kummer::N,غم,దుఃఖము
234,Wunsch::N,منية,కోరిక
235,Lust::N,شهوة,కోరిక
236,Geist::N,روح,ఆత్మ
237,Gedanke::N,فكرة,ఆలోచన
238,Gedächtnis::N,ذاكرة,జ్ఞాపకము
239,Verstand::N,عقل,మనస్సు
240,Sinn::N,معنى,అర్థము
241,Grund::N,سبب,కారణము
242,Wahrheit::N,حقيقة,సత్యము
243,Gespräch::N,محادثة,పంభాషణ
244,Märchen::N,خرافة,అద్భుతకథ
245,Erzählung::N,قصة,కథ
246,Erzählung::N,حكاية,కథ
247,Nachricht::N,خبر,వార్త
248,Neuigkeit::N,خبر جديد,వార్త
249,Name::N,اسم,పేరు
250,Rätsel::N,لغز,చిక్కు
251,Rede::N,خطبة,ఉపన్యాసము
252,Sprache::N,لغة,భాష
253,Stimme::N,صوت,కంరథ్సని
254,Wort::N,كلمة,మాట
255,Zeichen::N,رمز,గుర్తు
256,Zeichen::N,إشارة,గుర్తు
257,Ruf::N,نداء,పిలువు
258,Lärm::N,صخب,సందడి
259,Lärm::N,ضجة,సందడి
260,Laut::N,صوت,ధ్వని
261,Ton::N,نغمة,స్వరము
262,Lied::N,أغنية,పాట
263,Ruhe::N,هدوء,గాలిలేమి
264,Leute::N,ناس,జనులు
265,Volk::N,شعب,జాతి
266,Arbeit::N,عمل,పని
267,Gast::N,ضيف,అతిధి
268,Geschenk::N,هدية,దానము
269,Spiel::N,لعب,ఆట
270,Gesellschaft::N,صحبة,జట్టు
271,Hilfe::N,عون,సాహాయ్యము
272,Hilfe::N,مساعدة,సాహాయ్యము
273,Freund::N,صديق,స్నేహితుడు
274,Kamerad::N,زميل,చెలికాడు
275,Angelegenheit::N,أمر,విషయము
276,Angelegenheit::N,شأن,విషయము
277,Anzahl::N,عدد,లెక్క
278,Art::N,نوع,జాతి
279,Stück::N,قطعة,తునుక
280,Teil::N,قسم,భాగము
281,Hälfte::N,نصف,సగము
282,Kreis::N,دائرة,వృత్తము
283,Kreuz::N,صليب,సిలువ
284,Linie::N,خط,గీత
285,Strich::N,شرطة,గీత
286,Abstand::N,مسافة,సందు
287,Entfernung::N,بعد,దూరము
288,Gegend::N,ناحية,విస్తీర్ణము
289,Platz::N,فراغ,ఎడము
290,Ort::N,مكان,స్థలము
291,Seite::N,جانب,ప్రక్క
292,Mitte::N,وسط,నడిమి
293,Gegenstand::N,موضوع,పద్దు
294,Sache::N,شيء,వస్తువు
295,Rand::N,حافة,అంచు
296,Kante::N,حافة,అంచు
297,Ecke::N,ركن,మూల
298,Spitze::N,سن,మొన
299,Ende::N,طرف,కొన
300,Loch::N,ثقب,రంధ్రము
301,Winkel::N,زاوية,కోణము
302,Muster::N,عينة,మాదిరి
303,Größe::N,حجم,పరిమాణము
304,Länge::N,طول,పొడుగు
305,Höhe::N,علو,పొడుగు
306,Höhe::N,ارتفاع,పొడుగు
307,Gewicht::N,وزن,భారము
308,Menge::N,كمية,మొత్తము
309,Haufen::N,كوم,రాశి
310,Reihe::N,صف,వరుస
311,Boot::N,قارب,పడవ
312,Boot::N,زورق,పడవ
313,Ruder::N,مجذاف,అడక
314,Schlitten::N,مزلقة,సరవండ్లు
315,Ski::N,زلاجة,స్కీ
316,Lagerfeuer::N,نار المخيم,నెగడు
317,Last::N,حمل,బరువు
318,Gang::N,مشية,నడక
319,Schritt::N,خطوة,అడుగు
320,Norden::N,شمال,ఉత్తరదిక్కు
321,Süden::N,جنوب,దక్షిణము
322,Westen::N,غرب,పడమర
323,Osten::N,شرق,తూర్పు
324,Holz::N,خشب,కొయ్య
325,Brett::N,لوح,పలక
326,Platte::N,صفيحة,పలక
327,Stütze::N,سند,వాల్సేడ్లు
328,Stütze::N,دعامة,వాల్సేడ్లు
329,Stange::N,عود,స్తంభము
330,Stock::N,عصا,కఱ్ఱ
331,Stab::N,قضيب,కఱ్ఱ
332,Rohr::N,أنبوبة,గొట్టము
333,Haus::N,دار,ఇల్లు
334,Haus::N,بيت,ఇల్లు
335,Heim::N,بيت,స్వగృహము
336,Heim::N,مسكن,స్వగృహము
337,Ofen::N,مدفأة,పొయ్యి
