,Concept_ID,xal,vep
0,Auge::N,нүдн,sil'm
1,Ohr::N,чикн,korv
2,Nase::N,хамр,nena
3,Mund::N,амн,su
4,Zahn::N,шүдн,pi
5,Zahn::N,шүдн,hambaz
6,Zunge::N,келн,kel'
7,Lippe::N,урл,hul'
8,Wange::N,халх,modpolišk
9,Gesicht::N,нүр,mod
10,Stirn::N,маңна,oc
11,Haar::N,үсн,tuk
12,Haar::N,үсн,hibuz
13,Schnurrbart::N,сахл,habinod
14,Bart::N,сахл,bard
15,Bart::N,өргнә сахл,bard
16,Kinn::N,өргн,löug
17,Kiefer[Anatomie]::N,өргн,hambazlu
18,Kehle::N,хол,kurk
19,Hals::N,күзүн,kagl
20,Genick::N,гиҗг,tagarai
21,Kopf::N,толһа,pä
22,Rücken::N,нурһн,sel'g
23,Bauch::N,гесн,vac
24,Bauch::N,гесн,koht
25,Nabel::N,киисн,naba
26,Busen::N,көкн,niža
27,Brust::N,чееҗ,rind
28,Schulter::N,ээм,oug
29,Arm::N,һар,käzi
30,Ellenbogen::N,тоха,künambruz
31,Hand::N,баһлцг,käzi
32,Hand::N,баһлцг,käzitera
33,Handfläche::N,альхн,kämen
34,Finger::N,хурһн,sor'm
35,Finger::N,һарин хурһн,sor'm
36,Fingernagel::N,хумсн,künz'
37,Nagel[Anatomie]::N,хумсн,künz'
38,Zeh::N,хурһн,barbaz
39,Zeh::N,көлин хурһн,barbaz
40,Fuß::N,тавг,jaug
41,Ferse::N,өскә,kand
42,Knie::N,өвдг,komb
43,Knie::N,өвдг,pol'v
44,Oberschenkel::N,һуй,riiže
45,Bein::N,көл,jaug
46,Körper::N,махмуд,hibj
47,Haut::N,арсн,nahk
48,Blut::N,цусн,čak
49,Blut::N,цусн,veri
50,Ader::N,судцн,son'
51,Sehne::N,шүрүсн,jände
52,Knochen::N,ясн,lu
53,Gehirn::N,экн,aivod
54,Herz::N,зүркн,südäin
55,Magen::N,гесн,südäikoht
56,Leber::N,элкн,maks
57,Atem::N,әмсхл,hengaiduz
58,Hunger::N,харһнлһн,näl'g
59,Träne::N,нульмсн,kündal'
60,Geschmack::N,амтн,magu
61,Geruch::N,үнр,haju
62,Schlaf::N,нөр,uni
63,Traum::N,зүүдн,unikuva
64,Himmel::N,теңгр,taivaz
65,Sonne::N,нарн,päiväine
66,Mond::N,сар,kudmaine
67,Stern::N,одн,tähtaz
68,Luft::N,аһар,il'm
69,Wind::N,салькн,döl
70,Wind::N,салькн,tullei
71,Welle::N,дольган,ald
72,Welle::N,дольган,laineh
73,Wasser::N,усн,vezi
74,Stein::N,чолун,kivi
75,Boden::N,Һазр,ma
76,Boden::N,Һазр,pohj
77,Erde::N,Һазр,ma
78,Staub::N,тоосн,pölü
79,Rauch::N,утан,savu
80,Funke::N,очн,kibin
81,Feuer::N,һал,lämoi
82,Licht::N,герл,vauktuz
83,Schatten::N,сүүдр,pil'vez
84,Schatten::N,сүүдр,kuvahaine
85,Wetter::N,теңгр,sä
86,Nebel::N,будн,sumeg
87,Wolke::N,үүлн,pil'v
88,Regen::N,хур,vihm
89,Schnee::N,цасн,lumi
90,Eis::N,мөсн,jä
91,Frost::N,киитн,hala
92,Frost::N,киитн,pakaine
93,Kälte::N,киитн,vilu
94,Hitze::N,халун,räk
95,Raureif::N,цаң,hüde
96,Raureif::N,кирү,hüde
97,Regenbogen::N,солңһ,jumalanbembel'
98,Donner::N,оһтрһун дун,juru
99,Donner::N,оһтрһун дун,jumalanjuru
100,Strömung::N,урсхл,joksmuz
101,Tropfen::N,дусал,tilkuine
102,Schaum::N,көөсн,vaht
103,Schmutz::N,кир,redu
104,Schmutz::N,кир,pačak
105,See::N,нур,järv
106,Sumpf::N,унул,so
107,Moor::N,улм,so
108,Wiese::N,хадлһн,nit
109,Wald::N,ө-модн,mec
110,Hügel::N,толһа,kukaz
111,Anhöhe::N,хамр,kukaz
112,Berg::N,уул,mägi
113,Gipfel::N,ора,ladv
114,Höhle::N,хадин көндә,mägionduz
115,Abhang::N,ташу,paute
116,Quelle::N,булг,lähte
117,Bach::N,һооҗур,oja
118,Fluss::N,һол,jogi
119,Ufer::N,көвә,rand
120,Küste::N,көвә,randišt
121,Küste::N,теңгсин көвә,randišt
122,Festland::N,хүүрә һазр,kuivma
123,Meer::N,теңгс,meri
124,Bucht::N,цекә,laht
125,Bucht::N,теңгсин цекә,laht
126,Insel::N,арл,sar'
127,Blume::N,цецг,änik
128,Gras::N,ноһан,hein
129,Wurzel::N,уңг,jur'
130,Baum::N,модн,pu
131,Stamm::N,шилв,tüvi
132,Stamm::N,һол модн,tüvi
133,Rinde::N,көрсн,kor'
134,Ast::N,ац,oks
135,Zweig::N,ац,oks
136,Zweig::N,ац,barb
137,Blatt::N,хамтхасн,lehtez
138,Birke::N,хусм модн,koiv
139,Kiefer[Baum]::N,шар харһа,pedai
140,Weide[Baum]::N,удн,raid
141,Tanne::N,җөөлн цаһан модн,kuz'
142,Horn::N,өвр,sar'v
143,Feder::N,өрвлг,höuneh
144,Fell::N,арсн,nahk
145,Flügel::N,җивр,suug
146,Klaue::N,хумсн,künz'
147,Kralle::N,тавг,künz'
148,Schwanz::N,сүл,händ
149,Ei::N,өндгн,muna
150,Nest::N,үр,peza
151,Bau::N,нүкн,uru
152,Tier::N,мал,živat
153,Herde::N,сүрг мал,kogo
154,Kuh::N,үкр,lehm
155,Bulle::N,бух,härg
156,Pferd::N,мөрн,hebo
157,Schaf::N,хөн,lambaz
158,Schwein::N,һаха,siga
159,Hund::N,ноха,koir
160,Katze::N,мис,kaži
161,Bär::N,аю,kondi
162,Eichhörnchen::N,кермн,orav
163,Elch::N,хандһа,hirb'
164,Fuchs::N,арат,reboi
165,Hase::N,туула,jäniš
166,Maus::N,хулһн,hir'
167,Wolf::N,чон,händikaz
168,Vogel::N,шовун,lind
169,Schwarm::N,зел,parveh
170,Huhn::N,така,kana
171,Hahn::N,эр така,kukoi
172,Gans::N,һалун,hanh'
173,Adler::N,һәрд,orl
174,Ente::N,нуһсн,sorz
175,Eule::N,һурвлһ,hir'pulo
176,Kranich::N,тоһрун,kurg
177,Krähe::N,шаазһа,variš
178,Kuckuck::N,эргин хуцдг,kägi
179,Schwan::N,хун,joucen
180,Fisch::N,заһсн,kala
181,Barsch::N,шүрг,ahven
182,Hecht::N,цурх,haug'
183,Schlange[Tier]::N,моһа,kü
184,Schlange[Tier]::N,моһа,mado
185,Wurm::N,өтн,mado
186,Spinne::N,аралҗн,hämähouk
187,Ameise::N,шорһлҗн,murahaine
188,Laus::N,бөөсн,täi
189,Mücke::N,бөкүн,säs'k
190,Fliege::N,батхн,kärbhaine
191,Schmetterling::N,эрвәкә,lipkaine
192,Beere::N,бөөлҗрһн,marj
193,Apfel::N,альмн,jablok
194,Pilz::N,теңгрин ки,sen'
195,Pilz::N,теңгрин ки,babuk
196,Zwiebel::N,мәңгрснә толһа,lauk
197,Saat::N,буудян экн,semned
198,Korn::N,экн,jüvä
199,Korn::N,экн,vill'
200,Heu::N,өвсн,hein
201,Schale::N,хальсн,kor'
202,Grube::N,нүкн,kop
203,Falle::N,урх,rida
204,Falle::N,хавх,rida
205,Schlinge::N,бүтү,rihm
206,Spur::N,мөр,jäl'g
207,Asche::N,үмсн,tuhk
208,Dreck::N,бальчг,redu
209,Dreck::N,бальчг,pačak
210,Eisen::N,төмр,raud
211,Gold::N,алтн,kuld
212,Silber::N,мөңгн,hobed
213,Silber::N,цаһан мөңгн,hobed
214,Kohle::N,нүүрсн,hil'
215,Glas::N,шил,stökol
216,Lehm::N,шавр,savi
217,Sand::N,элсн,lete
218,Mensch::N,күн,mez'
219,Mensch::N,күн,ristit
220,Mensch::N,күмн,mez'
221,Mensch::N,күмн,ristit
222,Mann::N,эр,mez'
223,Frau::N,күүкд күн,naine
224,Kind::N,үрн,laps'
225,Junge::N,көвүн,poig
226,Junge::N,көвүн,prihaine
227,Mädchen::N,бичкн күүкн,neičukaine
228,Familie::N,бүл,kanz
229,Familie::N,бүл,pereh
230,Großvater::N,өвк эцк,ded
231,Großvater::N,наһц эцк,ded
232,Großmutter::N,эмг эк,bab
233,Großmutter::N,наһц эк,bab
234,Eltern::N,эк эцк хойр,vanhembad
235,Eltern::N,эк эцк хойр,kazvatajad
236,Vater::N,эцк,tat
237,Mutter::N,эк,mam
238,Sohn::N,көвүн,poig
239,Tochter::N,күүкн,tütär
240,Bruder::N,дү көвүн,veik
241,Bruder::N,дү көвүн,vell'
242,Schwester::N,эгч,čiža
243,Schwester::N,эгч,sizar
244,Schwester::N,дү күүкн,čiža
245,Schwester::N,дү күүкн,sizar
246,Onkel::N,авһ,däd'
247,Onkel::N,наһцх,däd'
248,Tante::N,наһц эгч,tädi
249,Ehemann::N,залу,mužik
250,Ehefrau::N,гергн,ak
251,Freude::N,байр,ilo
252,Freude::N,байр,ihastuz
253,Gelächter::N,инәдн,nagr
254,Glück::N,җирһл,oza
255,Glück::N,сәәхн җирһл,oza
256,Kummer::N,зовлң,gor'a
257,Wunsch::N,дурн,taht
258,Lust::N,җилвтлһн,himo
259,Geist::N,зөрг,heng
260,Gedanke::N,ухан,meletuz
261,Gedächtnis::N,чееҗин тодлвр,mušt
262,Verstand::N,ухан,mel'
263,Sinn::N,учр-утх,jüvä
264,Grund::N,учр,sü
265,Grund::N,шалтан,sü
266,Wahrheit::N,үнн,tozi
267,Gespräch::N,күүндвүр,lodu
268,Gespräch::N,күүндвүр,pagin
269,Märchen::N,тууль,sarn
270,Erzählung::N,келвр,sanutez
271,Nachricht::N,медүллһн,tedotuz
272,Neuigkeit::N,зәңг,uzištuz
273,Name::N,нерн,nimi
274,Rätsel::N,тәәлвртә тууль,ozoitez
275,Rede::N,келлһн,pagin
276,Rede::N,келлһн,sanad
277,Sprache::N,келн,kel'
278,Stimme::N,дун,än'
279,Wort::N,үг,sana
280,Zeichen::N,темдг,znam
281,Ruf::N,дуудлһн,kida
282,Ruf::N,дуудлһн,kucund
283,Lärm::N,шууган,judu
284,Laut::N,ә,kulund
285,Ton::N,дун,kulund
286,Lied::N,дун,pajo
287,Ruhe::N,амулң,lebu
288,Leute::N,әмтн,rahvaz
289,Volk::N,улс,rahvaz
290,Arbeit::N,көдлмш,tö
291,Arbeit::N,көдлмш,rad
292,Gast::N,гиич,adiv
293,Geschenk::N,белг,lahj
294,Spiel::N,наадн,vänd
295,Gesellschaft::N,олн,sebr
296,Hilfe::N,нөкд,abu
297,Freund::N,иньг,sebranik
298,Kamerad::N,үр,sebranik
299,Angelegenheit::N,керг,azj
300,Anzahl::N,то,lugu
301,Art::N,зүүл,rod
