,Concept_ID,ps,ar
121,Abhang::N,لمن,منحدر
122,Quelle::N,چینه,منبع
123,Bach::N,واله,مجرى
124,Fluss::N,سیند,نهر
125,Ufer::N,غاړه,ضفة
126,Küste::N,ساحل,ساحل
127,Festland::N,وچه,بر
128,Meer::N,بحر,بحر
129,Meer::N,سمندر,بحر
130,Bucht::N,کارۍ,خليج
131,Insel::N,ټاپو,جزيرة
132,Insel::N,جزيره,جزيرة
133,Blume::N,ګل,زهرة
134,Gras::N,واښه,حشيش
135,Wurzel::N,ریښه,أصل
136,Baum::N,ونه,شجرة
137,Stamm::N,ډډ,جذع
138,Rinde::N,پوستکی,قشرة
139,Ast::N,ښاخ,فرع
140,Zweig::N,څانګه,غصن
141,Blatt::N,پاڼه,ورقة
142,Birke::N,توس,قضبان
143,Kiefer[Baum]::N,نښتر,صنوبرة
144,Weide[Baum]::N,وله,صفصاف
145,Tanne::N,ناجو,شوح
146,Tanne::N,ناجو,تبوب
147,Horn::N,ښکر,قرن
148,Feder::N,بڼکه,ريشة
149,Fell::N,پوستکی,فرو
150,Flügel::N,وزر,جناح
151,Klaue::N,پنجه,مخلب
152,Klaue::N,منګول,مخلب
153,Kralle::N,پنجه,مخلب
154,Kralle::N,منګول,مخلب
155,Schwanz::N,لکۍ,ذيل
156,Ei::N,وۍ,بيض
157,Ei::N,هګۍ,بيض
158,Nest::N,جاله,عش
159,Bau::N,کاز,جحر
160,Tier::N,ژوی,حيوان
161,Tier::N,حیوان,حيوان
162,Herde::N,رمه,قطيع
163,Herde::N,غېله,قطيع
164,Kuh::N,غوا,بقرة
165,Bulle::N,غوئی,ثور
166,Pferd::N,آس,خيل
167,Schaf::N,پسه,شاة
168,Schwein::N,سرکوزی,خنزير
169,Hund::N,سپی,كلب
170,Katze::N,پشه,قطة
171,Bär::N,خرس,دب
172,Eichhörnchen::N,خړ لمی,سنجاب
173,Elch::N,ګوزن,موظ
174,Fuchs::N,سپلم,ثعلب
175,Hase::N,سوی,أرنب
