,Concept_ID,en,hy
0,Auge::N,eye,աչք
1,Ohr::N,ear,ականջ
2,Nase::N,nose,քիթ
3,Mund::N,mouth,բերան
4,Zahn::N,tooth,ատամ
5,Zunge::N,tongue,լեզու
6,Lippe::N,lip,շրթունք
7,Wange::N,cheek,այտ
8,Wange::N,cheek,թուշ
9,Gesicht::N,face,դեմք
10,Stirn::N,forehead,ճակատ
11,Haar::N,hair,մազ
12,Schnurrbart::N,moustache,բեղ
13,Bart::N,beard,մորուք
14,Kinn::N,chin,կզակ
15,Kiefer[Anatomie]::N,jaw,ծնոտ
16,Kehle::N,throat,կոկորդ
17,Hals::N,neck,վիզ
18,Hals::N,neck,պարանոց
19,Genick::N,nape,ծոծրակ
20,Kopf::N,head,գլուխ
21,Rücken::N,back,մեջք
22,Rücken::N,spine,մեջք
23,Bauch::N,belly,փոր
24,Bauch::N,belly,որովայն
25,Nabel::N,navel,պորտ
26,Busen::N,bosom,ծոց
27,Brust::N,chest,կուրծք
28,Brust::N,breast,կուրծք
29,Schulter::N,shoulder,ուս
30,Arm::N,arm,թեւ
31,Arm::N,arm,բազուկ
32,Ellenbogen::N,elbow,արմունկ
33,Hand::N,hand,ձեռք
34,Handfläche::N,palm,ափ
35,Finger::N,finger,մատ
36,Fingernagel::N,fingernail,եղունգ
37,Nagel[Anatomie]::N,nail,եղունգ
38,Zeh::N,toe,ոտքի մատ
39,Fuß::N,foot,ոտք
40,Ferse::N,heel,գարշապար
41,Knie::N,knee,ծունկ
42,Oberschenkel::N,thigh,ազդր
43,Bein::N,leg,ոտք
44,Körper::N,body,մարմին
45,Haut::N,skin,մաշկ
46,Blut::N,blood,արյուն
47,Ader::N,vein,երակ
48,Sehne::N,sinew,ջիղ
49,Sehne::N,sinew,ձգտան
50,Knochen::N,bone,ոսկոր
51,Gehirn::N,brain,խելք
52,Herz::N,heart,սիրտ
53,Magen::N,stomach,ստամոքս
54,Leber::N,liver,լյարդ
55,Atem::N,breath,շունչ
56,Hunger::N,hunger,քաղց
57,Träne::N,tear,արտասուք
58,Geschmack::N,flavour,համ
59,Geschmack::N,flavour,բուրմունք
60,Geschmack::N,flavor,համ
61,Geschmack::N,flavor,բուրմունք
62,Geruch::N,odour,հոտ
63,Geruch::N,odour,բուրում
64,Geruch::N,odor,հոտ
65,Geruch::N,odor,բուրում
66,Schlaf::N,sleep,քուն
67,Traum::N,dream,երազ
68,Himmel::N,sky,երկինք
69,Sonne::N,sun,արեւ
70,Mond::N,moon,լուսին
71,Stern::N,star,աստղ
72,Luft::N,air,օդ
