,Concept_ID,sv,la
0,Auge::N,öga,oculus
1,Ohr::N,öra,auris
2,Nase::N,näsa,nasus
3,Mund::N,mun,os
4,Zahn::N,tand,dens
5,Zunge::N,tunga,lingua
6,Lippe::N,läpp,labrum
7,Wange::N,kind,gena
8,Gesicht::N,syn,vultus
9,Gesicht::N,ansikte,vultus
10,Stirn::N,panna,frons
11,Haar::N,hår,capillus
12,Schnurrbart::N,mustasch,barba labri superioris
13,Bart::N,skägg,barba
14,Kinn::N,haka,mentum
15,Kiefer[Anatomie]::N,käke,mala
16,Kehle::N,strupe,iugulums
17,Hals::N,hals,collum
18,Genick::N,nacke,cervices
19,Kopf::N,huvud,caput
20,Rücken::N,rygg,tergum
21,Bauch::N,buk,venter
22,Bauch::N,mage,venter
23,Nabel::N,navel,umbilicus
24,Busen::N,barm,sinus
25,Brust::N,bröst,pectus
26,Schulter::N,skuldra,umerus
27,Arm::N,arm,bracchium
28,Ellenbogen::N,armbåge,cubitum
29,Hand::N,hand,manus
30,Handfläche::N,handflata,palma
31,Finger::N,finger,digitus
32,Fingernagel::N,fingernagel,unguiculus
33,Nagel[Anatomie]::N,nagel,unguis
34,Zeh::N,tå,digitus
35,Fuß::N,fot,pes
36,Ferse::N,häl,calx
37,Knie::N,knä,genu
38,Oberschenkel::N,lår,femur
39,Bein::N,ben,crus
40,Körper::N,kropp,corpus
41,Haut::N,hud,cutis
42,Haut::N,hud,pellis
43,Haut::N,skinn,cutis
44,Haut::N,skinn,pellis
45,Blut::N,blod,sanguis
46,Ader::N,åder,vena
47,Sehne::N,sena,nervus
48,Knochen::N,ben,os
49,Gehirn::N,hjärna,cerebrum
50,Herz::N,hjärta,cor
51,Herz::N,hjärta,animus
52,Magen::N,mage,stomachus
53,Leber::N,lever,iecur
54,Atem::N,anda,spiritus
55,Atem::N,andedräkt,spiritus
56,Hunger::N,svält,fames
57,Hunger::N,hunger,fames
58,Träne::N,tår,lacrima
59,Geschmack::N,smak,sapor
60,Geschmack::N,smak,gustus
61,Geruch::N,lukt,odor
62,Schlaf::N,sömn,somnus
63,Traum::N,dröm,somnium
64,Himmel::N,himmel,caelum
65,Sonne::N,sol,sol
66,Mond::N,måne,luna
67,Stern::N,stjärna,sidus
68,Stern::N,stjärna,stella
69,Luft::N,luft,aer
70,Wind::N,vind,ventus
71,Welle::N,våg,unda
72,Welle::N,bölja,unda
73,Wasser::N,vatten,aqua
74,Stein::N,sten,lapis
75,Boden::N,mark,solum
76,Erde::N,jord,terra
77,Staub::N,damm,pulvis
78,Rauch::N,rök,fumus
79,Funke::N,gnista,scintilla
80,Feuer::N,eld,ignis
81,Licht::N,ljus,lux
82,Licht::N,ljus,lumen
83,Schatten::N,skugga,umbra
84,Wetter::N,väder,caelum
85,Wetter::N,väder,tempestas
86,Nebel::N,dimma,nebula
87,Nebel::N,töcken,nebula
88,Wolke::N,sky,nubes
89,Wolke::N,moln,nubes
90,Regen::N,regn,imber
91,Regen::N,regn,pluvia
92,Schnee::N,snö,nix
93,Eis::N,is,glacies
94,Frost::N,frost,gelu
95,Kälte::N,köld,frigus
96,Hitze::N,hetta,calor
97,Hitze::N,hetta,aestus
98,Raureif::N,rimfrost,pruina
99,Regenbogen::N,regnbåge,arcus
100,Donner::N,åska,tonitrus
101,Donner::N,dunder,tonitrus
102,Strömung::N,strömning,fluctus
103,Tropfen::N,dropper,gutta
104,Schaum::N,skum,spuma
105,Schmutz::N,lort,sordes
106,Schmutz::N,lort,squalor
107,Schmutz::N,smuts,sordes
108,Schmutz::N,smuts,squalor
109,See::N,sjö,lacus
110,Sumpf::N,träsk,palus
111,Moor::N,myr,palus
112,Moor::N,mosse,palus
113,Wiese::N,äng,pratum
114,Wald::N,skog,silva
115,Hügel::N,höjd,collis
116,Hügel::N,kulle,collis
117,Anhöhe::N,höjd,specula
118,Anhöhe::N,backe,specula
119,Berg::N,berg,mons
120,Berg::N,fjäll,mons
121,Gipfel::N,topp,vertex
122,Höhle::N,håla,caverna
123,Höhle::N,håla,spelunca
124,Höhle::N,grotta,caverna
125,Höhle::N,grotta,spelunca
126,Abhang::N,slänt,declivum
127,Abhang::N,sluttning,declivum
128,Quelle::N,källa,fons
129,Bach::N,bäck,rivus
130,Fluss::N,älv,flumen
131,Fluss::N,flod,flumen
132,Ufer::N,strand,ripa
133,Küste::N,kust,litus
134,Festland::N,fastland,continens
135,Meer::N,hav,mare
136,Bucht::N,vik,sinus
137,Bucht::N,bukt,sinus
138,Insel::N,ö,insula
139,Blume::N,blomma,flos
140,Blume::N,blomster,flos
141,Gras::N,gräs,herba
142,Gras::N,gräs,gramen
143,Wurzel::N,rot,radix
144,Baum::N,träd,arbor
145,Stamm::N,stam,truncus
146,Rinde::N,bark,cortex
147,Ast::N,gren,ramus
148,Zweig::N,kvist,ramus
149,Blatt::N,löv,folium
150,Blatt::N,blad,folium
151,Birke::N,björk,betulla
152,Kiefer[Baum]::N,tall,pinus
153,Weide[Baum]::N,pil,salix
154,Weide[Baum]::N,vide,salix
155,Tanne::N,gran,abies
156,Horn::N,horn,cornu
157,Feder::N,fjäder,penna
158,Fell::N,fäll,pellis
159,Fell::N,skinn,pellis
160,Flügel::N,vinge,ala
161,Klaue::N,klöv,unguis
162,Kralle::N,klo,unguis
163,Schwanz::N,svans,cauda
164,Schwanz::N,stjärt,cauda
165,Ei::N,ägg,ovum
166,Nest::N,rede,nidus
167,Nest::N,näste,nidus
168,Bau::N,bo,cavum
169,Bau::N,bo,latibulum
170,Tier::N,djur,bestia
171,Herde::N,flock,grex
172,Kuh::N,ko,vacca
173,Bulle::N,tjur,taurus
174,Pferd::N,häst,equus
175,Schaf::N,får,ovis
176,Schwein::N,svin,sus
177,Schwein::N,svin,porcus
178,Hund::N,hund,canis
179,Katze::N,katt,felis
180,Bär::N,björn,ursus
181,Eichhörnchen::N,ekorre,sciurus
182,Elch::N,älg,alces
183,Fuchs::N,räv,vulpes
184,Hase::N,hare,lepus
185,Maus::N,mus,mus
186,Wolf::N,varg,lupus
187,Vogel::N,fågel,avis
188,Schwarm::N,svärm,examen
189,Huhn::N,höns,gallina
190,Hahn::N,tupp,gallus
191,Gans::N,gås,anser
192,Adler::N,örn,aquila
193,Ente::N,anka,anas
194,Eule::N,uggla,ulula
195,Eule::N,uggla,noctua
196,Kranich::N,trana,grus
197,Krähe::N,kråka,cornix
198,Kuckuck::N,gök,cuculus
199,Schwan::N,svan,olor
200,Schwan::N,svan,cycnus
201,Fisch::N,fisk,piscis
202,Barsch::N,abborre,perca
203,Hecht::N,gädda,esox
204,Schlange[Tier]::N,orm,serpens
205,Wurm::N,mask,vermis
206,Spinne::N,spindel,aranea
207,Ameise::N,myra,formica
208,Laus::N,lus,pediculus
209,Mücke::N,mygga,culex
210,Fliege::N,fluga,musca
211,Schmetterling::N,fjäril,papilio
212,Beere::N,bär,baca
213,Apfel::N,äpple,malum
214,Pilz::N,svamp,fungus
215,Zwiebel::N,lök,cepa
216,Saat::N,sådd,seges
217,Korn::N,korn,granum
218,Heu::N,hö,faenum
219,Schale::N,skal,putamen
220,Grube::N,grop,fovea
221,Falle::N,fälla,pedica
222,Schlinge::N,snara,laqueus
223,Spur::N,spår,vestigium
224,Asche::N,aska,cinis
225,Dreck::N,lort,lutum
226,Eisen::N,järn,ferrum
227,Gold::N,guld,aurum
228,Silber::N,silver,argentum
229,Kohle::N,kol,carbo
230,Glas::N,glas,vitrum
231,Lehm::N,lera,lutum
232,Sand::N,sand,arena
233,Mensch::N,människa,homo
234,Mann::N,man,vir
235,Frau::N,kvinna,mulier
236,Kind::N,barn,puer
237,Kind::N,barn,infans
238,Junge::N,pojke,puer
239,Mädchen::N,flicka,puella
240,Familie::N,familj,familia
241,Großvater::N,morfar,avus
242,Großmutter::N,farmor,avia
243,Eltern::N,föräldrar,parentes
244,Vater::N,far,pater
245,Mutter::N,mor,mater
246,Sohn::N,son,filius
247,Tochter::N,dotter,filia
248,Bruder::N,bror,frater
249,Schwester::N,syster,soror
250,Onkel::N,morbror,patruus
251,Onkel::N,morbror,avunculus
252,Tante::N,tant,amita
253,Ehemann::N,äkta man,maritus
254,Ehefrau::N,hustru,uxor
255,Freude::N,fröjd,gaudium
256,Freude::N,fröjd,laetitia
257,Freude::N,glädje,gaudium
258,Freude::N,glädje,laetitia
259,Gelächter::N,åtlöje,risus
260,Glück::N,lycka,felicitas
261,Kummer::N,sorg,aegritudo
262,Wunsch::N,önskan,voluntas
263,Wunsch::N,önskan,desiderium
264,Lust::N,lust,libido
265,Lust::N,lust,voluptas
266,Geist::N,ande,mens
267,Geist::N,ande,animus
268,Gedanke::N,tanke,sententia
269,Gedächtnis::N,minne,memoria
270,Verstand::N,förstånd,ratio
271,Verstand::N,förstånd,ingenium
272,Sinn::N,mening,sensus
273,Sinn::N,betydelse,sensus
274,Grund::N,skäl,causa
275,Grund::N,grund,causa
276,Wahrheit::N,sanning,veritas
277,Gespräch::N,samtal,sermo
278,Märchen::N,saga,fabula
279,Erzählung::N,berättelse,fabula
280,Erzählung::N,berättelse,narratio
281,Nachricht::N,meddelande,nuntius
282,Neuigkeit::N,nyhet,novitas
283,Name::N,namn,nomen
284,Rätsel::N,gåta,aenigma
285,Rede::N,tal,oratio
286,Sprache::N,språk,lingua
287,Stimme::N,stämma,vox
288,Wort::N,ord,verbum
289,Wort::N,ord,vocabulum
290,Zeichen::N,tecken,signum
291,Ruf::N,rop,clamor
292,Lärm::N,bråk,strepitus
293,Lärm::N,oväsen,strepitus
294,Laut::N,ljud,sonus
295,Ton::N,ton,sonus
296,Lied::N,sång,carmen
297,Ruhe::N,ro,quies
298,Ruhe::N,lugn,quies
299,Leute::N,folk,homines
300,Volk::N,folk,populus
301,Arbeit::N,arbete,labor
302,Gast::N,gäst,hospes
303,Gast::N,gäst,conviva
304,Geschenk::N,gåva,munus
305,Geschenk::N,present,munus
306,Spiel::N,lek,ludus
307,Spiel::N,spel,ludus
308,Gesellschaft::N,sällskap,societas
309,Hilfe::N,hjälp,auxilium
310,Hilfe::N,hjälp,subsidium
311,Freund::N,vän,amicus
