,Concept_ID,es,sah
0,Auge::N,ojo,харах
1,Ohr::N,oreja,кулгаах
2,Nase::N,nariz,мурун
3,Mund::N,boca,айах
4,Zahn::N,diente,тиис
5,Zunge::N,lengua,тыл
6,Lippe::N,labio,уос
7,Wange::N,mejilla,иэдэс
8,Gesicht::N,cara,сирэй
9,Stirn::N,frente,сүүс
10,Haar::N,cabello,баттах
11,Schnurrbart::N,bigote,уос бытыга
12,Bart::N,barba,сэҥийэ бытыга
13,Kinn::N,barbilla,сэҥийэ
14,Kiefer[Anatomie]::N,mandíbula,сыҥаах
15,Kehle::N,garganta,тамах
16,Kehle::N,garganta,күөмэй
17,Hals::N,cuello,моой
18,Genick::N,nuca,кэтэх
19,Genick::N,cerviz,кэтэх
20,Kopf::N,cabeza,бас
21,Rücken::N,espalda,көҕүс
22,Bauch::N,vientre,ис
23,Nabel::N,ombligo,киин
24,Busen::N,pecho,эмиий
25,Brust::N,pecho,түөс
26,Schulter::N,hombro,сарын
27,Arm::N,brazo,илии
28,Ellenbogen::N,codo,тоҕонох
29,Hand::N,mano,илии
30,Handfläche::N,palma,ытыс
31,Finger::N,dedo,тарбах
32,Fingernagel::N,uña,тыҥырах
33,Nagel[Anatomie]::N,uña,тыҥырах
34,Zeh::N,dedo del pie,тарбах
35,Fuß::N,pie,уллуҥах
36,Ferse::N,talón,тилэх
37,Knie::N,rodilla,тобук
38,Knie::N,rodilla,дьилбэк
39,Oberschenkel::N,muslo,уллук
40,Oberschenkel::N,muslo,өттүк
41,Bein::N,pierna,атах
42,Körper::N,cuerpo,бэйэ
43,Haut::N,piel,тирии
44,Blut::N,sangre,хаан
45,Ader::N,vena,вена
46,Ader::N,vena,күөх_тымыр
47,Sehne::N,tendón,иҥиир
48,Knochen::N,hueso,уҥуох
49,Knochen::N,hueso,уҥгуох
50,Gehirn::N,cerebro,мэйии
51,Gehirn::N,encéfalo,мэйии
52,Herz::N,corazón,сүрэх
53,Magen::N,estómago,куртах
54,Leber::N,hígado,быар
55,Atem::N,aliento,тыын
56,Hunger::N,hambre,аас
57,Träne::N,lágrima,харах уута
58,Geschmack::N,gusto,амтан
59,Geruch::N,olor,сыт
60,Schlaf::N,sueño,утуйуу
61,Traum::N,sueño,түүл
62,Traum::N,ensueño,түүл
63,Himmel::N,cielo,халлаан
64,Sonne::N,sol,күн
65,Mond::N,luna,ый
66,Stern::N,estrella,сулус
67,Luft::N,aire,салгын
68,Wind::N,viento,тыал
69,Welle::N,ola,долгун
70,Welle::N,ola,балхаан
71,Welle::N,onda,долгун
72,Welle::N,onda,балхаан
73,Wasser::N,agua,уу
74,Stein::N,piedra,таас
75,Boden::N,suelo,сир
76,Erde::N,tierra,буор
77,Staub::N,polvo,быыл
78,Rauch::N,humo,буруо
79,Funke::N,chispa,кыым
80,Feuer::N,fuego,уот
81,Licht::N,luz,уот
82,Schatten::N,sombra,күлүк
83,Wetter::N,tiempo,күн-дьыл
84,Nebel::N,niebla,туман
85,Wolke::N,nube,былыт
86,Regen::N,lluvia,самыыр
87,Schnee::N,nieve,хаар
88,Eis::N,hielo,муус
89,Frost::N,helada,тымныы
90,Kälte::N,frío,тымныы
91,Hitze::N,calor,куйаас
92,Raureif::N,escarcha,кырыа
93,Regenbogen::N,arco iris,кустук
94,Donner::N,trueno,этиҥ
95,Strömung::N,corriente,сүүрүк
96,Tropfen::N,gota,таммах
97,Tropfen::N,gota,хааппыла
98,Schaum::N,espuma,күүгэн
99,Schmutz::N,suciedad,кир
100,See::N,lago,күөл
101,Sumpf::N,pantano,бадараан
102,Moor::N,turbera,дьэбэрэ
103,Wiese::N,prado,ходуһа
104,Wiese::N,pradera,ходуһа
105,Wald::N,bosque,ойуур
106,Hügel::N,colina,булгунньах
107,Anhöhe::N,cerro,үрдэл
108,Berg::N,monte,хайа
109,Berg::N,montaña,хайа
110,Gipfel::N,cima,чыпчаал
111,Gipfel::N,cumbre,чыпчаал
112,Höhle::N,cueva,хайа_хаспаҕа
113,Höhle::N,cueva,көҥүс
114,Höhle::N,caverna,хайа_хаспаҕа
115,Höhle::N,caverna,көҥүс
116,Abhang::N,cuesta,эниэ
