,Concept_ID,da,os
0,Auge::N,øje,цӕст
1,Ohr::N,øre,хъус
2,Nase::N,næse,фындз
3,Mund::N,mund,дзых
4,Zahn::N,tand,дӕндаг
5,Zunge::N,tunge,ӕвзаг
6,Lippe::N,læbe,был
7,Wange::N,kind,рус
8,Wange::N,kind,уадул
9,Wange::N,kind,ӕхсӕрфарс
10,Gesicht::N,ansigt,цӕсгом
11,Stirn::N,pande,ных
12,Haar::N,hår,хил
13,Schnurrbart::N,overskæg,рихи
14,Bart::N,skæg,зачъе
15,Kinn::N,hage,роцъо
16,Kiefer[Anatomie]::N,kæbe,ӕфсӕр
17,Kehle::N,strube,хъуыр
18,Hals::N,hals,къубал
19,Genick::N,nakke,къӕбут
20,Kopf::N,hoved,сӕр
21,Rücken::N,ryg,фӕсонтӕ
22,Bauch::N,mave,гуыбын
23,Nabel::N,navle,бикъ
24,Busen::N,barm,дзидзи
25,Brust::N,bryst,риу
26,Schulter::N,skulder,уӕхск
27,Arm::N,arm,цонг
28,Ellenbogen::N,albue,рæмбын
29,Hand::N,hånd,къух
30,Handfläche::N,håndflade,армытъӕпӕн
31,Finger::N,finger,ӕнруылдз
32,Fingernagel::N,fingernegl,ных
33,Nagel[Anatomie]::N,negl,ных
34,Zeh::N,tå,къух
35,Fuß::N,fod,фад
36,Ferse::N,hæl,зӕвӕт
37,Knie::N,knæ,уӕраг
38,Oberschenkel::N,lår,агъд
39,Bein::N,ben,зӕнг
40,Körper::N,krop,буар
41,Körper::N,legeme,буар
42,Haut::N,hud,царм
43,Blut::N,blod,туг
44,Ader::N,åre,дадзин
45,Ader::N,åre,тугдадзин
46,Sehne::N,sene,хъиутæ
47,Sehne::N,sene,нуар
48,Knochen::N,ben,стӕг
49,Gehirn::N,hjerne,магъз
50,Herz::N,hjerte,зӕрдӕ
51,Magen::N,mave,ахсӕн
52,Leber::N,lever,игæр
53,Atem::N,ånde,улӕфт
54,Hunger::N,sult,стонг
55,Träne::N,tåre,цæссыг
56,Geschmack::N,smag,ад
57,Geruch::N,lugt,смаг
58,Schlaf::N,søvn,хуыссӕг
59,Traum::N,drøm,фын
60,Himmel::N,himmel,арв
61,Himmel::N,himmel,уӕларв
62,Sonne::N,sol,хур
63,Mond::N,måne,мӕй
64,Stern::N,stjerne,стъалы
65,Luft::N,luft,уӕлдӕф
66,Wind::N,vind,дымгӕ
67,Welle::N,bølge,уылӕн
68,Wasser::N,vand,дон
69,Stein::N,sten,дур
70,Boden::N,jord,зӕхх
71,Erde::N,jord,сыджыт
72,Staub::N,støv,рыг
73,Rauch::N,røg,фӕздӕг
74,Funke::N,gnist,цӕхӕр
75,Feuer::N,ild,зынг
76,Licht::N,lys,рухс
77,Schatten::N,skygge,аууон
78,Wetter::N,vejr,боныхъӕд
79,Nebel::N,tåge,мигъ
80,Wolke::N,sky,ӕврагъ
81,Regen::N,regn,уарын
82,Schnee::N,sne,мит
83,Eis::N,is,их
